Date,AQI
01/01/2014,32
02/01/2014,29
03/01/2014,26
04/01/2014,20
05/01/2014,31
06/01/2014,33
07/01/2014,39
08/01/2014,30
09/01/2014,28
10/01/2014,30
11/01/2014,29
12/01/2014,20
13/01/2014,27
14/01/2014,37
15/01/2014,31
16/01/2014,37
17/01/2014,36
18/01/2014,33
19/01/2014,29
20/01/2014,37
21/01/2014,47
22/01/2014,46
23/01/2014,50
24/01/2014,52
25/01/2014,62
26/01/2014,61
27/01/2014,58
28/01/2014,43
29/01/2014,43
30/01/2014,32
31/01/2014,40
01/02/2014,50
02/02/2014,46
03/02/2014,50
04/02/2014,50
05/02/2014,55
06/02/2014,64
07/02/2014,60
08/02/2014,58
09/02/2014,55
10/02/2014,62
11/02/2014,57
12/02/2014,54
13/02/2014,55
14/02/2014,46
15/02/2014,45
16/02/2014,38
17/02/2014,46
18/02/2014,63
19/02/2014,68
20/02/2014,59
21/02/2014,36
22/02/2014,38
23/02/2014,42
24/02/2014,52
25/02/2014,61
26/02/2014,70
27/02/2014,67
28/02/2014,62
01/03/2014,69
02/03/2014,77
03/03/2014,80
04/03/2014,107
05/03/2014,77
06/03/2014,68
07/03/2014,63
08/03/2014,71
09/03/2014,105
10/03/2014,82
11/03/2014,69
12/03/2014,76
13/03/2014,131
14/03/2014,159
15/03/2014,91
16/03/2014,55
17/03/2014,41
18/03/2014,36
19/03/2014,43
20/03/2014,42
21/03/2014,49
22/03/2014,53
23/03/2014,53
24/03/2014,32
25/03/2014,39
26/03/2014,42
27/03/2014,49
28/03/2014,63
29/03/2014,59
30/03/2014,41
31/03/2014,42
01/04/2014,56
02/04/2014,58
03/04/2014,58
04/04/2014,53
05/04/2014,47
06/04/2014,32
07/04/2014,42
08/04/2014,49
09/04/2014,48
10/04/2014,47
11/04/2014,48
12/04/2014,34
13/04/2014,33
14/04/2014,45
15/04/2014,44
16/04/2014,42
17/04/2014,42
18/04/2014,39
19/04/2014,45
20/04/2014,56
21/04/2014,57
22/04/2014,47
23/04/2014,53
24/04/2014,49
25/04/2014,38
26/04/2014,45
27/04/2014,53
28/04/2014,48
29/04/2014,50
30/04/2014,45
01/05/2014,46
02/05/2014,57
03/05/2014,64
04/05/2014,52
05/05/2014,45
06/05/2014,40
07/05/2014,51
08/05/2014,34
09/05/2014,46
10/05/2014,46
11/05/2014,46
12/05/2014,41
13/05/2014,52
14/05/2014,39
15/05/2014,41
16/05/2014,43
17/05/2014,37
18/05/2014,37
19/05/2014,40
20/05/2014,39
21/05/2014,53
22/05/2014,50
23/05/2014,49
24/05/2014,56
25/05/2014,50
26/05/2014,40
27/05/2014,39
28/05/2014,56
29/05/2014,39
30/05/2014,35
31/05/2014,31
01/06/2014,44
02/06/2014,44
03/06/2014,36
04/06/2014,42
05/06/2014,37
06/06/2014,36
07/06/2014,36
08/06/2014,33
09/06/2014,48
10/06/2014,59
11/06/2014,51
12/06/2014,46
13/06/2014,44
14/06/2014,45
15/06/2014,48
16/06/2014,51
17/06/2014,59
18/06/2014,63
19/06/2014,76
20/06/2014,80
21/06/2014,68
22/06/2014,82
23/06/2014,84
24/06/2014,89
25/06/2014,95
26/06/2014,63
27/06/2014,66
28/06/2014,77
29/06/2014,65
30/06/2014,47
01/07/2014,46
02/07/2014,46
03/07/2014,42
04/07/2014,38
05/07/2014,36
06/07/2014,32
07/07/2014,45
08/07/2014,51
09/07/2014,69
10/07/2014,60
11/07/2014,46
12/07/2014,63
13/07/2014,62
14/07/2014,55
15/07/2014,61
16/07/2014,61
17/07/2014,65
18/07/2014,58
19/07/2014,61
20/07/2014,77
21/07/2014,88
22/07/2014,91
23/07/2014,70
24/07/2014,66
25/07/2014,75
26/07/2014,85
27/07/2014,78
28/07/2014,93
29/07/2014,122
30/07/2014,76
31/07/2014,55
01/08/2014,67
02/08/2014,59
03/08/2014,59
04/08/2014,66
05/08/2014,67
06/08/2014,62
07/08/2014,45
08/08/2014,54
09/08/2014,44
10/08/2014,44
11/08/2014,45
12/08/2014,37
13/08/2014,35
14/08/2014,33
15/08/2014,34
16/08/2014,34
17/08/2014,42
18/08/2014,47
19/08/2014,45
20/08/2014,37
21/08/2014,51
22/08/2014,47
23/08/2014,53
24/08/2014,38
25/08/2014,32
26/08/2014,36
27/08/2014,25
28/08/2014,33
29/08/2014,49
30/08/2014,61
31/08/2014,53
01/09/2014,40
02/09/2014,56
03/09/2014,59
04/09/2014,59
05/09/2014,58
06/09/2014,45
07/09/2014,48
08/09/2014,41
09/09/2014,44
10/09/2014,45
11/09/2014,66
12/09/2014,65
13/09/2014,72
14/09/2014,88
15/09/2014,47
16/09/2014,53
17/09/2014,80
18/09/2014,77
19/09/2014,63
20/09/2014,54
21/09/2014,38
22/09/2014,53
23/09/2014,68
24/09/2014,67
25/09/2014,56
26/09/2014,51
27/09/2014,65
28/09/2014,66
29/09/2014,72
30/09/2014,72
01/10/2014,74
02/10/2014,71
03/10/2014,76
04/10/2014,67
05/10/2014,38
06/10/2014,37
07/10/2014,55
08/10/2014,76
09/10/2014,89
10/10/2014,99
11/10/2014,85
12/10/2014,91
13/10/2014,63
14/10/2014,59
15/10/2014,62
16/10/2014,52
17/10/2014,52
18/10/2014,41
19/10/2014,53
20/10/2014,73
21/10/2014,62
22/10/2014,49
23/10/2014,41
24/10/2014,40
25/10/2014,54
26/10/2014,58
27/10/2014,49
28/10/2014,43
29/10/2014,53
30/10/2014,60
31/10/2014,54
01/11/2014,43
02/11/2014,44
03/11/2014,59
04/11/2014,72
05/11/2014,72
06/11/2014,56
07/11/2014,35
08/11/2014,28
09/11/2014,33
10/11/2014,44
11/11/2014,54
12/11/2014,51
13/11/2014,37
14/11/2014,32
15/11/2014,33
16/11/2014,37
17/11/2014,38
18/11/2014,30
19/11/2014,38
20/11/2014,44
21/11/2014,46
22/11/2014,43
23/11/2014,42
24/11/2014,32
25/11/2014,35
26/11/2014,35
27/11/2014,42
28/11/2014,37
29/11/2014,36
30/11/2014,30
01/12/2014,39
02/12/2014,44
03/12/2014,49
04/12/2014,43
05/12/2014,52
06/12/2014,53
07/12/2014,45
08/12/2014,38
09/12/2014,43
10/12/2014,50
11/12/2014,43
12/12/2014,52
13/12/2014,54
14/12/2014,54
15/12/2014,49
16/12/2014,44
17/12/2014,44
18/12/2014,47
19/12/2014,37
20/12/2014,54
21/12/2014,60
22/12/2014,36
23/12/2014,28
24/12/2014,43
25/12/2014,45
26/12/2014,35
27/12/2014,34
28/12/2014,32
01/01/2015,43
02/01/2015,42
03/01/2015,50
04/01/2015,56
05/01/2015,51
06/01/2015,47
07/01/2015,49
08/01/2015,33
09/01/2015,27
10/01/2015,38
11/01/2015,32
12/01/2015,25
13/01/2015,26
14/01/2015,34
15/01/2015,33
16/01/2015,47
17/01/2015,57
18/01/2015,56
19/01/2015,47
20/01/2015,41
21/01/2015,53
22/01/2015,49
23/01/2015,57
24/01/2015,60
25/01/2015,68
26/01/2015,60
27/01/2015,61
28/01/2015,59
29/01/2015,61
30/01/2015,46
31/01/2015,36
01/02/2015,40
02/02/2015,42
03/02/2015,39
04/02/2015,33
05/02/2015,25
06/02/2015,35
07/02/2015,35
08/02/2015,30
09/02/2015,33
10/02/2015,41
11/02/2015,50
12/02/2015,71
13/02/2015,76
14/02/2015,69
15/02/2015,58
16/02/2015,61
17/02/2015,51
18/02/2015,49
19/02/2015,39
20/02/2015,31
21/02/2015,30
22/02/2015,47
23/02/2015,48
24/02/2015,56
25/02/2015,66
26/02/2015,59
27/02/2015,65
28/02/2015,56
01/03/2015,61
02/03/2015,47
03/03/2015,63
04/03/2015,60
05/03/2015,46
06/03/2015,68
07/03/2015,65
08/03/2015,66
09/03/2015,48
10/03/2015,38
11/03/2015,50
12/03/2015,63
13/03/2015,53
14/03/2015,61
15/03/2015,59
16/03/2015,73
17/03/2015,82
18/03/2015,73
19/03/2015,66
20/03/2015,71
21/03/2015,70
22/03/2015,60
23/03/2015,57
24/03/2015,59
25/03/2015,55
26/03/2015,46
27/03/2015,37
28/03/2015,43
29/03/2015,44
30/03/2015,43
31/03/2015,46
01/04/2015,45
02/04/2015,36
03/04/2015,40
04/04/2015,52
05/04/2015,55
06/04/2015,57
07/04/2015,64
08/04/2015,55
09/04/2015,52
10/04/2015,44
11/04/2015,50
12/04/2015,49
13/04/2015,48
14/04/2015,56
15/04/2015,41
16/04/2015,36
17/04/2015,50
18/04/2015,58
19/04/2015,54
20/04/2015,66
21/04/2015,53
22/04/2015,48
23/04/2015,46
24/04/2015,47
25/04/2015,46
26/04/2015,38
27/04/2015,39
28/04/2015,43
29/04/2015,52
30/04/2015,49
01/05/2015,40
02/05/2015,32
03/05/2015,37
04/05/2015,36
05/05/2015,40
06/05/2015,52
07/05/2015,54
08/05/2015,52
09/05/2015,49
10/05/2015,50
11/05/2015,44
12/05/2015,58
13/05/2015,56
14/05/2015,50
15/05/2015,53
