Date,AQI
01/01/2014,33
02/01/2014,32
03/01/2014,36
04/01/2014,31
05/01/2014,36
06/01/2014,40
07/01/2014,34
08/01/2014,43
09/01/2014,44
10/01/2014,38
11/01/2014,45
12/01/2014,35
13/01/2014,21
14/01/2014,39
15/01/2014,39
16/01/2014,39
17/01/2014,41
18/01/2014,38
19/01/2014,40
20/01/2014,39
21/01/2014,47
22/01/2014,48
23/01/2014,50
24/01/2014,68
25/01/2014,62
26/01/2014,55
27/01/2014,55
28/01/2014,47
29/01/2014,39
30/01/2014,33
31/01/2014,37
01/02/2014,49
02/02/2014,57
03/02/2014,57
04/02/2014,59
05/02/2014,50
06/02/2014,65
07/02/2014,57
08/02/2014,60
09/02/2014,63
10/02/2014,56
11/02/2014,58
12/02/2014,50
13/02/2014,49
14/02/2014,47
15/02/2014,46
16/02/2014,43
17/02/2014,41
18/02/2014,40
19/02/2014,48
20/02/2014,45
21/02/2014,40
22/02/2014,51
23/02/2014,46
24/02/2014,50
25/02/2014,64
26/02/2014,69
27/02/2014,63
28/02/2014,68
01/03/2014,45
02/03/2014,58
03/03/2014,68
04/03/2014,71
05/03/2014,70
06/03/2014,69
07/03/2014,66
08/03/2014,82
09/03/2014,81
10/03/2014,94
11/03/2014,72
12/03/2014,66
13/03/2014,113
14/03/2014,157
15/03/2014,92
16/03/2014,58
17/03/2014,42
18/03/2014,37
19/03/2014,37
20/03/2014,47
21/03/2014,54
22/03/2014,76
23/03/2014,66
24/03/2014,46
25/03/2014,46
26/03/2014,49
27/03/2014,58
28/03/2014,58
29/03/2014,62
30/03/2014,51
31/03/2014,53
01/04/2014,65
02/04/2014,58
03/04/2014,56
04/04/2014,56
05/04/2014,42
06/04/2014,34
07/04/2014,39
08/04/2014,43
09/04/2014,41
11/04/2014,50
12/04/2014,32
13/04/2014,39
14/04/2014,48
15/04/2014,40
16/04/2014,36
17/04/2014,39
18/04/2014,48
19/04/2014,62
20/04/2014,50
21/04/2014,41
22/04/2014,40
23/04/2014,50
24/04/2014,44
25/04/2014,50
26/04/2014,41
27/04/2014,42
28/04/2014,38
29/04/2014,25
30/04/2014,45
01/05/2014,43
02/05/2014,41
03/05/2014,48
04/05/2014,48
05/05/2014,37
06/05/2014,33
07/05/2014,43
08/05/2014,37
09/05/2014,47
10/05/2014,34
11/05/2014,37
12/05/2014,38
13/05/2014,43
14/05/2014,38
15/05/2014,47
16/05/2014,37
17/05/2014,29
18/05/2014,31
19/05/2014,39
20/05/2014,37
21/05/2014,44
22/05/2014,42
23/05/2014,40
24/05/2014,40
25/05/2014,41
26/05/2014,40
27/05/2014,28
28/05/2014,34
29/05/2014,39
30/05/2014,34
31/05/2014,30
01/06/2014,31
02/06/2014,33
03/06/2014,32
04/06/2014,33
05/06/2014,29
06/06/2014,28
07/06/2014,27
08/06/2014,30
09/06/2014,36
10/06/2014,37
11/06/2014,42
12/06/2014,38
13/06/2014,36
14/06/2014,36
15/06/2014,36
16/06/2014,45
17/06/2014,51
18/06/2014,44
19/06/2014,55
20/06/2014,54
21/06/2014,52
22/06/2014,76
23/06/2014,94
24/06/2014,92
25/06/2014,70
26/06/2014,47
27/06/2014,52
28/06/2014,55
29/06/2014,61
30/06/2014,54
01/07/2014,40
02/07/2014,39
03/07/2014,41
04/07/2014,39
05/07/2014,29
06/07/2014,29
07/07/2014,34
08/07/2014,52
09/07/2014,56
10/07/2014,40
11/07/2014,34
12/07/2014,40
13/07/2014,46
14/07/2014,51
15/07/2014,54
16/07/2014,53
17/07/2014,66
18/07/2014,55
19/07/2014,50
20/07/2014,58
21/07/2014,56
22/07/2014,51
23/07/2014,51
24/07/2014,52
25/07/2014,55
26/07/2014,59
27/07/2014,65
28/07/2014,71
29/07/2014,79
30/07/2014,39
31/07/2014,44
01/08/2014,39
02/08/2014,31
03/08/2014,35
04/08/2014,38
05/08/2014,37
06/08/2014,32
07/08/2014,31
08/08/2014,33
09/08/2014,39
10/08/2014,33
11/08/2014,28
12/08/2014,28
13/08/2014,27
14/08/2014,32
15/08/2014,32
16/08/2014,32
17/08/2014,42
18/08/2014,39
19/08/2014,34
20/08/2014,33
21/08/2014,35
22/08/2014,39
23/08/2014,43
24/08/2014,41
25/08/2014,39
26/08/2014,30
27/08/2014,26
28/08/2014,27
29/08/2014,36
30/08/2014,44
31/08/2014,46
01/09/2014,48
02/09/2014,52
03/09/2014,43
04/09/2014,52
05/09/2014,52
06/09/2014,30
07/09/2014,39
08/09/2014,44
09/09/2014,48
10/09/2014,49
11/09/2014,51
12/09/2014,55
13/09/2014,61
14/09/2014,70
15/09/2014,43
16/09/2014,47
17/09/2014,61
18/09/2014,67
19/09/2014,71
20/09/2014,56
21/09/2014,28
22/09/2014,43
23/09/2014,53
24/09/2014,58
25/09/2014,54
26/09/2014,51
27/09/2014,58
28/09/2014,57
29/09/2014,66
30/09/2014,61
01/10/2014,57
02/10/2014,69
03/10/2014,67
04/10/2014,54
05/10/2014,28
06/10/2014,41
07/10/2014,76
08/10/2014,66
09/10/2014,72
10/10/2014,88
11/10/2014,65
12/10/2014,82
13/10/2014,68
14/10/2014,55
15/10/2014,54
16/10/2014,51
17/10/2014,37
18/10/2014,32
19/10/2014,35
20/10/2014,62
21/10/2014,60
22/10/2014,42
23/10/2014,40
24/10/2014,35
25/10/2014,45
26/10/2014,52
27/10/2014,44
28/10/2014,38
29/10/2014,46
30/10/2014,53
31/10/2014,49
01/11/2014,39
02/11/2014,26
03/11/2014,51
04/11/2014,68
05/11/2014,63
06/11/2014,48
07/11/2014,26
08/11/2014,26
09/11/2014,22
10/11/2014,23
11/11/2014,33
12/11/2014,36
13/11/2014,30
14/11/2014,28
15/11/2014,24
16/11/2014,25
17/11/2014,26
18/11/2014,28
19/11/2014,22
20/11/2014,23
21/11/2014,26
22/11/2014,29
23/11/2014,24
24/11/2014,21
25/11/2014,23
26/11/2014,24
27/11/2014,29
28/11/2014,29
29/11/2014,29
30/11/2014,25
01/12/2014,28
02/12/2014,31
03/12/2014,29
04/12/2014,33
05/12/2014,33
06/12/2014,36
07/12/2014,34
08/12/2014,28
09/12/2014,30
10/12/2014,31
11/12/2014,30
12/12/2014,34
13/12/2014,31
14/12/2014,31
15/12/2014,34
16/12/2014,29
17/12/2014,29
18/12/2014,26
19/12/2014,23
20/12/2014,44
21/12/2014,37
22/12/2014,25
23/12/2014,22
24/12/2014,28
25/12/2014,25
26/12/2014,24
27/12/2014,23
28/12/2014,24
01/01/2015,35
02/01/2015,32
03/01/2015,38
04/01/2015,39
05/01/2015,40
06/01/2015,45
07/01/2015,46
08/01/2015,26
09/01/2015,19
