Date,AQI
01/01/2014,40
02/01/2014,34
03/01/2014,32
04/01/2014,31
05/01/2014,33
06/01/2014,27
07/01/2014,20
08/01/2014,26
09/01/2014,27
10/01/2014,32
11/01/2014,38
12/01/2014,45
13/01/2014,48
14/01/2014,28
15/01/2014,24
16/01/2014,38
17/01/2014,49
18/01/2014,43
19/01/2014,37
20/01/2014,21
21/01/2014,25
22/01/2014,23
23/01/2014,25
24/01/2014,21
25/01/2014,38
26/01/2014,32
27/01/2014,43
28/01/2014,48
29/01/2014,45
30/01/2014,37
31/01/2014,31
01/02/2014,39
02/02/2014,38
03/02/2014,41
04/02/2014,37
05/02/2014,34
06/02/2014,45
07/02/2014,36
08/02/2014,37
09/02/2014,30
10/02/2014,23
11/02/2014,23
12/02/2014,25
13/02/2014,16
14/02/2014,30
15/02/2014,28
16/02/2014,23
17/02/2014,18
18/02/2014,29
19/02/2014,32
20/02/2014,40
21/02/2014,48
22/02/2014,46
23/02/2014,43
24/02/2014,27
25/02/2014,27
26/02/2014,42
27/02/2014,43
28/02/2014,42
01/03/2014,39
02/03/2014,42
03/03/2014,36
04/03/2014,39
05/03/2014,38
06/03/2014,43
07/03/2014,50
08/03/2014,51
09/03/2014,41
10/03/2014,52
11/03/2014,52
12/03/2014,43
13/03/2014,50
14/03/2014,45
15/03/2014,32
16/03/2014,29
17/03/2014,41
18/03/2014,49
19/03/2014,49
20/03/2014,40
21/03/2014,37
22/03/2014,36
23/03/2014,33
24/03/2014,47
25/03/2014,39
26/03/2014,28
27/03/2014,26
28/03/2014,18
29/03/2014,15
30/03/2014,26
31/03/2014,29
01/04/2014,30
02/04/2014,30
03/04/2014,29
04/04/2014,32
05/04/2014,38
06/04/2014,26
07/04/2014,25
08/04/2014,26
09/04/2014,26
10/04/2014,35
11/04/2014,35
12/04/2014,42
13/04/2014,45
14/04/2014,40
15/04/2014,37
16/04/2014,37
17/04/2014,38
18/04/2014,40
19/04/2014,40
20/04/2014,36
21/04/2014,33
22/04/2014,29
23/04/2014,25
24/04/2014,34
25/04/2014,38
26/04/2014,31
27/04/2014,34
28/04/2014,34
29/04/2014,31
30/04/2014,27
01/05/2014,25
02/05/2014,28
03/05/2014,25
04/05/2014,32
05/05/2014,35
06/05/2014,42
07/05/2014,42
08/05/2014,39
09/05/2014,36
10/05/2014,23
11/05/2014,34
12/05/2014,35
13/05/2014,28
14/05/2014,30
15/05/2014,26
