Date,AQI
01/01/2014,45
02/01/2014,38
03/01/2014,38
04/01/2014,49
05/01/2014,35
06/01/2014,31
07/01/2014,38
08/01/2014,36
09/01/2014,21
10/01/2014,19
11/01/2014,19
12/01/2014,17
13/01/2014,19
14/01/2014,22
15/01/2014,27
16/01/2014,34
17/01/2014,25
18/01/2014,22
19/01/2014,26
20/01/2014,33
21/01/2014,46
22/01/2014,47
23/01/2014,48
24/01/2014,45
25/01/2014,39
26/01/2014,42
27/01/2014,43
28/01/2014,23
29/01/2014,14
30/01/2014,29
31/01/2014,27
01/02/2014,32
02/02/2014,42
03/02/2014,53
04/02/2014,42
05/02/2014,48
06/02/2014,36
07/02/2014,35
08/02/2014,27
09/02/2014,34
10/02/2014,43
11/02/2014,34
12/02/2014,28
13/02/2014,33
14/02/2014,28
15/02/2014,32
16/02/2014,26
17/02/2014,23
18/02/2014,82
19/02/2014,55
22/02/2014,19
23/02/2014,29
24/02/2014,27
25/02/2014,28
26/02/2014,23
27/02/2014,23
28/02/2014,17
01/03/2014,15
02/03/2014,18
03/03/2014,24
04/03/2014,27
05/03/2014,24
06/03/2014,27
07/03/2014,24
08/03/2014,28
09/03/2014,28
10/03/2014,33
11/03/2014,37
12/03/2014,28
13/03/2014,26
14/03/2014,25
15/03/2014,18
16/03/2014,23
17/03/2014,21
18/03/2014,18
19/03/2014,23
20/03/2014,27
21/03/2014,28
22/03/2014,24
23/03/2014,23
24/03/2014,26
25/03/2014,24
26/03/2014,24
27/03/2014,23
28/03/2014,19
29/03/2014,16
30/03/2014,16
31/03/2014,18
01/04/2014,25
02/04/2014,23
03/04/2014,23
04/04/2014,25
05/04/2014,22
06/04/2014,21
07/04/2014,26
08/04/2014,23
09/04/2014,24
10/04/2014,22
11/04/2014,23
12/04/2014,20
13/04/2014,24
14/04/2014,26
15/04/2014,30
16/04/2014,27
17/04/2014,34
18/04/2014,32
19/04/2014,26
20/04/2014,25
21/04/2014,23
22/04/2014,26
23/04/2014,30
24/04/2014,28
25/04/2014,25
26/04/2014,24
27/04/2014,22
28/04/2014,27
29/04/2014,28
30/04/2014,31
01/05/2014,24
02/05/2014,29
03/05/2014,30
04/05/2014,32
05/05/2014,24
09/05/2014,36
10/05/2014,31
11/05/2014,29
12/05/2014,34
13/05/2014,32
14/05/2014,27
15/05/2014,27
16/05/2014,33
17/05/2014,25
18/05/2014,25
19/05/2014,22
20/05/2014,21
21/05/2014,25
22/05/2014,30
23/05/2014,28
24/05/2014,33
25/05/2014,31
26/05/2014,27
27/05/2014,26
28/05/2014,27
29/05/2014,29
30/05/2014,28
31/05/2014,30
01/06/2014,26
02/06/2014,25
03/06/2014,23
04/06/2014,27
05/06/2014,29
06/06/2014,24
07/06/2014,21
08/06/2014,24
09/06/2014,25
10/06/2014,31
11/06/2014,34
12/06/2014,30
13/06/2014,37
14/06/2014,31
15/06/2014,36
16/06/2014,35
17/06/2014,36
18/06/2014,38
19/06/2014,41
20/06/2014,50
21/06/2014,46
22/06/2014,38
23/06/2014,37
24/06/2014,46
25/06/2014,55
26/06/2014,47
27/06/2014,37
28/06/2014,29
29/06/2014,34
30/06/2014,41
01/07/2014,31
02/07/2014,28
03/07/2014,29
04/07/2014,25
05/07/2014,31
06/07/2014,36
07/07/2014,31
08/07/2014,29
09/07/2014,35
10/07/2014,35
11/07/2014,29
12/07/2014,30
13/07/2014,34
14/07/2014,36
15/07/2014,39
16/07/2014,32
17/07/2014,38
18/07/2014,35
19/07/2014,39
20/07/2014,47
21/07/2014,45
22/07/2014,39
23/07/2014,39
24/07/2014,39
25/07/2014,45
26/07/2014,35
27/07/2014,43
28/07/2014,59
29/07/2014,40
30/07/2014,29
31/07/2014,28
01/08/2014,29
02/08/2014,37
03/08/2014,30
04/08/2014,32
05/08/2014,34
06/08/2014,36
07/08/2014,33
08/08/2014,31
09/08/2014,26
10/08/2014,24
11/08/2014,23
14/08/2014,33
15/08/2014,29
16/08/2014,31
17/08/2014,35
18/08/2014,45
19/08/2014,35
20/08/2014,30
21/08/2014,30
22/08/2014,42
23/08/2014,42
24/08/2014,38
25/08/2014,33
26/08/2014,37
27/08/2014,24
28/08/2014,25
29/08/2014,35
30/08/2014,40
31/08/2014,28
01/09/2014,25
02/09/2014,33
03/09/2014,40
04/09/2014,46
05/09/2014,33
06/09/2014,27
07/09/2014,41
08/09/2014,51
09/09/2014,47
10/09/2014,36
11/09/2014,45
12/09/2014,53
13/09/2014,48
14/09/2014,55
15/09/2014,56
16/09/2014,50
17/09/2014,50
18/09/2014,80
19/09/2014,100
20/09/2014,55
21/09/2014,26
22/09/2014,34
23/09/2014,43
24/09/2014,43
25/09/2014,42
26/09/2014,22
27/09/2014,16
28/09/2014,22
29/09/2014,28
30/09/2014,34
01/10/2014,40
02/10/2014,27
03/10/2014,33
04/10/2014,27
05/10/2014,16
06/10/2014,25
07/10/2014,37
08/10/2014,50
09/10/2014,43
10/10/2014,33
11/10/2014,37
12/10/2014,19
13/10/2014,24
14/10/2014,24
15/10/2014,22
16/10/2014,26
17/10/2014,20
19/10/2014,32
20/10/2014,28
21/10/2014,27
22/10/2014,24
23/10/2014,22
24/10/2014,17
25/10/2014,21
26/10/2014,26
27/10/2014,27
28/10/2014,30
29/10/2014,31
30/10/2014,24
31/10/2014,32
01/11/2014,23
02/11/2014,22
03/11/2014,40
04/11/2014,67
05/11/2014,50
06/11/2014,36
07/11/2014,25
08/11/2014,28
09/11/2014,27
10/11/2014,30
11/11/2014,38
12/11/2014,36
13/11/2014,25
14/11/2014,18
15/11/2014,16
16/11/2014,22
17/11/2014,18
18/11/2014,14
19/11/2014,18
20/11/2014,26
21/11/2014,23
22/11/2014,25
23/11/2014,27
24/11/2014,22
25/11/2014,18
26/11/2014,21
27/11/2014,22
28/11/2014,28
29/11/2014,23
30/11/2014,28
01/12/2014,29
02/12/2014,28
03/12/2014,25
04/12/2014,22
05/12/2014,23
06/12/2014,25
