Date,AQI
01/01/2014,31
02/01/2014,34
03/01/2014,33
04/01/2014,35
05/01/2014,27
06/01/2014,28
07/01/2014,24
08/01/2014,25
09/01/2014,23
10/01/2014,26
11/01/2014,31
12/01/2014,33
13/01/2014,32
14/01/2014,33
15/01/2014,41
16/01/2014,44
17/01/2014,46
18/01/2014,39
19/01/2014,33
20/01/2014,32
21/01/2014,28
22/01/2014,36
23/01/2014,31
24/01/2014,25
25/01/2014,32
26/01/2014,31
27/01/2014,35
28/01/2014,35
29/01/2014,34
30/01/2014,33
31/01/2014,31
01/02/2014,31
02/02/2014,41
03/02/2014,32
04/02/2014,29
05/02/2014,27
06/02/2014,36
07/02/2014,39
08/02/2014,32
09/02/2014,28
10/02/2014,28
11/02/2014,26
12/02/2014,24
13/02/2014,24
14/02/2014,24
15/02/2014,29
16/02/2014,31
17/02/2014,28
18/02/2014,44
19/02/2014,39
20/02/2014,39
21/02/2014,39
22/02/2014,39
23/02/2014,38
24/02/2014,33
25/02/2014,35
26/02/2014,37
27/02/2014,43
28/02/2014,38
01/03/2014,39
02/03/2014,39
03/03/2014,36
04/03/2014,30
05/03/2014,33
06/03/2014,39
07/03/2014,44
08/03/2014,49
09/03/2014,49
10/03/2014,49
11/03/2014,51
12/03/2014,48
13/03/2014,48
14/03/2014,46
15/03/2014,37
16/03/2014,38
17/03/2014,44
18/03/2014,52
19/03/2014,55
20/03/2014,51
21/03/2014,48
22/03/2014,44
23/03/2014,47
24/03/2014,49
25/03/2014,44
26/03/2014,36
27/03/2014,38
28/03/2014,37
29/03/2014,38
30/03/2014,36
31/03/2014,42
01/04/2014,41
02/04/2014,45
03/04/2014,35
04/04/2014,42
05/04/2014,42
06/04/2014,49
07/04/2014,43
08/04/2014,51
09/04/2014,52
10/04/2014,42
11/04/2014,43
12/04/2014,46
13/04/2014,45
14/04/2014,49
15/04/2014,45
16/04/2014,34
17/04/2014,52
18/04/2014,45
19/04/2014,39
20/04/2014,53
21/04/2014,47
22/04/2014,35
23/04/2014,34
24/04/2014,38
25/04/2014,32
26/04/2014,35
27/04/2014,37
28/04/2014,38
29/04/2014,38
30/04/2014,45
01/05/2014,46
02/05/2014,46
03/05/2014,38
04/05/2014,47
05/05/2014,44
06/05/2014,39
07/05/2014,33
08/05/2014,35
09/05/2014,31
10/05/2014,23
11/05/2014,22
12/05/2014,24
13/05/2014,20
14/05/2014,24
15/05/2014,30
16/05/2014,26
17/05/2014,23
18/05/2014,21
19/05/2014,27
20/05/2014,19
21/05/2014,21
22/05/2014,26
23/05/2014,25
24/05/2014,27
25/05/2014,22
26/05/2014,19
27/05/2014,25
28/05/2014,23
29/05/2014,25
30/05/2014,19
31/05/2014,34
01/06/2014,21
02/06/2014,21
03/06/2014,24
04/06/2014,23
05/06/2014,21
06/06/2014,30
07/06/2014,28
08/06/2014,24
09/06/2014,25
10/06/2014,24
11/06/2014,31
12/06/2014,24
13/06/2014,26
14/06/2014,22
15/06/2014,32
16/06/2014,27
17/06/2014,26
18/06/2014,44
19/06/2014,35
20/06/2014,29
21/06/2014,34
22/06/2014,39
23/06/2014,41
25/06/2014,46
26/06/2014,51
27/06/2014,48
28/06/2014,29
29/06/2014,31
30/06/2014,24
01/07/2014,30
02/07/2014,22
03/07/2014,29
04/07/2014,21
05/07/2014,28
06/07/2014,34
07/07/2014,25
08/07/2014,18
09/07/2014,26
10/07/2014,20
11/07/2014,22
12/07/2014,25
13/07/2014,21
14/07/2014,20
15/07/2014,26
16/07/2014,44
17/07/2014,32
18/07/2014,36
19/07/2014,39
20/07/2014,33
21/07/2014,40
22/07/2014,37
23/07/2014,37
24/07/2014,39
25/07/2014,50
26/07/2014,56
27/07/2014,55
28/07/2014,55
29/07/2014,51
30/07/2014,47
31/07/2014,52
01/08/2014,42
02/08/2014,38
03/08/2014,31
04/08/2014,40
05/08/2014,39
06/08/2014,32
07/08/2014,27
08/08/2014,19
09/08/2014,21
10/08/2014,21
11/08/2014,21
12/08/2014,21
13/08/2014,18
14/08/2014,15
15/08/2014,24
16/08/2014,21
17/08/2014,15
18/08/2014,17
19/08/2014,29
20/08/2014,23
21/08/2014,30
22/08/2014,23
23/08/2014,21
24/08/2014,24
25/08/2014,29
26/08/2014,21
27/08/2014,17
28/08/2014,18
29/08/2014,20
30/08/2014,20
31/08/2014,25
01/09/2014,35
02/09/2014,26
03/09/2014,19
04/09/2014,23
05/09/2014,22
06/09/2014,30
07/09/2014,30
08/09/2014,19
09/09/2014,27
10/09/2014,39
11/09/2014,49
12/09/2014,33
13/09/2014,33
14/09/2014,45
15/09/2014,34
16/09/2014,27
17/09/2014,28
18/09/2014,28
19/09/2014,39
20/09/2014,32
21/09/2014,26
22/09/2014,25
23/09/2014,21
24/09/2014,17
25/09/2014,22
26/09/2014,19
27/09/2014,25
28/09/2014,31
29/09/2014,31
30/09/2014,27
01/10/2014,26
02/10/2014,31
03/10/2014,36
04/10/2014,39
05/10/2014,30
06/10/2014,28
07/10/2014,21
08/10/2014,24
09/10/2014,27
10/10/2014,25
11/10/2014,27
12/10/2014,25
13/10/2014,29
14/10/2014,33
15/10/2014,25
16/10/2014,29
17/10/2014,27
18/10/2014,25
19/10/2014,26
20/10/2014,26
21/10/2014,30
22/10/2014,27
23/10/2014,25
24/10/2014,26
25/10/2014,23
26/10/2014,26
27/10/2014,21
28/10/2014,21
29/10/2014,22
30/10/2014,21
31/10/2014,33
01/11/2014,41
02/11/2014,26
03/11/2014,36
04/11/2014,22
05/11/2014,24
06/11/2014,19
07/11/2014,23
08/11/2014,21
09/11/2014,19
10/11/2014,21
11/11/2014,24
12/11/2014,21
13/11/2014,24
14/11/2014,23
15/11/2014,26
16/11/2014,22
17/11/2014,25
18/11/2014,24
19/11/2014,22
20/11/2014,19
21/11/2014,27
22/11/2014,21
23/11/2014,17
24/11/2014,17
25/11/2014,21
26/11/2014,20
27/11/2014,20
28/11/2014,26
29/11/2014,29
30/11/2014,29
01/12/2014,27
02/12/2014,31
03/12/2014,41
04/12/2014,37
05/12/2014,37
06/12/2014,29
07/12/2014,41
08/12/2014,40
09/12/2014,41
10/12/2014,49
11/12/2014,43
12/12/2014,34
13/12/2014,38
14/12/2014,34
15/12/2014,33
16/12/2014,33
17/12/2014,31
18/12/2014,30
19/12/2014,29
20/12/2014,32
21/12/2014,33
22/12/2014,29
23/12/2014,32
24/12/2014,29
25/12/2014,26
26/12/2014,31
27/12/2014,29
28/12/2014,31
01/01/2015,32
02/01/2015,25
03/01/2015,29
04/01/2015,42
05/01/2015,38
06/01/2015,31
07/01/2015,31
08/01/2015,29
09/01/2015,30
10/01/2015,29
11/01/2015,36
12/01/2015,28
13/01/2015,30
14/01/2015,28
15/01/2015,28
16/01/2015,32
17/01/2015,38
18/01/2015,41
19/01/2015,32
20/01/2015,26
21/01/2015,26
22/01/2015,28
23/01/2015,37
24/01/2015,35
25/01/2015,32
26/01/2015,35
27/01/2015,35
28/01/2015,30
29/01/2015,32
30/01/2015,30
31/01/2015,30
01/02/2015,29
02/02/2015,34
03/02/2015,32
04/02/2015,33
05/02/2015,35
06/02/2015,32
07/02/2015,30
08/02/2015,32
09/02/2015,30
10/02/2015,31
11/02/2015,32
12/02/2015,30
13/02/2015,29
14/02/2015,29
15/02/2015,31
16/02/2015,29
17/02/2015,29
18/02/2015,35
19/02/2015,37
20/02/2015,37
21/02/2015,39
22/02/2015,38
23/02/2015,41
24/02/2015,40
25/02/2015,37
26/02/2015,38
27/02/2015,35
28/02/2015,34
01/03/2015,37
02/03/2015,38
03/03/2015,37
04/03/2015,35
05/03/2015,32
06/03/2015,31
07/03/2015,29
08/03/2015,30
09/03/2015,38
10/03/2015,35
11/03/2015,34
12/03/2015,34
13/03/2015,40
14/03/2015,46
15/03/2015,46
16/03/2015,50
17/03/2015,42
18/03/2015,37
19/03/2015,39
20/03/2015,41
21/03/2015,34
22/03/2015,34
23/03/2015,39
24/03/2015,37
25/03/2015,41
26/03/2015,40
27/03/2015,44
28/03/2015,40
29/03/2015,46
30/03/2015,47
31/03/2015,48
02/04/2015,42
03/04/2015,42
04/04/2015,42
05/04/2015,40
06/04/2015,38
07/04/2015,39
08/04/2015,39
09/04/2015,43
10/04/2015,42
11/04/2015,42
12/04/2015,43
13/04/2015,36
14/04/2015,36
15/04/2015,36
16/04/2015,39
17/04/2015,46
18/04/2015,43
19/04/2015,42
20/04/2015,35
21/04/2015,37
22/04/2015,36
23/04/2015,37
24/04/2015,42
25/04/2015,44
26/04/2015,39
27/04/2015,40
28/04/2015,36
29/04/2015,35
30/04/2015,30
01/05/2015,32
02/05/2015,32
03/05/2015,45
04/05/2015,37
05/05/2015,41
06/05/2015,45
07/05/2015,44
08/05/2015,42
09/05/2015,37
10/05/2015,51
11/05/2015,41
12/05/2015,40
13/05/2015,40
14/05/2015,40
15/05/2015,47
16/05/2015,39
17/05/2015,44
18/05/2015,42
19/05/2015,39
20/05/2015,45
21/05/2015,41
22/05/2015,36
23/05/2015,35
24/05/2015,33
25/05/2015,32
26/05/2015,37
27/05/2015,39
28/05/2015,47
29/05/2015,52
30/05/2015,49
31/05/2015,48
01/06/2015,39
02/06/2015,45
03/06/2015,42
04/06/2015,52
05/06/2015,47
06/06/2015,41
07/06/2015,45
08/06/2015,45
09/06/2015,38
10/06/2015,34
11/06/2015,39
12/06/2015,36
