date,aqi
2014-01-01, 35
2014-01-02, 39
2014-01-03, 37
2014-01-04, 28
2014-01-05, 25
2014-01-06, 16
2014-01-07, 35
2014-01-08, 39
2014-01-09, 31
2014-01-10, 30
2014-01-11, 24
2014-01-12, 22
2014-01-13, 31
2014-01-14, 39
2014-01-15, 42
2014-01-16, 48
2014-01-17, 43
2014-01-18, 34
2014-01-19, 35
2014-01-20, 38
2014-01-21, 41
2014-01-22, 48
2014-01-23, 52
2014-01-24, 53
2014-01-25, 52
2014-01-26, 52
2014-01-27, 48
2014-01-28, 43
2014-01-29, 37
2014-01-30, 34
2014-01-31, 35
2014-02-01, 35
2014-02-02, 33
2014-02-03, 35
2014-02-04, 41
2014-02-05, 43
2014-02-06, 37
2014-02-07, 34
2014-02-08, 44
2014-02-09, 45
2014-02-10, 45
2014-02-11, 40
2014-02-12, 34
2014-02-13, 47
2014-02-14, 38
2014-02-15, 39
2014-02-16, 44
2014-02-17, 40
2014-02-18, 38
2014-02-19, 39
2014-02-20, 45
2014-02-21, 41
2014-02-22, 41
2014-02-23, 40
2014-02-24, 46
2014-02-25, 54
2014-02-26, 41
2014-02-27, 34
2014-02-28, 36
2014-03-01, 37
2014-03-02, 38
2014-03-03, 37
2014-03-04, 49
2014-03-05, 49
2014-03-06, 41
2014-03-07, 51
2014-03-08, 46
2014-03-09, 43
2014-03-10, 45
2014-03-11, 43
2014-03-12, 42
2014-03-13, 54
2014-03-14, 51
2014-03-15, 39
2014-03-16, 43
2014-03-17, 21
2014-03-18, 30
2014-03-19, 30
2014-03-20, 34
2014-03-21, 37
2014-03-22, 41
2014-03-23, 46
2014-03-24, 36
2014-03-25, 38
2014-03-26, 33
2014-03-27, 38
2014-03-28, 39
2014-03-29, 46
2014-03-30, 41
2014-03-31, 39
2014-04-01, 50
2014-04-02, 48
2014-04-03, 47
2014-04-04, 45
2014-04-05, 47
2014-04-06, 31
2014-04-07, 30
2014-04-08, 41
2014-04-09, 39
2014-04-10, 39
2014-04-11, 40
2014-04-12, 38
2014-04-13, 46
2014-04-14, 46
2014-04-15, 42
2014-04-16, 42
2014-04-17, 47
2014-04-18, 51
2014-04-19, 50
2014-04-20, 49
2014-04-21, 40
2014-04-22, 41
2014-04-23, 42
2014-04-24, 46
2014-04-25, 55
2014-04-26, 50
2014-04-27, 51
2014-04-28, 46
2014-04-29, 41
2014-04-30, 49
2014-05-01, 41
2014-05-02, 36
2014-05-03, 42
2014-05-04, 37
2014-05-05, 35
2014-05-06, 37
2014-05-07, 34
2014-05-08, 31
2014-05-09, 47
2014-05-10, 53
2014-05-11, 51
2014-05-12, 42
2014-05-13, 45
2014-05-14, 44
2014-05-15, 35
2014-05-16, 41
2014-05-17, 41
2014-05-18, 31
2014-05-19, 34
2014-05-20, 32
2014-05-21, 39
2014-05-22, 43
2014-05-23, 31
2014-05-24, 37
2014-05-25, 36
2014-05-26, 35
2014-05-27, 37
2014-05-28, 29
2014-05-29, 44
2014-05-30, 43
2014-05-31, 36
2014-06-01, 30
2014-06-02, 32
2014-06-03, 43
2014-06-04, 47
2014-06-05, 34
2014-06-06, 28
2014-06-07, 30
2014-06-08, 28
2014-06-09, 31
2014-06-10, 42
2014-06-11, 49
2014-06-12, 35
2014-06-13, 42
2014-06-14, 33
2014-06-15, 35
2014-06-16, 35
2014-06-17, 36
2014-06-18, 30
2014-06-19, 30
2014-06-20, 36
2014-06-21, 35
2014-06-22, 46
2014-06-23, 46
2014-06-24, 51
2014-06-25, 41
2014-06-26, 32
2014-06-27, 36
2014-06-28, 39
2014-06-29, 41
2014-06-30, 39
2014-07-01, 36
2014-07-02, 43
2014-07-03, 43
2014-07-04, 47
2014-07-05, 43
2014-07-06, 39
2014-07-07, 34
2014-07-08, 29
2014-07-09, 35
2014-07-10, 34
2014-07-11, 39
2014-07-12, 36
2014-07-13, 35
2014-07-14, 35
2014-07-15, 45
2014-07-16, 52
2014-07-17, 53
2014-07-18, 44
2014-07-19, 45
2014-07-20, 48
2014-07-21, 40
2014-07-22, 34
2014-07-23, 41
2014-07-24, 43
2014-07-25, 49
2014-07-26, 51
2014-07-27, 42
2014-07-28, 46
2014-07-29, 35
2014-07-30, 34
2014-07-31, 30
2014-08-01, 28
2014-08-02, 26
2014-08-03, 45
2014-08-04, 48
2014-08-05, 42
2014-08-06, 39
2014-08-07, 41
2014-08-08, 42
2014-08-09, 34
2014-08-10, 29
2014-08-11, 29
2014-08-12, 37
2014-08-13, 36
2014-08-14, 34
2014-08-15, 27
2014-08-16, 42
2014-08-17, 56
2014-08-18, 45
2014-08-19, 49
2014-08-20, 50
2014-08-21, 52
2014-08-22, 53
2014-08-23, 42
2014-08-24, 36
2014-08-25, 40
2014-08-26, 45
2014-08-27, 38
2014-08-28, 27
2014-08-29, 32
2014-08-30, 39
2014-08-31, 43
2014-09-01, 44
2014-09-02, 50
2014-09-03, 54
2014-09-04, 55
2014-09-05, 53
2014-09-06, 33
2014-09-07, 34
2014-09-08, 49
2014-09-09, 50
2014-09-10, 52
2014-09-11, 56
2014-09-12, 54
2014-09-13, 54
2014-09-14, 57
2014-09-15, 84
2014-09-16, 63
2014-09-17, 51
2014-09-18, 69
2014-09-19, 71
2014-09-20, 57
2014-09-21, 35
2014-09-22, 61
2014-09-23, 53
2014-09-24, 54
2014-09-25, 44
2014-09-26, 54
2014-09-27, 63
2014-09-28, 65
2014-09-29, 64
2014-09-30, 62
2014-10-01, 64
2014-10-02, 57
2014-10-03, 62
2014-10-04, 56
2014-10-05, 35
2014-10-06, 40
2014-10-07, 78
2014-10-08, 62
2014-10-09, 65
2014-10-10, 58
2014-10-11, 59
2014-10-12, 66
2014-10-13, 63
2014-10-14, 55
2014-10-15, 60
2014-10-16, 55
2014-10-17, 52
2014-10-18, 51
2014-10-19, 68
2014-10-20, 77
2014-10-21, 72
2014-10-22, 55
2014-10-23, 60
2014-10-24, 65
2014-10-25, 64
2014-10-26, 58
2014-10-27, 53
2014-10-28, 50
2014-10-29, 64
2014-10-30, 60
2014-10-31, 62
2014-11-01, 57
2014-11-02, 62
2014-11-03, 82
2014-11-04, 68
2014-11-05, 62
2014-11-06, 58
2014-11-07, 41
2014-11-08, 40
2014-11-09, 37
2014-11-10, 50
2014-11-11, 56
2014-11-12, 58
2014-11-13, 52
2014-11-14, 31
2014-11-15, 36
2014-11-16, 36
2014-11-17, 36
2014-11-18, 38
2014-11-19, 36
2014-11-20, 32
2014-11-21, 32
2014-11-22, 40
2014-11-23, 37
2014-11-24, 35
2014-11-25, 32
2014-11-26, 34
2014-11-27, 33
2014-11-28, 41
2014-11-29, 34
2014-11-30, 37
2014-12-01, 44
2014-12-02, 45
2014-12-03, 47
2014-12-04, 51
2014-12-05, 56
2014-12-06, 47
2014-12-07, 41
2014-12-08, 32
2014-12-09, 39
2014-12-10, 45
2014-12-11, 51
2014-12-12, 43
2014-12-13, 38
2014-12-14, 41
2014-12-15, 32
2014-12-16, 32
2014-12-17, 36
2014-12-18, 32
2014-12-19, 26
2014-12-20, 27
2014-12-21, 30
2014-12-22, 24
2014-12-23, 30
2014-12-24, 29
2014-12-25, 38
2014-12-26, 35
2014-12-27, 28
2014-12-28, 24
2015-01-01, 50
2015-01-02, 54
2015-01-03, 54
2015-01-04, 42
2015-01-05, 31
2015-01-06, 36
2015-01-07, 36
2015-01-08, 32
2015-01-09, 26
2015-01-10, 29
2015-01-11, 36
2015-01-12, 36
2015-01-13, 40
2015-01-14, 41
2015-01-15, 41
2015-01-16, 47
2015-01-17, 48
2015-01-18, 47
2015-01-19, 50
2015-01-20, 55
2015-01-21, 59
2015-01-22, 57
2015-01-23, 58
2015-01-24, 55
2015-01-25, 61
2015-01-26, 60
2015-01-27, 55
2015-01-28, 49
2015-01-29, 49
2015-01-30, 43
2015-01-31, 48
2015-02-01, 46
2015-02-02, 49
2015-02-03, 49
2015-02-04, 35
2015-02-05, 46
2015-02-06, 47
2015-02-07, 48
2015-02-08, 53
2015-02-09, 51
2015-02-10, 52
2015-02-11, 55
2015-02-12, 58
2015-02-13, 56
2015-02-14, 58
2015-02-15, 57
2015-02-16, 54
2015-02-17, 54
2015-02-18, 46
2015-02-19, 38
2015-02-20, 32
2015-02-21, 44
2015-02-22, 46
2015-02-23, 42
2015-02-24, 44
2015-02-25, 47
2015-02-26, 50
2015-02-27, 54
2015-02-28, 51
2015-03-01, 41
2015-03-02, 42
2015-03-03, 51
2015-03-04, 54
2015-03-05, 56
2015-03-06, 58
2015-03-07, 54
2015-03-08, 49
2015-03-09, 46
2015-03-10, 46
2015-03-11, 48
2015-03-12, 46
2015-03-13, 50
2015-03-14, 47
2015-03-15, 44
2015-03-16, 50
2015-03-17, 57
2015-03-18, 63
2015-03-19, 60
2015-03-20, 70
2015-03-21, 73
2015-03-22, 63
2015-03-23, 60
2015-03-24, 57
2015-03-25, 55
2015-03-26, 54
2015-03-27, 53
2015-03-28, 51
2015-03-29, 52
2015-03-30, 49
2015-03-31, 54
2015-04-01, 52
2015-04-02, 48
2015-04-03, 53
2015-04-04, 59
2015-04-05, 65
2015-04-06, 62
2015-04-07, 58
2015-04-08, 47
2015-04-09, 47
2015-04-10, 45
2015-04-11, 45
2015-04-12, 56
2015-04-13, 52
2015-04-14, 52
2015-04-15, 47
2015-04-16, 48
2015-04-17, 51
2015-04-18, 55
2015-04-19, 55
2015-04-20, 51
2015-04-21, 65
2015-04-22, 56
2015-04-23, 48
2015-04-24, 50
2015-04-25, 51
2015-04-26, 46
2015-04-27, 44
2015-04-28, 54
2015-04-29, 50
2015-04-30, 53
2015-05-01, 52
2015-05-02, 45
2015-05-03, 40
2015-05-04, 44
2015-05-05, 58
2015-05-06, 64
2015-05-07, 63
2015-05-10, 23
2015-05-11, 34
2015-05-12, 38
2015-05-13, 42
2015-05-14, 45
2015-05-15, 39
2015-05-16, 44
2015-05-17, 36
2015-05-18, 40
2015-05-19, 50
2015-05-20, 48
2015-05-21, 41
2015-05-22, 47
2015-05-23, 46
2015-05-24, 49
2015-05-25, 48
2015-05-26, 53
2015-05-27, 44
2015-05-28, 50
2015-05-29, 46
2015-05-30, 34
2015-05-31, 38
2015-06-01, 35
2015-06-02, 48
2015-06-03, 41
2015-06-04, 39
2015-06-05, 37
2015-06-06, 42
2015-06-07, 38
2015-06-08, 40
2015-06-09, 45
2015-06-10, 30
2015-06-11, 38
2015-06-12, 45
2015-06-13, 27
2015-06-14, 28
2015-06-15, 36
2015-06-16, 44
2015-06-17, 51
2015-06-18, 51
2015-06-19, 37
2015-06-20, 31
2015-06-21, 32
2015-06-22, 36
2015-06-23, 39
2015-06-24, 43
2015-06-25, 47
2015-06-26, 44
2015-06-27, 43
2015-06-28, 33
2015-06-29, 46
2015-06-30, 54
2015-07-01, 50
2015-07-02, 52
2015-07-03, 55
2015-07-04, 46
2015-07-05, 50
2015-07-06, 53
2015-07-07, 54
2015-07-08, 55
2015-07-09, 57
2015-07-10, 54
2015-07-11, 53
2015-07-12, 49
2015-07-13, 52
2015-07-14, 45
2015-07-15, 36
2015-07-16, 43
2015-07-17, 57
2015-07-18, 43
2015-07-19, 41
2015-07-20, 43
2015-07-21, 41
2015-07-22, 48
2015-07-23, 44
2015-07-24, 51
2015-07-25, 49
2015-07-26, 45
2015-07-27, 45
2015-07-28, 54
2015-07-29, 42
2015-07-30, 49
2015-07-31, 51
2015-08-01, 47
2015-08-02, 47
2015-08-03, 39
2015-08-04, 42
2015-08-05, 50
2015-08-06, 49
2015-08-07, 50
2015-08-08, 51
2015-08-09, 47
2015-08-10, 48
2015-08-11, 48
2015-08-12, 46
2015-08-13, 53
2015-08-14, 52
2015-08-15, 49
2015-08-16, 48
2015-08-17, 48
2015-08-18, 57
2015-08-20, 66
2015-08-21, 64
2015-08-22, 56
2015-08-23, 61
2015-08-24, 60
2015-08-25, 64
2015-08-26, 71
2015-08-27, 62
2015-08-28, 58
2015-08-29, 57
2015-08-30, 55
2015-08-31, 49
2015-09-01, 54
