Date,AQI
01/01/2014,45
02/01/2014,43
03/01/2014,40
04/01/2014,33
05/01/2014,22
06/01/2014,24
07/01/2014,41
08/01/2014,39
09/01/2014,28
10/01/2014,29
11/01/2014,21
12/01/2014,29
13/01/2014,37
14/01/2014,42
15/01/2014,44
16/01/2014,49
17/01/2014,45
18/01/2014,37
19/01/2014,38
20/01/2014,41
21/01/2014,41
22/01/2014,45
23/01/2014,51
24/01/2014,52
25/01/2014,50
26/01/2014,49
27/01/2014,40
28/01/2014,34
29/01/2014,33
30/01/2014,31
31/01/2014,32
01/02/2014,32
02/02/2014,28
03/02/2014,24
04/02/2014,33
05/02/2014,38
06/02/2014,28
07/02/2014,24
08/02/2014,32
09/02/2014,32
10/02/2014,34
11/02/2014,31
12/02/2014,26
13/02/2014,31
14/02/2014,31
15/02/2014,37
16/02/2014,45
17/02/2014,38
18/02/2014,34
19/02/2014,29
20/02/2014,28
21/02/2014,30
22/02/2014,33
23/02/2014,36
24/02/2014,39
25/02/2014,35
26/02/2014,33
27/02/2014,28
28/02/2014,30
01/03/2014,28
02/03/2014,29
03/03/2014,33
04/03/2014,37
05/03/2014,40
06/03/2014,31
07/03/2014,47
08/03/2014,39
09/03/2014,30
10/03/2014,31
11/03/2014,28
12/03/2014,36
13/03/2014,45
14/03/2014,38
15/03/2014,29
16/03/2014,24
17/03/2014,32
18/03/2014,37
19/03/2014,37
20/03/2014,36
21/03/2014,32
22/03/2014,31
23/03/2014,34
24/03/2014,38
25/03/2014,35
26/03/2014,33
27/03/2014,31
28/03/2014,31
29/03/2014,35
30/03/2014,43
31/03/2014,36
01/04/2014,37
02/04/2014,45
03/04/2014,50
04/04/2014,36
05/04/2014,59
06/04/2014,37
07/04/2014,27
08/04/2014,36
09/04/2014,40
10/04/2014,35
11/04/2014,31
12/04/2014,28
13/04/2014,37
14/04/2014,33
15/04/2014,40
16/04/2014,35
17/04/2014,34
18/04/2014,43
19/04/2014,47
20/04/2014,42
21/04/2014,38
22/04/2014,33
23/04/2014,38
24/04/2014,37
25/04/2014,41
26/04/2014,26
27/04/2014,37
28/04/2014,37
29/04/2014,38
30/04/2014,45
01/05/2014,49
02/05/2014,32
03/05/2014,44
04/05/2014,45
05/05/2014,35
06/05/2014,33
07/05/2014,31
08/05/2014,29
09/05/2014,39
10/05/2014,49
11/05/2014,39
12/05/2014,45
13/05/2014,43
14/05/2014,47
15/05/2014,52
16/05/2014,36
17/05/2014,40
18/05/2014,40
19/05/2014,40
20/05/2014,31
21/05/2014,34
22/05/2014,44
23/05/2014,31
24/05/2014,32
25/05/2014,32
26/05/2014,37
27/05/2014,47
28/05/2014,37
29/05/2014,26
30/05/2014,44
31/05/2014,53
01/06/2014,32
02/06/2014,43
03/06/2014,41
04/06/2014,44
05/06/2014,32
06/06/2014,30
07/06/2014,34
08/06/2014,32
09/06/2014,38
10/06/2014,43
11/06/2014,38
12/06/2014,34
13/06/2014,36
14/06/2014,32
15/06/2014,37
16/06/2014,34
17/06/2014,30
18/06/2014,30
19/06/2014,33
20/06/2014,29
21/06/2014,29
22/06/2014,43
23/06/2014,49
24/06/2014,52
25/06/2014,36
26/06/2014,30
27/06/2014,34
28/06/2014,35
29/06/2014,32
30/06/2014,38
01/07/2014,35
02/07/2014,36
03/07/2014,38
04/07/2014,40
05/07/2014,36
06/07/2014,39
07/07/2014,38
08/07/2014,37
09/07/2014,38
10/07/2014,28
11/07/2014,33
12/07/2014,34
13/07/2014,38
14/07/2014,34
15/07/2014,42
16/07/2014,41
17/07/2014,39
18/07/2014,35
19/07/2014,35
20/07/2014,33
21/07/2014,29
22/07/2014,29
23/07/2014,34
24/07/2014,40
25/07/2014,43
26/07/2014,44
27/07/2014,37
28/07/2014,31
29/07/2014,31
30/07/2014,28
31/07/2014,26
01/08/2014,24
02/08/2014,30
03/08/2014,39
04/08/2014,41
05/08/2014,33
06/08/2014,29
07/08/2014,31
08/08/2014,33
09/08/2014,29
10/08/2014,26
11/08/2014,27
12/08/2014,33
13/08/2014,32
14/08/2014,30
15/08/2014,28
16/08/2014,38
17/08/2014,38
18/08/2014,37
19/08/2014,44
20/08/2014,47
21/08/2014,49
22/08/2014,51
23/08/2014,37
24/08/2014,37
25/08/2014,33
26/08/2014,39
27/08/2014,45
28/08/2014,39
29/08/2014,37
30/08/2014,33
31/08/2014,41
01/09/2014,41
02/09/2014,45
03/09/2014,51
04/09/2014,47
05/09/2014,59
06/09/2014,47
07/09/2014,45
08/09/2014,52
09/09/2014,47
10/09/2014,53
11/09/2014,54
12/09/2014,51
13/09/2014,50
14/09/2014,51
15/09/2014,59
16/09/2014,53
17/09/2014,50
18/09/2014,68
19/09/2014,72
20/09/2014,52
21/09/2014,42
22/09/2014,57
23/09/2014,48
24/09/2014,52
25/09/2014,44
26/09/2014,35
27/09/2014,44
28/09/2014,50
29/09/2014,50
30/09/2014,53
01/10/2014,54
02/10/2014,52
03/10/2014,58
04/10/2014,55
05/10/2014,47
06/10/2014,45
07/10/2014,66
08/10/2014,54
09/10/2014,53
10/10/2014,51
11/10/2014,55
12/10/2014,56
13/10/2014,44
14/10/2014,38
15/10/2014,42
16/10/2014,40
17/10/2014,38
18/10/2014,43
19/10/2014,52
20/10/2014,56
21/10/2014,47
22/10/2014,38
23/10/2014,59
