Date,AQI
01/01/2014,28
02/01/2014,26
03/01/2014,33
04/01/2014,37
05/01/2014,47
06/01/2014,44
07/01/2014,52
08/01/2014,48
09/01/2014,47
10/01/2014,46
11/01/2014,53
12/01/2014,26
13/01/2014,22
14/01/2014,31
15/01/2014,28
16/01/2014,39
17/01/2014,40
18/01/2014,36
19/01/2014,32
20/01/2014,35
21/01/2014,48
22/01/2014,50
23/01/2014,50
24/01/2014,61
25/01/2014,62
26/01/2014,60
27/01/2014,54
28/01/2014,45
29/01/2014,37
30/01/2014,38
31/01/2014,32
01/02/2014,44
02/02/2014,51
03/02/2014,59
04/02/2014,62
05/02/2014,61
06/02/2014,58
07/02/2014,62
08/02/2014,72
09/02/2014,69
10/02/2014,63
11/02/2014,67
12/02/2014,58
13/02/2014,52
14/02/2014,47
15/02/2014,41
16/02/2014,48
17/02/2014,45
18/02/2014,44
19/02/2014,61
20/02/2014,68
21/02/2014,45
22/02/2014,41
23/02/2014,47
24/02/2014,55
25/02/2014,71
26/02/2014,71
27/02/2014,68
28/02/2014,60
01/03/2014,45
02/03/2014,60
03/03/2014,77
04/03/2014,105
05/03/2014,81
06/03/2014,77
07/03/2014,62
08/03/2014,67
09/03/2014,104
10/03/2014,110
11/03/2014,79
12/03/2014,110
13/03/2014,152
14/03/2014,154
15/03/2014,96
16/03/2014,54
17/03/2014,32
18/03/2014,39
19/03/2014,45
20/03/2014,55
21/03/2014,70
22/03/2014,62
23/03/2014,48
24/03/2014,40
25/03/2014,40
26/03/2014,49
27/03/2014,63
28/03/2014,70
29/03/2014,72
30/03/2014,59
31/03/2014,60
01/04/2014,68
02/04/2014,68
03/04/2014,72
04/04/2014,64
05/04/2014,53
06/04/2014,34
07/04/2014,50
08/04/2014,57
09/04/2014,54
10/04/2014,57
11/04/2014,56
12/04/2014,46
13/04/2014,56
14/04/2014,65
15/04/2014,55
16/04/2014,56
17/04/2014,57
18/04/2014,58
19/04/2014,59
20/04/2014,60
21/04/2014,63
22/04/2014,59
23/04/2014,60
24/04/2014,58
25/04/2014,53
26/04/2014,52
27/04/2014,59
28/04/2014,56
29/04/2014,57
30/04/2014,59
01/05/2014,58
02/05/2014,54
03/05/2014,64
04/05/2014,56
05/05/2014,44
06/05/2014,28
07/05/2014,37
08/05/2014,37
09/05/2014,48
10/05/2014,53
11/05/2014,53
12/05/2014,52
13/05/2014,54
14/05/2014,52
15/05/2014,53
16/05/2014,47
17/05/2014,44
18/05/2014,44
19/05/2014,46
20/05/2014,45
21/05/2014,45
22/05/2014,56
23/05/2014,49
24/05/2014,42
25/05/2014,45
26/05/2014,41
27/05/2014,46
28/05/2014,47
29/05/2014,48
30/05/2014,49
31/05/2014,40
01/06/2014,44
02/06/2014,41
03/06/2014,49
04/06/2014,53
05/06/2014,42
06/06/2014,39
07/06/2014,37
08/06/2014,27
09/06/2014,43
10/06/2014,48
11/06/2014,46
12/06/2014,51
13/06/2014,49
14/06/2014,48
15/06/2014,50
16/06/2014,54
17/06/2014,56
18/06/2014,60
19/06/2014,67
20/06/2014,73
21/06/2014,58
22/06/2014,72
23/06/2014,77
24/06/2014,98
25/06/2014,88
26/06/2014,59
27/06/2014,60
28/06/2014,74
29/06/2014,81
30/06/2014,57
01/07/2014,49
02/07/2014,56
03/07/2014,44
04/07/2014,47
05/07/2014,40
06/07/2014,37
07/07/2014,44
08/07/2014,48
09/07/2014,57
10/07/2014,55
11/07/2014,56
12/07/2014,62
13/07/2014,60
14/07/2014,54
15/07/2014,59
16/07/2014,57
17/07/2014,71
18/07/2014,65
19/07/2014,56
20/07/2014,62
21/07/2014,64
22/07/2014,65
23/07/2014,58
24/07/2014,61
25/07/2014,66
26/07/2014,70
27/07/2014,74
28/07/2014,75
29/07/2014,84
30/07/2014,50
31/07/2014,47
01/08/2014,57
02/08/2014,52
03/08/2014,38
04/08/2014,44
05/08/2014,49
06/08/2014,45
07/08/2014,39
08/08/2014,38
09/08/2014,44
10/08/2014,35
11/08/2014,37
12/08/2014,39
13/08/2014,37
14/08/2014,40
15/08/2014,39
16/08/2014,39
17/08/2014,42
18/08/2014,45
19/08/2014,41
20/08/2014,49
21/08/2014,43
22/08/2014,42
23/08/2014,47
24/08/2014,41
25/08/2014,44
26/08/2014,40
27/08/2014,32
28/08/2014,41
29/08/2014,56
30/08/2014,56
31/08/2014,45
01/09/2014,40
02/09/2014,51
03/09/2014,56
04/09/2014,56
05/09/2014,57
06/09/2014,47
07/09/2014,45
08/09/2014,54
09/09/2014,60
10/09/2014,62
11/09/2014,75
12/09/2014,69
13/09/2014,74
14/09/2014,87
15/09/2014,55
16/09/2014,56
17/09/2014,76
18/09/2014,78
19/09/2014,75
20/09/2014,67
21/09/2014,37
22/09/2014,51
23/09/2014,75
24/09/2014,72
25/09/2014,64
26/09/2014,59
27/09/2014,70
28/09/2014,62
29/09/2014,83
30/09/2014,81
01/10/2014,81
02/10/2014,86
03/10/2014,90
04/10/2014,84
05/10/2014,40
06/10/2014,32
07/10/2014,68
08/10/2014,76
09/10/2014,90
10/10/2014,119
11/10/2014,71
12/10/2014,79
13/10/2014,72
14/10/2014,60
15/10/2014,71
16/10/2014,57
17/10/2014,45
18/10/2014,38
19/10/2014,49
20/10/2014,73
21/10/2014,77
22/10/2014,65
23/10/2014,56
24/10/2014,53
25/10/2014,59
26/10/2014,71
27/10/2014,56
28/10/2014,53
29/10/2014,52
30/10/2014,64
31/10/2014,77
01/11/2014,62
02/11/2014,58
03/11/2014,69
04/11/2014,79
05/11/2014,89
06/11/2014,62
07/11/2014,48
08/11/2014,44
09/11/2014,37
10/11/2014,45
11/11/2014,54
12/11/2014,52
13/11/2014,50
14/11/2014,46
15/11/2014,39
16/11/2014,45
17/11/2014,38
18/11/2014,32
19/11/2014,32
20/11/2014,34
21/11/2014,47
22/11/2014,44
23/11/2014,38
24/11/2014,33
25/11/2014,36
26/11/2014,40
27/11/2014,57
28/11/2014,51
29/11/2014,45
30/11/2014,45
01/12/2014,64
02/12/2014,56
03/12/2014,57
04/12/2014,62
05/12/2014,59
06/12/2014,50
07/12/2014,53
08/12/2014,38
09/12/2014,43
10/12/2014,49
11/12/2014,44
12/12/2014,50
13/12/2014,53
14/12/2014,65
15/12/2014,57
16/12/2014,40
17/12/2014,30
18/12/2014,37
19/12/2014,35
20/12/2014,59
21/12/2014,44
22/12/2014,34
23/12/2014,28
24/12/2014,47
25/12/2014,36
26/12/2014,44
27/12/2014,46
28/12/2014,36
01/01/2015,33
02/01/2015,37
