Date,AQI
01/01/2014,29
02/01/2014,29
03/01/2014,18
04/01/2014,21
05/01/2014,23
06/01/2014,26
07/01/2014,31
08/01/2014,19
09/01/2014,31
10/01/2014,23
11/01/2014,49
12/01/2014,38
13/01/2014,32
14/01/2014,41
15/01/2014,44
16/01/2014,48
17/01/2014,52
18/01/2014,49
19/01/2014,44
20/01/2014,47
21/01/2014,54
22/01/2014,53
23/01/2014,54
24/01/2014,58
25/01/2014,57
26/01/2014,55
27/01/2014,49
28/01/2014,44
29/01/2014,43
30/01/2014,37
31/01/2014,47
01/02/2014,50
02/02/2014,56
03/02/2014,62
04/02/2014,58
05/02/2014,52
06/02/2014,48
07/02/2014,49
08/02/2014,60
09/02/2014,56
10/02/2014,52
11/02/2014,48
12/02/2014,47
13/02/2014,46
14/02/2014,39
15/02/2014,40
16/02/2014,42
17/02/2014,48
18/02/2014,36
19/02/2014,42
20/02/2014,46
21/02/2014,43
22/02/2014,37
23/02/2014,41
24/02/2014,51
25/02/2014,61
26/02/2014,59
27/02/2014,51
28/02/2014,39
01/03/2014,44
02/03/2014,53
03/03/2014,65
04/03/2014,81
05/03/2014,78
06/03/2014,76
07/03/2014,89
08/03/2014,88
09/03/2014,90
10/03/2014,90
11/03/2014,84
12/03/2014,87
13/03/2014,101
14/03/2014,116
15/03/2014,82
16/03/2014,50
17/03/2014,26
18/03/2014,31
19/03/2014,31
20/03/2014,41
21/03/2014,48
22/03/2014,53
23/03/2014,45
24/03/2014,37
25/03/2014,43
26/03/2014,46
27/03/2014,49
28/03/2014,44
29/03/2014,42
30/03/2014,47
31/03/2014,46
01/04/2014,52
02/04/2014,53
03/04/2014,56
04/04/2014,51
05/04/2014,39
06/04/2014,33
07/04/2014,37
08/04/2014,48
09/04/2014,39
10/04/2014,41
11/04/2014,47
12/04/2014,38
13/04/2014,40
14/04/2014,43
15/04/2014,39
16/04/2014,36
17/04/2014,48
18/04/2014,43
19/04/2014,41
20/04/2014,44
21/04/2014,38
22/04/2014,37
23/04/2014,50
24/04/2014,49
25/04/2014,40
26/04/2014,44
27/04/2014,34
28/04/2014,30
29/04/2014,44
30/04/2014,43
01/05/2014,43
02/05/2014,38
03/05/2014,40
04/05/2014,33
05/05/2014,35
06/05/2014,31
07/05/2014,35
08/05/2014,27
09/05/2014,43
10/05/2014,42
11/05/2014,42
12/05/2014,46
13/05/2014,37
14/05/2014,34
15/05/2014,40
16/05/2014,37
17/05/2014,30
18/05/2014,30
19/05/2014,30
20/05/2014,35
21/05/2014,41
22/05/2014,33
23/05/2014,27
24/05/2014,36
25/05/2014,33
26/05/2014,34
27/05/2014,26
28/05/2014,26
29/05/2014,26
30/05/2014,34
31/05/2014,27
01/06/2014,31
02/06/2014,28
03/06/2014,39
04/06/2014,50
05/06/2014,49
06/06/2014,45
07/06/2014,41
08/06/2014,65
09/06/2014,40
10/06/2014,39
11/06/2014,44
12/06/2014,35
13/06/2014,25
14/06/2014,34
15/06/2014,32
16/06/2014,39
17/06/2014,43
18/06/2014,41
19/06/2014,51
20/06/2014,52
21/06/2014,49
22/06/2014,64
23/06/2014,86
24/06/2014,77
25/06/2014,51
26/06/2014,48
27/06/2014,53
28/06/2014,56
29/06/2014,65
30/06/2014,61
01/07/2014,50
02/07/2014,48
03/07/2014,45
04/07/2014,48
05/07/2014,39
06/07/2014,36
07/07/2014,43
08/07/2014,41
09/07/2014,46
10/07/2014,44
11/07/2014,46
12/07/2014,49
13/07/2014,47
14/07/2014,51
15/07/2014,56
16/07/2014,61
17/07/2014,61
18/07/2014,54
19/07/2014,52
20/07/2014,59
21/07/2014,54
22/07/2014,56
23/07/2014,52
24/07/2014,56
25/07/2014,60
26/07/2014,63
27/07/2014,58
28/07/2014,59
29/07/2014,53
30/07/2014,44
31/07/2014,45
01/08/2014,36
02/08/2014,33
03/08/2014,42
04/08/2014,43
05/08/2014,42
06/08/2014,42
07/08/2014,49
08/08/2014,44
09/08/2014,46
10/08/2014,43
11/08/2014,40
12/08/2014,45
13/08/2014,37
14/08/2014,36
15/08/2014,38
16/08/2014,45
17/08/2014,54
18/08/2014,51
19/08/2014,40
20/08/2014,54
22/08/2014,43
23/08/2014,54
24/08/2014,38
25/08/2014,38
26/08/2014,35
27/08/2014,37
28/08/2014,8
30/08/2014,32
31/08/2014,35
01/09/2014,30
02/09/2014,46
03/09/2014,34
04/09/2014,40
05/09/2014,47
06/09/2014,22
07/09/2014,24
08/09/2014,40
09/09/2014,46
10/09/2014,38
11/09/2014,43
12/09/2014,43
13/09/2014,51
14/09/2014,73
15/09/2014,54
16/09/2014,54
17/09/2014,57
18/09/2014,59
19/09/2014,64
20/09/2014,45
21/09/2014,21
22/09/2014,30
23/09/2014,47
24/09/2014,54
25/09/2014,46
26/09/2014,33
27/09/2014,46
28/09/2014,51
29/09/2014,61
30/09/2014,53
01/10/2014,53
02/10/2014,63
03/10/2014,58
04/10/2014,48
05/10/2014,25
06/10/2014,42
07/10/2014,83
08/10/2014,59
09/10/2014,65
10/10/2014,74
11/10/2014,61
12/10/2014,72
13/10/2014,55
14/10/2014,54
15/10/2014,48
16/10/2014,43
17/10/2014,34
18/10/2014,28
19/10/2014,38
20/10/2014,61
21/10/2014,59
22/10/2014,44
23/10/2014,37
24/10/2014,51
25/10/2014,50
26/10/2014,52
27/10/2014,42
28/10/2014,36
29/10/2014,41
30/10/2014,47
31/10/2014,43
01/11/2014,31
02/11/2014,30
03/11/2014,50
04/11/2014,75
05/11/2014,59
06/11/2014,46
07/11/2014,28
08/11/2014,27
09/11/2014,20
10/11/2014,34
11/11/2014,35
12/11/2014,39
13/11/2014,32
14/11/2014,25
15/11/2014,22
16/11/2014,23
17/11/2014,23
18/11/2014,22
19/11/2014,24
20/11/2014,29
21/11/2014,31
22/11/2014,34
23/11/2014,31
24/11/2014,26
25/11/2014,31
26/11/2014,28
27/11/2014,31
28/11/2014,37
29/11/2014,26
30/11/2014,33
01/12/2014,29
02/12/2014,36
03/12/2014,39
04/12/2014,37
05/12/2014,43
06/12/2014,40
07/12/2014,44
08/12/2014,34
09/12/2014,34
10/12/2014,37
11/12/2014,36
12/12/2014,35
13/12/2014,36
14/12/2014,34
15/12/2014,26
16/12/2014,24
17/12/2014,26
18/12/2014,25
19/12/2014,16
20/12/2014,31
21/12/2014,22
22/12/2014,20
23/12/2014,15
24/12/2014,18
25/12/2014,17
26/12/2014,19
27/12/2014,24
28/12/2014,15
01/01/2015,32
02/01/2015,32
03/01/2015,45
04/01/2015,45
05/01/2015,45
06/01/2015,38
07/01/2015,35
08/01/2015,23
09/01/2015,14
10/01/2015,20
11/01/2015,19
12/01/2015,24
13/01/2015,28
14/01/2015,31
15/01/2015,28
16/01/2015,35
17/01/2015,42
18/01/2015,41
19/01/2015,38
20/01/2015,39
21/01/2015,44
22/01/2015,43
23/01/2015,43
24/01/2015,40
25/01/2015,51
26/01/2015,49
27/01/2015,44
28/01/2015,44
29/01/2015,32
30/01/2015,27
31/01/2015,31
01/02/2015,39
02/02/2015,36
03/02/2015,36
04/02/2015,30
05/02/2015,28
06/02/2015,36
07/02/2015,37
08/02/2015,40
09/02/2015,41
10/02/2015,42
11/02/2015,45
12/02/2015,57
13/02/2015,52
14/02/2015,50
15/02/2015,46
16/02/2015,40
17/02/2015,35
18/02/2015,31
19/02/2015,25
20/02/2015,25
21/02/2015,31
22/02/2015,34
23/02/2015,42
24/02/2015,34
25/02/2015,36
26/02/2015,38
27/02/2015,38
28/02/2015,33
01/03/2015,31
02/03/2015,31
03/03/2015,36
04/03/2015,47
05/03/2015,48
06/03/2015,44
07/03/2015,41
08/03/2015,34
09/03/2015,36
10/03/2015,37
11/03/2015,36
12/03/2015,39
13/03/2015,42
14/03/2015,50
15/03/2015,53
