Date,AQI
01/01/2014,20
02/01/2014,18
03/01/2014,19
04/01/2014,15
05/01/2014,18
06/01/2014,16
07/01/2014,18
08/01/2014,17
09/01/2014,20
10/01/2014,25
11/01/2014,20
12/01/2014,18
13/01/2014,23
14/01/2014,21
15/01/2014,32
16/01/2014,38
17/01/2014,36
18/01/2014,28
19/01/2014,22
20/01/2014,17
21/01/2014,16
22/01/2014,29
23/01/2014,29
24/01/2014,22
25/01/2014,25
26/01/2014,22
27/01/2014,18
28/01/2014,26
29/01/2014,26
30/01/2014,24
31/01/2014,28
01/02/2014,25
02/02/2014,26
03/02/2014,27
04/02/2014,28
05/02/2014,29
06/02/2014,34
07/02/2014,37
08/02/2014,29
09/02/2014,25
10/02/2014,17
11/02/2014,15
12/02/2014,14
13/02/2014,15
14/02/2014,20
15/02/2014,22
16/02/2014,23
17/02/2014,21
18/02/2014,30
19/02/2014,32
20/02/2014,36
21/02/2014,44
22/02/2014,51
23/02/2014,34
24/02/2014,28
25/02/2014,33
26/02/2014,38
27/02/2014,47
28/02/2014,40
01/03/2014,43
02/03/2014,45
03/03/2014,44
04/03/2014,38
05/03/2014,34
06/03/2014,30
07/03/2014,42
08/03/2014,56
09/03/2014,58
10/03/2014,57
11/03/2014,61
12/03/2014,49
13/03/2014,49
14/03/2014,43
15/03/2014,35
16/03/2014,28
17/03/2014,42
18/03/2014,61
19/03/2014,59
20/03/2014,50
21/03/2014,68
22/03/2014,66
23/03/2014,55
24/03/2014,43
25/03/2014,39
26/03/2014,68
27/03/2014,41
28/03/2014,28
29/03/2014,30
30/03/2014,35
31/03/2014,36
01/04/2014,37
02/04/2014,27
03/04/2014,23
04/04/2014,24
05/04/2014,23
06/04/2014,25
07/04/2014,27
08/04/2014,25
09/04/2014,31
10/04/2014,41
11/04/2014,45
12/04/2014,51
13/04/2014,29
14/04/2014,31
15/04/2014,37
16/04/2014,33
17/04/2014,39
18/04/2014,35
19/04/2014,46
20/04/2014,38
21/04/2014,36
22/04/2014,31
23/04/2014,27
24/04/2014,33
25/04/2014,32
26/04/2014,33
27/04/2014,39
28/04/2014,43
29/04/2014,29
30/04/2014,25
01/05/2014,28
02/05/2014,32
03/05/2014,24
04/05/2014,26
05/05/2014,27
06/05/2014,44
07/05/2014,50
08/05/2014,44
09/05/2014,30
10/05/2014,26
11/05/2014,27
12/05/2014,23
13/05/2014,24
14/05/2014,17
15/05/2014,24
16/05/2014,32
17/05/2014,45
18/05/2014,37
19/05/2014,38
20/05/2014,28
21/05/2014,37
22/05/2014,42
23/05/2014,39
24/05/2014,28
25/05/2014,30
26/05/2014,27
27/05/2014,37
28/05/2014,32
29/05/2014,26
30/05/2014,33
31/05/2014,30
01/06/2014,25
02/06/2014,28
03/06/2014,26
04/06/2014,25
05/06/2014,31
06/06/2014,30
07/06/2014,28
08/06/2014,28
09/06/2014,28
10/06/2014,33
11/06/2014,36
12/06/2014,35
13/06/2014,42
14/06/2014,32
15/06/2014,58
