date,aqi
2014-01-01, 40
2014-01-02, 33
2014-01-03, 34
2014-01-04, 25
2014-01-05, 31
2014-01-06, 27
2014-01-07, 34
2014-01-08, 35
2014-01-09, 38
2014-01-10, 40
2014-01-11, 33
2014-01-12, 29
2014-01-13, 26
2014-01-14, 28
2014-01-15, 34
2014-01-16, 44
2014-01-17, 46
2014-01-18, 39
2014-01-19, 32
2014-01-20, 44
2014-01-21, 56
2014-01-22, 53
2014-01-23, 56
2014-01-24, 57
2014-01-25, 69
2014-01-26, 64
2014-01-27, 58
2014-01-28, 56
2014-01-29, 50
2014-01-30, 34
2014-01-31, 47
2014-02-01, 41
2014-02-02, 41
2014-02-03, 49
2014-02-04, 45
2014-02-05, 43
2014-02-06, 50
2014-02-07, 53
2014-02-08, 59
2014-02-09, 59
2014-02-10, 54
2014-02-11, 51
2014-02-12, 52
2014-02-13, 61
2014-02-14, 56
2014-02-15, 44
2014-02-16, 42
2014-02-17, 45
2014-02-18, 53
2014-02-19, 64
2014-02-20, 63
2014-02-21, 50
2014-02-22, 45
2014-02-23, 41
2014-02-24, 50
2014-02-25, 62
2014-02-26, 72
2014-02-27, 66
2014-02-28, 64
2014-03-01, 65
2014-03-02, 79
2014-03-03, 81
2014-03-04, 112
2014-03-05, 64
2014-03-06, 67
2014-03-07, 67
2014-03-08, 77
2014-03-09, 118
2014-03-10, 87
2014-03-11, 80
2014-03-12, 81
2014-03-13, 129
2014-03-14, 177
2014-03-15, 107
2014-03-16, 80
2014-03-17, 70
2014-03-18, 47
2014-03-19, 48
2014-03-20, 44
2014-03-21, 53
2014-03-22, 55
2014-03-23, 51
2014-03-24, 37
2014-03-25, 42
2014-03-26, 47
2014-03-27, 56
2014-03-28, 62
2014-03-29, 58
2014-03-30, 41
2014-03-31, 43
2014-04-01, 57
2014-04-02, 57
2014-04-03, 57
2014-04-04, 48
2014-04-05, 48
2014-04-06, 25
2014-04-07, 32
2014-04-08, 42
2014-04-09, 46
2014-04-10, 51
2014-04-11, 49
2014-04-12, 32
2014-04-13, 36
2014-04-14, 41
2014-04-15, 41
2014-04-16, 39
2014-04-17, 35
2014-04-18, 36
2014-04-19, 38
2014-04-20, 44
2014-04-21, 52
2014-04-22, 46
2014-04-23, 41
2014-04-24, 37
2014-04-25, 44
2014-04-26, 37
2014-04-27, 49
2014-04-28, 40
2014-04-29, 45
2014-04-30, 42
2014-05-01, 38
2014-05-02, 37
2014-05-03, 57
2014-05-04, 47
2014-05-05, 40
2014-05-06, 41
2014-05-07, 47
2014-05-08, 36
2014-05-09, 48
2014-05-10, 45
2014-05-11, 40
2014-05-12, 40
2014-05-13, 49
2014-05-14, 33
2014-05-15, 34
2014-05-16, 37
2014-05-17, 34
2014-05-18, 42
2014-05-19, 39
2014-05-20, 36
2014-05-21, 46
2014-05-22, 41
2014-05-23, 41
2014-05-24, 48
2014-05-25, 41
2014-05-26, 36
2014-05-27, 38
2014-05-28, 40
2014-05-29, 35
2014-05-30, 32
2014-05-31, 25
2014-06-01, 39
2014-06-02, 36
2014-06-03, 37
2014-06-04, 43
2014-06-05, 35
2014-06-06, 30
2014-06-07, 31
2014-06-08, 26
2014-06-09, 33
2014-06-10, 52
2014-06-11, 51
2014-06-12, 49
2014-06-13, 45
2014-06-14, 39
2014-06-15, 43
2014-06-16, 49
2014-06-17, 54
2014-06-18, 55
2014-06-19, 64
2014-06-20, 81
2014-06-21, 64
2014-06-22, 82
2014-06-23, 79
2014-06-24, 87
2014-06-25, 93
2014-06-26, 60
2014-06-27, 58
2014-06-28, 77
2014-06-29, 68
2014-06-30, 39
2014-07-01, 36
2014-07-02, 42
2014-07-03, 44
2014-07-04, 38
2014-07-05, 30
2014-07-06, 29
2014-07-07, 40
2014-07-08, 47
2014-07-09, 64
2014-07-10, 56
2014-07-11, 34
2014-07-12, 55
2014-07-13, 57
2014-07-14, 50
2014-07-15, 51
2014-07-16, 55
2014-07-17, 61
2014-07-18, 54
2014-07-19, 61
2014-07-20, 79
2014-07-21, 91
2014-07-22, 87
2014-07-23, 64
2014-07-24, 59
2014-07-25, 68
2014-07-26, 77
2014-07-27, 79
2014-07-28, 89
2014-07-29, 102
2014-07-30, 66
2014-07-31, 42
2014-08-01, 56
2014-08-02, 54
2014-08-03, 50
2014-08-04, 57
2014-08-05, 60
2014-08-06, 55
2014-08-07, 41
2014-08-08, 47
2014-08-09, 34
2014-08-10, 34
2014-08-11, 34
2014-08-12, 34
2014-08-13, 30
2014-08-14, 31
2014-08-15, 30
2014-08-16, 30
2014-08-17, 41
2014-08-18, 42
2014-08-19, 42
2014-08-20, 38
2014-08-21, 38
2014-08-22, 35
2014-08-23, 45
2014-08-24, 37
2014-08-25, 29
2014-08-26, 33
2014-08-27, 28
2014-08-28, 31
2014-08-29, 46
2014-08-30, 57
2014-08-31, 54
2014-09-01, 46
