date,aqi
2014-01-01, 33
2014-01-02, 32
2014-01-03, 36
2014-01-04, 31
2014-01-05, 36
2014-01-06, 40
2014-01-07, 34
2014-01-08, 43
2014-01-09, 44
2014-01-10, 38
2014-01-11, 45
2014-01-12, 35
2014-01-13, 21
2014-01-14, 39
2014-01-15, 39
2014-01-16, 39
2014-01-17, 41
2014-01-18, 38
2014-01-19, 40
2014-01-20, 39
2014-01-21, 47
2014-01-22, 48
2014-01-23, 50
2014-01-24, 68
2014-01-25, 62
2014-01-26, 55
2014-01-27, 55
2014-01-28, 47
2014-01-29, 39
2014-01-30, 33
2014-01-31, 37
2014-02-01, 49
2014-02-02, 57
2014-02-03, 57
2014-02-04, 59
2014-02-05, 50
2014-02-06, 65
2014-02-07, 57
2014-02-08, 60
2014-02-09, 63
2014-02-10, 56
2014-02-11, 58
2014-02-12, 50
2014-02-13, 49
2014-02-14, 47
2014-02-15, 46
2014-02-16, 43
2014-02-17, 41
2014-02-18, 40
2014-02-19, 48
2014-02-20, 45
2014-02-21, 40
2014-02-22, 51
2014-02-23, 46
2014-02-24, 50
2014-02-25, 64
2014-02-26, 69
2014-02-27, 63
2014-02-28, 68
2014-03-01, 45
2014-03-02, 58
2014-03-03, 68
2014-03-04, 71
2014-03-05, 70
2014-03-06, 69
2014-03-07, 66
2014-03-08, 82
2014-03-09, 81
2014-03-10, 94
2014-03-11, 72
2014-03-12, 66
2014-03-13, 113
2014-03-14, 157
2014-03-15, 92
2014-03-16, 58
2014-03-17, 42
2014-03-18, 37
2014-03-19, 37
2014-03-20, 47
2014-03-21, 54
2014-03-22, 76
2014-03-23, 66
2014-03-24, 46
2014-03-25, 46
2014-03-26, 49
2014-03-27, 58
2014-03-28, 58
2014-03-29, 62
2014-03-30, 51
2014-03-31, 53
2014-04-01, 65
2014-04-02, 58
2014-04-03, 56
2014-04-04, 56
2014-04-05, 42
2014-04-06, 34
2014-04-07, 39
2014-04-08, 43
2014-04-09, 41
2014-04-11, 50
2014-04-12, 32
2014-04-13, 39
2014-04-14, 48
2014-04-15, 40
2014-04-16, 36
2014-04-17, 39
2014-04-18, 48
2014-04-19, 62
2014-04-20, 50
2014-04-21, 41
2014-04-22, 40
2014-04-23, 50
2014-04-24, 44
2014-04-25, 50
2014-04-26, 41
