date,aqi
2014-01-01, 53
2014-01-02, 48
2014-01-03, 40
2014-01-04, 30
2014-01-05, 41
2014-01-06, 32
2014-01-07, 36
2014-01-08, 38
2014-01-09, 47
2014-01-10, 42
2014-01-11, 28
2014-01-12, 31
2014-01-13, 32
2014-01-14, 31
2014-01-15, 35
2014-01-16, 43
2014-01-17, 44
2014-01-18, 35
2014-01-19, 35
2014-01-20, 42
2014-01-21, 56
2014-01-22, 55
2014-01-23, 61
2014-01-24, 56
2014-01-25, 67
2014-01-26, 64
2014-01-27, 60
2014-01-28, 57
2014-01-29, 53
2014-01-30, 49
2014-01-31, 53
2014-02-01, 47
2014-02-02, 47
2014-02-03, 49
2014-02-04, 47
2014-02-05, 51
2014-02-06, 53
2014-02-07, 54
2014-02-08, 57
2014-02-09, 56
2014-02-10, 52
2014-02-11, 52
2014-02-12, 61
2014-02-13, 70
2014-02-14, 61
2014-02-15, 49
2014-02-16, 46
2014-02-17, 50
2014-02-18, 62
2014-02-19, 69
2014-02-20, 63
2014-02-21, 54
2014-02-22, 52
2014-02-23, 46
2014-02-24, 50
2014-02-25, 63
2014-02-26, 79
2014-02-27, 68
2014-02-28, 69
2014-03-01, 68
2014-03-02, 82
2014-03-03, 86
2014-03-04, 110
2014-03-05, 66
2014-03-06, 68
2014-03-07, 70
2014-03-08, 83
2014-03-09, 121
2014-03-10, 94
2014-03-11, 81
2014-03-12, 80
2014-03-13, 124
2014-03-14, 160
2014-03-15, 107
2014-03-16, 88
2014-03-17, 74
2014-03-18, 45
2014-03-19, 49
2014-03-20, 42
2014-03-21, 49
2014-03-22, 60
2014-03-23, 52
2014-03-24, 42
2014-03-25, 49
2014-03-26, 49
2014-03-27, 61
2014-03-28, 67
2014-03-29, 61
2014-03-30, 46
2014-03-31, 46
2014-04-01, 61
2014-04-02, 60
2014-04-03, 59
2014-04-04, 57
2014-04-05, 48
2014-04-06, 29
2014-04-07, 35
2014-04-08, 48
2014-04-09, 46
2014-04-10, 50
2014-04-11, 50
2014-04-12, 32
2014-04-13, 37
2014-04-14, 40
2014-04-15, 40
2014-04-16, 36
2014-04-17, 42
2014-04-18, 40
2014-04-19, 38
2014-04-20, 45
2014-04-21, 49
2014-04-22, 50
2014-04-23, 39
2014-04-24, 38
2014-04-25, 45
2014-04-26, 43
2014-04-27, 48
2014-04-28, 45
2014-04-29, 48
2014-04-30, 42
2014-05-01, 42
2014-05-02, 41
2014-05-03, 60
2014-05-04, 51
2014-05-05, 44
2014-05-06, 44
2014-05-07, 43
2014-05-08, 34
2014-05-09, 51
2014-05-10, 47
2014-05-11, 41
2014-05-12, 45
2014-05-13, 51
2014-05-14, 40
2014-05-15, 41
2014-05-16, 34
2014-05-17, 36
2014-05-18, 41
2014-05-19, 41
2014-05-20, 39
2014-05-21, 46
2014-05-22, 42
2014-05-23, 39
2014-05-24, 45
2014-05-25, 41
2014-05-26, 40
2014-05-27, 36
2014-05-28, 41
2014-05-29, 42
2014-05-30, 39
2014-05-31, 29
2014-06-01, 44
2014-06-02, 37
2014-06-03, 32
2014-06-04, 50
2014-06-05, 35
2014-06-06, 30
2014-06-07, 31
2014-06-08, 26
2014-06-09, 35
2014-06-10, 53
2014-06-11, 54
2014-06-12, 53
2014-06-13, 42
2014-06-14, 37
2014-06-15, 36
2014-06-16, 45
2014-06-17, 55
2014-06-18, 53
2014-06-19, 68
2014-06-20, 82
2014-06-21, 75
2014-06-22, 90
2014-06-23, 79
2014-06-24, 89
2014-06-25, 96
2014-06-26, 61
2014-06-27, 56
2014-06-28, 75
2014-06-29, 70
2014-06-30, 36
2014-07-01, 33
2014-07-02, 43
2014-07-03, 42
2014-07-04, 40
2014-07-05, 34
2014-07-06, 27
2014-07-07, 39
2014-07-08, 49
2014-07-09, 76
2014-07-10, 59
2014-07-11, 37
2014-07-12, 56
2014-07-13, 55
2014-07-14, 49
2014-07-15, 53
2014-07-16, 56
2014-07-17, 58
2014-07-18, 54
2014-07-19, 65
2014-07-20, 81
2014-07-21, 98
2014-07-22, 96
2014-07-23, 66
2014-07-24, 60
2014-07-25, 68
2014-07-26, 85
2014-07-27, 92
2014-07-28, 102
2014-07-29, 95
2014-07-30, 69
2014-07-31, 48
2014-08-01, 55
2014-08-02, 58
2014-08-03, 47
2014-08-04, 56
2014-08-05, 60
2014-08-06, 55
2014-08-07, 44
2014-08-08, 53
2014-08-09, 41
2014-08-10, 39
2014-08-11, 40
2014-08-12, 40
2014-08-13, 37
2014-08-14, 34
2014-08-15, 34
2014-08-16, 33
2014-08-17, 34
2014-08-18, 40
2014-08-19, 34
2014-08-20, 41
2014-08-21, 38
2014-08-22, 37
2014-08-23, 45
2014-08-24, 33
2014-08-25, 27
2014-08-26, 29
2014-08-27, 23
2014-08-28, 23
2014-08-29, 40
2014-08-30, 48
2014-08-31, 38
2014-09-01, 38
2014-09-02, 49
2014-09-03, 55
2014-09-04, 51
2014-09-05, 50
2014-09-06, 32
2014-09-07, 44
2014-09-08, 40
2014-09-09, 47
2014-09-10, 47
2014-09-11, 59
2014-09-12, 57
2014-09-13, 61
2014-09-14, 67
2014-09-15, 40
2014-09-16, 51
2014-09-17, 67
2014-09-18, 66
2014-09-19, 59
2014-09-20, 45
2014-09-21, 26
2014-09-22, 41
2014-09-23, 57
2014-09-24, 60
2014-09-25, 46
2014-09-26, 49
2014-09-27, 59
2014-09-28, 56
2014-09-29, 55
2014-09-30, 62
2014-10-01, 60
2014-10-02, 61
2014-10-03, 60
2014-10-04, 54
2014-10-05, 27
2014-10-06, 27
2014-10-07, 52
2014-10-08, 69
2014-10-09, 84
2014-10-10, 97
2014-10-11, 81
2014-10-12, 83
2014-10-13, 65
2014-10-14, 68
2014-10-15, 53
2014-10-16, 52
2014-10-17, 45
2014-10-18, 25
2014-10-19, 38
2014-10-20, 55
2014-10-21, 49
2014-10-22, 43
2014-10-23, 35
2014-10-24, 35
2014-10-25, 36
2014-10-26, 52
2014-10-27, 41
2014-10-28, 35
2014-10-29, 49
2014-10-30, 56
2014-10-31, 46
2014-11-01, 35
2014-11-02, 33
2014-11-03, 46
2014-11-04, 67
2014-11-05, 72
2014-11-06, 47
2014-11-07, 27
2014-11-08, 33
2014-11-09, 19
2014-11-10, 31
2014-11-11, 42
2014-11-12, 46
2014-11-13, 32
2014-11-14, 25
2014-11-15, 29
2014-11-16, 22
2014-11-17, 25
2014-11-18, 35
2014-11-19, 48
2014-11-20, 40
2014-11-21, 30
2014-11-22, 41
2014-11-23, 26
2014-11-24, 21
2014-11-25, 27
2014-11-26, 34
2014-11-27, 33
2014-11-28, 37
2014-11-29, 25
2014-11-30, 26
2014-12-01, 42
2014-12-02, 37
2014-12-03, 50
2014-12-04, 41
2014-12-05, 51
2014-12-06, 46
2014-12-07, 33
2014-12-08, 20
2014-12-09, 33
2014-12-10, 40
2014-12-11, 38
2014-12-12, 45
2014-12-13, 46
2014-12-14, 41
2014-12-15, 39
2014-12-16, 43
2014-12-17, 37
2014-12-18, 39
2014-12-19, 37
2014-12-20, 50
2014-12-21, 52
2014-12-22, 34
2014-12-23, 22
2014-12-24, 27
2014-12-25, 41
2014-12-26, 29
2014-12-27, 28
2014-12-28, 32
2015-01-01, 44
2015-01-02, 42
2015-01-03, 46
2015-01-04, 41
2015-01-05, 46
2015-01-06, 52
2015-01-07, 47
2015-01-08, 25
2015-01-09, 20
2015-01-10, 29
2015-01-11, 23
2015-01-12, 23
2015-01-13, 28
2015-01-14, 29
2015-01-15, 31
2015-01-16, 46
2015-01-17, 53
2015-01-18, 45
2015-01-19, 38
2015-01-20, 37
2015-01-21, 43
2015-01-22, 52
2015-01-23, 55
2015-01-24, 53
2015-01-25, 55
2015-01-26, 51
2015-01-27, 49
2015-01-28, 48
2015-01-29, 57
2015-01-30, 51
2015-01-31, 30
2015-02-01, 37
2015-02-02, 35
2015-02-03, 45
2015-02-04, 33
2015-02-05, 26
2015-02-06, 34
2015-02-07, 39
2015-02-08, 31
2015-02-09, 28
2015-02-10, 38
2015-02-11, 46
2015-02-12, 57
2015-02-13, 62
2015-02-14, 55
2015-02-15, 53
2015-02-16, 75
2015-02-17, 50
2015-02-18, 51
2015-02-19, 35
2015-02-20, 37
2015-02-21, 32
2015-02-22, 30
2015-02-23, 35
2015-02-24, 41
2015-02-25, 52
2015-02-26, 54
2015-02-27, 58
2015-02-28, 59
2015-03-01, 54
2015-03-02, 49
2015-03-03, 48
2015-03-04, 51
2015-03-05, 50
2015-03-06, 47
2015-03-07, 49
2015-03-08, 46
2015-03-09, 34
2015-03-10, 30
2015-03-11, 37
2015-03-12, 47
2015-03-13, 56
2015-03-14, 50
2015-03-15, 47
2015-03-16, 49
2015-03-17, 56
2015-03-18, 61
2015-03-19, 58
2015-03-20, 62
2015-03-21, 53
2015-03-22, 49
2015-03-23, 52
2015-03-24, 65
2015-03-25, 60
2015-03-26, 56
2015-03-27, 38
2015-03-28, 44
2015-03-29, 41
2015-03-30, 41
2015-03-31, 36
2015-04-02, 28
2015-04-03, 32
2015-04-04, 37
2015-04-05, 45
2015-04-06, 40
2015-04-07, 44
2015-04-08, 49
2015-04-09, 47
2015-04-10, 40
2015-04-11, 36
2015-04-12, 36
2015-04-13, 31
2015-04-14, 42
2015-04-15, 39
2015-04-16, 35
2015-04-17, 49
2015-04-18, 42
2015-04-19, 47
2015-04-20, 39
2015-04-21, 38
2015-04-22, 50
2015-04-23, 37
2015-04-24, 29
2015-04-25, 35
2015-04-27, 36
2015-04-28, 39
2015-04-29, 50
2015-04-30, 57
2015-05-01, 33
2015-05-02, 24
2015-05-03, 25
2015-05-04, 24
2015-05-05, 31
2015-05-06, 45
2015-05-07, 45
2015-05-08, 38
2015-05-09, 52
2015-05-10, 54
2015-05-11, 46
2015-05-12, 59
2015-05-13, 56
2015-05-14, 51
2015-05-15, 43
2015-05-16, 41
2015-05-17, 39
2015-05-18, 32
2015-05-19, 44
2015-05-21, 51
2015-05-22, 46
2015-05-23, 40
2015-05-24, 50
2015-05-25, 53
2015-05-26, 50
2015-05-27, 38
2015-05-28, 39
2015-05-29, 46
2015-05-30, 42
2015-05-31, 40
2015-06-01, 42
2015-06-03, 45
2015-06-04, 49
2015-06-05, 41
2015-06-06, 45
2015-06-07, 38
2015-06-08, 41
2015-06-09, 40
2015-06-10, 34
2015-06-11, 46
2015-06-12, 46
2015-06-13, 31
2015-06-15, 31
2015-06-16, 45
2015-06-17, 47
2015-06-18, 64
2015-06-19, 55
2015-06-20, 54
2015-06-21, 54
2015-06-22, 52
2015-06-23, 61
2015-06-24, 62
2015-06-25, 66
2015-06-26, 64
2015-06-27, 61
2015-06-28, 59
2015-06-29, 59
2015-06-30, 72
2015-07-01, 71
2015-07-02, 73
2015-07-03, 72
2015-07-04, 50
2015-07-05, 32
2015-07-07, 68
2015-07-08, 64
2015-07-09, 61
2015-07-10, 58
2015-07-11, 55
2015-07-12, 76
2015-07-13, 79
2015-07-14, 71
2015-07-15, 60
2015-07-16, 61
2015-07-17, 57
2015-07-18, 45
2015-07-19, 40
2015-07-20, 51
2015-07-21, 53
2015-07-22, 53
2015-07-23, 59
2015-07-24, 51
2015-07-25, 43
2015-07-26, 46
2015-07-27, 54
2015-07-28, 61
2015-07-29, 55
2015-07-30, 55
2015-07-31, 59
2015-08-01, 57
2015-08-02, 54
2015-08-03, 53
2015-08-04, 36
2015-08-05, 44
2015-08-06, 56
2015-08-07, 53
2015-08-08, 46
2015-08-09, 36
2015-08-10, 45
2015-08-11, 51
2015-08-12, 38
2015-08-13, 47
2015-08-14, 53
2015-08-15, 55
2015-08-16, 59
2015-08-17, 54
2015-08-18, 60
2015-08-20, 56
2015-08-21, 43
2015-08-22, 33
2015-08-23, 43
2015-08-24, 67
2015-08-25, 72
2015-08-26, 92
2015-08-27, 74
2015-08-28, 68
2015-08-29, 70
2015-08-30, 71
2015-08-31, 72
2015-09-01, 77
2015-09-02, 91
2015-09-03, 101
2015-09-04, 77
2015-09-05, 66
2015-09-06, 54
2015-09-07, 67
2015-09-08, 86
2015-09-09, 69
2015-09-10, 35
2015-09-11, 81
2015-09-12, 142
2015-09-13, 141
2015-09-14, 148
2015-09-15, 144
2015-09-16, 100
2015-09-17, 103
2015-09-18, 86
2015-09-19, 95
2015-09-20, 79
2015-09-21, 59
2015-09-22, 61
2015-09-23, 65
2015-09-24, 81
2015-09-25, 66
2015-09-26, 82
2015-09-27, 205
2015-09-28, 101
2015-09-29, 73
2015-09-30, 105
2015-10-01, 121
2015-10-02, 91
2015-10-03, 134
2015-10-04, 236
2015-10-05, 113
2015-10-06, 114
2015-10-07, 80
2015-10-08, 83
2015-10-09, 77
2015-10-10, 77
2015-10-11, 88
2015-10-12, 79
2015-10-13, 81
2015-10-14, 76
2015-10-15, 70
2015-10-16, 70
2015-10-17, 74
2015-10-18, 98
2015-10-19, 134
2015-10-20, 157
2015-10-21, 204
2015-10-22, 139
2015-10-23, 110
2015-10-24, 132
2015-10-25, 115
2015-10-26, 73
2015-10-27, 67
2015-10-28, 73
2015-10-29, 54
2015-10-30, 48
2015-10-31, 43
2015-11-01, 33
2015-11-02, 36
2015-11-03, 40
2015-11-04, 45
2015-11-05, 48
2015-11-06, 44
2015-11-07, 32
2015-11-08, 37
2015-11-09, 41
2015-11-10, 57
2015-11-11, 51
2015-11-12, 42
2015-11-13, 48
2015-11-14, 53
2015-11-15, 38
2015-11-16, 35
2015-11-17, 35
2015-11-18, 45
2015-11-19, 50
2015-11-20, 44
2015-11-21, 30
2015-11-22, 26
2015-11-23, 34
2015-11-24, 52
2015-11-25, 42
2015-11-26, 37
2015-11-27, 46
2015-11-28, 52
2015-11-29, 57
2015-11-30, 43
2015-12-01, 35
2015-12-02, 45
2015-12-03, 51
2015-12-04, 65
2015-12-05, 61
2015-12-06, 56
2015-12-07, 36
2015-12-08, 38
2015-12-09, 45
2015-12-10, 65
2015-12-11, 40
2015-12-12, 49
2015-12-13, 38
2015-12-14, 34
2015-12-15, 31
2015-12-16, 53
2015-12-17, 59
2015-12-18, 55
2015-12-20, 44
2015-12-21, 51
2015-12-22, 52
2015-12-23, 49
2015-12-24, 46
2015-12-25, 64
2015-12-26, 52
2015-12-27, 45
2015-12-28, 41
2015-12-29, 41
2015-12-30, 38
2016-01-04, 57
2016-01-05, 53
2016-01-06, 54
2016-01-07, 53
2016-01-08, 57
2016-01-09, 59
2016-01-10, 61
2016-01-11, 57
2016-01-12, 48
2016-01-13, 53
2016-01-14, 52
2016-01-15, 48
2016-01-16, 47
2016-01-17, 42
2016-01-18, 42
2016-01-19, 50
2016-01-20, 43
2016-01-21, 46
2016-01-22, 52
2016-01-24, 30
2016-01-25, 29
2016-01-26, 30
2016-01-27, 31
2016-01-29, 39
2016-01-30, 47
2016-02-02, 54
2016-02-03, 40
2016-02-04, 35
2016-02-05, 32
2016-02-06, 31
2016-02-07, 27
2016-02-08, 46
2016-02-09, 49
2016-02-10, 48
2016-02-11, 45
2016-02-12, 35
2016-02-13, 41
2016-02-14, 34
2016-02-15, 36
2016-02-16, 50
2016-02-17, 51
2016-02-18, 55
2016-02-19, 50
2016-02-20, 46
2016-02-21, 50
2016-02-22, 56
2016-02-23, 57
2016-02-24, 55
2016-02-25, 45
2016-02-26, 46
2016-02-27, 51
2016-02-28, 47
2016-02-29, 36
2016-03-01, 44
2016-03-02, 52
2016-03-03, 54
2016-03-04, 61
2016-03-05, 59
2016-03-06, 58
