time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2014-01-01,27.0,23.6,31.0,,,,6.7,,,,Miri
2014-01-02,26.8,24.0,30.0,,,,8.7,,,,Miri
2014-01-03,27.0,24.8,30.0,,,,6.8,,,,Miri
2014-01-04,25.6,23.0,29.0,,,,4.6,,,,Miri
2014-01-05,26.4,24.0,31.0,,,,8.4,,,,Miri
2014-01-06,26.3,24.0,29.0,,,,7.0,,,,Miri
2014-01-07,27.1,24.6,31.0,,,,7.6,,,,Miri
2014-01-08,26.2,23.9,30.0,,,,7.0,,,,Miri
2014-01-09,26.2,24.0,31.1,,,,5.7,,,,Miri
2014-01-10,26.2,23.5,30.0,,,,7.2,,,,Miri
2014-01-11,25.3,23.8,28.0,,,,6.6,,,,Miri
2014-01-12,25.2,23.0,29.0,,,,4.3,,,,Miri
2014-01-13,25.3,24.0,29.0,,,,8.7,,,,Miri
2014-01-14,24.8,23.9,27.0,,,,9.3,,,,Miri
2014-01-15,26.5,,,,,,13.4,,,,Miri
2014-01-16,26.2,23.4,29.6,,,,8.6,,,,Miri
2014-01-17,24.7,21.7,27.3,,,,4.9,,,,Miri
2014-01-18,24.0,22.0,27.3,,,,7.6,,,,Miri
2014-01-19,24.8,22.6,28.0,,,,6.5,,,,Miri
2014-01-20,23.1,21.8,25.0,,,,7.2,,,,Miri
2014-01-21,24.2,22.0,28.0,,,,5.7,,,,Miri
2014-01-22,23.6,22.5,25.1,,,,10.8,,,,Miri
2014-01-23,23.3,22.0,26.0,,,,7.1,,,,Miri
2014-01-24,24.1,22.0,27.0,,,,8.0,,,,Miri
2014-01-25,25.2,22.5,30.0,,,,6.4,,,,Miri
2014-01-26,24.3,22.0,27.0,,,,6.6,,,,Miri
2014-01-27,24.1,22.0,27.3,,,,4.4,,,,Miri
2014-01-28,25.5,21.0,31.0,,,,9.0,,,,Miri
2014-01-29,25.2,21.0,31.0,,,,9.4,,,,Miri
2014-01-30,24.9,,,,,,8.3,,,,Miri
2014-01-31,24.5,22.0,28.0,,,,8.5,,,,Miri
2014-02-01,25.5,23.0,29.1,,,,6.6,,,,Miri
2014-02-02,25.6,22.0,29.0,,,,7.0,,,,Miri
2014-02-03,25.7,21.0,30.0,,,,7.0,,,,Miri
2014-02-04,25.6,21.0,30.0,,,,7.2,,,,Miri
2014-02-05,27.0,22.9,32.5,,,,9.8,,,,Miri
2014-02-06,26.8,23.8,30.0,,,,7.5,,,,Miri
2014-02-07,27.1,24.0,31.0,,,,6.7,,,,Miri
2014-02-08,26.6,23.0,30.4,,,,8.1,,,,Miri
2014-02-09,26.9,24.0,30.0,,,,7.9,,,,Miri
2014-02-10,26.0,23.9,29.0,,,,5.7,,,,Miri
2014-02-11,26.0,23.0,30.0,,,,7.6,,,,Miri
2014-02-12,25.8,23.0,28.4,,,,7.0,,,,Miri
2014-02-13,26.4,23.7,31.6,,,,9.0,,,,Miri
2014-02-14,27.0,23.0,31.0,,,,9.8,,,,Miri
2014-02-15,24.6,21.8,29.4,0.5,,,8.2,,,,Miri
2014-02-16,26.0,23.0,29.0,,,,7.5,,,,Miri
2014-02-17,25.9,22.5,31.0,,,,9.1,,,,Miri
2014-02-18,26.9,,,,,,7.6,,,,Miri
2014-02-19,27.0,23.0,30.0,,,,6.8,,,,Miri
2014-02-20,26.8,24.0,31.0,,,,13.1,,,,Miri
2014-02-21,26.6,23.0,32.5,,,,11.3,,,,Miri
2014-02-22,26.3,23.0,32.0,,,,11.5,,,,Miri
2014-02-23,25.9,22.4,30.5,,,,8.7,,,,Miri
2014-02-24,25.8,21.9,29.5,,,,7.2,,,,Miri
2014-02-25,26.0,21.8,30.0,,,,7.3,,,,Miri
2014-02-26,26.6,23.0,31.0,,,,10.0,,,,Miri
2014-02-27,27.0,24.5,31.0,,,,9.9,,,,Miri
2014-02-28,25.9,23.0,29.0,,,,7.5,,,,Miri
2014-03-01,26.4,23.0,31.0,,,,6.8,,,,Miri
2014-03-02,27.0,24.5,31.0,,,,8.6,,,,Miri
2014-03-03,27.0,24.0,32.1,,,,7.8,,,,Miri
2014-03-04,26.4,23.0,31.0,,,,8.1,,,,Miri
2014-03-05,25.8,22.3,30.0,,,,8.8,,,,Miri
2014-03-06,26.3,22.0,33.0,,,,8.7,,,,Miri
2014-03-07,26.1,22.0,32.0,,,,8.7,,,,Miri
2014-03-08,25.7,22.0,30.0,,,,7.5,,,,Miri
2014-03-09,25.9,22.0,30.3,,,,9.0,,,,Miri
2014-03-10,26.2,21.0,32.0,,,,9.0,,,,Miri
2014-03-11,26.7,22.0,30.6,,,,8.6,,,,Miri
2014-03-12,27.3,25.0,30.0,,,,8.4,,,,Miri
2014-03-13,27.3,25.0,30.4,,,,8.6,,,,Miri
2014-03-14,26.8,24.0,30.2,,,,8.3,,,,Miri
2014-03-15,26.6,23.0,30.0,,,,10.0,,,,Miri
2014-03-16,27.6,24.0,34.0,,,,10.0,,,,Miri
2014-03-17,27.9,24.9,32.7,,,,10.3,,,,Miri
2014-03-18,26.9,24.9,30.0,,,,10.6,,,,Miri
2014-03-19,26.6,24.0,29.5,,,,9.2,,,,Miri
2014-03-20,26.7,24.8,30.2,,,,7.5,,,,Miri
2014-03-21,26.5,22.0,30.3,,,,8.7,,,,Miri
2014-03-22,26.4,23.0,30.2,,,,8.1,,,,Miri
2014-03-23,26.7,23.0,30.0,,,,11.4,,,,Miri
2014-03-24,27.3,25.0,31.0,,,,10.7,,,,Miri
2014-03-25,27.0,24.7,30.4,,,,7.7,,,,Miri
2014-03-26,27.1,24.0,30.0,,,,7.1,,,,Miri
2014-03-27,27.0,24.0,30.3,,,,7.6,,,,Miri
