time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2014-01-01,28.0,24.8,32.8,,,,11.2,,,,Nilai
2014-01-02,28.6,24.8,33.0,,,,11.1,,,,Nilai
2014-01-03,26.7,23.8,31.8,,,,10.3,,,,Nilai
2014-01-04,25.4,23.4,30.8,,,,5.0,,,,Nilai
2014-01-05,26.5,23.8,30.8,,,,4.5,,,,Nilai
2014-01-06,26.2,23.7,30.8,,,,6.7,,,,Nilai
2014-01-07,26.5,24.3,30.0,,,,6.6,,,,Nilai
2014-01-08,27.6,24.6,31.9,,,,6.5,,,,Nilai
2014-01-09,26.1,23.8,30.8,,,,3.8,,,,Nilai
2014-01-10,25.6,23.8,27.8,,,,6.8,,,,Nilai
2014-01-11,27.2,23.8,31.8,,,,7.8,,,,Nilai
2014-01-12,26.9,23.8,30.8,,,,7.7,,,,Nilai
2014-01-13,26.8,23.8,31.8,,,,8.0,,,,Nilai
2014-01-14,26.8,24.8,30.5,,,,10.5,,,,Nilai
2014-01-15,26.8,,,,,,8.1,,,,Nilai
2014-01-16,26.5,23.8,29.8,,,,10.7,,,,Nilai
2014-01-17,26.7,23.8,30.8,,,,12.7,,,,Nilai
2014-01-18,26.4,23.8,29.8,,,,17.6,,,,Nilai
2014-01-19,27.0,24.6,30.9,,,,13.1,,,,Nilai
2014-01-20,26.1,23.8,28.8,,,,9.4,,,,Nilai
2014-01-21,26.2,22.8,30.8,,,,8.8,,,,Nilai
2014-01-22,25.3,22.8,27.8,,,,8.1,,,,Nilai
2014-01-23,26.1,22.8,30.8,,,,10.7,,,,Nilai
2014-01-24,26.7,23.8,30.8,,,,9.5,,,,Nilai
2014-01-25,26.6,22.8,30.8,,,,8.3,,,,Nilai
2014-01-26,26.5,22.8,31.8,,,,5.8,,,,Nilai
2014-01-27,26.9,22.8,32.3,,,,7.3,,,,Nilai
2014-01-28,26.3,23.8,28.8,,,,9.6,,,,Nilai
2014-01-29,27.6,22.8,32.8,,,,11.6,,,,Nilai
2014-01-30,27.6,,,,,,13.8,,,,Nilai
2014-01-31,27.2,23.2,32.8,,,,10.2,,,,Nilai
2014-02-01,26.7,20.8,33.8,,,,6.7,,,,Nilai
2014-02-02,27.0,22.8,31.8,,,,7.5,,,,Nilai
2014-02-03,27.5,22.8,32.9,,,,8.5,,,,Nilai
2014-02-04,27.6,22.8,34.8,,,,6.5,,,,Nilai
2014-02-05,27.1,22.8,32.1,,,,7.6,,,,Nilai
2014-02-06,27.8,23.8,31.8,,,,7.3,,,,Nilai
