date,overall_aqi
2013-12-31,76.0
2014-01-01,96.0
2014-01-02,66.0
2014-01-03,56.0
2014-01-04,86.0
2014-01-05,56.0
2014-01-06,56.0
2014-01-07,56.0
2014-01-08,66.0
2014-01-09,66.0
2014-01-10,66.0
2014-01-11,66.0
2014-01-12,86.0
2014-01-13,96.0
2014-01-14,86.0
2014-01-15,76.0
2014-01-16,66.0
2014-01-17,45.45
2014-01-18,45.45
2014-01-19,66.0
2014-01-20,42.59
2014-01-21,76.0
2014-01-22,76.0
2014-01-23,86.0
2014-01-24,66.0
2014-01-25,48.15
2014-01-26,159.45
2014-01-27,86.0
2014-01-28,76.0
2014-01-29,86.0
2014-01-30,76.0
2014-01-31,56.0
2014-02-01,45.45
2014-02-02,45.45
2014-02-03,66.0
2014-02-04,76.0
2014-02-05,56.0
2014-02-06,56.0
2014-02-07,66.0
2014-02-08,56.0
2014-02-09,86.0
2014-02-10,76.0
2014-02-11,76.0
2014-02-12,56.0
2014-02-13,56.0
2014-02-14,76.0
2014-02-15,34.09
2014-02-16,66.0
2014-02-17,34.09
2014-02-18,76.0
2014-02-19,56.0
2014-02-20,96.0
2014-02-21,56.0
2014-02-22,52.98
2014-02-23,66.0
2014-02-24,66.0
2014-02-25,76.0
2014-02-26,86.0
2014-02-27,76.0
2014-02-28,66.0
2014-03-01,76.0
2014-03-02,86.0
2014-03-03,66.0
2014-03-04,86.0
2014-03-05,96.0
2014-03-06,76.0
2014-03-07,109.45
2014-03-08,143.24
2014-03-09,126.34
2014-03-10,76.0
2014-03-11,109.45
2014-03-12,126.34
2014-03-13,126.34
2014-03-14,193.24
2014-03-15,126.34
2014-03-16,143.24
2014-03-17,193.24
2014-03-18,96.0
2014-03-19,204.32
2014-03-20,277.41
2014-03-21,237.54
2014-03-22,96.04
2014-03-23,96.0
2014-03-24,109.45
2014-03-25,159.45
2014-03-26,204.32
2014-03-27,159.45
2014-03-28,193.24
2014-03-29,126.34
2014-03-30,193.24
2014-03-31,224.26
2014-04-01,193.24
2014-04-02,204.32
2014-04-03,159.45
2014-04-04,109.45
2014-04-05,143.24
2014-04-06,109.45
2014-04-07,109.45
2014-04-08,86.0
2014-04-09,53.47
2014-04-10,56.44
2014-04-11,56.0
2014-04-12,76.0
2014-04-13,51.0
2014-04-14,41.67
2014-04-15,37.96
2014-04-16,45.45
2014-04-17,56.0
2014-04-18,446.0
2014-04-19,406.0
2014-04-20,204.32
2014-04-21,109.45
2014-04-22,126.34
2014-04-23,126.34
2014-04-24,96.0
2014-04-25,143.24
2014-04-26,86.0
2014-04-27,96.0
2014-04-28,51.0
2014-04-29,56.0
2014-04-30,45.45
2014-05-01,45.45
2014-05-02,40.74
2014-05-03,43.52
2014-05-04,14.62
2014-05-05,43.52
2014-05-06,34.26
2014-05-07,45.45
2014-05-08,37.04
2014-05-09,47.22
2014-05-10,56.0
2014-05-11,45.45
2014-05-12,45.45
2014-05-13,34.09
2014-05-14,34.26
2014-05-15,34.09
2014-05-16,34.09
2014-05-17,34.26
2014-05-18,34.26
2014-05-19,34.09
2014-05-20,34.09
2014-05-21,22.73
2014-05-22,34.09
2014-05-23,45.45
2014-05-24,24.07
2014-05-25,217.61
2014-05-26,66.0
2014-05-27,56.0
2014-05-28,56.0
2014-05-29,66.0
2014-05-30,56.0
2014-05-31,25.0
2014-06-01,34.09
2014-06-02,34.09
2014-06-03,45.45
2014-06-04,45.45
2014-06-05,29.63
2014-06-06,45.45
2014-06-07,34.09
2014-06-08,45.45
2014-06-09,176.34
2014-06-10,237.54
2014-06-11,34.09
2014-06-12,45.45
2014-06-13,22.73
2014-06-14,22.73
2014-06-15,34.09
2014-06-16,34.09
2014-06-17,34.09
2014-06-18,22.73
2014-06-19,34.09
2014-06-20,34.09
2014-06-21,34.09
2014-06-22,30.56
2014-06-23,34.09
2014-06-24,34.09
2014-06-25,20.37
2014-06-26,45.45
2014-06-27,45.45
2014-06-28,31.48
2014-06-29,34.26
2014-06-30,26.85
2014-07-01,24.07
2014-07-02,25.0
2014-07-03,45.45
2014-07-04,22.73
2014-07-05,24.07
2014-07-06,26.85
2014-07-07,56.0
2014-07-08,34.09
2014-07-09,22.73
2014-07-10,45.45
2014-07-11,45.45
2014-07-12,22.73
2014-07-13,34.09
2014-07-14,34.09
2014-07-15,34.09
2014-07-16,45.45
2014-07-17,34.09
2014-07-18,22.73
2014-07-19,15.74
2014-07-20,22.73
2014-07-21,14.81
2014-07-22,22.73
2014-07-23,23.15
2014-07-24,27.78
2014-07-25,22.73
2014-07-26,17.59
2014-07-27,34.09
2014-07-28,22.73
2014-07-29,24.07
2014-07-30,22.73
2014-07-31,22.73
2014-08-01,22.73
2014-08-02,16.67
2014-08-03,34.09
2014-08-04,34.09
2014-08-05,22.73
2014-08-06,17.59
2014-08-07,22.73
2014-08-08,22.73
2014-08-09,15.74
2014-08-10,34.09
2014-08-11,13.89
2014-08-12,22.73
2014-08-13,45.45
2014-08-14,17.59
2014-08-15,22.73
2014-08-16,22.73
2014-08-17,22.73
2014-08-18,34.09
2014-08-19,22.73
2014-08-20,22.73
2014-08-21,34.09
2014-08-22,22.73
2014-08-23,21.3
2014-08-24,19.44
2014-08-25,22.73
2014-08-26,24.07
2014-08-27,22.73
2014-08-28,22.73
2014-08-29,22.73
2014-08-30,22.73
2014-08-31,22.73
2014-09-01,13.89
2014-09-02,22.73
2014-09-03,22.73
2014-09-04,11.36
2014-09-05,12.04
2014-09-06,14.81
2014-09-07,22.73
2014-09-08,22.73
2014-09-09,24.07
2014-09-10,24.07
2014-09-11,24.07
2014-09-12,27.78
2014-09-13,24.07
2014-09-14,17.59
2014-09-15,109.45
2014-09-16,20.0
2014-09-17,22.73
2014-09-18,22.73
2014-09-19,14.81
2014-09-20,20.0
2014-09-21,45.45
2014-09-22,45.45
2014-09-23,34.09
2014-09-24,34.09
2014-09-25,34.09
2014-09-26,34.09
2014-09-27,22.73
2014-09-28,22.73
2014-09-29,34.09
2014-09-30,34.09
2014-10-01,22.73
2014-10-02,34.09
2014-10-03,23.15
2014-10-04,22.22
2014-10-05,66.0
2014-10-06,34.09
2014-10-07,23.15
2014-10-08,41.67
2014-10-09,46.3
2014-10-10,43.52
2014-10-11,34.09
2014-10-12,34.09
2014-10-13,34.09
2014-10-14,45.45
2014-10-15,48.15
2014-10-16,50.0
2014-10-17,204.32
2014-10-18,45.45
2014-10-19,76.0
2014-10-20,56.0
2014-10-21,56.0
2014-10-22,76.0
2014-10-23,86.0
2014-10-24,86.0
2014-10-25,86.0
2014-10-26,86.0
2014-10-27,86.0
2014-10-28,86.0
2014-10-29,66.0
2014-10-30,56.0
2014-10-31,56.0
2014-11-01,45.45
2014-11-02,34.09
2014-11-03,34.09
2014-11-04,66.0
2014-11-05,56.0
2014-11-06,34.09
2014-11-07,34.09
2014-11-08,45.45
2014-11-09,34.09
2014-11-10,45.45
2014-11-11,96.0
2014-11-12,30.56
2014-11-13,34.09
2014-11-14,36.11
2014-11-15,34.09
2014-11-16,45.45
2014-11-17,34.09
2014-11-18,35.19
2014-11-19,45.45
2014-11-20,34.26
2014-11-21,45.45
2014-11-22,33.33
2014-11-23,45.45
2014-11-24,66.0
2014-11-25,37.96
2014-11-26,37.96
2014-11-27,66.0
2014-11-28,33.33
2014-11-29,25.93
2014-11-30,76.0
2014-12-01,37.04
2014-12-02,34.09
