date,overall_aqi
01/01/2014,45.45
02/01/2014,143.24
03/01/2014,71.29
05/01/2014,86.0
06/01/2014,126.34
07/01/2014,109.45
08/01/2014,71.29
09/01/2014,62.38
10/01/2014,49.07
11/01/2014,49.07
12/01/2014,46.3
13/01/2014,39.81
14/01/2014,38.89
15/01/2014,49.07
16/01/2014,58.92
23/01/2014,15.09
26/01/2014,45.45
27/01/2014,56.44
28/01/2014,51.49
29/01/2014,54.96
30/01/2014,159.45
31/01/2014,51.0
02/02/2014,76.0
03/02/2014,126.34
04/02/2014,109.45
05/02/2014,69.31
06/02/2014,64.36
07/02/2014,59.91
08/02/2014,57.43
09/02/2014,56.0
10/02/2014,58.92
11/02/2014,57.43
12/02/2014,50.0
13/02/2014,59.41
14/02/2014,47.22
15/02/2014,34.09
16/02/2014,109.45
17/02/2014,63.37
18/02/2014,64.36
19/02/2014,57.43
20/02/2014,52.48
21/02/2014,47.22
22/02/2014,49.07
23/02/2014,58.42
24/02/2014,57.93
25/02/2014,58.92
26/02/2014,66.84
27/02/2014,61.89
28/02/2014,61.39
01/03/2014,60.9
02/03/2014,63.37
03/03/2014,76.0
04/03/2014,63.37
05/03/2014,66.0
06/03/2014,68.82
07/03/2014,64.86
08/03/2014,45.45
09/03/2014,61.89
10/03/2014,62.88
11/03/2014,66.0
12/03/2014,58.92
13/03/2014,61.39
14/03/2014,76.0
15/03/2014,143.24
18/03/2014,86.0
19/03/2014,109.45
20/03/2014,76.0
21/03/2014,53.47
22/03/2014,86.0
23/03/2014,76.0
24/03/2014,109.45
25/03/2014,126.34
26/03/2014,126.34
27/03/2014,86.0
28/03/2014,66.0
29/03/2014,56.44
30/03/2014,56.94
31/03/2014,56.0
01/04/2014,51.99
02/04/2014,56.0
03/04/2014,76.0
04/04/2014,48.15
05/04/2014,34.09
06/04/2014,34.09
07/04/2014,66.0
08/04/2014,47.22
09/04/2014,66.0
10/04/2014,60.4
13/04/2014,34.09
15/04/2014,45.45
19/04/2014,34.09
20/04/2014,54.96
23/04/2014,29.63
24/04/2014,48.15
25/04/2014,46.3
26/04/2014,43.52
27/04/2014,50.0
05/05/2014,22.73
06/05/2014,56.0
07/05/2014,34.26
08/05/2014,31.48
11/05/2014,12.04
12/05/2014,25.93
13/05/2014,11.11
14/05/2014,33.33
15/05/2014,25.93
16/05/2014,38.89
18/05/2014,18.52
19/05/2014,27.78
20/05/2014,24.07
21/05/2014,27.78
22/05/2014,26.85
23/05/2014,30.56
25/05/2014,23.15
26/05/2014,37.04
27/05/2014,26.85
28/05/2014,19.44
29/05/2014,76.0
30/05/2014,24.07
01/06/2014,86.0
02/06/2014,66.0
03/06/2014,56.0
04/06/2014,45.45
05/06/2014,45.45
06/06/2014,18.52
08/06/2014,45.45
09/06/2014,15.74
10/06/2014,15.74
11/06/2014,18.52
12/06/2014,66.0
13/06/2014,24.07
15/06/2014,45.45
16/06/2014,56.0
17/06/2014,45.45
18/06/2014,56.0
19/06/2014,45.45
20/06/2014,36.11
22/06/2014,56.0
23/06/2014,45.45
24/06/2014,45.45
25/06/2014,45.45
26/06/2014,22.22
27/06/2014,27.78
29/06/2014,34.09
30/06/2014,23.15
01/07/2014,22.73
02/07/2014,25.93
03/07/2014,27.78
04/07/2014,26.85
06/07/2014,11.36
07/07/2014,30.56
08/07/2014,23.15
09/07/2014,21.3
10/07/2014,16.67
13/07/2014,22.73
14/07/2014,34.09
15/07/2014,22.73
16/07/2014,22.73
17/07/2014,45.45
18/07/2014,22.73
19/07/2014,17.59
20/07/2014,45.45
21/07/2014,34.09
22/07/2014,45.45
23/07/2014,34.09
24/07/2014,34.09
25/07/2014,23.15
27/07/2014,45.45
28/07/2014,45.45
29/07/2014,45.45
30/07/2014,76.0
31/07/2014,19.44
12/08/2014,22.73
13/08/2014,22.73
14/08/2014,34.09
15/08/2014,27.78
17/08/2014,34.09
18/08/2014,17.59
19/08/2014,34.09
20/08/2014,18.52
21/08/2014,45.45
22/08/2014,45.45
23/08/2014,17.59
24/08/2014,56.0
25/08/2014,45.45
26/08/2014,45.45
27/08/2014,56.0
28/08/2014,34.09
29/08/2014,19.44
31/08/2014,22.73
01/09/2014,45.45
02/09/2014,45.45
03/09/2014,22.73
04/09/2014,56.0
05/09/2014,25.93
07/09/2014,34.09
08/09/2014,34.09
09/09/2014,34.09
10/09/2014,45.45
11/09/2014,45.45
12/09/2014,45.45
13/09/2014,18.52
14/09/2014,9.26
15/09/2014,56.0
16/09/2014,34.09
17/09/2014,45.45
18/09/2014,45.45
19/09/2014,21.3
21/09/2014,34.09
22/09/2014,34.09
23/09/2014,66.0
24/09/2014,14.81
28/09/2014,22.73
29/09/2014,66.0
30/09/2014,56.0
01/10/2014,45.45
02/10/2014,45.45
03/10/2014,24.07
17/10/2014,45.45
18/10/2014,34.09
19/10/2014,36.11
20/10/2014,34.09
21/10/2014,34.09
22/10/2014,27.78
23/10/2014,34.09
24/10/2014,34.09
25/10/2014,45.45
26/10/2014,34.09
27/10/2014,28.7
28/10/2014,22.73
29/10/2014,34.09
30/10/2014,45.45
31/10/2014,45.45
01/11/2014,26.85
02/11/2014,34.09
03/11/2014,66.0
04/11/2014,45.45
05/11/2014,45.45
06/11/2014,34.26
07/11/2014,30.56
08/11/2014,23.15
09/11/2014,76.0
10/11/2014,56.0
11/11/2014,45.45
12/11/2014,56.0
13/11/2014,56.0
14/11/2014,45.45
15/11/2014,36.11
16/11/2014,35.19
17/11/2014,45.45
18/11/2014,45.45
19/11/2014,76.0
20/11/2014,76.0
21/11/2014,96.0
22/11/2014,86.0
23/11/2014,66.0
24/11/2014,86.0
25/11/2014,76.0
26/11/2014,86.0
27/11/2014,96.0
28/11/2014,76.0
29/11/2014,56.44
30/11/2014,66.0
01/12/2014,66.0
02/12/2014,126.34
03/12/2014,109.45
04/12/2014,86.0
05/12/2014,96.0
06/12/2014,86.0
07/12/2014,66.0
08/12/2014,66.0
09/12/2014,66.0
10/12/2014,66.0
11/12/2014,66.0
12/12/2014,66.0
13/12/2014,66.0
14/12/2014,76.0
15/12/2014,66.0
16/12/2014,56.0
17/12/2014,56.0
18/12/2014,56.0
19/12/2014,66.0
20/12/2014,56.0
21/12/2014,66.0
22/12/2014,66.0
23/12/2014,76.0
24/12/2014,76.0
25/12/2014,76.0
26/12/2014,66.0
27/12/2014,66.0
28/12/2014,23.15
31/12/2014,45.45
01/01/2015,37.04
05/01/2015,193.24
06/01/2015,109.45
07/01/2015,76.0
08/01/2015,86.0
09/01/2015,27.78
11/01/2015,109.45
12/01/2015,66.0
13/01/2015,45.45
14/01/2015,76.0
15/01/2015,66.0
16/01/2015,57.43
17/01/2015,86.0
18/01/2015,76.0
19/01/2015,96.0
20/01/2015,126.34
21/01/2015,96.0
22/01/2015,96.0
23/01/2015,63.37
25/01/2015,193.24
26/01/2015,193.24
27/01/2015,204.32
28/01/2015,193.24
29/01/2015,96.0
30/01/2015,76.0
31/01/2015,56.44
