date, pm25, pm10, o3, no2, so2, co
2025/10/16, 100, , , , , 
2025/10/17, 100, , , , , 
2025/7/1, 90, , , , , 
2025/7/2, 86, , , , , 
2025/7/3, 85, , , , , 
2025/7/4, 86, , , , , 
2025/7/5, 86, , , , , 
2025/7/6, 93, , , , , 
2025/7/7, 98, , , , , 
2025/7/8, 101, , , , , 
2025/7/9, 99, , , , , 
2025/7/10, 101, , , , , 
2025/7/11, 99, , , , , 
2025/7/12, 99, , , , , 
2025/7/13, 95, , , , , 
2025/7/14, 98, , , , , 
2025/7/15, 100, , , , , 
2025/4/1, 96, , , , , 
2025/4/2, 108, , , , , 
2025/4/3, 74, , , , , 
2025/4/4, 69, , , , , 
2025/4/5, 62, , , , , 
2025/4/6, 70, , , , , 
2025/4/7, 75, , , , , 
2025/4/8, 77, , , , , 
2025/4/9, 74, , , , , 
2025/4/10, 71, , , , , 
2025/4/11, 78, , , , , 
2025/4/12, 56, , , , , 
2025/4/13, 54, , , , , 
2025/4/14, 60, , , , , 
2025/4/15, 58, , , , , 
2025/4/16, 62, , , , , 
2025/4/17, 55, , , , , 
2025/4/18, 51, , , , , 
2025/4/19, 55, , , , , 
2025/4/20, 53, , , , , 
2025/4/21, 61, , , , , 
2025/4/22, 63, , , , , 
2025/4/23, 60, , , , , 
2025/4/24, 54, , , , , 
2025/4/25, 63, , , , , 
2025/4/26, 55, , , , , 
2025/4/27, 55, , , , , 
2025/4/28, 64, , , , , 
2025/4/29, 73, , , , , 
2025/4/30, 88, , , , , 
2025/5/1, 84, , , , , 
2025/5/2, 84, , , , , 
2025/5/3, 66, , , , , 
2025/5/4, 57, , , , , 
2025/5/5, 62, , , , , 
2025/5/6, 62, , , , , 
2025/5/7, 57, , , , , 
2025/5/8, 49, , , , , 
2025/5/9, 59, , , , , 
2025/5/10, 59, , , , , 
2025/5/11, 61, , , , , 
2025/5/12, 55, , , , , 
2025/5/13, 59, , , , , 
2025/5/14, 58, , , , , 
2025/5/15, 61, , , , , 
2025/5/16, 69, , , , , 
2025/5/17, 68, , , , , 
2025/5/18, 72, , 14, , , 
2025/5/20, 94, , , , , 
2025/5/21, 93, , , , , 
2025/5/22, 95, , , , , 
2025/5/23, 101, , , , , 
2025/5/24, 100, , , , , 
2025/5/25, 100, , , , , 
2025/5/26, 100, , , , , 
2025/5/27, 98, , , , , 
2025/5/28, 94, , , , , 
2025/5/29, 98, , , , , 
2025/5/30, 98, , , , , 
2025/5/31, 98, , , , , 
2025/6/1, 95, , , , , 
2025/6/2, 91, , , , , 
2025/6/3, 94, , , , , 
2025/6/4, 95, , , , , 
2025/6/5, 98, , , , , 
2025/6/6, 93, , , , , 
2025/6/7, 94, , , , , 
2025/6/8, 98, , , , , 
2025/6/9, 100, , , , , 
2025/6/10, 99, , , , , 
2025/6/11, 100, , , , , 
2025/6/12, 100, , , , , 
2025/6/13, 101, , , , , 
2025/6/24, 88, , , , , 
2025/6/25, 85, , , , , 
2025/6/26, 83, , , , , 
2025/6/27, 82, , , , , 
2025/6/28, 80, , , , , 
2025/6/29, 87, , , , , 
2025/6/30, 88, , , , , 
2025/1/1, 81, , , , , 
2025/1/2, 95, , , , , 
2025/1/3, 80, , , , , 
2025/1/4, 80, , , , , 
2025/1/5, 100, , , , , 
2025/1/6, 96, , , , , 
2025/1/7, 122, , , , , 
2025/1/8, 150, , , , , 
2025/1/9, 124, , , , , 
2025/1/10, 88, , , , , 
2025/1/11, 73, , , , , 
2025/1/12, 84, , , , , 
2025/1/13, 109, , , , , 
2025/1/14, 126, , , , , 
2025/1/15, 113, , , , , 
2025/1/16, 70, , , , , 
2025/1/17, 83, , , , , 
2025/1/18, 111, , , , , 
2025/1/19, 120, , , , , 
2025/1/20, 118, , , , , 
2025/1/21, 145, , , , , 
2025/1/22, 145, , , , , 
2025/1/23, 161, , , , , 
2025/1/24, 162, , , , , 
2025/1/25, 138, , , , , 
2025/1/26, 135, , , , , 
2025/1/27, 97, , , , , 
2025/1/28, 84, , , , , 
2025/1/29, 92, , , , , 
2025/1/30, 128, , , , , 
2025/1/31, 154, , , , , 
2025/2/1, 146, , , , , 
2025/2/2, 147, , , , , 
2025/2/3, 140, , , , , 
2025/2/4, 129, , , , , 
2025/2/5, 137, , , , , 
2025/2/6, 124, , , , , 
2025/2/7, 122, , , , , 
2025/2/8, 127, , , , , 
2025/2/9, 85, , , , , 
2025/2/10, 88, , , , , 
2025/2/11, 139, , , , , 
2025/2/12, 156, , , , , 
2025/2/13, 157, , , , , 
2025/2/14, 139, , , , , 
2025/2/15, 116, , , , , 
2025/2/16, 104, , , , , 
2025/2/17, 87, , , , , 
2025/2/18, 71, , , , , 
2025/2/19, 89, , , , , 
2025/2/20, 91, , , , , 
2025/2/21, 102, , , , , 
2025/2/22, 99, , , , , 
2025/2/23, 103, , , , , 
2025/2/24, 78, , , , , 
2025/2/25, 74, , , , , 
2025/2/26, 83, , , , , 
2025/2/27, 121, , , , , 
2025/2/28, 117, , , , , 
2025/3/1, 83, , , , , 
2025/3/2, 66, , , , , 
2025/3/3, 71, , , , , 
2025/3/4, 69, , , , , 
2025/3/5, 57, , , , , 
2025/3/6, 62, , , , , 
2025/3/7, 72, , , , , 
2025/3/8, 81, , , , , 
2025/3/9, 79, , , , , 
2025/3/10, 101, , , , , 
2025/3/11, 95, , , , , 
2025/3/12, 71, , , , , 
2025/3/13, 71, , , , , 
2025/3/14, 83, , , , , 
2025/3/15, 74, , , , , 
2025/3/16, 65, , , , , 
2025/3/17, 67, , , , , 
2025/3/18, 83, , , , , 
2025/3/19, 99, , , , , 
2025/3/20, 119, , , , , 
2025/3/21, 121, , , , , 
2025/3/22, 136, , , , , 
2025/3/23, 153, , , , , 
2025/3/24, 149, , , , , 
2025/3/25, 126, , , , , 
2025/3/26, 116, , , , , 
2025/3/27, 119, , , , , 
2025/3/28, 123, , , , , 
2025/3/29, 121, , , , , 
2025/3/30, 96, , , , , 
2025/3/31, 77, , , , , 
2024/10/18, 61, , , , , 
2024/10/19, 62, , , , , 
2024/10/20, 40, , , , , 
2024/10/21, 50, , , , , 
2024/10/22, 64, , , , , 
2024/10/23, 66, , , , , 
2024/10/24, 71, , , , , 
2024/10/25, 91, , , , , 
2024/10/26, 74, , , , , 
2024/10/27, 60, , , , , 
2024/10/28, 47, , , , , 
2024/10/29, 60, , , , 1, 
2024/10/30, 69, , , , 1, 
2024/10/31, 87, , , , , 
2024/11/1, 79, , , , , 
2024/11/2, 78, , , , , 
2024/11/3, 76, , , , , 
2024/11/4, 72, , , , , 
2024/11/5, 47, , , , , 
2024/11/6, 50, , , , , 
2024/11/7, 59, , , , , 
2024/11/8, 65, , , , , 
2024/11/9, 64, , , , , 
2024/11/10, 82, , , , , 
2024/11/11, 76, , , , 1, 
2024/11/12, 79, , , , , 
2024/11/13, 80, , , , , 
2024/11/14, 85, , , , , 
2024/11/15, 63, , , , , 
2024/11/16, 75, , , , 1, 
2024/11/17, 71, , , , , 
2024/11/18, 62, , , , , 
2024/11/19, 61, , , , , 
2024/11/20, 58, , , , , 
2024/11/21, 52, , , , , 
2024/11/22, 54, , , , , 
2024/11/23, 52, , , , , 
2024/11/24, 47, , , , , 
2024/11/25, 51, , , , , 
2024/11/26, 51, , , , , 
2024/11/27, 55, , , , , 
2024/11/28, 54, , , , , 
2024/11/29, 63, , , , , 
2024/11/30, 72, , , , , 
2024/12/1, 86, , , , 1, 
2024/12/2, 86, , , , 1, 
2024/12/3, 91, , , , 2, 
2024/12/4, 84, , , , 1, 
2024/12/5, 62, , , , 1, 
2024/12/6, 67, , , , 1, 
2024/12/7, 77, , , , 3, 
2024/12/8, 68, , , , 1, 
2024/12/9, 69, , , , 1, 
2024/12/10, 68, , , , 2, 
2024/12/11, 88, , , , 4, 
2024/12/12, 63, , , , 5, 
2024/12/13, 58, , , , 5, 
2024/12/14, 51, , , , 5, 
2024/12/15, 48, , , , 5, 
2024/12/16, 61, , , , 9, 
2024/12/17, 77, , , , 7, 
2024/12/18, 76, , , , 10, 
2024/12/19, 77, , , , 42, 
2024/12/20, 78, , , , 34, 
2024/12/21, 81, , , , 7, 
2024/12/22, 77, , , , , 
2024/12/23, 89, , , , , 
2024/12/24, 81, , , , , 
2024/12/25, 87, , , , , 
2024/12/26, 94, , , , , 
2024/12/27, 79, , , , , 
2024/12/28, 64, , , , , 
2024/12/29, 59, , , , , 
2024/7/1, 50, , , , , 
2024/7/2, 59, , , , , 
2024/7/3, 56, , , , , 
2024/7/4, 58, , , , , 
2024/7/5, 44, , , , , 
2024/7/6, 52, , , , , 
2024/7/7, 60, , , , 2, 
2024/7/8, 53, , , , , 
2024/7/9, 51, , , , 1, 
2024/7/10, 46, , , , , 
2024/7/11, 42, , , , , 
2024/7/12, 38, , , , , 
2024/7/13, 43, , , , , 
2024/7/14, 48, , , , , 
2024/7/15, 62, , , , , 
2024/7/16, 54, , , , , 
2024/7/17, 48, , , , , 
2024/7/18, 46, , , , , 
2024/7/19, 43, , , , , 
2024/7/20, 45, , , , , 
2024/7/21, 58, , , , , 
2024/7/22, 54, , , , , 
2024/7/23, 51, , , , , 
2024/7/24, 34, , , , , 
2024/7/25, 41, , , , , 
2024/7/26, 46, , , , , 
2024/7/27, 36, , , , , 
2024/7/28, 28, , , , , 
2024/7/29, 34, , , , 1, 
2024/7/30, 31, , , , , 
2024/7/31, 35, , , , , 
2024/8/1, 38, , , , , 
2024/8/2, 45, , , , , 
2024/8/3, 42, , , , , 
2024/8/4, 38, , , , , 
2024/8/5, 34, , , , , 
2024/8/6, 47, , , , , 
2024/8/7, 80, , , , , 
2024/8/8, 83, , , , , 
2024/8/9, 90, , , , , 
2024/8/10, 68, , , , , 
2024/8/11, 75, , , , , 
2024/8/12, 67, , , , 1, 
2024/8/13, 65, , , , , 
2024/8/14, 71, , , , , 
2024/8/15, 64, , , , , 
2024/8/16, 83, , , , , 
2024/8/17, 94, , , , , 
