date, pm25, pm10, o3, no2, so2, co
2023/10/1, 34, , , , , 
2023/10/2, 41, , , , , 
2023/10/3, 37, , , , , 
2023/10/4, 46, , , , , 
2023/10/5, 40, , , , , 
2023/10/6, 36, , , , , 
2023/10/7, 36, , , , , 
2023/10/8, 35, , , , , 
2023/10/9, 50, , , , , 
2023/10/10, 62, , , , , 
2023/10/11, 88, , , , , 
2023/10/12, 89, , , , , 
2023/10/13, 62, , , , , 
2023/10/14, 49, , , , , 
2023/10/15, 65, , , , , 
2023/10/16, 67, , , , , 
2023/10/17, 109, , , , , 
2023/10/18, 72, , , , , 
2023/10/19, 84, , , , , 
2023/10/20, 97, , , , , 
2023/10/21, 51, , , , , 
2023/10/22, 49, , , , , 
2023/10/23, 55, , , , , 
2023/10/24, 65, , , , , 
2023/10/25, 48, , , , , 
2023/10/26, 64, , , , , 
2023/10/27, 53, , , , , 
2023/10/28, 63, , , , , 
2023/10/31, 398, , , , , 
2023/7/1, 37, , , , , 
2023/7/2, 30, , , , , 
2023/7/3, 36, , , , , 
2023/7/4, 47, , , , , 
2023/7/5, 44, , , , , 
2023/7/6, 36, , , , , 
2023/7/7, 46, , , , , 
2023/7/8, 43, , , , , 
2023/7/9, 43, , , , , 
2023/7/10, 40, , , , , 
2023/7/11, 80, , , , , 
2023/7/12, 45, , , , , 
2023/7/13, 49, , , , , 
2023/7/14, 47, , , , , 
2023/7/15, 58, , , , , 
2023/7/16, 99, , , , , 
2023/7/17, 37, , , , , 
2023/7/18, 87, , , , , 
2023/7/19, 47, , , , , 
2023/7/20, 55, , , , , 
2023/7/21, 51, , , , , 
2023/7/22, 58, , , , , 
2023/7/23, 50, , , , , 
2023/7/24, 48, , , , , 
2023/7/25, 51, , , , , 
2023/7/26, 52, , , , , 
2023/7/27, 47, , , , , 
2023/7/28, 42, , , , , 
2023/7/29, 50, , , , , 
2023/7/30, 50, , , , , 
2023/7/31, 49, , , , , 
2023/8/1, 51, , , , , 
2023/8/2, 59, , , , , 
2023/8/3, 59, , , , , 
2023/8/4, 53, , , , , 
2023/8/5, 53, , , , , 
2023/8/6, 48, , , , , 
2023/8/7, 43, , , , , 
2023/8/8, 45, , , , , 
2023/8/9, 48, , , , , 
2023/8/10, 50, , , , , 
2023/8/11, 43, , , , , 
2023/8/12, 54, , , , , 
2023/8/13, 55, , , , , 
2023/8/14, 54, , , , , 
2023/8/15, 48, , , , , 
2023/8/16, 45, , , , , 
2023/8/17, 50, , , , , 
2023/8/18, 51, , , , , 
2023/8/19, 64, , , , , 
2023/8/20, 61, , , , , 
2023/8/21, 40, , , , , 
2023/8/22, 121, , , , , 
2023/8/23, 67, , , , , 
2023/8/24, 26, , , , , 
2023/8/25, 36, , , , , 
2023/8/26, 37, , , , , 
2023/8/27, 37, , , , , 
2023/8/28, 43, , , , , 
2023/8/29, 39, , , , , 
2023/8/30, 37, , , , , 
2023/8/31, 47, , , , , 
2023/9/1, 52, , , , , 
2023/9/2, 55, , , , , 
2023/9/3, 33, , , , , 
2023/9/4, 37, , , , , 
2023/9/5, 25, , , , , 
2023/9/6, 38, , , , , 
2023/9/7, 39, , , , , 
2023/9/8, 36, , , , , 
2023/9/9, 38, , , , , 
2023/9/10, 29, , , , , 
2023/9/11, 31, , , , , 
2023/9/12, 38, , , , , 
2023/9/13, 42, , , , , 
2023/9/14, 39, , , , , 
2023/9/15, 33, , , , , 
2023/9/16, 34, , , , , 
2023/9/17, 23, , , , , 
2023/9/18, 39, , , , , 
2023/9/19, 55, , , , , 
2023/9/20, 67, , , , , 
2023/9/21, 51, , , , , 
2023/9/22, 44, , , , , 
2023/9/23, 56, , , , , 
2023/9/24, 53, , , , , 
2023/9/25, 52, , , , , 
2023/9/26, 43, , , , , 
2023/9/27, 34, , , , , 
2023/9/28, 31, , , , , 
2023/9/29, 42, , , , , 
2023/9/30, 44, , , , , 
2023/4/1, 73, , , , , 
2023/4/2, 72, , , , , 
2023/4/3, 82, , , , , 
2023/4/4, 91, , , , , 
2023/4/5, 94, , , , , 
2023/4/6, 89, , , , , 
2023/4/7, 78, , , , , 
2023/4/8, 75, , , , , 
2023/4/9, 70, , , , , 
2023/4/10, 60, , , , , 
2023/4/11, 115, , , , , 
2023/4/12, 92, , , , , 
2023/4/13, 116, , , , , 
2023/4/14, 121, , , , , 
2023/4/15, 142, , , , , 
2023/4/16, 127, , , , , 
2023/4/17, 136, , , , , 
2023/4/18, 114, , , , , 
2023/4/19, 115, , , , , 
2023/4/20, 118, , , , , 
2023/4/21, 139, , , , , 
2023/4/22, 142, , , , , 
2023/4/23, 107, , , , , 
2023/4/24, 78, , , , , 
2023/4/25, 72, , , , , 
2023/4/26, 73, , , , , 
2023/4/27, 95, , , , , 
2023/4/28, 76, , , , , 
2023/4/29, 106, , , , , 
2023/4/30, 62, , , , , 
2023/5/1, 79, , , , , 
2023/5/2, 106, , , , , 
2023/5/3, 63, , , , , 
2023/5/4, 57, , , , , 
2023/5/5, 73, , , , , 
2023/5/6, 67, , , , , 
2023/5/7, 71, , , , , 
2023/5/8, 108, , , , , 
2023/5/9, 64, , , , , 
2023/5/10, 128, , , , , 
2023/5/11, 67, , , , , 
2023/5/12, 86, , , , , 
2023/5/13, 50, , , , , 
2023/5/14, 54, , , , , 
2023/5/15, 74, , , , , 
2023/5/16, 86, , , , , 
2023/5/17, 80, , , , , 
2023/5/18, 70, , , , , 
2023/5/19, 110, , , , , 
2023/5/20, 80, , , , , 
2023/5/21, 77, , , , , 
2023/5/22, 73, , , , , 
2023/5/23, 77, , , , , 
2023/5/24, 70, , , , , 
2023/5/25, 70, , , , , 
2023/5/26, 82, , , , , 
2023/5/27, 75, , , , , 
2023/5/28, 68, , , , , 
2023/5/29, 60, , , , , 
2023/5/30, 48, , , , , 
2023/5/31, 57, , , , , 
2023/6/1, 69, , , , , 
2023/6/2, 68, , , , , 
2023/6/3, 65, , , , , 
2023/6/4, 104, , , , , 
2023/6/5, 86, , , , , 
2023/6/6, 57, , , , , 
2023/6/7, 56, , , , , 
2023/6/8, 50, , , , , 
2023/6/9, 39, , , , , 
2023/6/10, 74, , , , , 
2023/6/11, 35, , , , , 
2023/6/12, 46, , , , , 
2023/6/13, 75, , , , , 
2023/6/14, 33, , , , , 
2023/6/15, 116, , , , , 
2023/6/16, 33, , , , , 
2023/6/17, 39, , , , , 
2023/6/18, 35, , , , , 
2023/6/19, 40, , , , , 
2023/6/20, 50, , , , , 
2023/6/21, 55, , , , , 
2023/6/22, 91, , , , , 
2023/6/23, 60, , , , , 
2023/6/24, 43, , , , , 
2023/6/25, 42, , , , , 
2023/6/26, 42, , , , , 
2023/6/27, 41, , , , , 
2023/6/28, 43, , , , , 
2023/6/29, 46, , , , , 
2023/6/30, 40, , , , , 
2023/1/24, 83, , , , , 
2023/1/25, 74, , , , , 
2023/1/26, 82, , , , , 
2023/1/27, 121, , , , , 
2023/1/28, 62, , , , , 
2023/1/29, 82, , , , , 
2023/1/30, 102, , , , , 
2023/1/31, 137, , , , , 
2023/2/1, 217, , , , , 
2023/2/2, 151, , , , , 
2023/2/3, 101, , , , , 
2023/2/4, 92, , , , , 
2023/2/5, 65, , , , , 
2023/2/6, 62, , , , , 
2023/2/7, 59, , , , , 
2023/2/8, 62, , , , , 
2023/2/9, 58, , , , , 
2023/2/10, 57, , , , , 
2023/2/11, 59, , , , , 
2023/2/12, 630, , , , , 
2023/2/13, 75, , , , , 
2023/2/14, 74, , , , , 
2023/2/15, 70, , , , , 
2023/2/16, 72, , , , , 
2023/2/17, 94, , , , , 
2023/2/18, 146, , , , , 
2023/2/19, 149, , , , , 
2023/2/20, 126, , , , , 
2023/2/21, 120, , , , , 
2023/2/22, 130, , , , , 
2023/2/23, 132, , , , , 
2023/2/24, 148, , , , , 
2023/2/25, 128, , , , , 
2023/2/26, 102, , , , , 
2023/2/27, 111, , , , , 
2023/2/28, 132, , , , , 
2023/3/1, 132, , , , , 
2023/3/2, 129, , , , , 
2023/3/3, 121, , , , , 
2023/3/4, 137, , , , , 
2023/3/5, 129, , , , , 
2023/3/6, 141, , , , , 
2023/3/7, 155, , , , , 
2023/3/8, 155, , , , , 
2023/3/9, 124, , , , , 
2023/3/10, 121, , , , , 
2023/3/11, 139, , , , , 
2023/3/12, 105, , , , , 
2023/3/13, 130, , , , , 
2023/3/14, 190, , , , , 
2023/3/15, 122, , , , , 
2023/3/16, 87, , , , , 
2023/3/17, 78, , , , , 
2023/3/18, 70, , , , , 
2023/3/19, 77, , , , , 
2023/3/20, 72, , , , , 
2023/3/21, 73, , , , , 
2023/3/22, 55, , , , , 
2023/3/23, 61, , , , , 
2023/3/24, 61, , , , , 
2023/3/25, 65, , , , , 
2023/3/26, 59, , , , , 
2023/3/27, 64, , , , , 
2023/3/28, 58, , , , , 
2023/3/29, 53, , , , , 
2023/3/30, 58, , , , , 
2023/3/31, 67, , , , , 
2022/10/1, 48, , 3, , , 
2022/10/2, 54, , 3, , , 
2022/10/3, 52, , , , , 
2022/10/4, 41, , , , , 
2022/10/5, 52, , , , , 
2022/10/6, 54, , , , , 
2022/10/7, 45, , , , , 
2022/10/8, 52, , , , , 
2022/10/9, 41, , 3, , , 
2022/10/10, 43, , 3, , , 
2022/10/11, 47, , , , , 
2022/10/12, 57, , , , , 
2022/10/17, 86, , 3, , , 
2022/10/18, 91, , , , , 
2022/10/19, 105, , , , , 
2022/10/20, 87, , , , , 
2022/10/21, 72, , , , , 
2022/10/22, 81, , , , , 
2022/10/23, 70, , , , , 
2022/10/24, 78, , , , , 
2022/10/25, 87, , , , , 
2022/10/26, 67, , , , , 
2022/10/27, 42, , 3, , , 
2022/10/28, 49, , 3, , , 
2022/10/29, 55, , , , , 
2022/10/30, 76, , , , , 
2022/10/31, 100, , , , , 
2022/11/1, 80, , , , , 
2022/11/2, 64, , , , , 
2022/11/3, 71, , , , , 
2022/11/4, 67, , , , , 
2022/11/5, 74, , , , , 
2022/11/6, 72, , , , , 
2022/11/7, 74, , , , , 
2022/11/8, 77, , , , , 
2022/11/9, 73, , , , , 
2022/11/10, 63, , , , , 
2022/11/11, 88, , , , , 
2022/11/12, 70, , , , , 
2022/11/13, 223, , , , , 
2022/11/28, 55, , , , , 
2022/11/29, 66, , , , , 
2022/11/30, 67, , , , , 
2022/12/1, 72, , , , , 
2022/12/2, 56, , , , , 
2022/12/3, 47, , , , , 
2022/12/4, 40, , , , , 
2022/12/5, 46, , , , , 
2022/12/6, 41, , , , , 
2022/12/7, 54, , , , , 
2022/12/8, 52, , , , , 
2022/12/9, 53, , 70, , , 
2022/12/10, 58, , , , , 
2022/12/11, 357, , , , , 
2022/7/1, 45, , 4, , , 
2022/7/2, 40, , 4, , , 
2022/7/3, 37, , 4, , , 
2022/7/4, 37, , 4, , , 
2022/7/5, 39, , 4, , , 
2022/7/6, 74, , 4, , , 
2022/7/7, 44, , 4, , , 
2022/7/8, 38, , 4, , , 
2022/7/9, 40, , 5, , , 
2022/7/10, 39, , 4, , , 
2022/7/11, 41, , 5, , , 
2022/7/12, 42, , 8, , , 
2022/7/13, 55, , 8, , , 
2022/7/14, 54, , 4, , , 
2022/7/15, 49, , 5, , , 
2022/7/16, 48, , 4, , , 
2022/7/17, 42, , 4, , , 
2022/7/18, 44, , 4, , , 
2022/7/19, 54, , 4, , , 
2022/7/20, 42, , 4, , , 
2022/7/21, 38, , 4, , , 
2022/7/22, 34, , 3, , , 
2022/7/23, 40, , 3, , , 
2022/7/24, 50, , 3, , , 
2022/7/25, 53, , 3, , , 
2022/7/26, 45, , 3, , , 
2022/7/27, 52, , 3, , , 
2022/7/28, 48, , 3, , , 
2022/7/29, 51, , 3, , , 
2022/7/30, 49, , 2, , , 
2022/7/31, 37, , 3, , , 
2022/8/1, 41, , 3, , , 
2022/8/2, 37, , 2, , , 
2022/8/3, 37, , 3, , , 
2022/8/4, 105, , 3, , , 
2022/8/5, 37, , 3, , , 
2022/8/6, 43, , 3, , , 
2022/8/7, 29, , 3, , , 
2022/8/8, 32, , 3, , , 
2022/8/9, 37, , 3, , , 
2022/8/10, 40, , 3, , , 
2022/8/11, 44, , 3, , , 
2022/8/12, 46, , 3, , , 
2022/8/13, 46, , 3, , , 
2022/8/14, 75, , 3, , , 
2022/8/15, 42, , 3, , , 
2022/8/16, 37, , 3, , , 
2022/8/17, 43, , 3, , , 
2022/8/18, 37, , 4, , , 
2022/8/19, 39, , 3, , , 
2022/8/20, 41, , 3, , , 
2022/8/21, 50, , 2, , , 
2022/8/22, 40, , 3, , , 
2022/8/23, 51, , 3, , , 
2022/8/24, 56, , 3, , , 
2022/8/25, 52, , 3, , , 
2022/8/26, 42, , 3, , , 
2022/8/27, 46, , 3, , , 
2022/8/28, 43, , 3, , , 
2022/8/29, 48, , , , , 
2022/8/30, 60, , 3, , , 
2022/8/31, 61, , 3, , , 
2022/9/1, 57, , 3, , , 
2022/9/2, 65, , 3, , , 
2022/9/3, 58, , 3, , , 
2022/9/4, 38, , 3, , , 
2022/9/5, 38, , 4, , , 
2022/9/6, 41, , 5, , , 
2022/9/7, 31, , 4, , , 
