Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Thailand,Bangkok,01/01/2014,204.32,23.05,63.54,5.19
Thailand,Bangkok,02/01/2014,176.34,23.2,65.25,5.27
Thailand,Bangkok,03/01/2014,159.45,24.29,67.21,5.97
Thailand,Bangkok,04/01/2014,73.77,25.38,69.83,4.07
Thailand,Bangkok,05/01/2014,176.34,25.48,68.12,6.43
Thailand,Bangkok,06/01/2014,126.34,25.85,72.08,5.07
Thailand,Bangkok,07/01/2014,176.34,26.58,73.71,5.3
Thailand,Bangkok,08/01/2014,126.34,27.11,72.38,2.57
Thailand,Bangkok,09/01/2014,96,27.5,64.29,8.67
Thailand,Bangkok,10/01/2014,126.34,26.29,57.96,10.18
Thailand,Bangkok,11/01/2014,176.34,25.95,57.92,8.25
Thailand,Bangkok,12/01/2014,66,26.02,55.33,8.76
Thailand,Bangkok,13/01/2014,96,25.38,55.58,9.78
Thailand,Bangkok,14/01/2014,76,23.61,55.17,10.97
Thailand,Bangkok,15/01/2014,96,22.41,51.33,9.46
Thailand,Bangkok,16/01/2014,176.34,21.5,50.5,8.23
Thailand,Bangkok,17/01/2014,96,22.34,53.12,9.12
Thailand,Bangkok,18/01/2014,109.45,22.28,55.04,13.17
Thailand,Bangkok,19/01/2014,143.24,21.28,55.67,9.64
Thailand,Bangkok,20/01/2014,126.34,21.88,53.67,9.68
Thailand,Bangkok,21/01/2014,143.24,22.29,49.42,12.99
Thailand,Bangkok,22/01/2014,193.24,20.47,46.33,12.02
Thailand,Bangkok,23/01/2014,217.61,20.05,49.79,8.64
Thailand,Bangkok,24/01/2014,277.41,20.52,55.58,5.18
Thailand,Bangkok,25/01/2014,76.74,21.43,60.38,5.63
Thailand,Bangkok,27/01/2014,159.45,24.48,66.58,5.41
Thailand,Bangkok,28/01/2014,176.34,25.04,63.42,5.15
Thailand,Bangkok,29/01/2014,193.24,25.73,64.75,4.82
Thailand,Bangkok,30/01/2014,143.24,25.83,63.21,5.08
Thailand,Bangkok,31/01/2014,159.45,25.2,62.17,6.22
Thailand,Bangkok,01/02/2014,96,25.27,68.79,6.49
Thailand,Bangkok,02/02/2014,109.45,25.93,69.96,8.56
Thailand,Bangkok,03/02/2014,96,26.95,70.54,8.35
Thailand,Bangkok,04/02/2014,86,26.92,75.96,11.45
Thailand,Bangkok,05/02/2014,86,27,77.54,14.18
Thailand,Bangkok,06/02/2014,76,26.98,74.5,12.58
Thailand,Bangkok,07/02/2014,76,26.66,76.92,14.04
Thailand,Bangkok,08/02/2014,76,26.51,74.71,13.33
Thailand,Bangkok,09/02/2014,96,26.48,67.96,7.8
Thailand,Bangkok,10/02/2014,86,26.45,69.92,6.63
Thailand,Bangkok,11/02/2014,76,25.98,69.5,10.58
Thailand,Bangkok,12/02/2014,76,26.59,74.54,11.68
Thailand,Bangkok,13/02/2014,76,26.7,76.21,10.91
Thailand,Bangkok,14/02/2014,45.45,27.04,75.29,9.31
Thailand,Bangkok,15/02/2014,86,26.98,74.75,9.66
Thailand,Bangkok,16/02/2014,86,27,76,12.6
Thailand,Bangkok,17/02/2014,86,27.2,75.08,12.81
Thailand,Bangkok,18/02/2014,86,27.36,73.58,12.38
Thailand,Bangkok,19/02/2014,126.34,27.7,73.58,9.83
