date,relative_humidity_2m,temperature_2m_c,wind_speed_10m_km_h
2010-01-01,65.92,26.18,6.11
2010-01-02,64.00,26.78,4.45
2010-01-03,64.67,26.64,7.28
2010-01-04,65.29,26.40,4.71
2010-01-05,63.92,27.35,3.35
2010-01-06,62.04,27.57,4.99
2010-01-07,72.79,24.08,9.66
2010-01-08,85.75,21.49,6.06
2010-01-09,71.12,22.87,4.99
2010-01-10,66.54,24.95,3.58
2010-01-11,58.83,25.82,4.18
2010-01-12,56.88,23.92,12.73
2010-01-13,55.29,20.92,11.84
2010-01-14,56.00,21.03,10.10
2010-01-15,62.00,22.44,7.59
2010-01-16,61.88,23.20,14.82
2010-01-17,56.83,22.28,12.84
2010-01-18,57.29,21.60,10.68
2010-01-19,61.62,22.53,8.63
2010-01-20,76.58,22.22,10.35
2010-01-21,87.29,22.36,7.66
2010-01-22,95.04,22.77,4.71
2010-01-23,90.96,23.52,5.61
2010-01-24,74.79,23.02,6.76
2010-01-25,71.21,24.25,8.80
2010-01-26,64.71,23.56,10.01
2010-01-27,69.12,23.32,6.71
2010-01-28,72.33,24.60,6.79
2010-01-29,70.46,25.57,3.99
2010-01-30,68.79,26.14,4.48
2010-01-31,66.38,27.11,4.72
2010-02-01,67.79,27.00,4.19
2010-02-02,65.17,27.64,4.75
2010-02-03,69.42,27.43,2.79
2010-02-04,73.50,27.32,4.86
2010-02-05,75.67,27.30,4.12
2010-02-06,74.83,27.25,6.10
2010-02-07,78.54,26.45,2.81
2010-02-08,71.38,27.49,4.60
2010-02-09,65.29,28.25,4.45
2010-02-10,60.79,28.62,6.30
2010-02-11,60.50,28.80,5.74
2010-02-12,58.75,28.78,4.98
2010-02-13,60.83,27.08,8.27
2010-02-14,68.25,28.11,5.41
2010-02-15,59.04,29.23,5.66
2010-02-16,58.00,27.92,10.35
2010-02-17,58.71,24.95,11.22
2010-02-18,55.42,23.70,11.88
2010-02-19,57.17,22.09,12.62
2010-02-20,62.04,21.62,6.60
2010-02-21,68.00,25.02,4.71
2010-02-22,62.25,27.35,5.73
2010-02-23,60.79,27.66,6.92
2010-02-24,56.38,28.51,10.93
2010-02-25,49.79,29.12,9.48
2010-02-26,42.38,28.59,5.21
2010-02-27,50.25,29.04,5.96
2010-02-28,49.38,29.55,7.77
2010-03-01,53.04,30.31,8.22
2010-03-02,53.29,30.57,9.45
2010-03-03,48.62,31.28,10.28
2010-03-04,43.96,30.92,11.09
2010-03-05,40.29,30.10,10.13
2010-03-06,37.67,30.34,7.68
2010-03-07,42.42,31.11,7.18
2010-03-08,45.79,31.87,6.89
2010-03-09,50.50,28.75,15.45
2010-03-10,50.25,21.05,14.09
2010-03-11,52.50,22.72,9.01
2010-03-12,52.88,26.98,4.70
2010-03-13,46.58,30.25,8.85
2010-03-14,44.50,31.12,9.06
2010-03-15,45.83,30.97,6.03
2010-03-16,48.71,30.48,10.17
2010-03-17,51.38,27.65,9.50
2010-03-18,51.58,27.63,13.10
2010-03-19,49.12,27.37,6.91
2010-03-20,47.25,29.41,4.15
2010-03-21,54.21,29.91,4.28
2010-03-22,58.17,30.10,4.45
2010-03-23,52.54,31.00,8.05
2010-03-24,49.58,31.43,9.63
2010-03-25,54.54,29.45,11.89
2010-03-26,44.83,24.43,9.91
2010-03-27,47.42,25.82,8.66
2010-03-28,52.71,26.54,10.85
2010-03-29,56.38,27.21,7.76
2010-03-30,54.50,29.55,3.88
2010-03-31,53.88,30.58,6.15
2010-04-01,54.79,31.05,6.66
2010-04-02,51.12,31.96,5.31
2010-04-03,52.00,31.95,7.72
2010-04-04,55.79,32.23,7.51
2010-04-05,46.04,33.68,8.67
2010-04-06,46.50,34.06,10.49
2010-04-07,47.38,33.63,8.15
2010-04-08,51.58,33.18,9.10
2010-04-09,50.46,33.01,10.94
2010-04-10,46.29,32.80,12.32
2010-04-11,44.50,32.74,11.02
2010-04-12,40.21,32.86,11.33
2010-04-13,39.92,33.21,9.70
2010-04-14,41.62,33.00,7.23
2010-04-15,46.12,33.63,7.62
2010-04-16,64.79,27.90,12.75
2010-04-17,65.71,28.07,7.52
2010-04-18,68.42,29.59,4.65
2010-04-19,51.62,31.86,9.21
2010-04-20,51.25,32.03,9.96
2010-04-21,47.38,32.80,11.38
2010-04-22,44.96,33.78,9.46
2010-04-23,55.21,31.21,10.60
2010-04-24,61.54,27.92,7.00
2010-04-25,57.04,30.56,4.39
2010-04-26,61.92,30.87,3.28
2010-04-27,75.42,28.00,4.48
2010-04-28,77.08,28.37,3.61
2010-04-29,70.54,29.50,4.68
2010-04-30,65.96,29.84,5.08
2010-05-01,73.12,28.41,4.30
2010-05-02,72.25,29.03,3.14
2010-05-03,70.83,29.20,6.53
2010-05-04,64.92,30.49,7.52
2010-05-05,60.42,31.52,10.60
2010-05-06,56.50,32.55,9.95
2010-05-07,53.79,33.45,8.79
2010-05-08,52.96,33.78,8.43
2010-05-09,57.88,32.89,9.08
2010-05-10,66.46,31.09,9.09
2010-05-11,73.17,29.20,3.43
2010-05-12,74.54,29.37,3.74
2010-05-13,63.08,31.31,5.64
2010-05-14,57.29,32.59,6.64
2010-05-15,61.25,31.83,6.96
2010-05-16,72.67,30.12,2.81
2010-05-17,73.21,30.38,4.47
2010-05-18,72.79,30.06,5.45
2010-05-19,63.04,31.35,8.50
2010-05-20,57.67,32.02,11.05
2010-05-21,56.04,32.38,11.27
2010-05-22,57.25,31.76,8.21
2010-05-23,62.79,30.82,8.56
2010-05-24,62.75,30.78,7.68
2010-05-25,69.71,29.57,9.04
2010-05-26,68.96,29.15,10.89
2010-05-27,64.04,29.78,11.65
2010-05-28,66.50,29.99,10.63
2010-05-29,67.12,29.92,10.45
2010-05-30,63.67,30.79,8.98
2010-05-31,56.21,32.12,11.36
2010-06-01,52.17,32.97,11.78
2010-06-02,61.21,31.67,9.08
2010-06-03,87.08,26.98,6.04
2010-06-04,88.42,26.32,5.74
