date,relative_humidity_2m,temperature_2m_c,wind_speed_10m_km_h
2010-01-01,71.58,27.45,7.15
2010-01-02,75.08,27.59,9.95
2010-01-03,80.50,26.91,7.96
2010-01-04,84.04,26.59,8.24
2010-01-05,86.50,26.22,6.95
2010-01-06,84.46,26.55,10.59
2010-01-07,84.88,26.44,10.68
2010-01-08,83.75,26.83,8.68
2010-01-09,76.38,27.18,7.56
2010-01-10,80.96,26.82,6.00
2010-01-11,78.54,27.04,5.72
2010-01-12,78.00,27.02,3.74
2010-01-13,77.83,26.92,6.77
2010-01-14,74.04,27.15,13.15
2010-01-15,72.33,27.06,13.18
2010-01-16,70.42,27.22,11.28
2010-01-17,71.08,27.27,10.41
2010-01-18,71.96,27.12,9.86
2010-01-19,72.62,26.93,8.88
2010-01-20,72.33,27.08,8.28
2010-01-21,74.12,27.32,6.53
2010-01-22,79.92,26.95,6.59
2010-01-23,77.54,27.61,7.12
2010-01-24,74.46,27.91,10.09
2010-01-25,71.25,27.90,8.40
2010-01-26,73.42,27.71,10.68
2010-01-27,72.88,27.85,9.12
2010-01-28,75.71,27.58,8.98
2010-01-29,72.04,27.85,7.08
2010-01-30,74.08,27.60,7.10
2010-01-31,73.79,27.78,6.65
2010-02-01,73.96,27.60,7.37
2010-02-02,73.12,27.44,7.50
2010-02-03,74.21,28.02,5.62
2010-02-04,76.29,28.04,5.41
2010-02-05,73.71,27.89,5.68
2010-02-06,70.42,27.53,6.98
2010-02-07,74.67,28.01,7.15
2010-02-08,72.50,27.92,8.53
2010-02-09,75.29,27.85,8.70
2010-02-10,77.12,28.33,8.35
2010-02-11,72.08,28.12,8.65
2010-02-12,72.00,27.77,8.58
2010-02-13,68.62,28.57,8.62
2010-02-14,72.29,28.21,9.56
2010-02-15,68.04,28.02,7.89
2010-02-16,66.79,28.66,9.38
2010-02-17,72.00,28.45,8.10
2010-02-18,72.62,28.64,11.05
2010-02-19,73.33,28.09,9.08
2010-02-20,71.46,28.08,7.90
2010-02-21,71.38,28.38,6.33
2010-02-22,74.71,28.17,5.68
2010-02-23,75.04,28.13,7.10
2010-02-24,79.88,27.63,6.12
2010-02-25,82.21,27.35,6.82
2010-02-26,78.62,28.34,6.55
2010-02-27,75.29,28.66,5.36
2010-02-28,77.83,28.59,7.41
2010-03-01,78.88,28.31,6.77
2010-03-02,80.54,28.41,5.74
2010-03-03,79.88,28.64,8.20
2010-03-04,77.17,28.65,8.83
2010-03-05,74.04,28.57,11.41
2010-03-06,71.50,28.54,10.47
2010-03-07,70.17,28.30,13.82
2010-03-08,75.12,28.53,7.58
2010-03-09,73.58,28.71,8.17
2010-03-10,73.25,28.54,6.95
2010-03-11,74.12,28.23,14.19
2010-03-12,75.42,28.41,9.19
2010-03-13,73.62,28.65,7.01
2010-03-14,74.33,28.46,7.35
2010-03-15,71.38,28.84,5.96
2010-03-16,70.50,28.57,6.51
2010-03-17,64.38,29.75,9.98
2010-03-18,67.29,29.73,14.29
2010-03-19,70.17,29.18,9.89
2010-03-20,73.04,28.54,7.73
2010-03-21,72.46,28.59,4.39
2010-03-22,72.46,28.89,6.62
2010-03-23,71.50,28.90,8.12
2010-03-24,69.50,29.50,6.92
2010-03-25,77.96,29.43,6.71
2010-03-26,78.04,29.56,6.46
2010-03-27,74.25,29.02,12.35
2010-03-28,75.33,28.46,9.99
2010-03-29,77.29,28.07,6.52
2010-03-30,79.17,27.78,6.09
2010-03-31,77.62,28.15,5.55
2010-04-01,78.08,28.14,4.93
2010-04-02,77.42,28.48,5.62
2010-04-03,77.54,28.73,4.68
2010-04-04,77.71,28.73,8.18
2010-04-05,79.38,28.79,6.73
2010-04-06,79.83,28.82,5.38
2010-04-07,76.58,29.35,5.82
2010-04-08,75.42,29.46,7.86
2010-04-09,76.58,29.35,7.72
2010-04-10,77.54,29.18,5.69
