time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h)
2010-01-01T00:00,27.1,72,6.8
2010-01-01T01:00,26.9,74,8.3
2010-01-01T02:00,26.6,73,8.9
2010-01-01T03:00,26.5,72,9.9
2010-01-01T04:00,26.4,72,11
2010-01-01T05:00,26.2,72,11.2
2010-01-01T06:00,26.1,73,9.7
2010-01-01T07:00,26.1,74,8.4
2010-01-01T08:00,26.1,75,7.9
2010-01-01T09:00,26.4,74,7.3
2010-01-01T10:00,26.8,73,8.4
2010-01-01T11:00,27.3,71,8.9
2010-01-01T12:00,27.9,69,10.7
2010-01-01T13:00,28.5,66,10.4
2010-01-01T14:00,29.1,63,6.9
2010-01-01T15:00,29.2,63,1.3
2010-01-01T16:00,29,66,4.1
2010-01-01T17:00,28.5,69,5.1
2010-01-01T18:00,28.2,71,3.9
2010-01-01T19:00,28.1,73,2.9
2010-01-01T20:00,28,74,3.2
2010-01-01T21:00,28,75,3.6
2010-01-01T22:00,27.9,77,5.2
2010-01-01T23:00,27.8,77,7.6
2010-01-02T00:00,27.6,76,9.8
2010-01-02T01:00,27.5,75,11.4
2010-01-02T02:00,27.2,76,12
2010-01-02T03:00,26.8,79,11.3
2010-01-02T04:00,26.6,80,10.8
2010-01-02T05:00,26.4,80,10.2
2010-01-02T06:00,26.4,81,10.2
2010-01-02T07:00,26.3,81,9.8
2010-01-02T08:00,26.5,81,10
2010-01-02T09:00,26.7,79,11
2010-01-02T10:00,27.2,77,13.1
2010-01-02T11:00,27.8,74,14.9
2010-01-02T12:00,28.4,71,14.5
2010-01-02T13:00,28.9,69,13.7
2010-01-02T14:00,29.1,68,11.2
2010-01-02T15:00,29.2,67,10
2010-01-02T16:00,29.1,68,6.3
2010-01-02T17:00,28.7,69,4
2010-01-02T18:00,28.2,72,6.8
2010-01-02T19:00,27.9,75,7.1
2010-01-02T20:00,27.4,77,7
2010-01-02T21:00,27.3,77,7
2010-01-02T22:00,27.4,76,8.6
2010-01-02T23:00,27.6,74,8.1
2010-01-03T00:00,27.6,73,8.8
2010-01-03T01:00,27.3,75,8.7
2010-01-03T02:00,27.3,74,9
2010-01-03T03:00,27,76,9.5
2010-01-03T04:00,26.8,77,9.4
2010-01-03T05:00,26.6,79,7.1
2010-01-03T06:00,26.7,79,6.5
2010-01-03T07:00,26.6,80,7.7
2010-01-03T08:00,26.7,80,8.1
2010-01-03T09:00,26.6,82,7.8
2010-01-03T10:00,26.8,82,11.5
2010-01-03T11:00,27,81,14.6
2010-01-03T12:00,27.7,77,13.4
2010-01-03T13:00,28.4,73,10.9
2010-01-03T14:00,27.6,81,8.7
2010-01-03T15:00,27.5,82,4.6
2010-01-03T16:00,27.3,83,1.6
2010-01-03T17:00,26.4,87,8.7
2010-01-03T18:00,26.5,86,5.4
2010-01-03T19:00,26.8,84,2.3
2010-01-03T20:00,26.5,84,4.1
2010-01-03T21:00,26,87,6.6
2010-01-03T22:00,26,86,8.3
2010-01-03T23:00,26.2,84,7.8
2010-01-04T00:00,25.8,87,7.8
2010-01-04T01:00,26.2,84,9.2
2010-01-04T02:00,26.8,82,10
2010-01-04T03:00,26.7,83,9.7
2010-01-04T04:00,26.7,83,10.7
2010-01-04T05:00,26.6,84,10.5
2010-01-04T06:00,26.5,86,12.2
2010-01-04T07:00,26.4,86,12.3
2010-01-04T08:00,26.5,86,12.5
2010-01-04T09:00,26.6,85,13.9
2010-01-04T10:00,26.9,84,12.4
2010-01-04T11:00,26.8,82,9.8
2010-01-04T12:00,27.2,80,6.6
2010-01-04T13:00,27.5,80,5.5
2010-01-04T14:00,27.2,82,4.9
2010-01-04T15:00,27.5,81,7.3
2010-01-04T16:00,27.5,81,10.3
2010-01-04T17:00,27.2,82,7.7
2010-01-04T18:00,26.6,84,4.3
2010-01-04T19:00,26,88,3.1
2010-01-04T20:00,25.7,88,3.6
2010-01-04T21:00,25.9,85,4.2
2010-01-04T22:00,25.7,87,3.9
2010-01-04T23:00,25.7,87,5.4
2010-01-05T00:00,25.7,87,4.9
2010-01-05T01:00,25.6,86,4.5
2010-01-05T02:00,25.3,88,3.3
2010-01-05T03:00,25.3,89,4.2
2010-01-05T04:00,24.3,98,6.5
2010-01-05T05:00,25.3,91,7.4
2010-01-05T06:00,25.5,90,6.5
2010-01-05T07:00,25.9,88,5.5
2010-01-05T08:00,26.2,86,6.6
2010-01-05T09:00,26.6,84,9.1
2010-01-05T10:00,26.9,83,11.3
2010-01-05T11:00,27.2,82,11.1
2010-01-05T12:00,27.6,81,10.9
2010-01-05T13:00,28,79,11.3
2010-01-05T14:00,27.8,81,10.6
2010-01-05T15:00,28,80,9.4
2010-01-05T16:00,28,79,5.9
2010-01-05T17:00,27.8,79,3.7
2010-01-05T18:00,26.6,84,3.6
2010-01-05T19:00,25.9,88,1.6
2010-01-05T20:00,24.6,97,3.3
2010-01-05T21:00,25.7,87,7.1
2010-01-05T22:00,24.4,98,8.9
2010-01-05T23:00,25.2,91,9.7
2010-01-06T00:00,25.7,87,9.8
2010-01-06T01:00,26,86,10.3
2010-01-06T02:00,26.5,86,10.9
2010-01-06T03:00,26.5,85,11.6
2010-01-06T04:00,26.4,85,11.7
2010-01-06T05:00,26.2,86,11.4
2010-01-06T06:00,26.1,85,12.6
2010-01-06T07:00,26.5,83,13
2010-01-06T08:00,26.5,84,14.2
2010-01-06T09:00,26.8,82,13.3
2010-01-06T10:00,26.7,84,13.4
2010-01-06T11:00,26.5,85,14.5
2010-01-06T12:00,26.4,86,12.9
2010-01-06T13:00,26.7,85,11.4
2010-01-06T14:00,27.8,80,10
2010-01-06T15:00,27.6,80,10.4
2010-01-06T16:00,27.3,81,9.6
2010-01-06T17:00,26.7,84,7.2
2010-01-06T18:00,26.7,84,7.8
2010-01-06T19:00,26.5,85,4.7
2010-01-06T20:00,26.2,88,5.4
2010-01-06T21:00,26,87,7.6
2010-01-06T22:00,26.3,85,9.5
2010-01-06T23:00,26.5,84,11
2010-01-07T00:00,26.6,84,9.9
2010-01-07T01:00,26.4,86,7.6
2010-01-07T02:00,26.4,84,8
2010-01-07T03:00,26.1,88,8.6
2010-01-07T04:00,25.9,87,9.7
2010-01-07T05:00,25.7,89,7.6
2010-01-07T06:00,25.6,89,11.9
2010-01-07T07:00,25.6,88,12.2
2010-01-07T08:00,26.2,85,13
2010-01-07T09:00,26.6,83,13
2010-01-07T10:00,27,81,12.4
2010-01-07T11:00,27.1,80,11.7
2010-01-07T12:00,26.5,85,10.6
2010-01-07T13:00,25.9,87,10.2
2010-01-07T14:00,26.4,84,12.5
2010-01-07T15:00,26.7,83,11.3
2010-01-07T16:00,26.8,83,9.8
2010-01-07T17:00,26.7,84,10.5
2010-01-07T18:00,26.7,84,12.5
2010-01-07T19:00,26.8,84,11.9
2010-01-07T20:00,26.8,84,10.5
2010-01-07T21:00,26.8,84,10.1
2010-01-07T22:00,26.7,85,10.5
2010-01-07T23:00,26.6,86,10.3
2010-01-08T00:00,26.6,86,10.7
2010-01-08T01:00,26.6,86,10.5
2010-01-08T02:00,26.6,86,9.8
2010-01-08T03:00,26.6,86,9.2
2010-01-08T04:00,26.2,87,9.2
2010-01-08T05:00,26.4,85,8.6
2010-01-08T06:00,26.4,85,8
2010-01-08T07:00,26.3,85,7.8
2010-01-08T08:00,26.5,85,8.3
2010-01-08T09:00,26.5,86,9.2
2010-01-08T10:00,26.7,85,10.6
2010-01-08T11:00,27.1,83,10.9
2010-01-08T12:00,27.3,82,10.7
2010-01-08T13:00,27.6,82,8.3
2010-01-08T14:00,27.7,81,6.8
2010-01-08T15:00,27.5,81,14.1
2010-01-08T16:00,26.8,83,10.5
