City,Date,AQI,Tempa,Precipitation,Windspeed,AtmoPressure
Kuching,01/01/2014,23,25.2,0,9.9,0
Kuching,02/01/2014,14,24.8,0,6.1,0
Kuching,03/01/2014,21,25.7,0,7.8,0
Kuching,04/01/2014,25,25.8,0,6.7,0
Kuching,05/01/2014,19,24.2,0,5.9,0
Kuching,06/01/2014,15,25.2,0,6.8,0
Kuching,07/01/2014,18,25.4,0,7.2,0
Kuching,08/01/2014,31,25.1,0,5.4,0
Kuching,09/01/2014,35,25.9,0,3.6,0
Kuching,10/01/2014,25,24.4,0,4.3,0
Kuching,11/01/2014,24,25,0,7.2,0
Kuching,12/01/2014,28,25.5,0,6.6,0
Kuching,13/01/2014,27,26,0,10.2,0
Kuching,14/01/2014,33,25.8,0,9.8,0
Kuching,15/01/2014,29,24.8,0,6.2,0
Kuching,16/01/2014,37,26.4,0,10.2,0
Kuching,17/01/2014,38,25.5,0,9.4,0
Kuching,18/01/2014,30,26.9,0,11.3,0
Kuching,19/01/2014,22,24.8,0,10.1,0
Kuching,20/01/2014,31,26.2,0,11.8,0
Kuching,21/01/2014,39,25.7,0,14.2,0
Kuching,22/01/2014,36,24.3,0,8.7,0
Kuching,23/01/2014,33,23.6,0,5.1,0
Kuching,24/01/2014,41,25.3,0,10.5,0
Kuching,25/01/2014,40,25.5,0,6.1,0
Kuching,26/01/2014,43,25.3,0,7.9,0
Kuching,27/01/2014,29,25.4,0,8.2,0
Kuching,28/01/2014,34,25.2,0,8.6,0
Kuching,29/01/2014,29,26.1,0,10.8,0
Kuching,30/01/2014,26,24.9,0,7.6,0
Kuching,31/01/2014,26,26.1,0,9.6,0
Kuching,01/02/2014,23,26,0,10.2,0
Kuching,02/02/2014,22,25.7,0,9.2,0
Kuching,03/02/2014,25,25.3,0,7,0
Kuching,04/02/2014,31,25.8,0,6.7,0
Kuching,05/02/2014,37,25.8,0,6.4,0
Kuching,06/02/2014,43,27.1,0,6.9,0
Kuching,07/02/2014,43,27.2,0,8.9,0
Kuching,08/02/2014,33,27.7,0,8.3,0
Kuching,09/02/2014,20,27.7,0,9.4,0
Kuching,10/02/2014,22,27.2,0,7.7,0
Kuching,11/02/2014,21,28.1,0,8.9,0
Kuching,12/02/2014,19,27.4,0,7.2,0
Kuching,13/02/2014,23,26.6,0,5.7,0
Kuching,14/02/2014,22,25.8,0,6.8,0
Kuching,15/02/2014,23,25.9,2.8,8.4,0
Kuching,16/02/2014,26,26.3,0,7.8,0
Kuching,17/02/2014,26,25.7,0,6.9,0
Kuching,18/02/2014,36,27,0,6.7,0
Kuching,19/02/2014,31,27.1,0,6.9,0
Kuching,20/02/2014,28,25.8,0,7.5,0
Kuching,21/02/2014,25,25.3,0,8.3,0
Kuching,22/02/2014,39,26.5,0,9.7,0
Kuching,23/02/2014,35,25.9,0,8,0
Kuching,24/02/2014,30,25.8,0,8.8,0
Kuching,25/02/2014,30,26.7,0,9.9,0
Kuching,26/02/2014,32,27.1,0,7.6,0
Kuching,27/02/2014,35,26.9,0,9.1,0
Kuching,28/02/2014,33,25.9,0,6.4,0
Kuching,01/03/2014,39,25.8,0,6.6,0
Kuching,02/03/2014,28,25.7,0,5.9,0
Kuching,03/03/2014,28,26.9,0,6.7,0
Kuching,04/03/2014,37,27.2,0,7.2,0
Kuching,05/03/2014,32,27.2,0,8.9,0
Kuching,06/03/2014,36,26.6,0,8.5,0
Kuching,07/03/2014,45,27.3,0,9.8,0
Kuching,08/03/2014,45,26.6,0,7.8,0
Kuching,09/03/2014,35,26.3,0,8.5,0
Kuching,10/03/2014,31,26.2,0,9.5,0
Kuching,11/03/2014,38,26,0,8.7,0
Kuching,12/03/2014,43,26.4,0,8.5,0
Kuching,13/03/2014,36,26.1,0,7.3,0
Kuching,14/03/2014,38,27.2,0,7.9,0
Kuching,15/03/2014,33,28,0,7.5,0
Kuching,16/03/2014,25,27.8,0,7,0
Kuching,17/03/2014,22,26.3,0,8,0
Kuching,18/03/2014,21,25.4,0,5.8,0
Kuching,19/03/2014,26,26.1,0,6.5,0
Kuching,20/03/2014,28,26.6,0,7.4,0
Kuching,21/03/2014,36,27,0,7.6,0
Kuching,22/03/2014,40,26.8,0,8.1,0
Kuching,23/03/2014,32,27.1,0,7.7,0
Kuching,24/03/2014,30,26.5,0,7,0
Kuching,25/03/2014,33,26.2,0,5.9,0
Kuching,26/03/2014,40,26.7,0,5.9,0
Kuching,27/03/2014,35,25,0,7.6,0
Kuching,28/03/2014,29,27.4,0,7.5,0
Kuching,29/03/2014,30,27.4,0,6.2,0
Kuching,30/03/2014,35,28.1,0,6.4,0
Kuching,31/03/2014,27,27.6,0,4.6,0
Kuching,01/04/2014,26,26.4,0,6.2,0
Kuching,02/04/2014,28,27.4,0,5.5,0
Kuching,03/04/2014,27,26.5,0,5.5,0
Kuching,04/04/2014,32,25.9,0,6,0
Kuching,05/04/2014,23,27,0,6,0
Kuching,06/04/2014,27,26,0,5.4,0
Kuching,07/04/2014,35,26.7,0,5.2,0
Kuching,08/04/2014,30,26.3,0,4.5,0
