Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Malaysia,KualaLumpur,2014-01-01,25.43,84.41,8.40
Malaysia,KualaLumpur,2014-01-02,25.58,86.57,8.09
Malaysia,KualaLumpur,2014-01-03,24.42,92.79,9.89
Malaysia,KualaLumpur,2014-01-04,24.23,93.34,11.18
Malaysia,KualaLumpur,2014-01-05,24.42,91.38,6.83
Malaysia,KualaLumpur,2014-01-06,24.73,89.78,10.51
Malaysia,KualaLumpur,2014-01-07,24.33,92.37,12.56
Malaysia,KualaLumpur,2014-01-08,25.29,84.87,7.63
Malaysia,KualaLumpur,2014-01-09,24.41,90.66,9.39
Malaysia,KualaLumpur,2014-01-10,24.31,91.33,10.81
Malaysia,KualaLumpur,2014-01-11,24.61,88.66,11.49
Malaysia,KualaLumpur,2014-01-12,24.91,88.31,7.95
Malaysia,KualaLumpur,2014-01-13,24.87,87.72,8.67
Malaysia,KualaLumpur,2014-01-14,24.22,87.27,9.79
Malaysia,KualaLumpur,2014-01-15,24.39,82.82,7.09
Malaysia,KualaLumpur,2014-01-16,24.71,81.25,8.59
Malaysia,KualaLumpur,2014-01-17,24.84,79.61,8.40
Malaysia,KualaLumpur,2014-01-18,24.57,76.60,11.98
Malaysia,KualaLumpur,2014-01-19,24.37,79.55,10.46
Malaysia,KualaLumpur,2014-01-20,23.94,82.92,9.42
Malaysia,KualaLumpur,2014-01-21,23.99,80.89,9.35
Malaysia,KualaLumpur,2014-01-22,23.45,80.59,8.37
Malaysia,KualaLumpur,2014-01-23,23.90,80.71,8.40
Malaysia,KualaLumpur,2014-01-24,24.67,82.38,10.31
Malaysia,KualaLumpur,2014-01-25,24.74,83.61,10.04
Malaysia,KualaLumpur,2014-01-26,24.71,83.86,8.09
Malaysia,KualaLumpur,2014-01-27,24.79,81.62,10.63
Malaysia,KualaLumpur,2014-01-28,24.32,82.49,8.40
Malaysia,KualaLumpur,2014-01-29,24.39,78.36,10.64
Malaysia,KualaLumpur,2014-01-30,24.27,76.81,12.41
Malaysia,KualaLumpur,2014-01-31,24.53,72.80,12.64
Malaysia,KualaLumpur,2014-02-01,24.78,75.96,12.96
Malaysia,KualaLumpur,2014-02-02,25.19,78.18,13.36
Malaysia,KualaLumpur,2014-02-03,24.86,75.38,14.83
Malaysia,KualaLumpur,2014-02-04,25.12,73.96,13.71
Malaysia,KualaLumpur,2014-02-05,25.61,76.62,17.31
Malaysia,KualaLumpur,2014-02-06,26.10,77.95,13.40
Malaysia,KualaLumpur,2014-02-07,26.50,78.65,11.97
Malaysia,KualaLumpur,2014-02-08,26.81,78.26,12.29
Malaysia,KualaLumpur,2014-02-09,26.58,78.73,16.39
Malaysia,KualaLumpur,2014-02-10,27.04,78.47,15.12
Malaysia,KualaLumpur,2014-02-11,27.42,73.61,15.68
Malaysia,KualaLumpur,2014-02-12,27.70,71.15,9.09
Malaysia,KualaLumpur,2014-02-13,27.42,72.66,6.62
Malaysia,KualaLumpur,2014-02-14,27.74,68.25,8.22
Malaysia,KualaLumpur,2014-02-15,27.68,63.32,10.59
Malaysia,KualaLumpur,2014-02-16,27.40,69.57,10.80
Malaysia,KualaLumpur,2014-02-17,27.44,70.31,9.89
Malaysia,KualaLumpur,2014-02-18,27.76,73.15,9.69
Malaysia,KualaLumpur,2014-02-19,27.71,75.54,8.21
Malaysia,KualaLumpur,2014-02-20,25.90,78.60,10.14
Malaysia,KualaLumpur,2014-02-21,25.64,82.61,10.18
Malaysia,KualaLumpur,2014-02-22,26.40,73.58,9.73
Malaysia,KualaLumpur,2014-02-23,26.17,68.54,8.40
Malaysia,KualaLumpur,2014-02-24,26.75,65.34,11.88
Malaysia,KualaLumpur,2014-02-25,27.15,67.63,16.75
Malaysia,KualaLumpur,2014-02-26,27.33,67.44,13.32
Malaysia,KualaLumpur,2014-02-27,27.94,65.53,14.39
Malaysia,KualaLumpur,2014-02-28,27.87,65.76,9.23
Malaysia,KualaLumpur,2014-03-01,28.23,67.18,11.66
Malaysia,KualaLumpur,2014-03-02,27.47,76.47,9.18
Malaysia,KualaLumpur,2014-03-03,26.54,85.14,11.79
Malaysia,KualaLumpur,2014-03-04,25.63,86.31,11.30
Malaysia,KualaLumpur,2014-03-05,26.14,72.26,14.17
Malaysia,KualaLumpur,2014-03-06,26.70,68.17,12.57
Malaysia,KualaLumpur,2014-03-07,27.26,67.67,9.89
Malaysia,KualaLumpur,2014-03-08,27.08,67.54,13.70
Malaysia,KualaLumpur,2014-03-09,27.29,66.24,16.98
Malaysia,KualaLumpur,2014-03-10,27.40,62.57,11.92
Malaysia,KualaLumpur,2014-03-11,28.13,57.38,13.91
Malaysia,KualaLumpur,2014-03-12,28.05,65.96,12.48
Malaysia,KualaLumpur,2014-03-13,28.06,70.43,11.93
Malaysia,KualaLumpur,2014-03-14,28.38,71.29,10.14
Malaysia,KualaLumpur,2014-03-15,27.12,79.84,9.79
Malaysia,KualaLumpur,2014-03-16,25.44,88.07,6.88
Malaysia,KualaLumpur,2014-03-17,25.77,86.57,8.71
Malaysia,KualaLumpur,2014-03-18,25.27,89.33,6.49
Malaysia,KualaLumpur,2014-03-19,26.33,85.65,7.42
Malaysia,KualaLumpur,2014-03-20,25.34,91.70,10.08
Malaysia,KualaLumpur,2014-03-21,26.38,86.49,9.73
Malaysia,KualaLumpur,2014-03-22,26.44,81.09,12.40
Malaysia,KualaLumpur,2014-03-23,26.66,79.03,8.23
Malaysia,KualaLumpur,2014-03-24,26.68,77.42,8.77
Malaysia,KualaLumpur,2014-03-25,27.23,75.94,10.99
Malaysia,KualaLumpur,2014-03-26,27.52,77.48,8.70
Malaysia,KualaLumpur,2014-03-27,27.87,76.73,13.22
Malaysia,KualaLumpur,2014-03-28,26.53,85.73,15.54
Malaysia,KualaLumpur,2014-03-29,25.55,90.94,14.57
Malaysia,KualaLumpur,2014-03-30,26.61,86.65,10.31
Malaysia,KualaLumpur,2014-03-31,25.90,89.26,11.30
Malaysia,KualaLumpur,2014-04-01,25.84,88.89,9.34
Malaysia,KualaLumpur,2014-04-02,26.32,87.59,10.80
Malaysia,KualaLumpur,2014-04-03,25.46,91.07,14.51
Malaysia,KualaLumpur,2014-04-04,26.25,88.22,8.37
Malaysia,KualaLumpur,2014-04-05,24.23,95.76,10.99
Malaysia,KualaLumpur,2014-04-06,25.28,89.76,8.43
Malaysia,KualaLumpur,2014-04-07,26.12,86.50,9.69
Malaysia,KualaLumpur,2014-04-08,25.65,88.25,9.75
Malaysia,KualaLumpur,2014-04-09,25.60,89.61,9.73
Malaysia,KualaLumpur,2014-04-10,25.22,91.36,10.70
Malaysia,KualaLumpur,2014-04-11,25.84,87.76,11.25
Malaysia,KualaLumpur,2014-04-12,25.44,89.15,11.87
Malaysia,KualaLumpur,2014-04-13,25.80,88.89,12.39
Malaysia,KualaLumpur,2014-04-14,25.75,90.26,10.37
Malaysia,KualaLumpur,2014-04-15,25.64,89.02,10.83
Malaysia,KualaLumpur,2014-04-16,25.31,90.95,10.04
Malaysia,KualaLumpur,2014-04-17,25.85,88.70,9.75
Malaysia,KualaLumpur,2014-04-18,25.40,90.05,9.39
Malaysia,KualaLumpur,2014-04-19,25.86,89.41,8.67
Malaysia,KualaLumpur,2014-04-20,25.33,91.73,7.99
Malaysia,KualaLumpur,2014-04-21,25.52,90.45,8.59
Malaysia,KualaLumpur,2014-04-22,25.90,89.31,9.75
Malaysia,KualaLumpur,2014-04-23,25.89,89.61,10.14
Malaysia,KualaLumpur,2014-04-24,24.44,93.33,9.93
Malaysia,KualaLumpur,2014-04-25,26.47,87.26,10.24
Malaysia,KualaLumpur,2014-04-26,25.81,91.20,8.71
Malaysia,KualaLumpur,2014-04-27,25.20,92.01,10.25
Malaysia,KualaLumpur,2014-04-28,25.41,93.97,9.47
Malaysia,KualaLumpur,2014-04-29,25.90,91.02,9.90
Malaysia,KualaLumpur,2014-04-30,25.93,90.96,8.71
Malaysia,KualaLumpur,2014-05-01,25.75,91.79,8.37
Malaysia,KualaLumpur,2014-05-02,26.22,91.53,7.90
Malaysia,KualaLumpur,2014-05-03,25.83,89.98,9.11
Malaysia,KualaLumpur,2014-05-04,26.56,87.75,8.40
Malaysia,KualaLumpur,2014-05-05,26.21,90.00,8.71
Malaysia,KualaLumpur,2014-05-06,26.48,89.20,9.83
Malaysia,KualaLumpur,2014-05-07,26.05,89.78,8.77
Malaysia,KualaLumpur,2014-05-08,25.69,92.67,9.83
Malaysia,KualaLumpur,2014-05-09,26.70,87.48,9.45
Malaysia,KualaLumpur,2014-05-10,25.33,93.40,8.05
Malaysia,KualaLumpur,2014-05-11,26.25,89.25,8.29
Malaysia,KualaLumpur,2014-05-12,25.71,92.18,7.15
Malaysia,KualaLumpur,2014-05-13,25.92,89.80,9.02
Malaysia,KualaLumpur,2014-05-14,25.32,93.06,12.78
Malaysia,KualaLumpur,2014-05-15,26.27,86.14,8.89
Malaysia,KualaLumpur,2014-05-16,26.04,92.16,9.39
Malaysia,KualaLumpur,2014-05-17,25.57,92.28,5.80
Malaysia,KualaLumpur,2014-05-18,25.09,94.68,9.98
Malaysia,KualaLumpur,2014-05-19,26.24,85.80,7.97
Malaysia,KualaLumpur,2014-05-20,25.19,93.11,8.67
Malaysia,KualaLumpur,2014-05-21,26.09,88.41,6.79
Malaysia,KualaLumpur,2014-05-22,26.18,90.42,8.56
Malaysia,KualaLumpur,2014-05-23,25.57,91.24,10.83
Malaysia,KualaLumpur,2014-05-24,26.65,86.96,8.77
Malaysia,KualaLumpur,2014-05-25,26.68,89.17,9.18
Malaysia,KualaLumpur,2014-05-26,25.75,90.83,10.95
Malaysia,KualaLumpur,2014-05-27,26.03,89.60,6.41
Malaysia,KualaLumpur,2014-05-28,26.24,90.88,8.05
Malaysia,KualaLumpur,2014-05-29,25.89,90.30,11.87
Malaysia,KualaLumpur,2014-05-30,25.16,92.58,11.90
Malaysia,KualaLumpur,2014-05-31,25.44,91.92,9.09
Malaysia,KualaLumpur,2014-06-01,26.22,88.43,9.06
Malaysia,KualaLumpur,2014-06-02,26.40,87.04,8.59
Malaysia,KualaLumpur,2014-06-03,25.69,93.31,9.72
Malaysia,KualaLumpur,2014-06-04,25.14,93.60,13.39
Malaysia,KualaLumpur,2014-06-05,25.54,91.88,11.16
Malaysia,KualaLumpur,2014-06-06,26.15,88.38,13.68
Malaysia,KualaLumpur,2014-06-07,26.85,86.19,15.63
Malaysia,KualaLumpur,2014-06-08,27.36,88.48,14.49
Malaysia,KualaLumpur,2014-06-09,27.37,86.60,9.34
