Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Malaysia,PetalingJaya,2014-01-01,25.83,82.71,8.40
Malaysia,PetalingJaya,2014-01-02,25.99,85.60,8.09
Malaysia,PetalingJaya,2014-01-03,24.68,93.15,9.89
Malaysia,PetalingJaya,2014-01-04,24.51,93.21,11.18
Malaysia,PetalingJaya,2014-01-05,24.69,91.36,6.83
Malaysia,PetalingJaya,2014-01-06,24.91,88.81,10.51
Malaysia,PetalingJaya,2014-01-07,24.58,91.86,12.56
Malaysia,PetalingJaya,2014-01-08,25.62,84.59,7.63
Malaysia,PetalingJaya,2014-01-09,24.54,90.82,9.39
Malaysia,PetalingJaya,2014-01-10,24.67,90.19,10.81
Malaysia,PetalingJaya,2014-01-11,25.06,87.34,11.49
Malaysia,PetalingJaya,2014-01-12,25.32,86.79,7.95
Malaysia,PetalingJaya,2014-01-13,25.05,87.95,8.67
Malaysia,PetalingJaya,2014-01-14,24.66,86.82,9.79
Malaysia,PetalingJaya,2014-01-15,24.93,80.28,7.09
Malaysia,PetalingJaya,2014-01-16,25.25,78.69,8.59
Malaysia,PetalingJaya,2014-01-17,25.43,77.60,8.40
Malaysia,PetalingJaya,2014-01-18,25.23,74.31,11.98
Malaysia,PetalingJaya,2014-01-19,25.00,77.49,10.46
Malaysia,PetalingJaya,2014-01-20,24.31,81.56,9.42
Malaysia,PetalingJaya,2014-01-21,24.40,80.49,9.35
Malaysia,PetalingJaya,2014-01-22,24.08,76.97,8.37
Malaysia,PetalingJaya,2014-01-23,24.43,77.84,8.40
Malaysia,PetalingJaya,2014-01-24,24.97,80.73,10.31
Malaysia,PetalingJaya,2014-01-25,25.07,80.90,10.04
Malaysia,PetalingJaya,2014-01-26,25.15,81.13,8.09
Malaysia,PetalingJaya,2014-01-27,25.31,79.04,10.63
Malaysia,PetalingJaya,2014-01-28,24.84,80.06,8.40
Malaysia,PetalingJaya,2014-01-29,25.15,73.60,10.64
Malaysia,PetalingJaya,2014-01-30,25.07,72.64,12.41
Malaysia,PetalingJaya,2014-01-31,25.21,70.41,12.64
