Date,AQI
01/01/2014,34
02/01/2014,30
03/01/2014,28
04/01/2014,32
05/01/2014,37
06/01/2014,31
07/01/2014,30
08/01/2014,41
09/01/2014,40
10/01/2014,22
11/01/2014,19
12/01/2014,24
13/01/2014,25
14/01/2014,30
15/01/2014,35
16/01/2014,39
17/01/2014,40
18/01/2014,35
19/01/2014,31
20/01/2014,36
21/01/2014,40
22/01/2014,41
23/01/2014,44
24/01/2014,50
25/01/2014,48
26/01/2014,47
27/01/2014,41
28/01/2014,32
29/01/2014,29
30/01/2014,31
31/01/2014,34
01/02/2014,39
02/02/2014,40
03/02/2014,41
04/02/2014,48
05/02/2014,49
06/02/2014,42
07/02/2014,36
08/02/2014,39
09/02/2014,38
10/02/2014,41
11/02/2014,45
12/02/2014,42
13/02/2014,40
14/02/2014,40
15/02/2014,39
16/02/2014,44
17/02/2014,37
18/02/2014,42
19/02/2014,43
20/02/2014,35
21/02/2014,30
22/02/2014,28
23/02/2014,34
24/02/2014,40
25/02/2014,42
26/02/2014,35
27/02/2014,28
28/02/2014,31
01/03/2014,32
02/03/2014,42
03/03/2014,51
04/03/2014,55
05/03/2014,48
06/03/2014,39
07/03/2014,37
08/03/2014,47
09/03/2014,46
10/03/2014,37
11/03/2014,36
12/03/2014,52
13/03/2014,59
14/03/2014,56
15/03/2014,50
16/03/2014,38
17/03/2014,47
18/03/2014,49
19/03/2014,53
20/03/2014,63
21/03/2014,71
22/03/2014,64
23/03/2014,58
24/03/2014,46
25/03/2014,45
26/03/2014,53
27/03/2014,56
28/03/2014,58
29/03/2014,49
30/03/2014,39
31/03/2014,45
01/04/2014,44
02/04/2014,42
03/04/2014,38
04/04/2014,35
05/04/2014,31
06/04/2014,33
07/04/2014,41
08/04/2014,43
09/04/2014,48
10/04/2014,43
11/04/2014,48
12/04/2014,52
13/04/2014,53
14/04/2014,48
15/04/2014,49
16/04/2014,51
17/04/2014,42
18/04/2014,33
19/04/2014,32
20/04/2014,33
21/04/2014,33
22/04/2014,35
23/04/2014,41
24/04/2014,41
25/04/2014,38
26/04/2014,40
27/04/2014,40
28/04/2014,37
29/04/2014,36
30/04/2014,38
01/05/2014,34
02/05/2014,34
03/05/2014,35
04/05/2014,40
05/05/2014,38
06/05/2014,31
07/05/2014,40
08/05/2014,36
09/05/2014,35
10/05/2014,27
11/05/2014,33
12/05/2014,31
13/05/2014,27
14/05/2014,24
15/05/2014,27
16/05/2014,25
17/05/2014,29
18/05/2014,28
19/05/2014,30
20/05/2014,33
21/05/2014,32
22/05/2014,32
23/05/2014,38
24/05/2014,47
25/05/2014,47
26/05/2014,41
27/05/2014,32
28/05/2014,33
29/05/2014,31
30/05/2014,30
31/05/2014,24
01/06/2014,24
02/06/2014,33
03/06/2014,38
04/06/2014,37
05/06/2014,25
06/06/2014,40
07/06/2014,50
08/06/2014,54
09/06/2014,48
10/06/2014,57
11/06/2014,65
12/06/2014,40
13/06/2014,30
14/06/2014,41
15/06/2014,50
16/06/2014,57
17/06/2014,59
18/06/2014,74
19/06/2014,62
20/06/2014,64
21/06/2014,76
22/06/2014,77
23/06/2014,62
24/06/2014,51
25/06/2014,55
26/06/2014,82
27/06/2014,82
28/06/2014,60
29/06/2014,46
30/06/2014,29
01/07/2014,26
02/07/2014,31
03/07/2014,32
04/07/2014,41
05/07/2014,40
06/07/2014,39
07/07/2014,35
08/07/2014,30
09/07/2014,36
10/07/2014,37
11/07/2014,38
12/07/2014,38
13/07/2014,51
14/07/2014,56
15/07/2014,53
16/07/2014,49
17/07/2014,41
18/07/2014,45
19/07/2014,56
20/07/2014,74
21/07/2014,77
22/07/2014,93
23/07/2014,62
24/07/2014,71
25/07/2014,70
26/07/2014,55
27/07/2014,43
28/07/2014,55
29/07/2014,45
30/07/2014,34
31/07/2014,42
01/08/2014,42
02/08/2014,45
03/08/2014,56
04/08/2014,61
05/08/2014,60
06/08/2014,51
07/08/2014,46
08/08/2014,48
09/08/2014,55
10/08/2014,46
11/08/2014,39
12/08/2014,30
13/08/2014,28
14/08/2014,40
15/08/2014,33
16/08/2014,30
17/08/2014,41
18/08/2014,37
19/08/2014,43
20/08/2014,38
21/08/2014,33
22/08/2014,29
23/08/2014,31
24/08/2014,28
25/08/2014,27
26/08/2014,25
27/08/2014,21
28/08/2014,26
29/08/2014,33
30/08/2014,48
31/08/2014,53
01/09/2014,57
02/09/2014,55
03/09/2014,53
04/09/2014,51
05/09/2014,47
06/09/2014,34
07/09/2014,43
08/09/2014,36
09/09/2014,45
10/09/2014,25
11/09/2014,29
12/09/2014,32
13/09/2014,24
14/09/2014,22
15/09/2014,22
16/09/2014,25
17/09/2014,35
18/09/2014,56
19/09/2014,53
20/09/2014,44
21/09/2014,30
22/09/2014,28
23/09/2014,35
24/09/2014,41
25/09/2014,42
26/09/2014,43
27/09/2014,41
28/09/2014,43
29/09/2014,37
30/09/2014,31
01/10/2014,37
02/10/2014,36
03/10/2014,43
04/10/2014,26
05/10/2014,19
06/10/2014,18
07/10/2014,23
08/10/2014,38
09/10/2014,52
10/10/2014,52
11/10/2014,57
12/10/2014,50
13/10/2014,27
14/10/2014,33
15/10/2014,31
16/10/2014,30
17/10/2014,32
18/10/2014,28
19/10/2014,25
20/10/2014,30
21/10/2014,43
22/10/2014,36
23/10/2014,30
24/10/2014,24
25/10/2014,23
26/10/2014,29
27/10/2014,35
28/10/2014,30
29/10/2014,24
30/10/2014,20
31/10/2014,27
01/11/2014,31
02/11/2014,23
03/11/2014,30
04/11/2014,51
05/11/2014,45
06/11/2014,48
07/11/2014,39
08/11/2014,34
09/11/2014,32
10/11/2014,72
11/11/2014,41
12/11/2014,39
13/11/2014,41
14/11/2014,32
15/11/2014,37
16/11/2014,34
17/11/2014,35
18/11/2014,36
19/11/2014,30
20/11/2014,36
21/11/2014,35
22/11/2014,32
23/11/2014,26
24/11/2014,25
25/11/2014,36
26/11/2014,36
27/11/2014,29
28/11/2014,29
29/11/2014,34
30/11/2014,39
01/12/2014,47
02/12/2014,43
03/12/2014,35
04/12/2014,31
05/12/2014,27
06/12/2014,28
07/12/2014,32
08/12/2014,32
09/12/2014,36
10/12/2014,44
11/12/2014,43
12/12/2014,47
13/12/2014,46
14/12/2014,47
15/12/2014,32
16/12/2014,40
17/12/2014,35
18/12/2014,24
19/12/2014,34
20/12/2014,37
21/12/2014,29
22/12/2014,26
23/12/2014,32
24/12/2014,32
25/12/2014,31
26/12/2014,30
27/12/2014,28
28/12/2014,41
01/01/2015,55
02/01/2015,57
03/01/2015,59
04/01/2015,56
05/01/2015,51
06/01/2015,51
07/01/2015,48
08/01/2015,44
09/01/2015,46
10/01/2015,48
11/01/2015,48
12/01/2015,49
13/01/2015,53
14/01/2015,51
15/01/2015,48
16/01/2015,54
17/01/2015,60
18/01/2015,61
19/01/2015,54
20/01/2015,56
21/01/2015,56
22/01/2015,56
23/01/2015,60
24/01/2015,65
25/01/2015,68
26/01/2015,61
27/01/2015,63
28/01/2015,61
29/01/2015,52
30/01/2015,50
31/01/2015,56
01/02/2015,56
02/02/2015,52
03/02/2015,46
04/02/2015,48
05/02/2015,52
06/02/2015,56
07/02/2015,57
08/02/2015,54
09/02/2015,55
10/02/2015,55
11/02/2015,62
12/02/2015,66
13/02/2015,64
14/02/2015,60
15/02/2015,60
16/02/2015,59
17/02/2015,56
18/02/2015,52
19/02/2015,43
20/02/2015,45
21/02/2015,56
22/02/2015,54
23/02/2015,50
24/02/2015,48
25/02/2015,50
26/02/2015,50
27/02/2015,47
28/02/2015,44
01/03/2015,45
02/03/2015,46
03/03/2015,50
04/03/2015,50
05/03/2015,51
06/03/2015,50
07/03/2015,48
08/03/2015,43
09/03/2015,37
10/03/2015,37
11/03/2015,41
12/03/2015,48
13/03/2015,52
14/03/2015,54
15/03/2015,52
16/03/2015,52
17/03/2015,59
18/03/2015,58
19/03/2015,58
20/03/2015,60
21/03/2015,60
22/03/2015,63
23/03/2015,66
24/03/2015,57
25/03/2015,52
26/03/2015,52
27/03/2015,51
28/03/2015,55
29/03/2015,56
30/03/2015,47
31/03/2015,46
01/04/2015,47
02/04/2015,42
03/04/2015,45
04/04/2015,51
05/04/2015,50
06/04/2015,52
07/04/2015,51
08/04/2015,39
09/04/2015,43
10/04/2015,46
11/04/2015,41
12/04/2015,46
13/04/2015,48
14/04/2015,49
15/04/2015,39
16/04/2015,39
17/04/2015,40
18/04/2015,37
20/04/2015,34
21/04/2015,42
22/04/2015,48
23/04/2015,45
24/04/2015,47
25/04/2015,42
26/04/2015,45
27/04/2015,46
28/04/2015,46
29/04/2015,45
30/04/2015,40
02/05/2015,37
03/05/2015,41
04/05/2015,37
05/05/2015,38
06/05/2015,35
07/05/2015,33
08/05/2015,33
09/05/2015,30
10/05/2015,33
11/05/2015,42
12/05/2015,43
13/05/2015,44
15/05/2015,44
16/05/2015,43
17/05/2015,43
18/05/2015,42
19/05/2015,39
20/05/2015,44
21/05/2015,47
22/05/2015,38
23/05/2015,32
24/05/2015,36
25/05/2015,34
26/05/2015,36
27/05/2015,36
28/05/2015,47
