Date,AQI
01/01/2014,35
02/01/2014,31
03/01/2014,19
04/01/2014,15
05/01/2014,21
06/01/2014,24
07/01/2014,27
08/01/2014,18
09/01/2014,29
10/01/2014,21
11/01/2014,17
12/01/2014,25
13/01/2014,22
14/01/2014,19
15/01/2014,22
16/01/2014,34
17/01/2014,31
18/01/2014,33
19/01/2014,25
20/01/2014,28
21/01/2014,41
22/01/2014,49
23/01/2014,58
24/01/2014,53
25/01/2014,57
26/01/2014,64
27/01/2014,59
28/01/2014,49
29/01/2014,41
30/01/2014,47
31/01/2014,56
01/02/2014,56
02/02/2014,57
03/02/2014,49
04/02/2014,34
05/02/2014,33
06/02/2014,38
07/02/2014,45
08/02/2014,61
09/02/2014,52
10/02/2014,38
11/02/2014,36
12/02/2014,41
13/02/2014,49
14/02/2014,51
15/02/2014,40
16/02/2014,42
17/02/2014,49
18/02/2014,53
19/02/2014,55
20/02/2014,58
21/02/2014,49
22/02/2014,36
23/02/2014,30
24/02/2014,55
25/02/2014,66
26/02/2014,73
27/02/2014,66
28/02/2014,65
01/03/2014,77
02/03/2014,82
03/03/2014,89
04/03/2014,98
05/03/2014,48
06/03/2014,56
07/03/2014,72
08/03/2014,88
09/03/2014,145
10/03/2014,104
11/03/2014,96
12/03/2014,88
13/03/2014,159
14/03/2014,137
15/03/2014,87
16/03/2014,64
17/03/2014,47
18/03/2014,44
19/03/2014,51
20/03/2014,47
21/03/2014,41
22/03/2014,48
23/03/2014,45
24/03/2014,59
25/03/2014,53
26/03/2014,48
27/03/2014,72
28/03/2014,79
29/03/2014,57
30/03/2014,28
31/03/2014,42
01/04/2014,47
02/04/2014,53
03/04/2014,48
04/04/2014,32
05/04/2014,20
06/04/2014,15
07/04/2014,23
08/04/2014,24
09/04/2014,26
10/04/2014,28
11/04/2014,31
12/04/2014,21
13/04/2014,24
14/04/2014,26
15/04/2014,23
16/04/2014,20
17/04/2014,22
18/04/2014,23
19/04/2014,18
20/04/2014,24
21/04/2014,30
22/04/2014,39
23/04/2014,28
24/04/2014,23
25/04/2014,21
26/04/2014,20
27/04/2014,30
28/04/2014,34
29/04/2014,34
30/04/2014,30
01/05/2014,24
02/05/2014,23
03/05/2014,34
04/05/2014,35
05/05/2014,30
06/05/2014,26
07/05/2014,22
08/05/2014,21
09/05/2014,28
10/05/2014,27
11/05/2014,24
12/05/2014,27
13/05/2014,25
14/05/2014,21
15/05/2014,19
16/05/2014,16
17/05/2014,17
18/05/2014,33
19/05/2014,26
20/05/2014,35
21/05/2014,27
22/05/2014,36
23/05/2014,28
24/05/2014,41
25/05/2014,36
26/05/2014,26
27/05/2014,17
28/05/2014,24
29/05/2014,27
30/05/2014,19
31/05/2014,15
01/06/2014,27
02/06/2014,30
03/06/2014,27
04/06/2014,34
05/06/2014,24
06/06/2014,28
07/06/2014,29
08/06/2014,23
09/06/2014,30
10/06/2014,29
11/06/2014,32
12/06/2014,43
13/06/2014,37
14/06/2014,38
15/06/2014,42
16/06/2014,47
17/06/2014,49
18/06/2014,54
19/06/2014,59
20/06/2014,76
21/06/2014,69
22/06/2014,79
23/06/2014,78
24/06/2014,75
25/06/2014,90
26/06/2014,67
27/06/2014,62
28/06/2014,67
29/06/2014,46
30/06/2014,26
01/07/2014,27
02/07/2014,39
03/07/2014,37
04/07/2014,33
05/07/2014,26
06/07/2014,36
07/07/2014,47
08/07/2014,43
09/07/2014,68
10/07/2014,54
11/07/2014,49
12/07/2014,51
13/07/2014,53
14/07/2014,50
15/07/2014,51
16/07/2014,49
17/07/2014,50
18/07/2014,47
19/07/2014,68
20/07/2014,98
21/07/2014,132
22/07/2014,139
23/07/2014,75
24/07/2014,66
25/07/2014,75
26/07/2014,82
27/07/2014,83
28/07/2014,111
29/07/2014,78
30/07/2014,65
31/07/2014,48
01/08/2014,60
02/08/2014,65
03/08/2014,51
04/08/2014,53
05/08/2014,60
06/08/2014,61
07/08/2014,53
08/08/2014,39
09/08/2014,37
10/08/2014,36
11/08/2014,24
12/08/2014,21
13/08/2014,19
14/08/2014,24
15/08/2014,26
16/08/2014,33
17/08/2014,32
18/08/2014,29
19/08/2014,30
20/08/2014,35
21/08/2014,26
22/08/2014,27
23/08/2014,43
24/08/2014,26
25/08/2014,16
26/08/2014,15
27/08/2014,13
28/08/2014,14
29/08/2014,27
30/08/2014,48
31/08/2014,41
01/09/2014,42
02/09/2014,39
03/09/2014,36
04/09/2014,38
05/09/2014,38
06/09/2014,21
07/09/2014,23
08/09/2014,31
09/09/2014,32
