Date,AQI
01/01/2014,23
02/01/2014,14
03/01/2014,21
04/01/2014,25
05/01/2014,19
06/01/2014,15
07/01/2014,18
08/01/2014,31
09/01/2014,35
10/01/2014,25
11/01/2014,24
12/01/2014,28
13/01/2014,27
14/01/2014,33
15/01/2014,29
16/01/2014,37
17/01/2014,38
18/01/2014,30
19/01/2014,22
20/01/2014,31
21/01/2014,39
22/01/2014,36
23/01/2014,33
24/01/2014,41
25/01/2014,40
26/01/2014,43
27/01/2014,29
28/01/2014,34
29/01/2014,29
30/01/2014,26
31/01/2014,26
01/02/2014,23
02/02/2014,22
03/02/2014,25
04/02/2014,31
05/02/2014,37
06/02/2014,43
07/02/2014,43
08/02/2014,33
09/02/2014,20
10/02/2014,22
11/02/2014,21
12/02/2014,19
13/02/2014,23
14/02/2014,22
15/02/2014,23
16/02/2014,26
17/02/2014,26
18/02/2014,36
19/02/2014,31
20/02/2014,28
21/02/2014,25
22/02/2014,39
23/02/2014,35
24/02/2014,30
25/02/2014,30
26/02/2014,32
27/02/2014,35
28/02/2014,33
01/03/2014,39
02/03/2014,28
03/03/2014,28
04/03/2014,37
05/03/2014,32
06/03/2014,36
07/03/2014,45
08/03/2014,45
09/03/2014,35
10/03/2014,31
11/03/2014,38
12/03/2014,43
13/03/2014,36
14/03/2014,38
15/03/2014,33
16/03/2014,25
17/03/2014,22
18/03/2014,21
19/03/2014,26
20/03/2014,28
21/03/2014,36
22/03/2014,40
23/03/2014,32
24/03/2014,30
25/03/2014,33
26/03/2014,40
27/03/2014,35
28/03/2014,29
29/03/2014,30
30/03/2014,35
31/03/2014,27
01/04/2014,26
02/04/2014,28
03/04/2014,27
04/04/2014,32
05/04/2014,23
06/04/2014,27
07/04/2014,35
08/04/2014,30
09/04/2014,36
10/04/2014,32
11/04/2014,32
12/04/2014,37
13/04/2014,30
14/04/2014,29
15/04/2014,26
16/04/2014,35
17/04/2014,37
18/04/2014,33
23/04/2014,28
24/04/2014,36
25/04/2014,24
26/04/2014,24
27/04/2014,25
28/04/2014,24
29/04/2014,36
30/04/2014,46
01/05/2014,36
02/05/2014,33
03/05/2014,32
04/05/2014,33
05/05/2014,26
06/05/2014,26
07/05/2014,23
08/05/2014,26
09/05/2014,29
10/05/2014,26
11/05/2014,24
12/05/2014,22
13/05/2014,24
14/05/2014,24
15/05/2014,29
16/05/2014,29
17/05/2014,30
18/05/2014,24
19/05/2014,25
20/05/2014,24
21/05/2014,32
22/05/2014,37
23/05/2014,32
24/05/2014,30
25/05/2014,33
26/05/2014,37
27/05/2014,30
28/05/2014,26
29/05/2014,32
30/05/2014,55
31/05/2014,40
01/06/2014,23
02/06/2014,20
03/06/2014,18
04/06/2014,19
05/06/2014,22
06/06/2014,25
07/06/2014,23
08/06/2014,21
09/06/2014,23
10/06/2014,31
11/06/2014,35
12/06/2014,34
13/06/2014,31
14/06/2014,35
15/06/2014,29
16/06/2014,25
17/06/2014,35
18/06/2014,41
19/06/2014,33
20/06/2014,30
21/06/2014,36
22/06/2014,41
23/06/2014,40
24/06/2014,41
25/06/2014,49
26/06/2014,46
27/06/2014,37
28/06/2014,29
29/06/2014,22
30/06/2014,25
01/07/2014,31
02/07/2014,31
03/07/2014,38
04/07/2014,44
05/07/2014,41
06/07/2014,27
07/07/2014,23
08/07/2014,26
09/07/2014,32
10/07/2014,30
11/07/2014,28
12/07/2014,32
13/07/2014,24
14/07/2014,27
15/07/2014,36
16/07/2014,42
17/07/2014,44
18/07/2014,44
19/07/2014,46
20/07/2014,58
21/07/2014,68
22/07/2014,54
23/07/2014,47
24/07/2014,51
25/07/2014,57
26/07/2014,60
27/07/2014,59
28/07/2014,76
29/07/2014,74
30/07/2014,58
31/07/2014,60
01/08/2014,67
02/08/2014,61
03/08/2014,57
04/08/2014,56
05/08/2014,64
06/08/2014,40
07/08/2014,40
08/08/2014,29
09/08/2014,33
10/08/2014,34
11/08/2014,27
12/08/2014,29
13/08/2014,23
14/08/2014,28
15/08/2014,37
16/08/2014,28
17/08/2014,27
18/08/2014,23
19/08/2014,28
20/08/2014,33
21/08/2014,31
22/08/2014,31
23/08/2014,29
24/08/2014,23
25/08/2014,24
26/08/2014,32
27/08/2014,35
28/08/2014,34
29/08/2014,26
30/08/2014,35
31/08/2014,35
01/09/2014,33
02/09/2014,42
03/09/2014,32
04/09/2014,44
05/09/2014,36
06/09/2014,48
07/09/2014,38
08/09/2014,27
09/09/2014,35
10/09/2014,44
11/09/2014,42
12/09/2014,46
13/09/2014,48
14/09/2014,51
15/09/2014,58
16/09/2014,78
17/09/2014,113
18/09/2014,65
19/09/2014,51
20/09/2014,46
21/09/2014,41
22/09/2014,48
23/09/2014,49
24/09/2014,50
25/09/2014,50
26/09/2014,47
27/09/2014,49
28/09/2014,45
29/09/2014,47
30/09/2014,51
01/10/2014,49
02/10/2014,54
03/10/2014,53
04/10/2014,54
05/10/2014,58
06/10/2014,70
07/10/2014,59
08/10/2014,58
09/10/2014,54
10/10/2014,57
11/10/2014,56
12/10/2014,55
13/10/2014,53
14/10/2014,42
15/10/2014,40
16/10/2014,35
17/10/2014,44
18/10/2014,40
19/10/2014,43
20/10/2014,37
21/10/2014,36
22/10/2014,38
23/10/2014,34
24/10/2014,32
25/10/2014,32
26/10/2014,36
27/10/2014,40
28/10/2014,34
29/10/2014,41
30/10/2014,40
31/10/2014,48
01/11/2014,42
02/11/2014,33
03/11/2014,45
04/11/2014,57
05/11/2014,52
06/11/2014,43
07/11/2014,40
08/11/2014,42
09/11/2014,39
10/11/2014,31
11/11/2014,40
12/11/2014,34
13/11/2014,30
14/11/2014,33
15/11/2014,38
16/11/2014,36
17/11/2014,32
18/11/2014,32
19/11/2014,28
20/11/2014,29
21/11/2014,34
22/11/2014,39
23/11/2014,25
24/11/2014,24
25/11/2014,27
26/11/2014,31
27/11/2014,37
28/11/2014,41
29/11/2014,36
30/11/2014,30
01/12/2014,27
02/12/2014,27
03/12/2014,27
04/12/2014,28
05/12/2014,24
06/12/2014,32
07/12/2014,38
08/12/2014,33
09/12/2014,36
10/12/2014,42
11/12/2014,55
12/12/2014,52
13/12/2014,46
14/12/2014,32
15/12/2014,28
16/12/2014,34
17/12/2014,26
18/12/2014,34
19/12/2014,40
20/12/2014,30
21/12/2014,24
22/12/2014,27
23/12/2014,26
24/12/2014,30
25/12/2014,35
26/12/2014,25
27/12/2014,24
28/12/2014,30
01/01/2015,38
02/01/2015,25
03/01/2015,34
04/01/2015,27
05/01/2015,27
06/01/2015,28
07/01/2015,29
08/01/2015,28
09/01/2015,30
10/01/2015,27
11/01/2015,29
12/01/2015,27
13/01/2015,29
14/01/2015,23
15/01/2015,22
16/01/2015,20
17/01/2015,22
18/01/2015,23
19/01/2015,16
20/01/2015,23
21/01/2015,30
22/01/2015,27
23/01/2015,31
24/01/2015,23
25/01/2015,21
26/01/2015,34
27/01/2015,41
28/01/2015,28
29/01/2015,31
30/01/2015,27
31/01/2015,27
01/02/2015,25
02/02/2015,24
03/02/2015,30
04/02/2015,29
05/02/2015,40
06/02/2015,34
07/02/2015,42
08/02/2015,35
09/02/2015,38
10/02/2015,41
11/02/2015,32
12/02/2015,25
13/02/2015,24
14/02/2015,36
15/02/2015,42
16/02/2015,30
17/02/2015,40
18/02/2015,34
19/02/2015,63
20/02/2015,38
21/02/2015,37
22/02/2015,34
23/02/2015,31
24/02/2015,42
25/02/2015,44
26/02/2015,41
27/02/2015,41
28/02/2015,42
01/03/2015,37
02/03/2015,31
03/03/2015,37
04/03/2015,48
05/03/2015,44
06/03/2015,52
07/03/2015,47
08/03/2015,40
09/03/2015,36
10/03/2015,41
11/03/2015,42
12/03/2015,45
13/03/2015,41
14/03/2015,46
15/03/2015,36
16/03/2015,43
17/03/2015,51
18/03/2015,45
19/03/2015,37
20/03/2015,38
21/03/2015,40
22/03/2015,39
23/03/2015,36
24/03/2015,37
25/03/2015,42
26/03/2015,45
27/03/2015,43
28/03/2015,45
29/03/2015,41
30/03/2015,35
31/03/2015,35
01/04/2015,31
02/04/2015,32
03/04/2015,36
04/04/2015,29
05/04/2015,26
06/04/2015,25
07/04/2015,31
08/04/2015,35
09/04/2015,35
10/04/2015,31
11/04/2015,35
13/04/2015,44
14/04/2015,42
15/04/2015,35
16/04/2015,42
17/04/2015,39
18/04/2015,41
19/04/2015,32
20/04/2015,32
21/04/2015,43
22/04/2015,32
23/04/2015,35
24/04/2015,47
25/04/2015,54
27/04/2015,32
28/04/2015,27
29/04/2015,33
30/04/2015,37
01/05/2015,31
02/05/2015,38
03/05/2015,35
04/05/2015,26
05/05/2015,30
06/05/2015,45
07/05/2015,42
08/05/2015,40
09/05/2015,39
10/05/2015,42
11/05/2015,30
12/05/2015,39
13/05/2015,35
14/05/2015,28
15/05/2015,29
16/05/2015,34
18/05/2015,32
21/05/2015,38
22/05/2015,34
23/05/2015,34
24/05/2015,28
25/05/2015,29
26/05/2015,33
27/05/2015,35
28/05/2015,35
29/05/2015,43
30/05/2015,37
31/05/2015,34
01/06/2015,25
02/06/2015,23
03/06/2015,25
04/06/2015,30
05/06/2015,27
06/06/2015,23
07/06/2015,25
08/06/2015,25
09/06/2015,28
10/06/2015,25
11/06/2015,30
12/06/2015,26
13/06/2015,25
14/06/2015,20
15/06/2015,30
16/06/2015,42
17/06/2015,29
19/06/2015,31
20/06/2015,35
21/06/2015,32
22/06/2015,35
23/06/2015,41
24/06/2015,40
25/06/2015,45
26/06/2015,43
27/06/2015,49
28/06/2015,42
29/06/2015,39
30/06/2015,38
01/07/2015,44
02/07/2015,50
03/07/2015,52
04/07/2015,53
05/07/2015,56
06/07/2015,57
07/07/2015,60
08/07/2015,60
09/07/2015,59
10/07/2015,50
11/07/2015,39
12/07/2015,45
13/07/2015,44
14/07/2015,50
15/07/2015,49
16/07/2015,46
17/07/2015,53
18/07/2015,35
19/07/2015,42
20/07/2015,36
21/07/2015,38
22/07/2015,32
23/07/2015,29
24/07/2015,25
25/07/2015,35
26/07/2015,35
27/07/2015,28
28/07/2015,28
29/07/2015,35
30/07/2015,34
31/07/2015,28
01/08/2015,34
02/08/2015,27
03/08/2015,27
04/08/2015,40
05/08/2015,50
06/08/2015,54
07/08/2015,54
08/08/2015,64
09/08/2015,59
10/08/2015,53
11/08/2015,59
12/08/2015,47
13/08/2015,38
14/08/2015,48
15/08/2015,46
16/08/2015,38
17/08/2015,35
18/08/2015,38
20/08/2015,46
21/08/2015,61
22/08/2015,78
23/08/2015,101
24/08/2015,114
25/08/2015,94
26/08/2015,83
27/08/2015,65
28/08/2015,56
29/08/2015,57
30/08/2015,52
31/08/2015,49
01/09/2015,45
02/09/2015,36
