Date,AQI
01/01/2014,47
02/01/2014,38
03/01/2014,33
04/01/2014,30
05/01/2014,36
06/01/2014,33
07/01/2014,29
08/01/2014,44
09/01/2014,42
10/01/2014,26
12/01/2014,30
13/01/2014,30
14/01/2014,32
15/01/2014,36
16/01/2014,45
17/01/2014,51
18/01/2014,40
19/01/2014,36
20/01/2014,42
21/01/2014,48
22/01/2014,44
23/01/2014,55
24/01/2014,63
25/01/2014,50
26/01/2014,44
27/01/2014,43
28/01/2014,39
29/01/2014,31
30/01/2014,33
31/01/2014,35
01/02/2014,41
02/02/2014,39
03/02/2014,37
04/02/2014,37
05/02/2014,35
06/02/2014,35
07/02/2014,32
08/02/2014,33
09/02/2014,33
10/02/2014,32
11/02/2014,30
12/02/2014,33
13/02/2014,32
14/02/2014,35
15/02/2014,37
16/02/2014,44
17/02/2014,37
18/02/2014,35
19/02/2014,35
20/02/2014,33
21/02/2014,34
22/02/2014,32
23/02/2014,38
24/02/2014,43
25/02/2014,43
26/02/2014,38
27/02/2014,26
28/02/2014,27
01/03/2014,27
02/03/2014,35
03/03/2014,39
04/03/2014,42
05/03/2014,41
06/03/2014,34
07/03/2014,33
08/03/2014,37
09/03/2014,34
10/03/2014,32
11/03/2014,31
12/03/2014,32
13/03/2014,37
14/03/2014,35
15/03/2014,26
16/03/2014,25
17/03/2014,30
18/03/2014,29
19/03/2014,40
20/03/2014,41
21/03/2014,45
22/03/2014,52
23/03/2014,45
24/03/2014,32
25/03/2014,36
26/03/2014,32
27/03/2014,34
28/03/2014,37
29/03/2014,26
30/03/2014,30
31/03/2014,24
01/04/2014,21
02/04/2014,29
03/04/2014,24
04/04/2014,26
05/04/2014,22
06/04/2014,27
07/04/2014,27
08/04/2014,26
09/04/2014,26
10/04/2014,27
11/04/2014,31
12/04/2014,42
13/04/2014,44
14/04/2014,44
15/04/2014,36
16/04/2014,33
17/04/2014,28
18/04/2014,29
19/04/2014,29
20/04/2014,33
21/04/2014,33
22/04/2014,28
23/04/2014,27
24/04/2014,32
25/04/2014,28
26/04/2014,28
27/04/2014,27
28/04/2014,31
29/04/2014,28
30/04/2014,25
01/05/2014,28
02/05/2014,28
03/05/2014,28
04/05/2014,32
05/05/2014,29
06/05/2014,24
07/05/2014,29
08/05/2014,26
09/05/2014,28
10/05/2014,31
11/05/2014,33
12/05/2014,24
13/05/2014,22
14/05/2014,19
15/05/2014,18
16/05/2014,20
17/05/2014,20
18/05/2014,22
19/05/2014,25
20/05/2014,26
21/05/2014,24
22/05/2014,26
23/05/2014,26
24/05/2014,43
25/05/2014,32
26/05/2014,23
27/05/2014,25
28/05/2014,23
29/05/2014,20
30/05/2014,17
31/05/2014,22
01/06/2014,21
02/06/2014,21
03/06/2014,25
04/06/2014,22
05/06/2014,21
06/06/2014,32
07/06/2014,35
08/06/2014,33
09/06/2014,30
10/06/2014,30
11/06/2014,25
12/06/2014,17
13/06/2014,24
14/06/2014,27
15/06/2014,38
16/06/2014,41
17/06/2014,39
18/06/2014,47
19/06/2014,46
20/06/2014,47
21/06/2014,51
22/06/2014,52
23/06/2014,39
24/06/2014,33
25/06/2014,36
26/06/2014,55
27/06/2014,58
28/06/2014,30
29/06/2014,20
30/06/2014,13
01/07/2014,18
02/07/2014,22
03/07/2014,25
04/07/2014,27
05/07/2014,24
06/07/2014,20
07/07/2014,22
08/07/2014,24
09/07/2014,28
10/07/2014,26
11/07/2014,26
12/07/2014,30
13/07/2014,37
14/07/2014,35
15/07/2014,33
16/07/2014,24
17/07/2014,22
18/07/2014,31
19/07/2014,41
20/07/2014,56
21/07/2014,58
22/07/2014,57
23/07/2014,38
24/07/2014,48
25/07/2014,49
26/07/2014,39
27/07/2014,23
28/07/2014,26
29/07/2014,22
30/07/2014,22
31/07/2014,25
01/08/2014,31
02/08/2014,30
03/08/2014,31
04/08/2014,48
05/08/2014,45
06/08/2014,25
07/08/2014,21
08/08/2014,26
09/08/2014,33
10/08/2014,33
11/08/2014,26
12/08/2014,20
13/08/2014,21
14/08/2014,19
15/08/2014,20
16/08/2014,18
17/08/2014,22
18/08/2014,22
19/08/2014,18
20/08/2014,16
21/08/2014,18
22/08/2014,22
23/08/2014,25
24/08/2014,19
25/08/2014,22
26/08/2014,19
27/08/2014,17
28/08/2014,22
29/08/2014,24
30/08/2014,27
31/08/2014,31
01/09/2014,33
02/09/2014,34
03/09/2014,33
04/09/2014,27
05/09/2014,24
06/09/2014,18
07/09/2014,18
08/09/2014,16
09/09/2014,16
11/09/2014,57
12/09/2014,47
13/09/2014,26
14/09/2014,19
15/09/2014,17
16/09/2014,18
17/09/2014,25
18/09/2014,50
19/09/2014,42
20/09/2014,23
21/09/2014,15
22/09/2014,16
23/09/2014,17
24/09/2014,29
25/09/2014,30
26/09/2014,36
27/09/2014,30
28/09/2014,32
29/09/2014,27
30/09/2014,20
01/10/2014,21
02/10/2014,23
03/10/2014,20
04/10/2014,16
05/10/2014,7
06/10/2014,18
07/10/2014,16
08/10/2014,34
09/10/2014,47
10/10/2014,46
11/10/2014,50
12/10/2014,47
13/10/2014,26
14/10/2014,30
15/10/2014,28
16/10/2014,24
17/10/2014,29
18/10/2014,27
19/10/2014,24
20/10/2014,31
21/10/2014,42
22/10/2014,34
23/10/2014,27
24/10/2014,21
25/10/2014,20
26/10/2014,25
27/10/2014,30
28/10/2014,29
29/10/2014,30
30/10/2014,23
31/10/2014,26
01/11/2014,25
02/11/2014,27
03/11/2014,30
04/11/2014,33
05/11/2014,31
06/11/2014,34
07/11/2014,29
08/11/2014,25
09/11/2014,26
10/11/2014,27
11/11/2014,34
12/11/2014,32
13/11/2014,27
14/11/2014,25
15/11/2014,25
16/11/2014,27
17/11/2014,30
18/11/2014,30
19/11/2014,29
20/11/2014,30
21/11/2014,30
22/11/2014,26
23/11/2014,23
24/11/2014,22
25/11/2014,24
26/11/2014,25
27/11/2014,22
28/11/2014,24
29/11/2014,22
30/11/2014,30
01/12/2014,32
02/12/2014,29
03/12/2014,27
04/12/2014,27
05/12/2014,24
06/12/2014,25
07/12/2014,26
08/12/2014,26
