Date,AQI
01/01/2014,46
02/01/2014,41
03/01/2014,34
04/01/2014,43
05/01/2014,40
06/01/2014,37
07/01/2014,39
08/01/2014,41
09/01/2014,45
10/01/2014,45
11/01/2014,33
12/01/2014,32
13/01/2014,38
14/01/2014,42
15/01/2014,40
16/01/2014,41
17/01/2014,51
18/01/2014,48
19/01/2014,49
20/01/2014,48
21/01/2014,49
22/01/2014,52
23/01/2014,58
24/01/2014,59
25/01/2014,65
26/01/2014,63
27/01/2014,59
28/01/2014,57
29/01/2014,55
30/01/2014,45
31/01/2014,46
01/02/2014,47
02/02/2014,57
03/02/2014,56
04/02/2014,46
05/02/2014,56
06/02/2014,58
07/02/2014,61
08/02/2014,65
09/02/2014,59
10/02/2014,60
11/02/2014,59
12/02/2014,61
13/02/2014,62
14/02/2014,57
15/02/2014,56
16/02/2014,51
17/02/2014,50
18/02/2014,58
19/02/2014,60
20/02/2014,52
21/02/2014,56
22/02/2014,44
23/02/2014,49
24/02/2014,55
25/02/2014,61
26/02/2014,66
27/02/2014,62
28/02/2014,64
01/03/2014,72
02/03/2014,78
03/03/2014,83
04/03/2014,73
05/03/2014,74
06/03/2014,67
07/03/2014,70
08/03/2014,76
09/03/2014,92
10/03/2014,75
11/03/2014,67
12/03/2014,67
13/03/2014,73
14/03/2014,70
15/03/2014,63
16/03/2014,46
17/03/2014,36
18/03/2014,40
19/03/2014,49
20/03/2014,54
21/03/2014,58
22/03/2014,61
23/03/2014,59
24/03/2014,50
25/03/2014,53
26/03/2014,59
27/03/2014,62
28/03/2014,65
29/03/2014,57
30/03/2014,47
31/03/2014,55
01/04/2014,54
02/04/2014,61
03/04/2014,55
04/04/2014,47
05/04/2014,38
06/04/2014,38
07/04/2014,40
08/04/2014,44
09/04/2014,52
10/04/2014,51
11/04/2014,47
12/04/2014,47
13/04/2014,52
14/04/2014,50
15/04/2014,51
16/04/2014,51
17/04/2014,50
18/04/2014,44
19/04/2014,42
20/04/2014,38
21/04/2014,38
22/04/2014,49
23/04/2014,47
24/04/2014,49
25/04/2014,44
26/04/2014,40
27/04/2014,39
28/04/2014,43
29/04/2014,43
30/04/2014,43
01/05/2014,39
02/05/2014,38
03/05/2014,47
04/05/2014,50
05/05/2014,46
06/05/2014,41
07/05/2014,33
08/05/2014,38
09/05/2014,39
10/05/2014,37
11/05/2014,32
12/05/2014,35
13/05/2014,38
14/05/2014,34
15/05/2014,35
16/05/2014,34
17/05/2014,44
18/05/2014,35
19/05/2014,36
20/05/2014,44
21/05/2014,45
22/05/2014,47
23/05/2014,42
24/05/2014,44
25/05/2014,38
26/05/2014,34
27/05/2014,42
28/05/2014,34
29/05/2014,37
30/05/2014,33
31/05/2014,34
01/06/2014,34
02/06/2014,32
03/06/2014,38
04/06/2014,42
05/06/2014,38
06/06/2014,38
07/06/2014,44
08/06/2014,38
09/06/2014,39
10/06/2014,47
11/06/2014,49
12/06/2014,52
13/06/2014,51
14/06/2014,53
15/06/2014,50
16/06/2014,47
17/06/2014,49
18/06/2014,56
19/06/2014,62
20/06/2014,70
21/06/2014,72
22/06/2014,82
23/06/2014,73
24/06/2014,60
25/06/2014,64
26/06/2014,68
27/06/2014,67
28/06/2014,65
29/06/2014,47
30/06/2014,33
01/07/2014,31
02/07/2014,36
03/07/2014,46
04/07/2014,51
05/07/2014,48
06/07/2014,44
07/07/2014,50
08/07/2014,47
09/07/2014,48
10/07/2014,56
11/07/2014,55
12/07/2014,52
13/07/2014,51
14/07/2014,53
15/07/2014,56
16/07/2014,57
17/07/2014,52
18/07/2014,46
19/07/2014,51
20/07/2014,70
21/07/2014,86
22/07/2014,105
23/07/2014,105
24/07/2014,72
25/07/2014,68
26/07/2014,81
27/07/2014,82
28/07/2014,85
29/07/2014,61
30/07/2014,44
31/07/2014,55
01/08/2014,64
02/08/2014,73
03/08/2014,54
04/08/2014,54
05/08/2014,62
06/08/2014,59
07/08/2014,52
08/08/2014,36
09/08/2014,42
10/08/2014,43
11/08/2014,34
12/08/2014,39
13/08/2014,39
14/08/2014,35
15/08/2014,35
16/08/2014,34
17/08/2014,35
18/08/2014,38
19/08/2014,45
21/08/2014,30
22/08/2014,46
23/08/2014,46
24/08/2014,45
25/08/2014,29
26/08/2014,28
27/08/2014,30
28/08/2014,34
29/08/2014,43
30/08/2014,50
31/08/2014,59
01/09/2014,46
02/09/2014,51
03/09/2014,51
04/09/2014,54
05/09/2014,41
06/09/2014,36
07/09/2014,35
08/09/2014,32
09/09/2014,31
10/09/2014,31
11/09/2014,50
12/09/2014,43
13/09/2014,47
14/09/2014,43
15/09/2014,37
16/09/2014,45
17/09/2014,81
18/09/2014,75
19/09/2014,51
20/09/2014,38
21/09/2014,32
22/09/2014,37
23/09/2014,45
24/09/2014,52
25/09/2014,59
26/09/2014,49
27/09/2014,37
28/09/2014,35
29/09/2014,40
30/09/2014,50
01/10/2014,59
02/10/2014,60
03/10/2014,57
04/10/2014,48
05/10/2014,28
06/10/2014,29
07/10/2014,41
08/10/2014,61
09/10/2014,54
10/10/2014,74
11/10/2014,74
12/10/2014,63
13/10/2014,49
15/10/2014,46
16/10/2014,43
18/10/2014,30
20/10/2014,59
21/10/2014,59
22/10/2014,45
23/10/2014,38
24/10/2014,36
25/10/2014,39
26/10/2014,47
27/10/2014,35
28/10/2014,37
29/10/2014,33
30/10/2014,34
31/10/2014,32
01/11/2014,29
02/11/2014,28
03/11/2014,49
04/11/2014,65
05/11/2014,66
06/11/2014,40
07/11/2014,34
08/11/2014,33
09/11/2014,30
10/11/2014,36
11/11/2014,44
12/11/2014,47
13/11/2014,40
14/11/2014,33
15/11/2014,35
16/11/2014,35
19/11/2014,27
20/11/2014,28
21/11/2014,30
22/11/2014,27
23/11/2014,32
24/11/2014,25
25/11/2014,31
26/11/2014,31
27/11/2014,25
28/11/2014,28
29/11/2014,35
30/11/2014,29
01/12/2014,34
02/12/2014,33
03/12/2014,32
04/12/2014,34
05/12/2014,37
06/12/2014,39
07/12/2014,31
08/12/2014,29
09/12/2014,33
10/12/2014,36
11/12/2014,35
12/12/2014,34
13/12/2014,37
14/12/2014,36
15/12/2014,33
16/12/2014,33
17/12/2014,28
18/12/2014,29
19/12/2014,33
20/12/2014,36
21/12/2014,34
22/12/2014,27
23/12/2014,27
24/12/2014,35
25/12/2014,39
26/12/2014,30
27/12/2014,33
28/12/2014,30
01/01/2015,46
02/01/2015,43
03/01/2015,41
04/01/2015,42
06/01/2015,42
07/01/2015,37
08/01/2015,33
09/01/2015,44
10/01/2015,37
11/01/2015,33
12/01/2015,34
13/01/2015,38
14/01/2015,41
15/01/2015,34
16/01/2015,39
17/01/2015,46
18/01/2015,54
19/01/2015,51
20/01/2015,48
21/01/2015,47
22/01/2015,55
23/01/2015,55
24/01/2015,56
25/01/2015,57
26/01/2015,57
27/01/2015,56
28/01/2015,59
29/01/2015,59
30/01/2015,54
31/01/2015,50
01/02/2015,51
02/02/2015,47
03/02/2015,46
04/02/2015,45
05/02/2015,44
06/02/2015,49
07/02/2015,49
08/02/2015,46
09/02/2015,39
10/02/2015,44
11/02/2015,55
12/02/2015,64
13/02/2015,63
14/02/2015,66
15/02/2015,64
16/02/2015,60
17/02/2015,55
18/02/2015,52
19/02/2015,49
20/02/2015,46
21/02/2015,45
22/02/2015,53
23/02/2015,48
24/02/2015,50
25/02/2015,57
26/02/2015,58
27/02/2015,55
28/02/2015,53
01/03/2015,50
02/03/2015,50
03/03/2015,50
04/03/2015,51
05/03/2015,54
06/03/2015,56
07/03/2015,53
09/03/2015,43
10/03/2015,41
11/03/2015,45
12/03/2015,47
13/03/2015,50
14/03/2015,55
15/03/2015,54
16/03/2015,60
17/03/2015,61
18/03/2015,59
19/03/2015,61
20/03/2015,62
21/03/2015,59
22/03/2015,58
23/03/2015,57
24/03/2015,60
25/03/2015,59
26/03/2015,59
27/03/2015,56
28/03/2015,52
30/03/2015,43
31/03/2015,44
01/04/2015,38
02/04/2015,40
03/04/2015,44
04/04/2015,44
05/04/2015,52
06/04/2015,52
08/04/2015,49
09/04/2015,50
10/04/2015,53
11/04/2015,51
12/04/2015,45
13/04/2015,45
14/04/2015,54
15/04/2015,47
16/04/2015,40
18/04/2015,51
19/04/2015,50
20/04/2015,52
21/04/2015,53
22/04/2015,39
23/04/2015,39
24/04/2015,45
25/04/2015,46
26/04/2015,42
27/04/2015,42
28/04/2015,43
29/04/2015,45
30/04/2015,44
01/05/2015,36
02/05/2015,36
03/05/2015,38
04/05/2015,41
05/05/2015,41
06/05/2015,42
07/05/2015,45
08/05/2015,41
09/05/2015,43
10/05/2015,49
11/05/2015,48
12/05/2015,52
13/05/2015,45
14/05/2015,48
15/05/2015,44
16/05/2015,48
17/05/2015,44
18/05/2015,44
19/05/2015,44
20/05/2015,44
21/05/2015,44
22/05/2015,54
23/05/2015,45
24/05/2015,43
25/05/2015,55
26/05/2015,55
27/05/2015,53
28/05/2015,50
29/05/2015,50
30/05/2015,54
31/05/2015,44
01/06/2015,40
02/06/2015,44
03/06/2015,40
04/06/2015,40
05/06/2015,51
06/06/2015,51
07/06/2015,41
08/06/2015,42
09/06/2015,37
10/06/2015,40
11/06/2015,41
13/06/2015,39
14/06/2015,34
15/06/2015,31
16/06/2015,38
17/06/2015,39
18/06/2015,50
19/06/2015,53
20/06/2015,52
21/06/2015,52
22/06/2015,52
23/06/2015,51
24/06/2015,57
25/06/2015,69
26/06/2015,59
27/06/2015,59
28/06/2015,61
29/06/2015,59
30/06/2015,64
01/07/2015,65
02/07/2015,54
03/07/2015,50
04/07/2015,44
05/07/2015,44
01/10/2015,78
02/10/2015,66
03/10/2015,86
04/10/2015,170
05/10/2015,139
06/10/2015,91
07/10/2015,70
08/10/2015,66
09/10/2015,63
10/10/2015,57
11/10/2015,66
12/10/2015,73
13/10/2015,64
14/10/2015,60
15/10/2015,57
16/10/2015,58
17/10/2015,64
18/10/2015,84
19/10/2015,96
20/10/2015,118
21/10/2015,149
22/10/2015,170
23/10/2015,133
24/10/2015,103
25/10/2015,74
26/10/2015,59
27/10/2015,52
28/10/2015,53
29/10/2015,45
30/10/2015,39
31/10/2015,37
01/11/2015,36
02/11/2015,31
03/11/2015,30
04/11/2015,33
05/11/2015,31
06/11/2015,35
07/11/2015,39
08/11/2015,32
09/11/2015,28
10/11/2015,35
11/11/2015,44
12/11/2015,36
13/11/2015,43
14/11/2015,41
15/11/2015,41
16/11/2015,38
17/11/2015,39
18/11/2015,34
19/11/2015,37
20/11/2015,46
21/11/2015,40
22/11/2015,42
23/11/2015,35
24/11/2015,34
25/11/2015,35
26/11/2015,36
27/11/2015,37
28/11/2015,32
29/11/2015,36
30/11/2015,34
01/12/2015,34
02/12/2015,36
