Date,AQI
01/01/2014,29
02/01/2014,27
03/01/2014,30
04/01/2014,23
05/01/2014,26
06/01/2014,23
07/01/2014,33
08/01/2014,29
09/01/2014,29
10/01/2014,22
11/01/2014,28
12/01/2014,22
13/01/2014,24
14/01/2014,28
15/01/2014,29
16/01/2014,36
17/01/2014,38
18/01/2014,36
19/01/2014,30
20/01/2014,35
21/01/2014,42
22/01/2014,46
23/01/2014,47
24/01/2014,52
25/01/2014,53
26/01/2014,51
27/01/2014,49
28/01/2014,39
29/01/2014,30
30/01/2014,32
31/01/2014,28
01/02/2014,43
02/02/2014,49
03/02/2014,54
04/02/2014,59
05/02/2014,59
06/02/2014,61
07/02/2014,60
08/02/2014,59
09/02/2014,61
10/02/2014,64
11/02/2014,62
12/02/2014,50
13/02/2014,41
14/02/2014,35
15/02/2014,34
16/02/2014,35
17/02/2014,33
18/02/2014,40
19/02/2014,48
20/02/2014,44
21/02/2014,30
22/02/2014,29
23/02/2014,35
24/02/2014,43
25/02/2014,60
26/02/2014,61
27/02/2014,54
28/02/2014,42
01/03/2014,43
02/03/2014,60
03/03/2014,68
04/03/2014,85
05/03/2014,75
06/03/2014,69
07/03/2014,69
08/03/2014,77
09/03/2014,94
10/03/2014,102
11/03/2014,75
12/03/2014,81
13/03/2014,125
14/03/2014,142
15/03/2014,85
16/03/2014,37
17/03/2014,20
18/03/2014,29
19/03/2014,40
20/03/2014,39
21/03/2014,51
22/03/2014,50
23/03/2014,46
24/03/2014,36
25/03/2014,34
26/03/2014,50
27/03/2014,53
28/03/2014,53
29/03/2014,50
30/03/2014,42
31/03/2014,46
01/04/2014,53
02/04/2014,55
03/04/2014,55
04/04/2014,51
05/04/2014,39
06/04/2014,32
07/04/2014,40
08/04/2014,45
09/04/2014,35
10/04/2014,45
11/04/2014,53
12/04/2014,45
13/04/2014,40
14/04/2014,47
15/04/2014,46
16/04/2014,45
17/04/2014,47
18/04/2014,48
19/04/2014,51
20/04/2014,51
21/04/2014,49
22/04/2014,45
23/04/2014,49
24/04/2014,42
25/04/2014,47
26/04/2014,50
27/04/2014,45
28/04/2014,46
29/04/2014,55
30/04/2014,52
01/05/2014,46
02/05/2014,47
03/05/2014,50
04/05/2014,48
05/05/2014,36
06/05/2014,29
07/05/2014,42
08/05/2014,31
09/05/2014,36
10/05/2014,40
11/05/2014,42
12/05/2014,43
13/05/2014,47
14/05/2014,43
15/05/2014,49
16/05/2014,38
17/05/2014,35
18/05/2014,28
19/05/2014,39
20/05/2014,31
21/05/2014,34
22/05/2014,40
23/05/2014,39
24/05/2014,41
25/05/2014,41
26/05/2014,43
27/05/2014,35
28/05/2014,37
29/05/2014,41
30/05/2014,36
31/05/2014,34
01/06/2014,34
02/06/2014,41
03/06/2014,37
04/06/2014,38
05/06/2014,34
06/06/2014,31
07/06/2014,32
08/06/2014,33
09/06/2014,39
10/06/2014,40
11/06/2014,43
12/06/2014,45
13/06/2014,38
14/06/2014,34
15/06/2014,37
16/06/2014,43
17/06/2014,43
18/06/2014,46
19/06/2014,64
20/06/2014,63
21/06/2014,49
22/06/2014,71
23/06/2014,86
24/06/2014,88
25/06/2014,76
26/06/2014,49
27/06/2014,64
28/06/2014,69
29/06/2014,63
30/06/2014,51
01/07/2014,42
02/07/2014,37
03/07/2014,41
04/07/2014,35
05/07/2014,27
06/07/2014,28
07/07/2014,34
08/07/2014,45
09/07/2014,53
10/07/2014,44
11/07/2014,37
12/07/2014,44
13/07/2014,48
14/07/2014,49
15/07/2014,51
16/07/2014,52
17/07/2014,60
18/07/2014,52
19/07/2014,45
20/07/2014,57
21/07/2014,61
22/07/2014,54
23/07/2014,52
24/07/2014,54
25/07/2014,59
26/07/2014,64
27/07/2014,65
28/07/2014,72
29/07/2014,73
30/07/2014,43
31/07/2014,42
01/08/2014,45
02/08/2014,42
03/08/2014,37
04/08/2014,49
05/08/2014,45
06/08/2014,32
07/08/2014,29
08/08/2014,31
09/08/2014,38
10/08/2014,38
11/08/2014,34
12/08/2014,30
13/08/2014,30
14/08/2014,33
15/08/2014,33
16/08/2014,36
17/08/2014,40
18/08/2014,38
19/08/2014,34
20/08/2014,36
21/08/2014,41
22/08/2014,43
23/08/2014,45
24/08/2014,37
25/08/2014,37
26/08/2014,35
27/08/2014,35
28/08/2014,34
29/08/2014,46
30/08/2014,41
31/08/2014,44
01/09/2014,51
02/09/2014,55
03/09/2014,54
04/09/2014,60
05/09/2014,56
06/09/2014,44
07/09/2014,47
08/09/2014,46
09/09/2014,56
10/09/2014,54
11/09/2014,58
12/09/2014,57
13/09/2014,67
14/09/2014,74
15/09/2014,49
16/09/2014,49
17/09/2014,69
18/09/2014,73
19/09/2014,65
20/09/2014,59
21/09/2014,35
22/09/2014,47
23/09/2014,61
24/09/2014,60
25/09/2014,53
26/09/2014,46
27/09/2014,55
28/09/2014,58
29/09/2014,69
30/09/2014,70
01/10/2014,67
02/10/2014,71
03/10/2014,67
04/10/2014,63
05/10/2014,37
06/10/2014,34
07/10/2014,61
08/10/2014,70
09/10/2014,88
10/10/2014,103
11/10/2014,66
12/10/2014,71
13/10/2014,63
14/10/2014,56
15/10/2014,60
16/10/2014,49
17/10/2014,43
18/10/2014,39
19/10/2014,50
20/10/2014,69
21/10/2014,62
22/10/2014,43
23/10/2014,41
24/10/2014,45
25/10/2014,49
26/10/2014,56
27/10/2014,46
28/10/2014,39
29/10/2014,45
30/10/2014,53
31/10/2014,53
01/11/2014,41
02/11/2014,45
03/11/2014,62
04/11/2014,68
05/11/2014,64
06/11/2014,54
07/11/2014,38
08/11/2014,41
09/11/2014,37
10/11/2014,42
11/11/2014,50
12/11/2014,47
13/11/2014,39
14/11/2014,35
15/11/2014,37
16/11/2014,38
17/11/2014,36
18/11/2014,31
19/11/2014,35
20/11/2014,37
21/11/2014,42
22/11/2014,43
23/11/2014,37
24/11/2014,31
25/11/2014,33
26/11/2014,41
27/11/2014,38
28/11/2014,40
29/11/2014,39
30/11/2014,37
01/12/2014,41
02/12/2014,50
03/12/2014,49
04/12/2014,45
05/12/2014,51
06/12/2014,50
07/12/2014,45
08/12/2014,38
09/12/2014,41
10/12/2014,44
11/12/2014,46
12/12/2014,45
13/12/2014,50
14/12/2014,48
15/12/2014,43
16/12/2014,35
17/12/2014,36
18/12/2014,35
19/12/2014,33
20/12/2014,49
21/12/2014,40
22/12/2014,31
23/12/2014,27
24/12/2014,33
25/12/2014,30
26/12/2014,33
27/12/2014,32
28/12/2014,34
01/01/2015,41
02/01/2015,42
04/01/2015,53
05/01/2015,52
06/01/2015,50
07/01/2015,52
08/01/2015,35
09/01/2015,28
10/01/2015,36
11/01/2015,32
12/01/2015,30
13/01/2015,32
14/01/2015,34
15/01/2015,31
16/01/2015,38
17/01/2015,53
18/01/2015,56
19/01/2015,49
20/01/2015,43
21/01/2015,47
22/01/2015,49
23/01/2015,52
24/01/2015,51
25/01/2015,54
26/01/2015,58
27/01/2015,53
28/01/2015,51
29/01/2015,48
30/01/2015,30
31/01/2015,40
01/02/2015,44
02/02/2015,40
03/02/2015,38
04/02/2015,34
05/02/2015,29
06/02/2015,39
07/02/2015,40
08/02/2015,38
09/02/2015,46
10/02/2015,50
11/02/2015,52
12/02/2015,61
13/02/2015,61
14/02/2015,59
15/02/2015,55
16/02/2015,54
17/02/2015,52
18/02/2015,42
19/02/2015,36
20/02/2015,31
21/02/2015,34
22/02/2015,42
23/02/2015,49
24/02/2015,45
25/02/2015,53
26/02/2015,54
27/02/2015,51
28/02/2015,37
01/03/2015,48
02/03/2015,46
03/03/2015,47
04/03/2015,57
05/03/2015,52
06/03/2015,63
07/03/2015,56
08/03/2015,43
09/03/2015,39
10/03/2015,39
11/03/2015,48
12/03/2015,52
13/03/2015,52
14/03/2015,63
15/03/2015,59
16/03/2015,65
17/03/2015,72
18/03/2015,70
19/03/2015,68
20/03/2015,67
21/03/2015,71
22/03/2015,62
23/03/2015,59
24/03/2015,59
25/03/2015,52
26/03/2015,40
27/03/2015,37
28/03/2015,38
29/03/2015,37
30/03/2015,32
31/03/2015,31
01/04/2015,33
02/04/2015,32
03/04/2015,42
04/04/2015,47
05/04/2015,42
06/04/2015,42
07/04/2015,44
08/04/2015,41
09/04/2015,39
10/04/2015,35
11/04/2015,35
12/04/2015,33
13/04/2015,36
14/04/2015,48
15/04/2015,39
16/04/2015,32
17/04/2015,39
18/04/2015,43
19/04/2015,52
20/04/2015,53
21/04/2015,52
22/04/2015,44
23/04/2015,36
24/04/2015,40
25/04/2015,34
26/04/2015,34
27/04/2015,37
28/04/2015,43
29/04/2015,41
30/04/2015,42
01/05/2015,53
02/05/2015,37
03/05/2015,38
04/05/2015,37
05/05/2015,38
06/05/2015,53
07/05/2015,52
08/05/2015,49
09/05/2015,45
10/05/2015,37
11/05/2015,43
12/05/2015,51
13/05/2015,42
15/05/2015,44
16/05/2015,45
17/05/2015,40
18/05/2015,35
19/05/2015,39
20/05/2015,42
21/05/2015,40
22/05/2015,48
23/05/2015,44
24/05/2015,42
25/05/2015,45
26/05/2015,45
27/05/2015,42
28/05/2015,42
29/05/2015,40
30/05/2015,42
31/05/2015,41
01/06/2015,45
02/06/2015,46
03/06/2015,47
04/06/2015,46
05/06/2015,48
06/06/2015,51
07/06/2015,44
08/06/2015,38
09/06/2015,45
10/06/2015,43
11/06/2015,43
12/06/2015,35
13/06/2015,34
14/06/2015,31
15/06/2015,29
16/06/2015,34
17/06/2015,39
18/06/2015,47
19/06/2015,50
20/06/2015,48
21/06/2015,43
22/06/2015,48
23/06/2015,53
24/06/2015,56
25/06/2015,56
26/06/2015,56
27/06/2015,57
28/06/2015,55
29/06/2015,58
30/06/2015,58
01/07/2015,64
02/07/2015,63
03/07/2015,66
04/07/2015,57
05/07/2015,46
06/07/2015,51
07/07/2015,61
08/07/2015,59
09/07/2015,52
10/07/2015,52
11/07/2015,57
12/07/2015,62
13/07/2015,57
14/07/2015,57
15/07/2015,49
16/07/2015,52
17/07/2015,48
18/07/2015,36
19/07/2015,47
20/07/2015,43
21/07/2015,42
22/07/2015,40
23/07/2015,51
24/07/2015,39
25/07/2015,39
26/07/2015,41
27/07/2015,44
28/07/2015,53
29/07/2015,43
30/07/2015,32
02/08/2015,46
03/08/2015,38
04/08/2015,30
05/08/2015,32
06/08/2015,34
07/08/2015,35
08/08/2015,32
09/08/2015,28
10/08/2015,36
11/08/2015,41
12/08/2015,32
13/08/2015,32
14/08/2015,47
15/08/2015,45
16/08/2015,43
17/08/2015,40
18/08/2015,43
20/08/2015,54
21/08/2015,50
22/08/2015,39
23/08/2015,39
24/08/2015,59
25/08/2015,75
26/08/2015,81
27/08/2015,61
28/08/2015,50
29/08/2015,54
30/08/2015,62
31/08/2015,65
01/09/2015,67
02/09/2015,80
03/09/2015,90
04/09/2015,64
05/09/2015,52
06/09/2015,51
07/09/2015,94
08/09/2015,106
09/09/2015,75
10/09/2015,46
11/09/2015,95
12/09/2015,125
13/09/2015,141
14/09/2015,162
15/09/2015,152
16/09/2015,82
17/09/2015,104
18/09/2015,73
19/09/2015,80
20/09/2015,60
21/09/2015,50
22/09/2015,66
23/09/2015,71
24/09/2015,72
25/09/2015,66
26/09/2015,78
27/09/2015,138
28/09/2015,111
29/09/2015,88
30/09/2015,113
01/10/2015,109
02/10/2015,108
03/10/2015,139
04/10/2015,180
05/10/2015,90
06/10/2015,84
07/10/2015,86
08/10/2015,72
09/10/2015,59
10/10/2015,71
11/10/2015,80
12/10/2015,79
13/10/2015,77
14/10/2015,84
15/10/2015,67
16/10/2015,63
17/10/2015,77
18/10/2015,103
19/10/2015,175
20/10/2015,128
21/10/2015,141
22/10/2015,100
23/10/2015,85
24/10/2015,120
25/10/2015,97
26/10/2015,69
27/10/2015,69
28/10/2015,59
29/10/2015,39
30/10/2015,34
31/10/2015,25
01/11/2015,27
02/11/2015,25
03/11/2015,26
04/11/2015,29
05/11/2015,41
06/11/2015,37
07/11/2015,32
08/11/2015,28
09/11/2015,29
10/11/2015,35
11/11/2015,34
12/11/2015,30
13/11/2015,32
14/11/2015,36
15/11/2015,28
16/11/2015,23
17/11/2015,20
18/11/2015,22
19/11/2015,30
20/11/2015,29
21/11/2015,25
22/11/2015,26
23/11/2015,30
24/11/2015,33
25/11/2015,37
26/11/2015,19
27/11/2015,21
28/11/2015,28
29/11/2015,21
30/11/2015,20
01/12/2015,24
02/12/2015,24
03/12/2015,26
04/12/2015,31
05/12/2015,28
06/12/2015,31
07/12/2015,21
08/12/2015,23
09/12/2015,22
10/12/2015,23
11/12/2015,21
12/12/2015,26
13/12/2015,19
14/12/2015,19
15/12/2015,21
16/12/2015,32
17/12/2015,36
18/12/2015,38
19/12/2015,40
20/12/2015,37
21/12/2015,34
22/12/2015,42
23/12/2015,44
24/12/2015,42
25/12/2015,27
26/12/2015,27
27/12/2015,27
28/12/2015,21
29/12/2015,21
30/12/2015,28
04/01/2016,37
05/01/2016,27
06/01/2016,23
07/01/2016,25
08/01/2016,25
09/01/2016,29
10/01/2016,27
11/01/2016,33
12/01/2016,38
13/01/2016,32
14/01/2016,23
15/01/2016,26
16/01/2016,24
17/01/2016,28
18/01/2016,32
19/01/2016,30
20/01/2016,33
21/01/2016,26
22/01/2016,27
23/01/2016,32
24/01/2016,29
25/01/2016,26
26/01/2016,25
27/01/2016,24
28/01/2016,25
29/01/2016,25
30/01/2016,23
31/01/2016,27
01/02/2016,26
02/02/2016,31
03/02/2016,32
04/02/2016,24
05/02/2016,18
06/02/2016,17
07/02/2016,24
08/02/2016,33
09/02/2016,38
10/02/2016,36
11/02/2016,27
12/02/2016,24
13/02/2016,18
14/02/2016,21
15/02/2016,21
16/02/2016,26
17/02/2016,32
18/02/2016,35
19/02/2016,29
20/02/2016,28
21/02/2016,32
22/02/2016,35
23/02/2016,35
24/02/2016,46
25/02/2016,30
26/02/2016,31
27/02/2016,30
28/02/2016,30
29/02/2016,30
01/03/2016,31
02/03/2016,33
03/03/2016,29
04/03/2016,35
05/03/2016,36
06/03/2016,27
07/03/2016,27
08/03/2016,27
09/03/2016,33
10/03/2016,41
11/03/2016,46
12/03/2016,40
13/03/2016,40
14/03/2016,51
15/03/2016,42
16/03/2016,53
17/03/2016,63
18/03/2016,62
19/03/2016,63
20/03/2016,65
21/03/2016,69
22/03/2016,38
23/03/2016,54
24/03/2016,57
25/03/2016,56
26/03/2016,40
27/03/2016,40
28/03/2016,38
29/03/2016,42
30/03/2016,51
31/03/2016,60
01/04/2016,54
02/04/2016,49
03/04/2016,47
04/04/2016,49
05/04/2016,46
06/04/2016,54
07/04/2016,62
08/04/2016,63
09/04/2016,65
10/04/2016,63
11/04/2016,60
12/04/2016,49
13/04/2016,48
14/04/2016,49
15/04/2016,42
16/04/2016,41
17/04/2016,42
18/04/2016,37
19/04/2016,43
20/04/2016,73
21/04/2016,79
22/04/2016,72
23/04/2016,77
24/04/2016,57
25/04/2016,44
26/04/2016,49
27/04/2016,49
28/04/2016,55
29/04/2016,53
30/04/2016,45
01/05/2016,45
02/05/2016,52
03/05/2016,42
04/05/2016,47
05/05/2016,42
06/05/2016,40
07/05/2016,39
08/05/2016,35
09/05/2016,41
10/05/2016,42
11/05/2016,33
12/05/2016,37
13/05/2016,40
14/05/2016,39
15/05/2016,34
16/05/2016,32
17/05/2016,40
18/05/2016,40
19/05/2016,35
20/05/2016,40
21/05/2016,35
22/05/2016,31
23/05/2016,32
24/05/2016,29
25/05/2016,31
26/05/2016,37
27/05/2016,31
28/05/2016,30
29/05/2016,31
30/05/2016,36
31/05/2016,34
01/06/2016,31
02/06/2016,44
03/06/2016,42
04/06/2016,35
05/06/2016,43
06/06/2016,55
07/06/2016,52
08/06/2016,43
09/06/2016,45
10/06/2016,55
11/06/2016,54
12/06/2016,47
13/06/2016,41
14/06/2016,41
15/06/2016,41
16/06/2016,33
17/06/2016,32
18/06/2016,30
19/06/2016,44
20/06/2016,47
21/06/2016,45
22/06/2016,46
23/06/2016,44
24/06/2016,43
25/06/2016,43
26/06/2016,35
27/06/2016,38
28/06/2016,42
29/06/2016,50
30/06/2016,55
01/07/2016,54
02/07/2016,55
03/07/2016,52
04/07/2016,47
05/07/2016,42
07/07/2016,34
08/07/2016,30
09/07/2016,34
10/07/2016,32
11/07/2016,33
12/07/2016,32
13/07/2016,36
14/07/2016,38
15/07/2016,40
