date, pm25, pm10, o3, no2, so2, co, aqi
2025/10/1, 54, 26, 28, 7, , , 
2025/10/2, 67, 29, 7, 6, , , 
2025/10/3, 75, 24, 26, 6, , , 
2025/10/4, 54, 25, 32, 7, 1, , 
2025/10/5, 62, , , , , , 
2025/7/28, 84, 34, 15, 7, 1, , 93
2025/7/29, 83, 30, 18, 6, 1, , 77
2025/7/30, 74, 30, 21, 6, 2, , 66
2025/7/31, 73, 34, 10, 9, 1, , 68
2025/8/1, 79, 26, 18, 6, 1, , 64
2025/8/2, 63, 25, 18, 5, 1, , 66
2025/8/3, 60, 24, 10, 7, 2, , 58
2025/8/4, 62, 21, 29, 6, 1, , 
2025/8/5, 57, 36, 16, 9, 1, , 
2025/8/6, 90, 37, 27, 7, 1, , 
2025/8/7, 92, 44, 26, 9, , , 
2025/8/8, 107, 39, 31, 6, , , 
2025/8/9, 96, 35, 16, 6, , , 
2025/8/10, 87, 27, 15, 6, , , 
2025/8/11, 71, 32, 25, 6, 1, , 
2025/8/12, 80, 37, 31, 5, 1, , 
2025/8/13, 93, 40, 17, 6, 1, , 
2025/8/14, 99, 30, 21, 6, , , 
2025/8/15, 79, 29, 26, 4, 1, , 
2025/8/16, 76, 30, 17, 5, 1, , 
2025/8/17, 78, 32, 16, 6, 1, , 
2025/8/18, 82, 33, 30, 7, 1, , 
2025/8/19, 84, 37, 27, 7, 1, , 
2025/8/20, 89, 35, 18, 10, 1, , 
2025/8/21, 90, 36, 27, 8, 1, , 
2025/8/22, 87, 35, 34, 7, 1, , 
2025/8/23, 86, 20, 20, 3, 1, , 
2025/8/24, 60, 26, 17, 5, 1, , 
2025/8/25, 66, 22, 15, 4, 1, , 
2025/8/26, 59, 33, 21, 7, 1, , 
2025/8/27, 83, 21, 17, 7, 1, , 
2025/8/28, 53, 29, 11, 10, 1, , 
2025/8/29, 65, 29, 21, 6, 1, , 
2025/8/30, 71, 32, 23, 5, 1, , 
2025/8/31, 87, 22, 16, 4, 1, , 
2025/9/1, 64, 23, 17, 6, 1, , 
2025/9/2, 62, 29, 18, 5, 1, , 
2025/9/3, 74, 25, 9, 5, 1, , 
2025/9/4, 68, 23, 19, 4, 1, , 
2025/9/5, 71, 29, 17, 4, 1, , 
2025/9/6, 72, 29, 15, 4, 1, , 
2025/9/7, 75, 25, 17, 3, 1, , 
2025/9/8, 70, 17, 11, 4, 1, , 
2025/9/9, 48, 25, 19, 5, , , 
2025/9/10, 66, 29, 12, 6, , , 
2025/9/11, 84, 19, 7, 5, , , 
2025/9/12, 52, 28, 6, 7, , , 
2025/9/13, 70, 32, 16, 5, , , 
2025/9/14, 84, 19, 20, 2, , , 
2025/9/15, 52, 14, 17, 2, , , 
2025/9/16, 43, 19, 9, 2, , , 
2025/9/17, 52, 28, 18, 5, 1, , 
