Country,Region,Date,Temperature,reading_type,station_name
Singapore,East,2017-01-01,25.66,DBT 1M F,Singapore_National
Singapore,North,2017-01-02,25.34,DBT 1M F,Singapore_National
Singapore,North-East,2017-01-03,25.21,DBT 1M F,Singapore_National
Singapore,West,2017-01-04,26.23,DBT 1M F,Singapore_National
Singapore,Central,2017-01-05,26.54,DBT 1M F,Singapore_National
Singapore,East,2017-01-06,27.1,DBT 1M F,Singapore_National
Singapore,North,2017-01-07,27.63,DBT 1M F,Singapore_National
Singapore,North-East,2017-01-08,27.51,DBT 1M F,Singapore_National
Singapore,West,2017-01-09,27.56,DBT 1M F,Singapore_National
Singapore,Central,2017-01-10,26.93,DBT 1M F,Singapore_National
Singapore,East,2017-01-11,26.8,DBT 1M F,Singapore_National
Singapore,North,2017-01-12,26.87,DBT 1M F,Singapore_National
Singapore,North-East,2017-01-13,26.31,DBT 1M F,Singapore_National
Singapore,West,2017-01-14,26.53,DBT 1M F,Singapore_National
Singapore,Central,2017-01-15,26.36,DBT 1M F,Singapore_National
Singapore,East,2017-01-16,26.29,DBT 1M F,Singapore_National
Singapore,North,2017-01-17,26.26,DBT 1M F,Singapore_National
Singapore,North-East,2017-01-18,26.07,DBT 1M F,Singapore_National
Singapore,West,2017-01-19,25.98,DBT 1M F,Singapore_National
Singapore,Central,2017-01-20,25.95,DBT 1M F,Singapore_National
Singapore,East,2017-01-21,25.28,DBT 1M F,Singapore_National
Singapore,North,2017-01-22,25.23,DBT 1M F,Singapore_National
Singapore,North-East,2017-01-23,24.03,DBT 1M F,Singapore_National
Singapore,West,2017-01-24,23.18,DBT 1M F,Singapore_National
Singapore,Central,2017-01-25,25.14,DBT 1M F,Singapore_National
Singapore,East,2017-01-26,25.47,DBT 1M F,Singapore_National
Singapore,North,2017-01-27,25.34,DBT 1M F,Singapore_National
Singapore,North-East,2017-01-28,24.95,DBT 1M F,Singapore_National
Singapore,West,2017-01-29,24.67,DBT 1M F,Singapore_National
Singapore,Central,2017-01-30,25.08,DBT 1M F,Singapore_National
Singapore,East,2017-01-31,25.56,DBT 1M F,Singapore_National
Singapore,North,2017-02-01,26.37,DBT 1M F,Singapore_National
Singapore,North-East,2017-02-02,25.55,DBT 1M F,Singapore_National
Singapore,West,2017-02-03,26.0,DBT 1M F,Singapore_National
Singapore,Central,2017-02-04,26.18,DBT 1M F,Singapore_National
Singapore,East,2017-02-05,26.31,DBT 1M F,Singapore_National
Singapore,North,2017-02-06,26.35,DBT 1M F,Singapore_National
Singapore,North-East,2017-02-07,25.31,DBT 1M F,Singapore_National
Singapore,West,2017-02-08,25.83,DBT 1M F,Singapore_National
Singapore,Central,2017-02-09,26.13,DBT 1M F,Singapore_National
Singapore,East,2017-02-10,26.51,DBT 1M F,Singapore_National
Singapore,North,2017-02-11,26.34,DBT 1M F,Singapore_National
Singapore,North-East,2017-02-12,25.52,DBT 1M F,Singapore_National
Singapore,West,2017-02-13,25.38,DBT 1M F,Singapore_National
Singapore,Central,2017-02-14,25.02,DBT 1M F,Singapore_National
Singapore,East,2017-02-15,24.68,DBT 1M F,Singapore_National
Singapore,North,2017-02-16,25.53,DBT 1M F,Singapore_National
Singapore,North-East,2017-02-17,25.86,DBT 1M F,Singapore_National
Singapore,West,2017-02-18,25.89,DBT 1M F,Singapore_National
Singapore,Central,2017-02-19,26.03,DBT 1M F,Singapore_National
Singapore,East,2017-02-20,26.5,DBT 1M F,Singapore_National
Singapore,North,2017-02-21,25.71,DBT 1M F,Singapore_National
Singapore,North-East,2017-02-22,26.17,DBT 1M F,Singapore_National
Singapore,West,2017-02-23,26.13,DBT 1M F,Singapore_National
Singapore,Central,2017-02-24,25.08,DBT 1M F,Singapore_National
Singapore,East,2017-02-25,25.58,DBT 1M F,Singapore_National
Singapore,North,2017-02-26,25.85,DBT 1M F,Singapore_National
Singapore,North-East,2017-02-27,25.95,DBT 1M F,Singapore_National
Singapore,West,2017-02-28,25.21,DBT 1M F,Singapore_National
Singapore,Central,2017-03-01,24.31,DBT 1M F,Singapore_National
Singapore,East,2017-03-02,25.42,DBT 1M F,Singapore_National
Singapore,North,2017-03-03,25.32,DBT 1M F,Singapore_National
Singapore,North-East,2017-03-04,25.63,DBT 1M F,Singapore_National
Singapore,West,2017-03-05,26.07,DBT 1M F,Singapore_National
Singapore,Central,2017-03-06,25.8,DBT 1M F,Singapore_National
Singapore,East,2017-03-07,25.53,DBT 1M F,Singapore_National
Singapore,North,2017-03-08,26.29,DBT 1M F,Singapore_National
Singapore,North-East,2017-03-09,25.99,DBT 1M F,Singapore_National
Singapore,West,2017-03-10,26.29,DBT 1M F,Singapore_National
Singapore,Central,2017-03-11,26.74,DBT 1M F,Singapore_National
Singapore,East,2017-03-12,26.21,DBT 1M F,Singapore_National
Singapore,North,2017-03-13,26.11,DBT 1M F,Singapore_National
Singapore,North-East,2017-03-14,26.26,DBT 1M F,Singapore_National
Singapore,West,2017-03-15,27.86,DBT 1M F,Singapore_National
Singapore,Central,2017-03-16,26.74,DBT 1M F,Singapore_National
Singapore,East,2017-03-17,26.38,DBT 1M F,Singapore_National
Singapore,North,2017-03-18,26.84,DBT 1M F,Singapore_National
Singapore,North-East,2017-03-19,26.35,DBT 1M F,Singapore_National
Singapore,West,2017-03-20,25.65,DBT 1M F,Singapore_National
Singapore,Central,2017-03-21,26.66,DBT 1M F,Singapore_National
Singapore,East,2017-03-22,27.05,DBT 1M F,Singapore_National
Singapore,North,2017-03-23,27.61,DBT 1M F,Singapore_National
Singapore,North-East,2017-03-24,27.14,DBT 1M F,Singapore_National
Singapore,West,2017-03-25,27.11,DBT 1M F,Singapore_National
Singapore,Central,2017-03-26,27.21,DBT 1M F,Singapore_National
Singapore,East,2017-03-27,27.45,DBT 1M F,Singapore_National
Singapore,North,2017-03-28,25.82,DBT 1M F,Singapore_National
Singapore,North-East,2017-03-29,26.29,DBT 1M F,Singapore_National
Singapore,West,2017-03-30,25.82,DBT 1M F,Singapore_National
Singapore,Central,2017-03-31,26.88,DBT 1M F,Singapore_National
Singapore,East,2017-04-01,25.85,DBT 1M F,Singapore_National
Singapore,North,2017-04-02,26.01,DBT 1M F,Singapore_National
Singapore,North-East,2017-04-03,26.67,DBT 1M F,Singapore_National
Singapore,West,2017-04-04,27.38,DBT 1M F,Singapore_National
Singapore,Central,2017-04-05,27.46,DBT 1M F,Singapore_National
Singapore,East,2017-04-06,26.98,DBT 1M F,Singapore_National
Singapore,North,2017-04-07,26.64,DBT 1M F,Singapore_National
Singapore,North-East,2017-04-08,26.4,DBT 1M F,Singapore_National
Singapore,West,2017-04-09,26.85,DBT 1M F,Singapore_National
Singapore,Central,2017-04-10,27.15,DBT 1M F,Singapore_National
Singapore,East,2017-04-11,27.65,DBT 1M F,Singapore_National
Singapore,North,2017-04-12,27.19,DBT 1M F,Singapore_National
Singapore,North-East,2017-04-13,26.32,DBT 1M F,Singapore_National
Singapore,West,2017-04-14,27.29,DBT 1M F,Singapore_National
Singapore,Central,2017-04-15,26.63,DBT 1M F,Singapore_National
Singapore,East,2017-04-16,27.43,DBT 1M F,Singapore_National
Singapore,North,2017-04-17,27.63,DBT 1M F,Singapore_National
Singapore,North-East,2017-04-18,26.13,DBT 1M F,Singapore_National
Singapore,West,2017-04-19,27.13,DBT 1M F,Singapore_National
Singapore,Central,2017-04-20,26.92,DBT 1M F,Singapore_National
Singapore,East,2017-04-21,27.16,DBT 1M F,Singapore_National
Singapore,North,2017-04-22,27.08,DBT 1M F,Singapore_National
Singapore,North-East,2017-04-23,27.44,DBT 1M F,Singapore_National
Singapore,West,2017-04-24,26.68,DBT 1M F,Singapore_National
Singapore,Central,2017-04-25,26.23,DBT 1M F,Singapore_National
Singapore,East,2017-04-26,26.13,DBT 1M F,Singapore_National
Singapore,North,2017-04-27,26.72,DBT 1M F,Singapore_National
Singapore,North-East,2017-04-28,26.32,DBT 1M F,Singapore_National
Singapore,West,2017-04-29,26.73,DBT 1M F,Singapore_National
Singapore,Central,2017-04-30,27.09,DBT 1M F,Singapore_National
Singapore,East,2017-05-01,27.16,DBT 1M F,Singapore_National
Singapore,North,2017-05-02,27.33,DBT 1M F,Singapore_National
Singapore,North-East,2017-05-03,27.48,DBT 1M F,Singapore_National
Singapore,West,2017-05-04,27.17,DBT 1M F,Singapore_National
Singapore,Central,2017-05-05,27.58,DBT 1M F,Singapore_National
Singapore,East,2017-05-06,26.85,DBT 1M F,Singapore_National
Singapore,North,2017-05-07,26.75,DBT 1M F,Singapore_National
Singapore,North-East,2017-05-08,26.93,DBT 1M F,Singapore_National
Singapore,West,2017-05-09,27.22,DBT 1M F,Singapore_National
Singapore,Central,2017-05-10,25.93,DBT 1M F,Singapore_National
Singapore,East,2017-05-11,27.33,DBT 1M F,Singapore_National
Singapore,North,2017-05-12,27.1,DBT 1M F,Singapore_National
Singapore,North-East,2017-05-13,27.28,DBT 1M F,Singapore_National
Singapore,West,2017-05-14,27.93,DBT 1M F,Singapore_National
Singapore,Central,2017-05-15,27.55,DBT 1M F,Singapore_National
Singapore,East,2017-05-16,27.83,DBT 1M F,Singapore_National
Singapore,North,2017-05-17,28.37,DBT 1M F,Singapore_National
Singapore,North-East,2017-05-18,27.45,DBT 1M F,Singapore_National
Singapore,West,2017-05-19,27.7,DBT 1M F,Singapore_National
Singapore,Central,2017-05-20,27.64,DBT 1M F,Singapore_National
Singapore,East,2017-05-21,27.31,DBT 1M F,Singapore_National
Singapore,North,2017-05-22,28.02,DBT 1M F,Singapore_National
Singapore,North-East,2017-05-23,27.87,DBT 1M F,Singapore_National
Singapore,West,2017-05-24,27.16,DBT 1M F,Singapore_National
Singapore,Central,2017-05-25,28.07,DBT 1M F,Singapore_National
Singapore,East,2017-05-26,27.33,DBT 1M F,Singapore_National
Singapore,North,2017-05-27,27.35,DBT 1M F,Singapore_National
Singapore,North-East,2017-05-28,28.06,DBT 1M F,Singapore_National
Singapore,West,2017-05-29,27.7,DBT 1M F,Singapore_National
Singapore,Central,2017-05-30,27.23,DBT 1M F,Singapore_National
Singapore,East,2017-05-31,26.99,DBT 1M F,Singapore_National
Singapore,North,2017-06-01,26.71,DBT 1M F,Singapore_National
Singapore,North-East,2017-06-02,27.41,DBT 1M F,Singapore_National
Singapore,West,2017-06-03,28.32,DBT 1M F,Singapore_National
Singapore,Central,2017-06-04,28.34,DBT 1M F,Singapore_National
Singapore,East,2017-06-05,28.18,DBT 1M F,Singapore_National
Singapore,North,2017-06-06,28.03,DBT 1M F,Singapore_National
Singapore,North-East,2017-06-07,27.84,DBT 1M F,Singapore_National
Singapore,West,2017-06-08,27.96,DBT 1M F,Singapore_National
Singapore,Central,2017-06-09,28.13,DBT 1M F,Singapore_National
Singapore,East,2017-06-10,27.05,DBT 1M F,Singapore_National
Singapore,North,2017-06-11,27.36,DBT 1M F,Singapore_National
Singapore,North-East,2017-06-12,27.79,DBT 1M F,Singapore_National
Singapore,West,2017-06-13,27.33,DBT 1M F,Singapore_National
Singapore,Central,2017-06-14,27.08,DBT 1M F,Singapore_National
Singapore,East,2017-06-15,27.48,DBT 1M F,Singapore_National
Singapore,North,2017-06-16,27.56,DBT 1M F,Singapore_National
Singapore,North-East,2017-06-17,26.96,DBT 1M F,Singapore_National
Singapore,West,2017-06-18,26.09,DBT 1M F,Singapore_National
Singapore,Central,2017-06-19,27.04,DBT 1M F,Singapore_National
Singapore,East,2017-06-20,27.37,DBT 1M F,Singapore_National
Singapore,North,2017-06-21,27.15,DBT 1M F,Singapore_National
Singapore,North-East,2017-06-22,26.9,DBT 1M F,Singapore_National
Singapore,West,2017-06-23,26.17,DBT 1M F,Singapore_National
Singapore,Central,2017-06-24,27.28,DBT 1M F,Singapore_National
Singapore,East,2017-06-25,26.4,DBT 1M F,Singapore_National
Singapore,North,2017-06-26,26.66,DBT 1M F,Singapore_National
Singapore,North-East,2017-06-27,26.85,DBT 1M F,Singapore_National
Singapore,West,2017-06-28,27.2,DBT 1M F,Singapore_National
Singapore,Central,2017-06-29,26.57,DBT 1M F,Singapore_National
Singapore,East,2017-06-30,27.44,DBT 1M F,Singapore_National
Singapore,North,2017-07-01,27.33,DBT 1M F,Singapore_National
Singapore,North-East,2017-07-02,27.05,DBT 1M F,Singapore_National
Singapore,West,2017-07-03,26.35,DBT 1M F,Singapore_National
Singapore,Central,2017-07-04,27.04,DBT 1M F,Singapore_National
Singapore,East,2017-07-05,26.3,DBT 1M F,Singapore_National
Singapore,North,2017-07-06,26.71,DBT 1M F,Singapore_National
Singapore,North-East,2017-07-07,26.92,DBT 1M F,Singapore_National
Singapore,West,2017-07-08,26.68,DBT 1M F,Singapore_National
Singapore,Central,2017-07-09,26.38,DBT 1M F,Singapore_National
Singapore,East,2017-07-10,27.02,DBT 1M F,Singapore_National
Singapore,North,2017-07-11,26.15,DBT 1M F,Singapore_National
