Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-02-07,Central,11.0,21.0,59.0,10.0,3.0,0.45,47.0
2016-02-08,Central,17.0,34.0,49.0,15.0,4.0,0.42,57.0
2016-02-09,Central,18.12,34.29,51.79,7.71,3.08,0.44,57.88
2016-02-10,Central,15.5,26.88,34.04,12.46,3.0,0.45,54.67
2016-02-11,Central,7.83,15.21,24.54,15.88,3.08,0.39,32.79
2016-02-12,Central,9.35,19.8,19.65,21.45,4.0,0.36,39.0
2016-02-13,Central,11.33,20.12,19.12,13.0,4.83,0.39,47.46
2016-02-14,Central,9.04,16.12,23.96,13.83,4.0,0.28,37.71
2016-02-15,Central,11.75,19.5,24.96,14.46,4.0,0.35,49.5
2016-02-16,Central,12.26,22.65,23.17,13.13,4.74,0.31,50.74
2016-02-17,Central,14.58,29.5,36.04,18.04,5.0,0.32,53.71
2016-02-18,Central,17.17,32.58,31.38,23.42,5.0,0.37,56.71
2016-02-19,Central,11.08,19.96,13.38,24.96,4.46,0.49,43.79
2016-02-20,Central,7.55,14.45,10.8,31.9,4.0,0.57,31.4
2016-02-21,Central,12.62,24.83,27.62,18.38,4.0,0.46,51.46
2016-02-22,Central,12.38,26.04,31.92,21.38,4.79,0.46,50.88
2016-02-23,Central,12.0,25.67,22.17,18.83,7.38,0.41,49.17
2016-02-24,Central,11.8,23.45,13.2,32.95,5.35,0.64,48.05
2016-02-25,Central,9.62,19.25,23.38,21.54,4.17,0.48,40.67
2016-02-26,Central,13.21,28.29,28.21,27.08,5.83,0.21,51.92
2016-02-27,Central,12.41,28.24,27.94,19.82,6.53,0.33,50.59
2016-02-29,Central,11.71,27.07,30.29,16.14,5.0,0.24,48.36
2016-03-01,Central,11.92,27.42,28.17,23.25,5.0,0.38,49.92
2016-03-02,Central,12.0,27.44,26.94,17.39,3.61,1.94,48.17
2016-03-03,Central,14.07,30.0,24.33,22.2,4.8,0.36,53.27
2016-03-04,Central,13.57,28.29,18.21,23.29,5.0,0.38,52.43
2016-03-05,Central,10.4,22.0,17.4,23.13,5.0,0.61,43.4
2016-03-06,Central,10.9,22.6,28.3,13.8,5.0,0.51,45.8
2016-03-07,Central,10.0,19.25,24.62,21.25,5.0,0.55,41.75
2016-03-08,Central,13.93,23.6,18.33,37.93,5.67,0.51,53.0
2016-03-09,Central,12.25,21.96,26.46,25.25,6.08,0.33,50.0
2016-03-10,Central,12.0,22.09,29.87,38.13,7.3,0.36,48.0
2016-03-11,Central,14.43,23.33,27.29,23.76,4.29,0.46,53.38
2016-03-12,Central,12.17,19.71,30.04,26.71,3.0,0.41,50.04
2016-03-13,Central,13.65,22.0,24.04,26.96,3.0,0.45,52.43
2016-03-14,Central,13.33,23.25,26.0,22.92,3.38,0.56,51.83
2016-03-15,Central,15.0,24.29,28.42,15.25,3.71,0.4,54.38
2016-03-16,Central,16.25,24.21,33.12,31.17,4.08,0.76,55.71
2016-03-17,Central,16.42,24.0,36.75,28.12,4.5,0.32,55.75
2016-03-18,Central,18.04,26.25,44.58,27.88,3.42,0.36,57.79
2016-03-19,Central,20.61,30.0,54.87,29.43,4.22,0.35,60.65
2016-03-20,Central,21.38,30.38,51.38,27.67,3.46,0.37,61.42
2016-03-21,Central,22.67,32.79,43.38,43.67,3.54,0.4,63.04
2016-03-22,Central,21.54,31.29,38.54,47.88,4.04,0.41,61.75
2016-03-23,Central,21.5,31.27,32.41,49.55,4.91,0.45,61.73
2016-03-24,Central,18.83,26.83,55.52,24.22,4.78,0.44,58.52
2016-03-25,Central,21.42,28.62,63.54,5.62,4.71,0.76,61.54
2016-03-26,Central,19.32,27.64,37.23,4.0,5.0,0.68,59.05
2016-03-27,Central,19.42,31.71,34.96,5.12,3.62,0.21,59.29
2016-03-28,Central,22.54,35.5,38.92,13.29,3.17,0.35,62.79
2016-03-29,Central,25.38,43.62,53.96,33.54,4.04,0.67,66.12
2016-03-30,Central,37.62,57.67,49.12,16.75,5.62,0.66,79.83
2016-03-31,Central,31.25,47.54,43.38,27.38,4.46,0.65,72.75
2016-04-01,Central,35.45,49.27,36.23,24.77,2.41,0.73,77.36
2016-04-02,Central,21.14,31.24,38.24,22.29,3.57,0.6,61.19
2016-04-03,Central,16.91,26.13,29.17,21.17,4.35,0.59,56.48
2016-04-04,Central,15.0,22.29,33.29,9.05,4.38,0.52,54.33
2016-04-05,Central,14.38,23.12,32.67,24.33,3.96,0.68,53.46
2016-04-06,Central,14.87,24.33,16.6,26.13,4.87,0.67,54.13
2016-04-12,Central,29.2,38.27,40.33,34.2,19.67,0.63,70.4
2016-04-13,Central,21.5,29.54,38.38,39.79,8.71,0.56,61.67
2016-04-14,Central,24.0,32.46,18.25,36.04,18.29,0.67,64.46
2016-04-15,Central,19.21,26.58,20.92,52.25,25.67,0.53,58.96
2016-04-16,Central,15.33,22.21,23.67,51.71,30.79,0.57,54.54
2016-04-17,Central,15.42,21.96,31.62,30.33,7.88,0.57,54.58
2016-04-18,Central,16.17,22.83,32.62,43.71,18.92,0.66,55.42
2016-04-19,Central,20.96,29.17,36.04,12.46,10.42,0.67,61.0
2016-04-20,Central,22.62,30.75,19.71,40.38,4.83,0.89,62.83
2016-04-21,Central,17.96,27.04,33.92,29.79,6.29,0.75,57.54
2016-04-22,Central,18.17,26.21,27.38,38.83,4.5,0.62,57.83
2016-04-23,Central,15.41,22.41,8.59,35.88,7.0,0.37,54.65
2016-04-25,Central,9.8,16.2,21.47,51.27,7.47,0.36,41.0
2016-04-26,Central,14.79,21.04,26.25,53.17,11.33,0.67,54.04
2016-04-27,Central,22.46,30.71,26.29,62.62,13.79,1.1,62.75
2016-04-28,Central,22.42,31.25,18.83,65.92,9.08,0.45,62.58
2016-04-29,Central,22.79,30.62,14.75,60.88,7.29,0.45,63.04
2016-04-30,Central,31.25,41.62,36.25,70.04,10.42,0.57,72.58
2016-05-01,Central,32.29,40.46,26.71,42.83,15.38,0.51,73.88
2016-05-02,Central,13.12,19.42,21.5,36.75,7.92,0.3,49.42
2016-05-03,Central,16.33,23.92,17.71,39.17,6.38,0.43,55.67
2016-05-04,Central,10.38,16.5,32.46,23.46,7.5,0.61,41.08
2016-05-05,Central,12.38,19.25,29.25,40.75,5.62,1.01,46.25
2016-05-06,Central,18.42,26.83,21.38,41.0,6.08,0.81,58.21
2016-05-07,Central,16.86,24.38,11.43,40.62,7.24,1.2,56.29
2016-05-08,Central,19.46,28.17,17.38,43.42,11.62,1.23,59.46
2016-05-09,Central,21.38,28.71,16.71,51.92,8.54,1.04,61.62
2016-05-10,Central,10.38,17.33,20.0,31.96,7.96,0.78,40.71
2016-05-11,Central,8.58,15.33,19.08,51.25,8.71,0.84,35.71
2016-05-12,Central,16.83,24.0,15.04,40.88,13.5,0.8,56.46
2016-05-13,Central,14.54,21.58,7.58,28.54,8.12,0.77,53.83
2016-05-14,Central,16.0,22.92,9.12,42.83,18.04,0.65,55.33
2016-05-15,Central,15.54,23.17,21.0,38.0,21.62,0.64,54.79
2016-05-16,Central,15.52,22.43,32.09,36.61,13.3,0.48,54.87
2016-05-17,Central,20.33,27.92,26.29,65.0,13.12,0.9,60.33
2016-05-18,Central,26.96,34.5,19.29,45.83,17.17,0.66,67.71
2016-05-19,Central,15.17,22.67,11.21,44.83,10.04,0.66,54.54
2016-05-20,Central,11.75,18.62,18.62,37.88,15.42,0.37,47.71
2016-05-21,Central,13.75,21.83,21.04,29.25,15.62,0.39,52.79
2016-05-22,Central,8.79,15.29,32.42,38.0,17.33,0.32,36.38
2016-05-23,Central,12.92,19.79,30.62,39.0,29.71,0.42,50.54
2016-05-24,Central,10.42,17.54,23.83,34.75,11.62,0.34,43.54
2016-05-25,Central,9.96,15.83,24.12,33.42,13.88,0.32,41.42
2016-05-26,Central,9.46,16.04,17.08,36.88,20.92,0.4,39.08
2016-05-27,Central,7.33,13.12,18.5,30.21,17.38,0.52,31.04
2016-05-28,Central,8.0,14.41,11.41,34.35,8.24,0.36,33.24
2016-06-01,Central,19.75,27.38,18.5,57.25,16.0,0.32,59.75
2016-06-02,Central,16.55,24.18,18.45,51.18,9.45,0.46,56.09
2016-06-03,Central,21.0,29.17,19.0,53.38,8.67,0.74,61.12
2016-06-04,Central,20.73,30.45,7.14,69.18,11.0,0.64,60.77
2016-06-05,Central,18.46,26.79,27.42,42.83,13.17,0.59,58.25
2016-06-06,Central,15.88,23.33,29.25,38.0,16.0,0.29,55.17
2016-06-07,Central,11.08,18.54,25.71,39.62,7.75,0.26,45.96
2016-06-08,Central,21.75,30.54,9.67,53.54,12.08,0.56,62.0
2016-06-09,Central,23.35,31.04,13.13,50.48,16.57,0.65,63.65
2016-06-10,Central,20.75,27.9,11.95,53.15,12.45,0.48,60.8
2016-06-11,Central,15.5,22.25,16.71,40.42,13.58,0.44,54.79
