Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-02-07,East,11.0,19.0,56.0,4.0,2.0,0.41,47.0
2016-02-08,East,19.0,35.0,46.0,12.0,3.0,0.39,59.0
2016-02-09,East,21.38,39.25,46.25,7.75,3.0,0.43,61.5
2016-02-10,East,19.21,34.46,29.67,10.58,3.46,0.5,59.0
2016-02-11,East,9.88,19.21,29.71,6.58,3.88,0.47,39.79
2016-02-12,East,9.7,19.9,24.85,9.1,3.05,0.6,40.2
2016-02-13,East,9.5,24.96,20.83,7.33,3.58,0.7,39.92
2016-02-14,East,10.25,23.75,21.58,8.33,4.79,0.71,43.17
2016-02-15,East,12.46,23.08,27.25,7.12,4.42,0.76,50.25
2016-02-16,East,13.04,25.17,27.96,10.3,3.35,0.48,52.04
2016-02-17,East,13.21,29.21,32.29,17.83,4.0,0.58,52.29
2016-02-18,East,16.12,30.42,36.08,9.96,4.42,0.63,55.67
2016-02-19,East,11.58,22.12,15.79,16.96,3.46,0.55,45.42
2016-02-20,East,9.75,16.95,10.9,16.6,3.0,0.75,40.6
2016-02-21,East,16.58,31.5,32.38,10.25,4.0,0.76,56.0
2016-02-22,East,15.25,29.42,36.04,9.96,4.33,0.72,54.5
2016-02-23,East,14.21,30.92,26.5,10.12,4.0,0.62,53.29
2016-02-24,East,15.7,31.75,16.05,16.95,5.15,0.59,55.1
2016-02-25,East,13.04,26.88,26.17,8.67,4.17,0.6,52.04
2016-02-26,East,14.38,31.29,36.17,7.04,3.33,0.57,53.71
2016-02-27,East,14.71,31.35,30.59,8.12,3.24,0.61,53.94
2016-02-29,East,13.79,27.29,31.21,5.86,3.57,0.65,52.86
2016-03-01,East,13.83,27.12,33.54,11.5,3.96,0.67,52.88
2016-03-02,East,14.0,26.44,35.89,7.0,3.0,0.73,53.0
2016-03-03,East,14.27,28.27,29.73,7.13,3.4,0.67,53.47
2016-03-04,East,15.5,28.07,23.93,11.14,3.21,0.67,54.64
2016-03-05,East,10.33,19.07,25.33,8.6,4.53,0.62,42.67
2016-03-06,East,10.8,19.3,31.6,5.0,11.1,0.6,44.8
2016-03-07,East,11.38,18.88,31.12,8.0,8.88,0.63,47.38
2016-03-08,East,12.53,19.87,26.87,14.27,4.47,0.62,51.33
2016-03-09,East,11.54,19.33,29.75,6.29,4.96,0.62,47.29
2016-03-10,East,9.74,17.17,34.0,14.7,5.43,0.58,40.91
2016-03-11,East,12.71,21.24,28.95,21.19,4.29,0.47,51.48
2016-03-12,East,13.08,19.46,35.83,22.42,2.25,0.49,51.96
2016-03-13,East,11.83,19.13,30.57,24.91,2.0,0.53,48.61
2016-03-14,East,12.46,21.5,26.46,24.21,2.67,0.55,49.17
2016-03-15,East,14.54,23.17,25.54,23.79,3.0,0.54,53.83
2016-03-16,East,16.29,24.58,32.42,22.83,3.33,0.49,55.67
