Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-02-07,National,11.0,24.0,66.0,10.0,6.0,0.45,47.0
2016-02-08,National,19.0,43.0,49.0,22.0,6.0,0.42,59.0
2016-02-09,National,21.38,43.21,51.79,11.67,6.08,0.45,61.5
2016-02-10,National,19.21,34.79,36.33,17.33,7.0,0.5,59.0
2016-02-11,National,9.88,21.12,38.12,17.92,6.29,0.47,39.79
2016-02-12,National,9.8,25.05,33.45,23.1,6.05,0.6,40.85
2016-02-13,National,11.33,30.38,28.54,18.21,7.0,0.7,47.54
2016-02-14,National,10.25,28.38,30.75,19.62,7.0,0.71,43.29
2016-02-15,National,12.58,26.83,33.62,23.46,7.0,0.76,51.38
2016-02-16,National,13.09,27.04,36.26,16.09,6.04,0.48,52.13
2016-02-17,National,14.83,33.75,45.58,23.67,6.0,0.58,54.08
2016-02-18,National,17.58,39.62,37.75,26.12,6.75,0.74,57.12
2016-02-19,National,12.17,26.25,23.25,27.33,6.21,0.57,47.92
2016-02-20,National,9.9,19.6,24.55,32.95,4.35,0.76,41.05
2016-02-21,National,16.58,33.0,39.75,21.38,6.5,0.76,56.0
2016-02-22,National,15.25,33.38,44.92,23.5,6.46,0.72,54.5
2016-02-23,National,14.21,31.5,36.04,22.96,7.67,0.64,53.29
2016-02-24,National,15.7,31.75,24.35,34.3,6.05,0.64,55.1
2016-02-25,National,13.04,26.88,31.5,22.96,6.38,0.61,52.04
2016-02-26,National,14.38,35.21,41.5,27.08,6.75,0.57,53.75
2016-02-27,National,14.71,37.06,35.71,22.59,6.94,0.61,53.94
2016-02-29,National,13.79,34.64,36.86,16.64,6.21,0.65,52.86
2016-03-01,National,13.88,33.5,37.29,25.58,5.75,0.67,52.92
2016-03-02,National,14.06,31.28,37.94,18.56,4.11,2.12,53.22
2016-03-03,National,14.73,33.6,36.6,22.2,5.0,0.67,53.93
2016-03-04,National,15.5,35.21,32.0,24.43,5.0,0.67,54.64
2016-03-05,National,11.27,28.27,32.13,23.2,5.33,0.64,47.13
2016-03-06,National,11.7,26.5,37.3,17.0,11.1,0.61,49.2
2016-03-07,National,11.5,23.5,34.25,21.5,8.88,0.63,48.0
2016-03-08,National,14.53,28.2,29.67,45.07,6.4,0.62,53.8
2016-03-09,National,13.58,26.08,33.17,36.62,8.92,0.62,52.83
2016-03-10,National,13.96,27.78,41.3,42.13,12.96,0.62,53.22
2016-03-11,National,15.29,29.33,33.29,33.19,7.43,0.53,54.48
2016-03-12,National,13.79,25.54,41.46,29.08,5.42,0.49,53.0
2016-03-13,National,13.87,28.04,39.22,30.96,3.96,0.54,53.04
2016-03-14,National,14.04,28.75,37.04,38.5,6.21,0.64,53.08
2016-03-15,National,16.17,27.67,37.12,25.62,7.08,0.61,55.62
2016-03-16,National,17.88,31.17,50.79,36.25,8.83,0.84,57.5
2016-03-17,National,19.46,32.17,52.08,33.54,22.21,0.59,59.46
2016-03-18,National,19.75,34.83,53.21,30.79,15.38,0.6,59.71
2016-03-19,National,21.26,36.3,64.09,44.17,9.7,0.63,61.35
2016-03-20,National,22.83,40.54,70.08,35.17,8.38,0.65,63.25
2016-03-21,National,27.25,44.33,57.79,48.29,8.0,0.71,68.12
2016-03-22,National,23.96,40.42,50.38,57.33,10.46,0.73,64.29
2016-03-23,National,23.77,36.27,43.05,55.55,14.82,0.9,64.14
2016-03-24,National,22.17,36.09,65.17,39.13,15.22,0.74,62.39
2016-03-25,National,25.21,37.67,71.5,32.67,10.17,0.78,65.79
2016-03-26,National,22.55,35.91,43.23,26.05,14.27,0.73,62.68
2016-03-27,National,20.0,35.25,47.83,10.54,3.83,0.5,60.08
2016-03-28,National,23.25,40.71,51.62,18.17,3.42,0.49,63.58
2016-03-29,National,28.54,50.67,68.12,33.54,4.79,0.71,69.58
2016-03-30,National,39.33,69.67,62.46,22.83,5.67,0.68,81.83
2016-03-31,National,35.75,57.71,58.38,30.21,5.75,0.65,77.79
2016-04-01,National,35.91,59.23,49.0,26.59,7.18,0.77,77.77
2016-04-02,National,27.62,44.29,54.67,24.1,8.1,0.65,68.67
2016-04-03,National,20.09,34.39,36.74,22.7,5.83,0.59,59.96
2016-04-04,National,18.14,31.24,38.05,23.95,6.71,0.71,57.95
2016-04-05,National,18.46,30.83,40.21,31.88,7.83,0.82,58.12
2016-04-06,National,18.47,31.73,34.27,30.8,5.73,0.83,58.27
2016-04-12,National,34.07,54.73,46.6,48.87,30.13,0.7,75.73
2016-04-13,National,25.46,42.25,44.58,49.5,19.79,0.68,66.0
2016-04-14,National,28.25,49.0,32.5,61.12,34.33,0.77,69.25
2016-04-15,National,22.33,39.54,39.96,59.83,37.33,0.57,62.62
2016-04-16,National,18.5,32.96,41.83,76.42,44.62,0.81,58.33
2016-04-17,National,20.88,36.04,43.75,42.83,34.46,0.74,60.79
2016-04-18,National,19.04,31.88,49.46,64.33,42.0,0.77,58.71
2016-04-19,National,26.96,38.71,47.33,30.54,21.67,0.75,67.83
2016-04-20,National,27.21,38.12,36.54,55.0,5.75,1.37,68.21
2016-04-21,National,21.92,35.0,43.88,38.54,11.83,0.79,62.08
2016-04-22,National,19.42,36.29,37.17,49.92,12.0,0.67,59.25
2016-04-23,National,20.59,36.53,22.94,48.0,23.94,0.67,60.59
2016-04-25,National,14.73,26.33,35.0,65.8,42.67,0.56,53.93
2016-04-26,National,21.92,36.46,32.58,62.17,24.12,0.74,62.17
2016-04-27,National,26.54,50.04,35.29,78.67,20.54,1.14,67.38
2016-04-28,National,29.33,49.83,31.33,82.0,15.08,0.99,70.38
2016-04-29,National,29.58,54.5,30.33,82.54,13.12,1.04,70.67
2016-04-30,National,32.75,55.0,44.5,85.54,16.92,1.07,74.29
2016-05-01,National,33.25,52.67,39.25,53.5,18.62,1.1,75.0
2016-05-02,National,16.58,34.04,31.71,40.12,14.67,0.51,56.04
2016-05-03,National,20.79,45.38,33.12,50.67,13.08,1.0,60.83
2016-05-04,National,15.58,33.04,40.79,36.79,14.75,0.73,54.96
2016-05-05,National,14.67,28.17,35.29,45.58,8.79,1.03,54.0
2016-05-06,National,21.5,43.96,28.83,50.29,8.33,0.92,61.83
2016-05-07,National,22.86,72.29,22.9,50.33,11.0,1.3,66.33
2016-05-08,National,22.17,40.08,26.62,50.67,19.88,1.23,62.38
