Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-02-07,North,9.0,22.0,66.0,4.0,6.0,0.25,37.0
2016-02-08,North,15.0,30.0,41.0,22.0,6.0,0.34,54.0
2016-02-09,North,17.5,31.62,45.0,10.17,6.08,0.34,57.21
2016-02-10,North,14.5,26.96,34.29,15.04,7.0,0.32,53.58
2016-02-11,North,8.17,17.12,38.12,7.62,6.08,0.33,33.96
2016-02-12,North,7.95,19.25,33.45,11.45,6.05,0.31,32.75
2016-02-13,North,8.79,22.83,28.5,7.92,7.0,0.27,36.46
2016-02-14,North,9.67,25.0,30.17,14.62,7.0,0.32,39.92
2016-02-15,North,10.88,23.54,32.25,8.5,7.0,0.37,45.17
2016-02-16,North,11.52,24.52,36.26,6.04,6.04,0.38,47.83
2016-02-17,North,12.88,25.17,45.58,8.17,6.0,0.32,51.38
2016-02-18,North,15.96,29.83,34.96,16.54,6.75,0.53,55.17
2016-02-19,North,10.58,23.67,21.17,20.17,6.21,0.48,42.42
2016-02-20,North,9.1,18.0,13.55,17.75,4.35,0.61,37.65
2016-02-21,North,13.17,24.42,35.08,12.42,6.5,0.53,51.96
2016-02-22,North,10.62,23.0,42.0,9.54,6.46,0.46,44.5
2016-02-23,North,11.17,22.83,34.75,8.29,6.33,0.43,46.08
2016-02-24,North,11.45,24.75,22.6,15.9,6.0,0.45,47.75
2016-02-25,North,10.33,21.04,31.46,10.04,6.38,0.46,43.25
2016-02-26,North,11.58,27.29,41.5,7.75,6.75,0.47,48.21
2016-02-27,North,9.94,28.06,35.35,11.18,6.65,0.56,41.71
2016-02-29,North,11.71,28.14,36.86,5.64,6.21,0.42,48.5
2016-03-01,North,10.75,26.25,35.42,8.75,5.75,0.41,44.79
2016-03-02,North,12.22,25.0,22.56,8.0,3.39,0.42,50.72
2016-03-03,North,11.07,24.53,36.6,6.93,3.0,0.35,46.13
2016-03-04,North,11.36,26.0,32.0,7.57,2.57,0.36,47.07
2016-03-05,North,10.33,21.07,32.13,8.07,2.07,0.34,42.2
2016-03-06,North,9.9,21.7,36.8,6.1,3.0,0.39,41.5
2016-03-07,North,9.5,21.25,33.5,12.38,3.0,0.42,39.25
2016-03-08,North,12.6,24.67,29.27,24.27,3.0,0.54,51.2
2016-03-09,North,12.79,24.21,31.75,9.33,3.0,0.5,51.79
2016-03-10,North,12.61,26.26,28.43,26.65,3.0,0.49,50.13
2016-03-11,North,15.24,29.33,28.33,10.76,3.95,0.44,54.38
2016-03-12,North,11.33,22.62,37.29,10.5,3.0,0.39,46.54
2016-03-13,North,10.0,21.74,38.22,10.52,3.0,0.53,41.22
2016-03-14,North,12.54,24.5,36.29,11.75,2.5,0.6,49.96
2016-03-15,North,14.04,26.33,37.04,8.29,2.75,0.55,53.12
2016-03-16,North,12.58,21.79,44.75,13.71,2.5,0.46,51.17
2016-03-17,North,14.46,25.29,51.96,8.96,2.92,0.42,53.88
2016-03-18,North,16.46,28.17,49.08,14.58,2.46,0.48,55.83
2016-03-19,North,19.57,28.43,61.3,11.61,2.39,0.47,59.3
2016-03-20,North,17.79,28.92,61.83,9.17,2.04,0.52,57.29
2016-03-21,North,19.58,33.75,57.21,20.83,2.96,0.59,59.54
2016-03-22,North,19.79,34.33,50.33,23.25,3.0,0.54,59.58
2016-03-23,North,18.45,32.09,43.05,32.82,3.41,0.69,58.36
2016-03-24,North,17.91,32.87,65.17,10.52,3.39,0.38,57.52
2016-03-25,North,19.12,29.88,62.08,18.12,3.38,0.77,58.92
2016-03-26,North,17.27,29.36,31.95,23.91,4.27,0.73,56.73
