Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-02-07,South,11.0,24.0,46.0,7.0,2.0,0.45,44.0
2016-02-08,South,17.0,43.0,37.0,9.0,3.0,0.42,57.0
2016-02-09,South,18.67,43.21,35.25,8.0,2.71,0.44,58.46
2016-02-10,South,15.38,33.42,23.58,10.33,2.0,0.45,54.67
2016-02-11,South,8.67,20.33,20.38,11.33,2.96,0.4,36.42
2016-02-12,South,9.2,24.95,15.65,13.5,2.65,0.35,38.25
2016-02-13,South,10.67,27.71,13.42,10.62,3.0,0.35,44.71
2016-02-14,South,8.71,22.0,16.38,10.54,3.04,0.31,36.04
2016-02-15,South,11.88,26.83,21.46,10.5,3.58,0.37,49.54
2016-02-16,South,11.39,27.04,23.43,8.96,4.57,0.32,47.04
2016-02-17,South,14.25,33.75,32.12,11.71,3.71,0.31,52.79
2016-02-18,South,17.25,39.62,26.12,14.54,4.21,0.38,56.79
2016-02-19,South,11.96,25.71,13.5,14.08,3.92,0.53,47.67
2016-02-20,South,9.3,19.3,10.05,17.25,3.65,0.62,38.65
2016-02-21,South,13.29,32.67,22.67,10.75,4.0,0.51,52.38
2016-02-22,South,13.46,33.33,21.83,14.38,4.88,0.43,52.5
2016-02-23,South,12.25,29.67,13.25,12.42,6.29,0.23,50.08
2016-02-24,South,10.95,25.65,9.0,22.85,4.1,0.25,45.8
2016-02-25,South,10.5,24.29,15.46,11.88,4.12,0.21,43.38
2016-02-26,South,13.29,34.75,21.08,12.0,4.38,0.19,52.08
2016-02-27,South,13.24,37.06,21.29,10.88,4.53,0.19,52.29
2016-02-29,South,13.14,34.64,22.86,8.86,2.07,0.21,52.21
2016-03-01,South,13.17,33.5,18.33,13.04,3.0,0.34,52.25
2016-03-02,South,12.11,30.94,19.83,12.78,2.56,1.53,49.83
2016-03-03,South,13.8,33.53,19.0,10.8,3.0,0.35,53.0
2016-03-04,South,14.5,35.21,15.5,12.07,3.0,0.34,53.64
2016-03-05,South,11.27,28.27,15.73,12.8,3.0,0.34,47.13
2016-03-06,South,11.7,26.5,23.0,7.9,3.0,0.32,49.1
2016-03-07,South,11.25,23.5,21.12,11.0,3.0,0.3,47.12
2016-03-08,South,14.53,28.2,15.87,18.87,5.67,0.36,53.8
2016-03-09,South,13.38,25.88,22.96,15.12,7.54,0.36,52.62
2016-03-10,South,13.87,27.13,27.96,24.52,7.52,0.32,53.04
2016-03-11,South,14.38,27.48,24.29,13.43,6.71,0.35,53.67
2016-03-12,South,13.75,25.54,27.5,13.33,4.29,0.29,53.0
2016-03-13,South,13.7,28.04,26.65,10.96,2.26,0.32,52.65
2016-03-14,South,13.79,28.75,24.0,13.12,3.33,0.33,52.71
2016-03-15,South,16.0,27.5,29.75,11.42,4.21,0.29,55.38
2016-03-16,South,17.75,31.17,29.12,15.04,4.96,0.31,57.29
2016-03-17,South,18.12,32.12,32.04,14.58,7.12,0.32,57.92
2016-03-18,South,19.29,34.54,36.88,13.21,4.96,0.36,59.04
2016-03-19,South,21.04,36.3,44.57,11.65,7.43,0.35,61.22
2016-03-20,South,22.12,37.0,42.67,11.12,5.88,0.37,62.29
2016-03-21,South,21.88,38.29,37.33,15.92,5.29,0.4,62.04
2016-03-22,South,23.79,40.42,32.08,20.25,9.5,0.41,64.12
2016-03-23,South,21.91,36.18,22.0,37.55,14.82,0.45,62.27
2016-03-24,South,22.09,36.09,41.17,20.17,15.22,0.34,62.26
2016-03-25,South,22.88,37.42,40.62,7.12,8.29,0.24,63.25
2016-03-26,South,21.77,35.91,29.27,6.0,6.86,0.23,62.0
2016-03-27,South,19.08,35.17,30.62,6.58,3.0,0.21,59.0
2016-03-28,South,22.96,40.71,33.88,8.96,2.21,0.31,63.25
2016-03-29,South,28.54,50.67,48.88,12.21,3.08,0.45,69.58
2016-03-30,South,37.58,69.62,41.88,13.67,4.54,0.48,79.83
2016-03-31,South,31.58,57.71,37.46,14.29,3.96,0.47,73.38
2016-04-01,South,35.0,59.18,33.05,11.82,3.0,0.47,76.91
2016-04-02,South,20.33,36.38,32.19,11.33,3.67,0.36,60.29
2016-04-03,South,18.09,33.87,24.04,11.26,4.13,0.38,57.78
2016-04-04,South,15.24,27.62,24.9,12.19,4.95,0.4,54.62
2016-04-05,South,16.12,28.67,24.04,15.46,4.33,0.4,55.46
2016-04-06,South,15.53,31.73,11.53,16.2,5.07,0.43,54.8
2016-04-12,South,34.07,53.53,22.07,38.93,30.13,0.51,75.73
2016-04-13,South,24.58,42.04,23.25,33.5,19.79,0.37,65.08
2016-04-14,South,27.46,49.0,19.79,46.79,34.33,0.46,68.46
2016-04-15,South,22.33,39.54,16.12,41.08,37.33,0.34,62.62
2016-04-16,South,16.46,31.0,23.08,36.17,35.46,0.34,55.75
2016-04-17,South,16.33,28.83,24.96,26.25,13.17,0.3,55.58
2016-04-18,South,18.71,31.54,24.79,36.33,29.75,0.41,58.46
2016-04-19,South,20.96,35.96,30.08,14.92,14.92,0.31,61.04
2016-04-20,South,22.29,36.54,20.88,24.88,5.29,0.38,62.5
2016-04-21,South,18.71,33.71,37.25,20.25,10.33,0.34,58.5
2016-04-22,South,19.21,33.96,24.08,23.38,6.88,0.31,58.88
