Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-02-07,West,8.0,16.0,56.0,5.0,3.0,0.25,34.0
2016-02-08,West,16.0,27.0,41.0,7.0,3.0,0.34,56.0
2016-02-09,West,18.12,28.79,43.42,4.92,2.12,0.34,58.0
2016-02-10,West,15.54,27.33,33.17,7.79,2.0,0.31,54.96
2016-02-11,West,8.29,15.5,25.75,14.25,2.96,0.23,34.5
2016-02-12,West,8.1,16.35,24.1,15.6,3.35,0.3,33.55
2016-02-13,West,8.46,17.75,18.54,15.62,3.71,0.48,35.96
2016-02-14,West,8.67,16.75,17.83,12.46,3.46,0.43,36.46
2016-02-15,West,10.04,18.67,14.0,21.17,3.62,0.51,41.71
2016-02-16,West,10.3,19.78,12.09,6.74,3.0,0.34,43.17
2016-02-17,West,11.12,21.79,24.38,7.79,3.0,0.23,44.67
2016-02-18,West,15.42,26.17,18.42,14.0,3.33,0.3,54.79
2016-02-19,West,11.12,19.04,12.62,18.67,3.54,0.3,44.21
2016-02-20,West,6.15,12.1,23.45,16.85,3.0,0.32,25.55
2016-02-21,West,10.75,20.71,39.04,6.38,3.0,0.34,45.0
2016-02-22,West,11.79,22.46,42.21,12.12,3.0,0.38,49.12
2016-02-23,West,12.58,23.04,33.04,14.42,3.0,0.41,51.46
2016-02-24,West,11.2,21.35,20.9,13.95,3.0,0.42,46.55
2016-02-25,West,9.62,17.33,21.96,9.88,3.0,0.3,40.04
2016-02-26,West,12.62,24.83,26.71,7.71,3.0,0.27,51.04
2016-02-27,West,11.94,24.53,23.65,5.59,3.0,0.33,49.71
2016-02-29,West,12.79,23.93,28.07,5.14,3.0,0.24,51.71
2016-03-01,West,13.0,23.79,30.33,6.29,3.0,0.2,51.96
2016-03-02,West,11.33,20.44,34.06,5.72,3.56,0.22,47.44
2016-03-03,West,11.33,24.13,26.87,8.2,4.2,0.31,47.33
2016-03-04,West,12.43,24.86,26.86,6.29,2.57,0.29,51.07
2016-03-05,West,10.07,19.8,26.33,7.33,2.0,0.29,42.0
2016-03-06,West,8.7,18.5,30.1,10.7,2.4,0.38,36.4
2016-03-07,West,8.75,18.38,31.0,10.5,3.62,0.39,37.0
2016-03-08,West,11.4,22.53,21.0,38.33,3.2,0.46,47.27
2016-03-09,West,9.96,21.21,25.21,27.62,6.42,0.45,41.42
2016-03-10,West,10.48,23.65,34.74,26.48,12.96,0.46,43.52
2016-03-11,West,11.48,25.81,28.05,26.62,7.38,0.38,47.29
2016-03-12,West,11.42,22.21,37.54,12.62,5.42,0.32,47.96
2016-03-13,West,10.78,20.87,36.35,14.09,3.96,0.3,44.04
2016-03-14,West,11.96,22.25,31.71,27.75,6.21,0.28,48.67
2016-03-15,West,14.96,25.46,32.83,12.17,7.08,0.3,54.12
2016-03-16,West,14.92,25.21,43.54,21.0,8.42,0.27,54.12
2016-03-17,West,19.42,30.21,38.0,17.29,22.21,0.35,59.25
2016-03-18,West,19.25,33.08,43.21,18.08,15.38,0.48,59.12
2016-03-19,West,20.83,34.39,55.43,17.13,9.7,0.47,60.91
2016-03-20,West,22.54,39.29,63.21,13.12,8.38,0.52,63.0
2016-03-21,West,27.25,44.04,45.75,25.79,8.0,0.59,68.12
2016-03-22,West,22.33,35.42,27.5,17.83,7.5,0.54,62.62
2016-03-23,West,16.36,26.95,26.36,20.45,5.41,0.69,55.95
2016-03-24,West,18.13,28.39,38.17,29.48,5.7,0.29,57.78
2016-03-25,West,25.21,35.67,38.67,27.71,9.62,0.36,65.79
2016-03-26,West,21.41,32.05,28.73,15.86,14.27,0.28,61.5
2016-03-27,West,18.75,32.0,33.67,9.0,3.21,0.3,58.46
2016-03-28,West,16.42,30.58,36.0,10.46,3.25,0.37,56.0
2016-03-29,West,24.62,43.04,50.17,8.17,4.79,0.69,65.04
2016-03-30,West,27.71,45.75,51.5,10.62,5.54,0.59,68.79
2016-03-31,West,29.79,47.79,43.25,15.58,5.75,0.48,70.96
2016-04-01,West,21.95,36.14,38.55,13.68,7.18,0.47,62.32
2016-04-02,West,22.81,35.95,46.0,11.81,8.1,0.5,63.0
2016-04-03,West,19.26,32.57,29.43,14.22,5.83,0.48,59.13
2016-04-04,West,18.14,31.24,29.52,20.57,6.62,0.7,57.95
2016-04-05,West,18.46,29.92,23.83,24.96,7.83,0.82,58.12
2016-04-06,West,18.47,30.07,9.87,24.07,5.73,0.83,58.27
2016-04-12,West,26.4,40.67,33.0,25.27,16.53,0.61,67.2
2016-04-13,West,19.17,29.17,36.58,27.79,11.17,0.49,59.04
2016-04-14,West,20.08,31.92,30.5,37.46,13.62,0.54,59.88
2016-04-15,West,15.62,27.71,22.75,48.38,17.96,0.46,55.0
2016-04-16,West,16.88,29.92,32.04,72.21,36.67,0.71,56.5
2016-04-17,West,20.83,33.21,32.83,40.29,34.46,0.58,60.79
2016-04-18,West,18.29,28.62,28.83,60.96,42.0,0.57,58.08
2016-04-19,West,24.33,36.42,37.21,28.0,21.67,0.57,64.83
2016-04-20,West,18.79,29.08,31.25,40.92,5.08,0.57,58.54
2016-04-21,West,20.0,32.5,32.75,32.5,11.25,0.7,59.88
2016-04-22,West,18.25,30.75,23.83,47.04,12.0,0.58,57.92
2016-04-23,West,20.59,33.71,9.82,47.47,23.94,0.65,60.59
