Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2022-01-01,21.58,6.44,0.59,19.33,3.14,20.82,27.31
Singapore,North,2022-01-02,18.7,6.08,0.94,16.26,3.08,21.81,25.28
Singapore,North-East,2022-01-03,18.0,5.53,0.53,21.38,3.06,21.4,23.47
Singapore,West,2022-01-04,20.88,6.11,0.45,20.26,3.03,21.67,25.87
Singapore,Central,2022-01-05,25.31,7.69,0.48,21.38,2.89,24.11,31.98
Singapore,East,2022-01-06,26.06,8.29,0.45,16.19,2.88,27.89,34.59
Singapore,North,2022-01-07,27.5,8.85,0.42,21.17,2.38,27.08,36.74
Singapore,North-East,2022-01-08,27.02,8.03,0.41,12.53,2.4,26.24,33.38
Singapore,West,2022-01-09,30.96,10.57,0.41,8.63,2.35,29.26,43.31
Singapore,Central,2022-01-10,31.62,10.38,0.37,11.94,2.48,29.47,43.24
Singapore,East,2022-01-11,31.78,10.57,0.39,14.74,3.19,29.9,43.46
Singapore,North,2022-01-12,33.42,11.3,0.44,10.77,3.32,30.49,46.26
Singapore,North-East,2022-01-13,36.51,10.9,0.4,12.67,2.98,42.67,45.15
Singapore,West,2022-01-14,37.88,11.26,0.43,12.81,2.99,44.67,46.49
Singapore,Central,2022-01-15,38.31,11.43,0.47,12.09,2.76,47.9,46.87
Singapore,East,2022-01-16,37.82,12.31,0.45,8.56,2.86,39.56,49.01
Singapore,North,2022-01-17,36.51,13.56,0.46,11.62,2.93,35.55,50.74
Singapore,North-East,2022-01-18,38.87,15.01,0.41,10.99,3.0,33.37,53.99
Singapore,West,2022-01-19,37.31,13.45,0.41,13.06,3.0,30.22,50.77
Singapore,Central,2022-01-20,36.24,11.24,0.45,17.06,3.12,34.83,46.22
Singapore,East,2022-01-21,35.4,11.01,0.48,13.69,3.09,35.47,45.1
Singapore,North,2022-01-22,32.18,9.22,0.45,14.76,3.0,36.64,38.92
Singapore,North-East,2022-01-23,33.66,11.62,0.47,14.95,4.1,35.18,46.83
Singapore,West,2022-01-24,32.35,11.42,0.48,24.51,5.76,35.31,45.61
