Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Singapore,Central,2016-02-07,25.87,87.26,17.8
Singapore,Central,2016-02-08,26.26,86.48,16.4
Singapore,Central,2016-02-09,25.97,87.06,9.5
Singapore,Central,2016-02-10,25.68,87.64,12.0
Singapore,Central,2016-02-11,26.36,86.28,11.0
Singapore,Central,2016-02-12,26.66,85.68,10.2
Singapore,Central,2016-02-13,27.54,83.92,13.8
Singapore,Central,2016-02-14,26.56,85.88,9.2
Singapore,Central,2016-02-15,27.73,83.54,11.7
Singapore,Central,2016-02-16,27.44,84.12,16.0
Singapore,Central,2016-02-17,27.05,84.9,14.6
Singapore,Central,2016-02-18,26.75,85.5,10.2
Singapore,Central,2016-02-19,24.21,90.58,7.0
Singapore,Central,2016-02-20,25.58,87.84,10.2
Singapore,Central,2016-02-21,26.56,85.88,12.4
Singapore,Central,2016-02-22,26.95,85.1,12.8
Singapore,Central,2016-02-23,26.85,85.3,12.4
Singapore,Central,2016-02-24,25.19,88.62,11.0
Singapore,Central,2016-02-25,26.75,85.5,17.8
Singapore,Central,2016-02-26,27.05,84.9,14.9
Singapore,Central,2016-02-27,27.24,84.52,13.5
Singapore,Central,2016-02-28,27.34,84.32,15.6
Singapore,Central,2016-02-29,27.54,83.92,16.7
Singapore,Central,2016-03-01,27.34,79.32,16.0
Singapore,Central,2016-03-02,27.24,79.52,17.1
Singapore,Central,2016-03-03,27.24,79.52,16.0
Singapore,Central,2016-03-04,27.05,79.9,13.1
Singapore,Central,2016-03-05,27.54,78.92,12.0
Singapore,Central,2016-03-06,28.03,77.94,13.8
Singapore,Central,2016-03-07,27.24,79.52,12.4
Singapore,Central,2016-03-08,26.95,80.1,8.4
Singapore,Central,2016-03-09,28.32,77.36,11.0
Singapore,Central,2016-03-10,27.44,79.12,7.4
Singapore,Central,2016-03-11,28.22,77.56,12.0
Singapore,Central,2016-03-12,27.93,78.14,12.0
Singapore,Central,2016-03-13,27.64,78.72,10.2
Singapore,Central,2016-03-14,28.03,77.94,9.2
Singapore,Central,2016-03-15,28.03,77.94,10.6
Singapore,Central,2016-03-16,27.83,78.34,8.4
