Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Singapore,East,2016-04-15,29.55,,
Singapore,East,2016-04-29,28.49,,
Singapore,East,2016-04-30,27.97,,
Singapore,East,2016-05-05,29.59,,
Singapore,East,2016-05-06,30.6,,
Singapore,East,2016-05-07,30.01,,
Singapore,East,2016-05-08,29.9,,
Singapore,East,2016-05-09,29.51,,
Singapore,East,2016-05-17,,72.53,
Singapore,East,2016-05-27,,71.72,
Singapore,East,2016-05-28,,79.08,
Singapore,East,2016-05-29,,75.05,
Singapore,East,2016-05-30,,80.98,
Singapore,East,2016-05-31,,73.84,
Singapore,East,2016-06-01,28.2,82.05,
Singapore,East,2016-06-02,28.92,79.26,
Singapore,East,2016-06-03,29.17,77.32,
Singapore,East,2016-06-04,27.22,83.62,
Singapore,East,2016-06-05,28.8,82.45,
Singapore,East,2016-06-06,29.96,75.88,
Singapore,East,2016-06-07,30.19,74.8,
Singapore,East,2016-06-08,28.36,82.78,
Singapore,East,2016-06-09,28.91,81.58,
Singapore,East,2016-06-10,28.9,80.73,
Singapore,East,2016-06-11,28.44,83.55,
Singapore,East,2016-06-12,28.97,78.37,
Singapore,East,2016-06-13,29.18,77.79,
Singapore,East,2016-06-14,28.83,79.7,
Singapore,East,2016-06-15,28.75,78.75,
Singapore,East,2016-06-16,28.79,80.15,
Singapore,East,2016-06-17,26.87,87.82,
Singapore,East,2016-06-18,27.27,84.08,
Singapore,East,2016-06-19,27.91,77.98,
Singapore,East,2016-06-20,29.0,72.27,
Singapore,East,2016-06-21,29.22,76.23,
Singapore,East,2016-06-22,27.62,84.2,
Singapore,East,2016-06-23,29.42,78.96,
Singapore,East,2016-06-24,26.98,83.98,
Singapore,East,2016-06-25,29.27,77.19,
Singapore,East,2016-06-26,29.01,80.44,
Singapore,East,2016-06-27,29.19,75.67,
Singapore,East,2016-06-28,29.72,72.19,
Singapore,East,2016-06-29,30.47,70.14,
Singapore,East,2016-06-30,30.18,76.17,
Singapore,East,2016-07-01,30.07,78.0,
Singapore,East,2016-07-02,30.06,78.16,
Singapore,East,2016-07-03,30.26,76.24,
Singapore,East,2016-07-04,30.28,75.81,
Singapore,East,2016-07-05,30.55,72.94,
Singapore,East,2016-07-06,29.44,77.47,
Singapore,East,2016-07-07,29.63,77.26,
Singapore,East,2016-07-08,29.19,74.79,
Singapore,East,2016-07-09,30.0,72.59,
Singapore,East,2016-07-10,29.92,73.33,
Singapore,East,2016-07-11,28.34,83.76,
Singapore,East,2016-07-12,29.93,77.16,
Singapore,East,2016-07-13,28.37,82.18,
Singapore,East,2016-07-14,27.67,84.89,
Singapore,East,2016-07-15,27.81,83.26,
Singapore,East,2016-07-16,28.75,76.58,
Singapore,East,2016-07-17,27.85,80.48,
Singapore,East,2016-07-18,27.66,83.96,
Singapore,East,2016-07-19,28.06,78.29,
Singapore,East,2016-07-20,27.36,83.4,
Singapore,East,2016-07-21,27.37,83.32,
Singapore,East,2016-07-22,26.43,88.48,
Singapore,East,2016-07-23,27.44,82.67,
Singapore,East,2016-07-24,27.7,80.56,
Singapore,East,2016-07-25,27.69,78.0,
Singapore,East,2016-07-26,26.88,84.29,
Singapore,East,2016-07-27,28.55,76.81,
Singapore,East,2016-07-28,28.74,76.26,
Singapore,East,2016-07-29,28.94,73.7,
Singapore,East,2016-07-30,29.19,75.66,
Singapore,East,2016-07-31,28.15,79.5,
Singapore,East,2016-08-01,27.74,79.19,
Singapore,East,2016-08-02,29.35,70.74,
