Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Singapore,South,2016-04-15,29.53,,
Singapore,South,2016-04-29,28.9,,
Singapore,South,2016-04-30,28.42,,
Singapore,South,2016-05-05,29.79,,
Singapore,South,2016-05-06,30.42,,
Singapore,South,2016-05-07,29.97,,
Singapore,South,2016-05-08,29.91,,
Singapore,South,2016-05-09,30.16,,
Singapore,South,2016-05-17,,71.09,
Singapore,South,2016-05-27,,68.21,
Singapore,South,2016-05-28,,77.75,
Singapore,South,2016-05-29,,72.86,
Singapore,South,2016-05-30,,76.11,
Singapore,South,2016-05-31,,63.83,
Singapore,South,2016-06-01,27.95,77.62,
Singapore,South,2016-06-02,28.53,80.02,
Singapore,South,2016-06-03,29.46,79.13,
Singapore,South,2016-06-04,27.25,80.75,
Singapore,South,2016-06-05,28.88,79.96,
Singapore,South,2016-06-06,30.26,72.2,
Singapore,South,2016-06-07,30.42,71.2,
Singapore,South,2016-06-08,28.5,80.16,
Singapore,South,2016-06-09,29.49,75.74,
Singapore,South,2016-06-10,28.83,79.46,
Singapore,South,2016-06-11,28.47,81.28,
Singapore,South,2016-06-12,28.98,76.52,
Singapore,South,2016-06-13,29.28,72.84,
Singapore,South,2016-06-14,29.17,72.59,
Singapore,South,2016-06-15,28.71,74.73,
Singapore,South,2016-06-16,28.58,79.0,
Singapore,South,2016-06-17,26.93,83.8,
Singapore,South,2016-06-18,27.73,79.68,
Singapore,South,2016-06-19,27.92,75.19,
Singapore,South,2016-06-20,28.79,70.89,
Singapore,South,2016-06-21,29.43,71.41,
Singapore,South,2016-06-22,27.65,80.59,
Singapore,South,2016-06-23,29.62,73.68,
Singapore,South,2016-06-24,27.04,78.95,
Singapore,South,2016-06-25,29.37,73.74,
Singapore,South,2016-06-26,29.28,74.35,
Singapore,South,2016-06-27,29.12,70.74,
Singapore,South,2016-06-28,29.62,68.38,
Singapore,South,2016-06-29,30.43,66.98,
Singapore,South,2016-06-30,30.53,71.31,
Singapore,South,2016-07-01,30.33,74.79,
Singapore,South,2016-07-02,30.74,71.34,
Singapore,South,2016-07-03,30.49,72.1,
Singapore,South,2016-07-04,30.52,71.97,
Singapore,South,2016-07-05,30.85,68.77,
Singapore,South,2016-07-06,29.26,74.44,
Singapore,South,2016-07-07,29.87,72.0,
Singapore,South,2016-07-08,28.91,72.55,
Singapore,South,2016-07-09,30.14,65.72,
Singapore,South,2016-07-10,30.12,67.26,
Singapore,South,2016-07-11,28.17,82.43,
Singapore,South,2016-07-12,30.13,73.41,
Singapore,South,2016-07-13,28.04,81.88,
Singapore,South,2016-07-14,27.44,84.74,
Singapore,South,2016-07-15,27.81,82.74,
Singapore,South,2016-07-16,29.07,71.17,
Singapore,South,2016-07-17,27.93,74.35,
Singapore,South,2016-07-18,28.22,78.98,
Singapore,South,2016-07-19,27.91,76.35,
Singapore,South,2016-07-20,27.38,82.81,
Singapore,South,2016-07-21,27.8,78.54,
Singapore,South,2016-07-22,26.55,89.6,
Singapore,South,2016-07-23,27.33,82.67,
Singapore,South,2016-07-24,27.2,83.53,
Singapore,South,2016-07-25,27.56,76.16,
Singapore,South,2016-07-26,26.63,84.24,
Singapore,South,2016-07-27,28.7,76.08,
Singapore,South,2016-07-28,28.52,75.68,
Singapore,South,2016-07-29,28.86,71.37,
Singapore,South,2016-07-30,29.3,72.8,
Singapore,South,2016-07-31,28.59,75.85,
Singapore,South,2016-08-01,27.99,75.53,
Singapore,South,2016-08-02,29.16,67.09,
Singapore,South,2016-08-03,27.66,75.4,
Singapore,South,2016-08-04,28.58,71.69,
Singapore,South,2016-08-05,29.8,67.45,
Singapore,South,2016-08-06,29.17,72.59,
Singapore,South,2016-08-07,29.73,74.78,
Singapore,South,2016-08-08,29.78,71.82,
Singapore,South,2016-08-09,29.39,74.98,
Singapore,South,2016-08-10,29.91,69.51,
Singapore,South,2016-08-11,29.32,73.96,
Singapore,South,2016-08-12,29.24,72.09,
