Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Singapore,East,2023-01-01,25.46,82.6,10.81
Singapore,North,2023-01-02,26.25,81.85,11.4
Singapore,North-East,2023-01-03,25.52,85.97,10.77
Singapore,West,2023-01-04,25.55,84.27,14.04
Singapore,Central,2023-01-05,25.8,85.97,7.93
Singapore,East,2023-01-06,25.71,86.13,10.06
Singapore,North,2023-01-07,25.51,87.81,7.39
Singapore,North-East,2023-01-08,26.26,84.5,7.97
Singapore,West,2023-01-09,25.75,87.46,4.94
Singapore,Central,2023-01-10,26.01,88.39,5.36
Singapore,East,2023-01-11,25.43,89.09,5.33
Singapore,North,2023-01-12,26.21,85.47,6.02
Singapore,North-East,2023-01-13,26.08,88.29,5.18
Singapore,West,2023-01-14,25.95,86.11,5.39
Singapore,Central,2023-01-15,25.55,88.43,7.46
Singapore,East,2023-01-16,25.63,85.23,7.79
Singapore,North,2023-01-17,26.16,78.14,9.52
Singapore,North-East,2023-01-18,25.39,83.2,11.95
Singapore,West,2023-01-19,25.37,85.18,13.35
Singapore,Central,2023-01-20,24.87,88.88,11.34
Singapore,East,2023-01-21,25.27,87.41,9.1
Singapore,North,2023-01-22,24.89,89.49,8.68
Singapore,North-East,2023-01-23,24.77,90.31,7.33
Singapore,West,2023-01-24,23.47,93.71,9.29
Singapore,Central,2023-01-25,23.29,93.87,8.21
Singapore,East,2023-01-26,24.6,88.45,12.56
Singapore,North,2023-01-27,25.43,85.66,13.62
Singapore,North-East,2023-01-28,23.79,91.51,15.78
Singapore,West,2023-01-29,23.65,89.54,15.28
Singapore,Central,2023-01-30,24.23,89.19,14.6
Singapore,East,2023-01-31,23.74,93.63,10.4
Singapore,North,2023-02-01,25.11,88.27,10.75
Singapore,North-East,2023-02-02,25.34,89.05,8.48
Singapore,West,2023-02-03,25.6,87.73,8.23
Singapore,Central,2023-02-04,24.68,90.99,8.72
Singapore,East,2023-02-05,25.3,89.49,7.42
Singapore,North,2023-02-06,25.64,83.0,11.82
Singapore,North-East,2023-02-07,26.19,84.8,11.83
Singapore,West,2023-02-08,25.75,88.72,9.31
Singapore,Central,2023-02-09,26.0,88.06,7.47
Singapore,East,2023-02-10,25.64,89.0,8.71
Singapore,North,2023-02-11,25.28,89.31,9.35
Singapore,North-East,2023-02-12,25.22,89.63,7.34
Singapore,West,2023-02-13,25.18,89.88,6.38
Singapore,Central,2023-02-14,25.31,89.65,8.11
Singapore,East,2023-02-15,25.02,85.27,11.39
Singapore,North,2023-02-16,25.29,82.2,11.1
Singapore,North-East,2023-02-17,25.48,84.84,11.39
Singapore,West,2023-02-18,26.23,83.69,12.84
Singapore,Central,2023-02-19,25.89,86.09,9.03
Singapore,East,2023-02-20,25.74,83.51,10.97
Singapore,North,2023-02-21,25.7,82.12,12.82
Singapore,North-East,2023-02-22,26.02,81.16,13.46
Singapore,West,2023-02-23,26.2,78.44,14.31
Singapore,Central,2023-02-24,26.09,79.98,12.53
Singapore,East,2023-02-25,26.0,78.85,15.03
Singapore,North,2023-02-26,25.65,80.37,19.46
Singapore,North-East,2023-02-27,25.48,84.02,16.4
Singapore,West,2023-02-28,23.91,92.43,9.74
Singapore,Central,2023-03-01,23.01,93.63,10.68
Singapore,East,2023-03-02,24.19,91.92,8.13
Singapore,North,2023-03-03,23.86,92.26,12.86
Singapore,North-East,2023-03-04,23.43,92.66,13.18
Singapore,West,2023-03-05,23.47,91.57,9.89
Singapore,Central,2023-03-06,24.92,85.17,12.02
Singapore,East,2023-03-07,24.9,87.02,12.01
Singapore,North,2023-03-08,25.33,87.46,12.11
Singapore,North-East,2023-03-09,25.71,85.77,13.74
Singapore,West,2023-03-10,25.54,86.86,11.28
Singapore,Central,2023-03-11,25.59,87.01,10.11
Singapore,East,2023-03-12,26.15,83.59,10.86
Singapore,North,2023-03-13,25.62,79.76,16.71
Singapore,North-East,2023-03-14,25.34,81.57,13.4
Singapore,West,2023-03-15,25.6,81.02,13.3
Singapore,Central,2023-03-16,26.29,80.83,13.72
Singapore,East,2023-03-17,26.31,82.71,11.55
Singapore,North,2023-03-18,26.65,81.45,12.05
Singapore,North-East,2023-03-19,26.2,86.14,10.33
Singapore,West,2023-03-20,25.84,88.03,8.2
Singapore,Central,2023-03-21,25.72,85.88,4.29
Singapore,East,2023-03-22,26.4,87.01,5.04
Singapore,North,2023-03-23,26.63,87.4,5.83
Singapore,North-East,2023-03-24,26.53,87.52,4.63
Singapore,West,2023-03-25,25.67,88.69,5.04
Singapore,Central,2023-03-26,26.9,85.07,6.4
Singapore,East,2023-03-27,25.52,89.61,4.89
Singapore,North,2023-03-28,27.13,85.03,7.07
Singapore,North-East,2023-03-29,26.61,85.61,7.5
Singapore,West,2023-03-30,25.79,87.48,6.52
Singapore,Central,2023-03-31,26.38,85.23,5.39
Singapore,East,2023-04-01,26.52,84.77,5.85
Singapore,North,2023-04-02,26.21,85.6,5.51
Singapore,North-East,2023-04-03,25.24,90.7,5.66
