Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Singapore,West,2016-02-07,25.67,88.66,17.8
Singapore,West,2016-02-08,26.06,87.88,16.4
Singapore,West,2016-02-09,25.77,88.46,9.5
Singapore,West,2016-02-10,25.48,89.04,12.0
Singapore,West,2016-02-11,26.16,87.68,11.0
Singapore,West,2016-02-12,26.46,87.08,10.2
Singapore,West,2016-02-13,27.34,85.32,13.8
Singapore,West,2016-02-14,26.36,87.28,9.2
Singapore,West,2016-02-15,27.53,84.94,11.7
Singapore,West,2016-02-16,27.24,85.52,16.0
Singapore,West,2016-02-17,26.85,86.3,14.6
Singapore,West,2016-02-18,26.55,86.9,10.2
Singapore,West,2016-02-19,24.01,91.98,7.0
Singapore,West,2016-02-20,25.38,89.24,10.2
Singapore,West,2016-02-21,26.36,87.28,12.4
Singapore,West,2016-02-22,26.75,86.5,12.8
Singapore,West,2016-02-23,26.65,86.7,12.4
Singapore,West,2016-02-24,24.99,90.02,11.0
Singapore,West,2016-02-25,26.55,86.9,17.8
Singapore,West,2016-02-26,26.85,86.3,14.9
Singapore,West,2016-02-27,27.04,85.92,13.5
Singapore,West,2016-02-28,27.14,85.72,15.6
Singapore,West,2016-02-29,27.34,85.32,16.7
Singapore,West,2016-03-01,27.14,80.72,16.0
Singapore,West,2016-03-02,27.04,80.92,17.1
Singapore,West,2016-03-03,27.04,80.92,16.0
Singapore,West,2016-03-04,26.85,81.3,13.1
Singapore,West,2016-03-05,27.34,80.32,12.0
Singapore,West,2016-03-06,27.83,79.34,13.8
Singapore,West,2016-03-07,27.04,80.92,12.4
Singapore,West,2016-03-08,26.75,81.5,8.4
Singapore,West,2016-03-09,28.12,78.76,11.0
Singapore,West,2016-03-10,27.24,80.52,7.4
Singapore,West,2016-03-11,28.02,78.96,12.0
Singapore,West,2016-03-12,27.73,79.54,12.0
Singapore,West,2016-03-13,27.44,80.12,10.2
Singapore,West,2016-03-14,27.83,79.34,9.2
Singapore,West,2016-03-15,27.83,79.34,10.6
Singapore,West,2016-03-16,27.63,79.74,8.4
Singapore,West,2016-03-17,27.83,79.34,11.3
Singapore,West,2016-03-18,27.93,79.14,10.2
Singapore,West,2016-03-19,27.83,79.34,11.7
Singapore,West,2016-03-20,27.73,79.54,9.2
Singapore,West,2016-03-21,27.63,79.74,8.4
Singapore,West,2016-03-22,27.44,80.12,8.4
Singapore,West,2016-03-23,28.02,78.96,8.8
Singapore,West,2016-03-24,28.22,78.56,11.7
Singapore,West,2016-03-25,27.24,80.52,7.7
Singapore,West,2016-03-26,27.63,79.74,13.1
Singapore,West,2016-03-27,27.93,79.14,13.8
Singapore,West,2016-03-28,28.12,78.76,16.4
Singapore,West,2016-03-29,27.93,79.14,13.5
Singapore,West,2016-03-30,27.83,79.34,14.2
Singapore,West,2016-03-31,27.93,79.14,13.1
Singapore,West,2016-04-01,28.32,78.36,13.1
Singapore,West,2016-04-02,28.42,78.16,12.8
Singapore,West,2016-04-03,27.63,79.74,8.8
Singapore,West,2016-04-04,28.32,78.36,11.0
Singapore,West,2016-04-05,27.93,79.14,10.2
Singapore,West,2016-04-06,28.42,78.16,9.9
Singapore,West,2016-04-07,28.32,78.36,8.4
Singapore,West,2016-04-08,28.71,77.58,9.5
Singapore,West,2016-04-09,27.14,80.72,7.0
Singapore,West,2016-04-10,28.32,78.36,9.5
Singapore,West,2016-04-11,28.81,77.38,7.4
Singapore,West,2016-04-12,28.91,77.18,8.1
Singapore,West,2016-04-13,28.91,77.18,8.1
Singapore,West,2016-04-14,29.0,77.0,5.9
Singapore,West,2016-04-15,29.98,75.66888888888889,5.892926829268293
Singapore,West,2016-04-29,27.96,74.33777777777777,5.885853658536586
Singapore,West,2016-04-30,27.01,73.00666666666666,5.878780487804878
Singapore,West,2016-05-05,28.47,71.67555555555555,5.871707317073171
Singapore,West,2016-05-06,29.49,70.34444444444445,5.864634146341464
