Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2019-01-01,Central,8.54,16.62,38.08,17.79,2.0,0.46,35.58
2019-01-01,East,8.5,20.62,21.75,14.08,2.92,0.51,35.46
2019-01-01,National,9.88,21.75,38.79,20.42,3.54,0.66,41.33
2019-01-01,North,9.83,19.83,32.62,14.0,3.0,0.65,41.29
2019-01-01,South,9.12,20.46,37.0,15.25,3.42,0.61,38.08
2019-01-01,West,6.0,16.88,22.5,4.04,3.0,0.51,24.96
2019-01-02,Central,11.0,19.62,62.42,15.04,2.0,0.47,45.25
2019-01-02,East,12.12,24.79,37.67,11.92,2.21,0.57,48.21
2019-01-02,National,12.12,25.38,64.75,19.71,4.67,0.7,48.29
2019-01-02,North,11.12,22.33,56.29,17.25,2.12,0.7,45.58
2019-01-02,South,11.5,25.0,56.71,12.46,4.46,0.66,46.54
2019-01-02,West,7.58,19.75,35.88,4.88,3.21,0.58,31.33
2019-01-03,Central,17.0,27.12,80.21,11.17,2.92,0.5,56.54
2019-01-03,East,17.42,31.04,47.46,10.21,3.38,0.52,57.08
2019-01-03,National,18.83,34.0,80.92,16.29,4.67,0.72,58.58
2019-01-03,North,15.62,27.04,76.96,11.25,3.0,0.71,55.04
2019-01-03,South,18.83,34.0,68.0,12.29,3.75,0.7,58.58
2019-01-03,West,13.92,28.04,45.75,4.46,4.62,0.63,52.96
2019-01-04,Central,13.92,24.33,69.33,16.29,3.04,0.44,52.21
2019-01-04,East,15.25,29.71,40.04,11.71,2.79,0.43,54.62
2019-01-04,National,17.29,32.71,69.67,19.75,5.0,0.61,56.88
2019-01-04,North,13.71,25.33,64.42,16.08,2.42,0.58,52.17
2019-01-04,South,17.29,32.71,60.46,12.88,5.0,0.6,56.88
2019-01-04,West,11.79,27.21,42.88,4.88,4.96,0.55,48.38
2019-01-05,Central,18.71,29.17,53.67,30.08,3.12,0.58,58.33
2019-01-05,East,21.38,35.38,33.54,20.58,4.38,0.54,61.38
2019-01-05,National,24.08,38.75,65.42,37.46,7.79,0.76,64.46
2019-01-05,North,19.54,32.29,59.42,27.96,3.46,0.74,59.38
2019-01-05,South,24.08,38.29,59.67,31.58,5.46,0.73,64.46
2019-01-05,West,19.0,37.71,47.58,16.5,7.71,0.66,58.88
2019-01-06,Central,16.71,29.83,32.96,21.71,3.58,0.43,56.25
2019-01-06,East,15.83,28.5,23.79,7.88,2.96,0.31,54.46
2019-01-06,National,18.71,34.38,37.62,23.12,8.29,0.55,58.58
2019-01-06,North,15.17,25.75,33.96,5.96,2.58,0.49,53.33
2019-01-06,South,18.54,33.5,36.54,13.83,4.42,0.55,58.38
2019-01-06,West,16.04,33.21,24.25,5.83,8.29,0.49,53.54
2019-01-07,Central,11.25,25.12,29.21,25.08,3.0,0.38,46.42
2019-01-07,East,10.42,26.83,22.0,8.67,2.0,0.25,43.33
2019-01-07,National,12.54,30.04,36.96,25.08,3.54,0.48,50.79
2019-01-07,North,9.21,18.29,36.38,8.21,2.25,0.38,38.12
2019-01-07,South,12.54,30.04,32.12,12.71,2.42,0.48,50.79
2019-01-07,West,7.58,23.12,27.83,4.5,3.54,0.4,31.88
2019-01-08,Central,11.08,25.08,24.42,26.75,3.17,0.36,45.75
2019-01-08,East,10.08,26.29,19.08,9.46,2.0,0.26,42.21
2019-01-08,National,12.04,28.79,31.83,27.29,3.25,0.54,49.62
2019-01-08,North,7.88,18.54,31.83,6.83,2.67,0.41,32.71
2019-01-08,South,11.83,28.79,24.62,17.58,2.0,0.54,48.75
2019-01-08,West,6.67,21.38,20.33,7.21,3.12,0.43,27.79
2019-01-09,Central,11.54,25.67,28.67,22.0,3.0,0.19,47.54
2019-01-09,East,11.33,27.42,20.92,9.25,2.58,0.28,47.12
2019-01-09,National,13.0,31.21,33.58,23.79,3.04,0.55,51.92
2019-01-09,North,8.42,19.0,33.17,6.79,2.38,0.42,35.25
2019-01-09,South,13.0,31.21,27.12,15.88,2.54,0.55,51.92
2019-01-09,West,7.71,22.46,16.83,6.79,3.04,0.48,32.5
2019-01-10,Central,10.58,24.79,30.92,18.17,3.0,0.17,44.08
2019-01-10,East,11.46,28.38,18.79,8.92,2.17,0.27,47.75
2019-01-10,National,12.04,30.0,33.17,21.08,3.75,0.47,49.83
2019-01-10,North,9.71,20.96,31.46,7.21,2.0,0.4,40.12
2019-01-10,South,12.04,29.96,28.54,15.42,2.96,0.44,49.83
2019-01-10,West,8.38,24.08,21.0,6.46,3.75,0.44,34.67
2019-01-11,Central,10.21,22.5,30.42,22.71,3.0,0.18,42.54
2019-01-11,East,10.29,24.67,21.58,10.25,2.0,0.27,42.92
2019-01-11,National,10.62,26.71,34.54,25.54,3.0,0.44,44.08
2019-01-11,North,8.46,19.46,34.54,7.38,2.12,0.4,35.17
2019-01-11,South,10.42,26.71,30.62,18.38,2.33,0.35,43.5
