Country,Region,Date,Temperature,RelativeHumidity,WindSpeed
Singapore,Central,2017-01-01,27.43,83.25,6.13
Singapore,East,2017-01-01,27.66,85.01,5.05
Singapore,North,2017-01-01,27.04,86.5,3.94
Singapore,South,2017-01-01,27.55,85.29,9.03
Singapore,West,2017-01-01,26.49,83.89,3.64
Singapore,Central,2017-01-02,26.83,87.41,5.16
Singapore,East,2017-01-02,26.96,87.95,3.05
Singapore,North,2017-01-02,26.31,90.64,2.45
Singapore,South,2017-01-02,27.14,87.48,10.0
Singapore,West,2017-01-02,25.99,88.43,3.06
Singapore,Central,2017-01-03,27.13,84.25,5.18
Singapore,East,2017-01-03,26.83,87.32,3.71
Singapore,North,2017-01-03,26.35,88.61,3.0
Singapore,South,2017-01-03,27.05,86.7,9.59
Singapore,West,2017-01-03,26.84,81.65,3.51
Singapore,Central,2017-01-04,27.34,79.02,6.56
Singapore,East,2017-01-04,27.07,82.77,4.22
Singapore,North,2017-01-04,26.88,80.93,3.5
Singapore,South,2017-01-04,27.62,78.48,9.53
Singapore,West,2017-01-04,27.09,75.37,4.02
Singapore,Central,2017-01-05,28.21,73.09,5.62
Singapore,East,2017-01-05,28.34,75.09,3.71
Singapore,North,2017-01-05,27.72,73.97,3.32
Singapore,South,2017-01-05,28.64,70.49,9.38
Singapore,West,2017-01-05,27.68,69.86,3.63
Singapore,Central,2017-01-06,28.67,77.74,4.87
Singapore,East,2017-01-06,28.61,80.62,3.91
Singapore,North,2017-01-06,28.53,74.78,3.4
Singapore,South,2017-01-06,29.39,71.18,5.64
Singapore,West,2017-01-06,28.69,71.74,3.43
Singapore,Central,2017-01-07,29.43,73.89,5.43
Singapore,East,2017-01-07,29.24,77.67,3.99
Singapore,North,2017-01-07,29.54,69.11,3.43
Singapore,South,2017-01-07,29.65,72.56,4.6
Singapore,West,2017-01-07,29.62,66.3,3.35
Singapore,Central,2017-01-08,29.39,75.6,5.54
Singapore,East,2017-01-08,29.3,78.61,4.32
Singapore,North,2017-01-08,29.59,70.08,3.5
Singapore,South,2017-01-08,29.61,71.58,4.5
Singapore,West,2017-01-08,29.65,67.3,3.56
Singapore,Central,2017-01-09,28.96,77.54,6.57
Singapore,East,2017-01-09,28.65,82.5,5.38
Singapore,North,2017-01-09,28.9,78.82,4.37
Singapore,South,2017-01-09,29.17,73.05,5.55
Singapore,West,2017-01-09,29.28,73.24,4.3
Singapore,Central,2017-01-10,28.55,80.01,6.28
Singapore,East,2017-01-10,28.23,84.07,5.06
Singapore,North,2017-01-10,28.03,80.73,4.11
Singapore,South,2017-01-10,28.82,74.31,6.31
Singapore,West,2017-01-10,28.92,74.11,4.26
Singapore,Central,2017-01-11,27.77,81.65,6.26
Singapore,East,2017-01-11,27.2,85.82,4.43
Singapore,North,2017-01-11,27.1,82.26,3.44
Singapore,South,2017-01-11,28.49,73.95,6.12
Singapore,West,2017-01-11,28.27,75.81,4.23
Singapore,Central,2017-01-12,28.27,76.09,6.52
Singapore,East,2017-01-12,28.1,80.16,3.43
Singapore,North,2017-01-12,28.11,71.69,3.15
Singapore,South,2017-01-12,28.66,71.62,5.46
Singapore,West,2017-01-12,28.3,69.49,3.5
Singapore,Central,2017-01-13,28.01,79.44,6.08
Singapore,East,2017-01-13,27.49,84.89,3.77
Singapore,North,2017-01-13,27.77,79.74,3.36
Singapore,South,2017-01-13,28.6,74.29,5.46
Singapore,West,2017-01-13,28.67,71.08,3.56
Singapore,Central,2017-01-14,28.07,77.85,6.71
Singapore,East,2017-01-14,27.9,81.09,3.29
Singapore,North,2017-01-14,28.1,77.01,2.89
Singapore,South,2017-01-14,28.35,72.36,5.46
Singapore,West,2017-01-14,28.18,74.18,3.3
Singapore,Central,2017-01-15,28.21,77.76,6.75
Singapore,East,2017-01-15,27.66,82.84,3.57
Singapore,North,2017-01-15,28.05,77.86,3.12
Singapore,South,2017-01-15,28.63,72.35,5.58
Singapore,West,2017-01-15,28.48,72.79,3.94
Singapore,Central,2017-01-16,28.1,75.08,7.43
Singapore,East,2017-01-16,27.71,79.25,3.81
Singapore,North,2017-01-16,27.83,76.78,2.98
Singapore,South,2017-01-16,28.65,65.85,6.5
