Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Singapore,East,2015-01-01,53.46,24.62,88.69,11.65
Singapore,North,2015-01-02,53.46,25.49,78.11,14.05
Singapore,North-East,2015-01-03,53.46,25.88,79.3,13.74
Singapore,West,2015-01-04,53.46,25.8,80.06,12.01
Singapore,Central,2015-01-05,53.46,26.06,82.75,9.49
Singapore,East,2015-01-06,53.46,25.51,88.12,9.45
Singapore,North,2015-01-07,53.46,25.69,86.49,9.5
Singapore,North-East,2015-01-08,53.46,24.51,90.77,8.65
Singapore,West,2015-01-09,53.46,23.88,92.62,9.79
Singapore,Central,2015-01-10,53.46,25.26,87.28,11.79
Singapore,East,2015-01-11,53.46,25.32,87.26,11.11
Singapore,North,2015-01-12,53.46,26.03,82.21,14.86
Singapore,North-East,2015-01-13,53.46,26.16,81.46,16.37
Singapore,West,2015-01-14,53.46,25.62,85.64,13.66
Singapore,Central,2015-01-15,53.46,25.58,81.36,15.69
Singapore,East,2015-01-16,53.46,25.54,77.78,14.98
Singapore,North,2015-01-17,53.46,25.53,74.9,15.71
Singapore,North-East,2015-01-18,53.46,25.55,77.37,15.23
Singapore,West,2015-01-19,53.46,25.41,77.28,14.35
Singapore,Central,2015-01-20,53.46,25.64,76.9,13.22
Singapore,East,2015-01-21,53.46,25.32,83.44,12.38
Singapore,North,2015-01-22,53.46,25.43,78.34,15.9
Singapore,North-East,2015-01-23,53.46,25.28,79.8,13.74
Singapore,West,2015-01-24,53.46,25.42,78.14,12.47
Singapore,Central,2015-01-25,53.46,24.88,83.03,10.31
Singapore,East,2015-01-26,53.46,25.55,77.95,13.47
Singapore,North,2015-01-27,53.46,25.85,76.21,12.27
Singapore,North-East,2015-01-28,53.46,26.26,75.84,11.81
Singapore,West,2015-01-29,53.46,25.59,83.97,12.16
Singapore,Central,2015-01-30,53.46,25.55,85.99,12.34
Singapore,East,2015-01-31,53.46,25.55,77.48,16.73
Singapore,North,2015-02-01,53.46,25.35,73.55,15.9
Singapore,North-East,2015-02-02,53.46,25.2,80.22,12.98
Singapore,West,2015-02-03,53.46,24.19,83.21,13.24
Singapore,Central,2015-02-04,53.46,24.07,90.9,13.29
Singapore,East,2015-02-05,53.46,24.85,85.99,15.79
Singapore,North,2015-02-06,53.46,24.71,88.42,14.05
Singapore,North-East,2015-02-07,53.46,25.02,83.19,15.85
Singapore,West,2015-02-08,53.46,25.27,79.5,16.41
Singapore,Central,2015-02-09,53.46,25.17,78.98,18.16
Singapore,East,2015-02-10,53.46,24.92,75.24,16.65
Singapore,North,2015-02-11,53.46,24.81,76.53,14.01
Singapore,North-East,2015-02-12,53.46,24.94,76.9,14.21
Singapore,West,2015-02-13,53.46,25.23,77.21,14.31
Singapore,Central,2015-02-14,53.46,25.34,78.55,12.41
Singapore,East,2015-02-15,53.46,25.71,78.84,11.21
Singapore,North,2015-02-16,53.46,26.06,80.05,11.78
Singapore,North-East,2015-02-17,53.46,26.04,82.06,12.62
Singapore,West,2015-02-18,53.46,25.9,82.95,10.61
Singapore,Central,2015-02-19,53.46,25.07,87.95,9.5
Singapore,East,2015-02-20,53.46,25.84,81.68,11.57
Singapore,North,2015-02-21,53.46,25.9,80.33,13.0
Singapore,North-East,2015-02-22,53.46,26.4,77.67,13.21
Singapore,West,2015-02-23,53.46,26.46,78.71,9.03
Singapore,Central,2015-02-24,53.46,26.23,80.83,9.68
Singapore,East,2015-02-25,53.46,26.3,81.41,9.67
Singapore,North,2015-02-26,53.46,26.34,80.51,9.9
Singapore,North-East,2015-02-27,53.46,26.78,76.73,11.78
Singapore,West,2015-02-28,53.46,26.92,79.52,11.81
Singapore,Central,2015-03-01,53.46,26.36,82.69,9.47
Singapore,East,2015-03-02,53.46,26.13,80.87,9.0
Singapore,North,2015-03-03,53.46,26.6,81.15,8.68
Singapore,North-East,2015-03-04,53.46,26.97,77.91,6.38
Singapore,West,2015-03-05,53.46,26.82,77.08,6.25
Singapore,Central,2015-03-06,53.46,27.02,74.74,6.98
Singapore,East,2015-03-07,53.46,26.94,77.63,7.0
Singapore,North,2015-03-08,53.46,26.51,82.81,7.53
Singapore,North-East,2015-03-09,53.46,26.5,83.23,8.28
Singapore,West,2015-03-10,53.46,26.05,84.89,11.07
Singapore,Central,2015-03-11,53.46,25.33,87.3,11.42
Singapore,East,2015-03-12,53.46,25.95,78.9,11.17
Singapore,North,2015-03-13,53.46,26.43,72.62,11.98
Singapore,North-East,2015-03-14,53.46,26.74,76.66,11.29
Singapore,West,2015-03-15,53.46,26.34,81.9,8.34
Singapore,Central,2015-03-16,53.46,26.77,80.11,7.36
Singapore,East,2015-03-17,53.46,26.93,81.18,8.83
Singapore,North,2015-03-18,53.46,27.11,81.45,7.32
Singapore,North-East,2015-03-19,53.46,26.52,85.98,3.69
Singapore,West,2015-03-20,53.46,26.8,83.79,3.61
Singapore,Central,2015-03-21,53.46,26.64,83.83,5.66
Singapore,East,2015-03-22,53.46,26.3,85.46,4.59
Singapore,North,2015-03-23,53.46,26.94,79.89,7.35
Singapore,North-East,2015-03-24,53.46,26.81,79.91,8.18
Singapore,West,2015-03-25,53.46,26.65,83.25,10.36
Singapore,Central,2015-03-26,53.46,26.71,83.92,10.68
Singapore,East,2015-03-27,53.46,26.77,83.62,12.52
Singapore,North,2015-03-28,53.46,26.34,85.62,10.51
Singapore,North-East,2015-03-29,53.46,26.12,86.13,8.58
Singapore,West,2015-03-30,53.46,26.19,87.61,7.77
Singapore,Central,2015-03-31,53.46,26.43,86.94,7.58
Singapore,East,2015-04-01,53.46,26.13,86.91,5.39
Singapore,North,2015-04-02,53.46,26.15,87.26,6.86
Singapore,North-East,2015-04-03,53.46,26.72,85.24,3.71
Singapore,West,2015-04-04,53.46,27.02,85.2,5.99
Singapore,Central,2015-04-05,53.46,26.11,89.3,4.93
Singapore,East,2015-04-06,53.46,26.64,86.66,6.81
Singapore,North,2015-04-07,53.46,26.69,86.64,5.83
Singapore,North-East,2015-04-08,53.46,27.0,85.97,8.11
Singapore,West,2015-04-09,53.46,26.69,85.63,10.09
Singapore,Central,2015-04-10,53.46,26.62,85.12,6.74
Singapore,East,2015-04-11,53.46,26.39,87.89,6.18
Singapore,North,2015-04-12,53.46,26.85,86.11,6.11
Singapore,North-East,2015-04-13,53.46,27.07,82.92,7.71
Singapore,West,2015-04-14,53.46,27.34,79.78,8.78
Singapore,Central,2015-04-15,53.46,27.0,82.7,7.89
Singapore,East,2015-04-16,53.46,27.5,80.59,9.59
Singapore,North,2015-04-17,53.46,27.24,84.21,6.21
Singapore,North-East,2015-04-18,53.46,27.24,84.86,3.53
Singapore,West,2015-04-19,53.46,26.57,86.98,4.23
Singapore,Central,2015-04-20,53.46,27.43,85.03,5.23
Singapore,East,2015-04-21,53.46,26.75,85.03,5.58
Singapore,North,2015-04-22,53.46,26.27,86.37,5.63
Singapore,North-East,2015-04-23,53.46,26.48,85.14,5.53
Singapore,West,2015-04-24,53.46,26.14,86.03,5.46
Singapore,Central,2015-04-25,53.46,26.27,87.05,6.69
Singapore,East,2015-04-26,53.46,26.2,87.43,6.21
Singapore,North,2015-04-27,53.46,26.18,86.48,5.01
Singapore,North-East,2015-04-28,53.46,26.7,87.2,4.91
Singapore,West,2015-04-29,53.46,26.53,86.27,6.06
Singapore,Central,2015-04-30,53.46,26.66,86.64,6.71
Singapore,East,2015-05-01,53.46,26.56,86.62,4.86
Singapore,North,2015-05-02,53.46,26.12,87.39,8.23
Singapore,North-East,2015-05-03,53.46,26.64,83.33,6.83
Singapore,West,2015-05-04,53.46,27.17,84.01,5.2
Singapore,Central,2015-05-05,53.46,26.89,86.31,3.55
Singapore,East,2015-05-06,53.46,27.0,85.16,5.78
Singapore,North,2015-05-07,53.46,26.38,88.44,5.6
Singapore,North-East,2015-05-08,53.46,26.23,86.14,6.65
Singapore,West,2015-05-09,53.46,27.18,84.1,8.41
Singapore,Central,2015-05-10,53.46,26.74,88.73,7.16
Singapore,East,2015-05-11,53.46,27.4,83.84,6.83
Singapore,North,2015-05-12,53.46,26.61,89.19,6.29
Singapore,North-East,2015-05-13,53.46,26.83,87.35,6.45
Singapore,West,2015-05-14,53.46,26.44,88.02,4.51
Singapore,Central,2015-05-15,53.46,27.2,84.75,6.03
Singapore,East,2015-05-16,53.46,27.06,87.5,7.72
Singapore,North,2015-05-17,53.46,27.11,86.36,5.0
Singapore,North-East,2015-05-18,53.46,27.2,85.52,6.98
Singapore,West,2015-05-19,53.46,27.09,85.58,8.33
Singapore,Central,2015-05-20,53.46,27.12,85.62,6.96
Singapore,East,2015-05-21,53.46,26.94,87.09,7.07
Singapore,North,2015-05-22,53.46,27.21,84.43,8.41
Singapore,North-East,2015-05-23,53.46,26.32,86.42,5.07
Singapore,West,2015-05-24,53.46,27.04,84.63,6.4
Singapore,Central,2015-05-25,53.46,27.0,85.74,8.02
Singapore,East,2015-05-26,53.46,26.62,87.17,8.04
Singapore,North,2015-05-27,53.46,26.58,86.96,6.71
Singapore,North-East,2015-05-28,53.46,27.1,83.45,7.53
Singapore,West,2015-05-29,53.46,27.89,80.48,9.12
Singapore,Central,2015-05-30,53.46,28.04,79.12,9.77
Singapore,East,2015-05-31,53.46,27.45,82.9,5.68
Singapore,North,2015-06-01,53.46,27.24,85.86,4.86
Singapore,North-East,2015-06-02,53.46,26.41,88.65,6.17
Singapore,West,2015-06-03,53.46,27.31,82.94,6.35
Singapore,Central,2015-06-04,53.46,26.77,88.17,6.74
Singapore,East,2015-06-05,53.46,26.62,89.67,6.2
Singapore,North,2015-06-06,53.46,26.39,88.74,6.52
Singapore,North-East,2015-06-07,53.46,26.51,86.91,6.19
Singapore,West,2015-06-08,53.46,26.48,87.87,5.86
Singapore,Central,2015-06-09,53.46,26.85,85.36,6.06
Singapore,East,2015-06-10,53.46,26.84,85.83,6.27
Singapore,North,2015-06-11,53.46,26.52,87.93,6.85
Singapore,North-East,2015-06-12,53.46,26.01,87.71,6.99
Singapore,West,2015-06-13,53.46,26.65,82.09,6.38
Singapore,Central,2015-06-14,53.46,26.08,86.18,9.67
Singapore,East,2015-06-15,53.46,25.79,89.28,7.99
Singapore,North,2015-06-16,53.46,26.52,84.03,7.58
Singapore,North-East,2015-06-17,53.46,27.31,80.68,8.46
Singapore,West,2015-06-18,53.46,27.29,83.94,9.0
Singapore,Central,2015-06-19,53.46,27.58,81.97,11.22
Singapore,East,2015-06-20,53.46,28.0,81.54,10.5
Singapore,North,2015-06-21,53.46,28.33,78.64,12.24
Singapore,North-East,2015-06-22,53.46,28.19,80.45,11.78
Singapore,West,2015-06-23,53.46,28.13,80.69,12.73
Singapore,Central,2015-06-24,53.46,28.08,78.89,12.11
Singapore,East,2015-06-25,53.46,27.98,76.61,11.51
Singapore,North,2015-06-26,53.46,28.05,74.77,10.79
Singapore,North-East,2015-06-27,53.46,28.13,75.26,12.49
Singapore,West,2015-06-28,53.46,28.1,77.99,11.58
Singapore,Central,2015-06-29,53.46,28.12,78.86,9.57
Singapore,East,2015-06-30,53.46,27.85,81.75,8.54
Singapore,North,2015-07-01,53.46,26.7,84.72,8.09
Singapore,North-East,2015-07-02,53.46,27.87,79.33,10.31
Singapore,West,2015-07-03,53.46,27.62,77.8,11.27
Singapore,Central,2015-07-04,53.46,26.76,81.69,9.46
Singapore,East,2015-07-05,53.46,27.92,76.1,11.66
Singapore,North,2015-07-06,53.46,28.05,78.35,12.07
Singapore,North-East,2015-07-07,53.46,27.4,81.55,10.23
Singapore,West,2015-07-08,53.46,26.93,86.29,8.97
Singapore,Central,2015-07-09,53.46,27.01,86.34,7.37
Singapore,East,2015-07-10,53.46,27.31,84.24,10.41
Singapore,North,2015-07-11,53.46,27.2,84.6,11.22
Singapore,North-East,2015-07-12,53.46,27.25,84.62,10.34
Singapore,West,2015-07-13,53.46,27.25,84.14,11.95
Singapore,Central,2015-07-14,53.46,27.2,82.36,11.93
Singapore,East,2015-07-15,53.46,27.54,81.94,9.99
Singapore,North,2015-07-16,53.46,27.18,84.85,9.53
Singapore,North-East,2015-07-17,53.46,27.04,84.89,9.49
Singapore,West,2015-07-18,53.46,27.15,83.68,12.49
Singapore,Central,2015-07-19,53.46,26.72,86.87,7.97
Singapore,East,2015-07-20,53.46,27.67,81.18,12.78
Singapore,North,2015-07-21,53.46,27.2,83.29,9.45
Singapore,North-East,2015-07-22,53.46,27.48,80.05,10.69
Singapore,West,2015-07-23,53.46,27.52,80.93,7.94
Singapore,Central,2015-07-24,53.46,26.94,84.7,7.51
Singapore,East,2015-07-25,53.46,27.25,83.47,9.22
Singapore,North,2015-07-26,53.46,26.57,85.04,7.32
Singapore,North-East,2015-07-27,53.46,27.48,77.07,8.79
Singapore,West,2015-07-28,53.46,27.28,79.72,9.62
Singapore,Central,2015-07-29,53.46,26.71,84.6,9.41
Singapore,East,2015-07-30,53.46,26.74,83.49,8.47
Singapore,North,2015-07-31,53.46,26.06,87.32,6.46
Singapore,North-East,2015-08-01,53.46,26.01,84.82,7.86
Singapore,West,2015-08-02,53.46,26.62,82.7,8.09
Singapore,Central,2015-08-03,53.46,25.38,87.73,7.56
Singapore,East,2015-08-04,53.46,26.25,83.83,7.41
Singapore,North,2015-08-05,53.46,26.27,84.91,8.17
Singapore,North-East,2015-08-06,53.46,25.89,87.12,6.44
Singapore,West,2015-08-07,53.46,26.38,85.58,9.85
Singapore,Central,2015-08-08,53.46,26.68,84.75,7.77
Singapore,East,2015-08-09,53.46,26.24,87.84,7.24
Singapore,North,2015-08-10,53.46,27.19,83.17,11.48
Singapore,North-East,2015-08-11,53.46,26.65,86.95,9.17
Singapore,West,2015-08-12,53.46,26.16,87.98,5.56
Singapore,Central,2015-08-13,53.46,26.63,85.18,9.0
Singapore,East,2015-08-14,53.46,27.03,82.9,7.13
Singapore,North,2015-08-15,53.46,27.1,82.98,9.34
Singapore,North-East,2015-08-16,53.46,26.01,88.06,9.29
Singapore,West,2015-08-17,53.46,26.7,82.92,9.08
Singapore,Central,2015-08-18,53.46,27.1,77.88,9.78
Singapore,East,2015-08-19,53.46,27.38,79.4,9.23
Singapore,North,2015-08-20,53.46,26.82,83.93,8.57
Singapore,North-East,2015-08-21,53.46,26.23,87.2,7.2
Singapore,West,2015-08-22,53.46,26.56,84.36,9.45
Singapore,Central,2015-08-23,53.46,27.12,79.12,11.3
Singapore,East,2015-08-24,53.46,27.03,80.07,10.54
Singapore,North,2015-08-25,53.46,27.21,81.83,9.76
Singapore,North-East,2015-08-26,53.46,26.74,85.04,7.81
Singapore,West,2015-08-27,53.46,27.33,80.14,9.84
Singapore,Central,2015-08-28,53.46,27.11,83.66,9.79
Singapore,East,2015-08-29,53.46,27.61,81.98,11.17
Singapore,North,2015-08-30,53.46,27.64,77.64,11.43
Singapore,North-East,2015-08-31,53.46,27.56,75.95,13.31
Singapore,West,2015-09-01,53.46,27.54,76.16,10.77
Singapore,Central,2015-09-02,53.46,27.48,78.31,12.68
Singapore,East,2015-09-03,53.46,27.53,80.3,11.65
Singapore,North,2015-09-04,53.46,26.58,85.84,8.79
Singapore,North-East,2015-09-05,53.46,26.68,86.11,7.56
Singapore,West,2015-09-06,53.46,26.87,82.96,5.0
Singapore,Central,2015-09-07,53.46,27.2,79.74,9.65
Singapore,East,2015-09-08,53.46,26.85,83.09,8.14
Singapore,North,2015-09-09,53.46,26.3,84.98,8.17
Singapore,North-East,2015-09-10,53.46,26.37,81.98,7.67
Singapore,West,2015-09-11,53.46,27.26,78.57,11.13
Singapore,Central,2015-09-12,53.46,27.29,80.23,11.75
Singapore,East,2015-09-13,53.46,27.5,80.74,8.72
Singapore,North,2015-09-14,53.46,26.86,84.19,8.55
Singapore,North-East,2015-09-15,53.46,26.09,87.51,7.31
Singapore,West,2015-09-16,53.46,27.14,82.5,10.35
Singapore,Central,2015-09-17,53.46,27.44,81.37,9.8
Singapore,East,2015-09-18,53.46,27.3,83.57,10.55
Singapore,North,2015-09-19,53.46,27.04,86.37,8.38
Singapore,North-East,2015-09-20,53.46,27.12,85.43,5.89
Singapore,West,2015-09-21,53.46,26.63,86.84,5.92
Singapore,Central,2015-09-22,53.46,26.88,83.47,8.36
Singapore,East,2015-09-23,53.46,26.93,85.32,8.95
