date,overall_aqi
01/01/2014,204.32
02/01/2014,176.34
03/01/2014,159.45
04/01/2014,73.77
05/01/2014,176.34
06/01/2014,126.34
07/01/2014,176.34
08/01/2014,126.34
09/01/2014,96.0
10/01/2014,126.34
11/01/2014,176.34
12/01/2014,66.0
13/01/2014,96.0
14/01/2014,76.0
15/01/2014,96.0
16/01/2014,176.34
17/01/2014,96.0
18/01/2014,109.45
19/01/2014,143.24
20/01/2014,126.34
21/01/2014,143.24
22/01/2014,193.24
23/01/2014,217.61
24/01/2014,277.41
25/01/2014,76.74
27/01/2014,159.45
28/01/2014,176.34
29/01/2014,193.24
30/01/2014,143.24
31/01/2014,159.45
01/02/2014,96.0
02/02/2014,109.45
03/02/2014,96.0
04/02/2014,86.0
05/02/2014,86.0
06/02/2014,76.0
07/02/2014,76.0
08/02/2014,76.0
09/02/2014,96.0
10/02/2014,86.0
11/02/2014,76.0
12/02/2014,76.0
13/02/2014,76.0
14/02/2014,45.45
15/02/2014,86.0
16/02/2014,86.0
17/02/2014,86.0
18/02/2014,86.0
19/02/2014,126.34
20/02/2014,159.45
21/02/2014,193.24
22/02/2014,109.45
23/02/2014,96.0
24/02/2014,86.0
25/02/2014,96.0
26/02/2014,86.0
27/02/2014,86.0
28/02/2014,76.0
01/03/2014,76.0
02/03/2014,96.0
03/03/2014,76.0
04/03/2014,76.0
05/03/2014,66.0
06/03/2014,56.0
07/03/2014,66.0
08/03/2014,66.0
09/03/2014,76.0
10/03/2014,76.0
11/03/2014,66.0
12/03/2014,96.0
13/03/2014,86.0
14/03/2014,96.0
15/03/2014,66.0
16/03/2014,126.34
17/03/2014,86.0
18/03/2014,86.0
19/03/2014,86.0
20/03/2014,96.0
21/03/2014,86.0
22/03/2014,126.34
23/03/2014,109.45
24/03/2014,86.0
25/03/2014,86.0
26/03/2014,86.0
27/03/2014,86.0
28/03/2014,86.0
29/03/2014,66.0
30/03/2014,66.0
31/03/2014,76.0
01/04/2014,76.0
02/04/2014,76.0
03/04/2014,76.0
04/04/2014,76.0
05/04/2014,66.0
06/04/2014,56.0
07/04/2014,76.0
08/04/2014,86.0
09/04/2014,96.0
10/04/2014,96.0
11/04/2014,96.0
12/04/2014,96.0
13/04/2014,86.0
14/04/2014,86.0
15/04/2014,76.0
16/04/2014,76.0
17/04/2014,76.0
18/04/2014,66.0
19/04/2014,66.0
20/04/2014,66.0
21/04/2014,66.0
22/04/2014,86.0
23/04/2014,76.0
24/04/2014,76.0
25/04/2014,66.0
26/04/2014,56.0
27/04/2014,76.0
28/04/2014,86.0
29/04/2014,66.0
30/04/2014,66.0
01/05/2014,86.0
02/05/2014,56.0
03/05/2014,76.0
04/05/2014,86.0
05/05/2014,96.0
06/05/2014,109.45
07/05/2014,96.0
08/05/2014,56.0
09/05/2014,66.0
10/05/2014,76.0
11/05/2014,66.0
12/05/2014,56.0
13/05/2014,76.0
14/05/2014,56.0
15/05/2014,66.0
16/05/2014,66.0
17/05/2014,76.0
18/05/2014,86.0
19/05/2014,76.0
20/05/2014,66.0
21/05/2014,66.0
22/05/2014,56.0
23/05/2014,66.0
24/05/2014,76.0
25/05/2014,86.0
26/05/2014,76.0
27/05/2014,76.0
28/05/2014,66.0
29/05/2014,76.0
30/05/2014,66.0
31/05/2014,76.0
01/06/2014,76.0
02/06/2014,66.0
03/06/2014,76.0
04/06/2014,76.0
05/06/2014,66.0
06/06/2014,66.0
07/06/2014,76.0
08/06/2014,76.0
09/06/2014,66.0
10/06/2014,66.0
11/06/2014,66.0
12/06/2014,56.0
13/06/2014,45.45
14/06/2014,56.0
15/06/2014,56.0
16/06/2014,56.0
17/06/2014,66.0
18/06/2014,56.0
19/06/2014,56.0
20/06/2014,66.0
21/06/2014,66.0
22/06/2014,76.0
23/06/2014,66.0
24/06/2014,66.0
25/06/2014,76.0
26/06/2014,143.24
27/06/2014,76.0
28/06/2014,76.0
29/06/2014,76.0
30/06/2014,76.0
01/07/2014,76.0
02/07/2014,76.0
03/07/2014,66.0
04/07/2014,56.0
05/07/2014,66.0
06/07/2014,66.0
07/07/2014,76.0
08/07/2014,56.0
09/07/2014,66.0
10/07/2014,66.0
11/07/2014,56.0
12/07/2014,66.0
13/07/2014,86.0
14/07/2014,76.0
15/07/2014,86.0
16/07/2014,76.0
17/07/2014,76.0
18/07/2014,76.0
19/07/2014,76.0
20/07/2014,76.0
21/07/2014,66.0
22/07/2014,76.0
23/07/2014,76.0
24/07/2014,76.0
25/07/2014,66.0
26/07/2014,76.0
27/07/2014,96.0
28/07/2014,109.45
29/07/2014,109.45
30/07/2014,126.34
31/07/2014,96.0
01/08/2014,86.0
02/08/2014,86.0
03/08/2014,96.0
04/08/2014,76.0
05/08/2014,86.0
06/08/2014,76.0
07/08/2014,76.0
08/08/2014,66.0
09/08/2014,76.0
10/08/2014,76.0
11/08/2014,66.0
12/08/2014,66.0
13/08/2014,76.0
14/08/2014,76.0
15/08/2014,86.0
16/08/2014,66.0
17/08/2014,86.0
18/08/2014,66.0
19/08/2014,76.0
20/08/2014,76.0
21/08/2014,109.45
22/08/2014,76.0
23/08/2014,66.0
24/08/2014,76.0
25/08/2014,76.0
26/08/2014,96.0
27/08/2014,86.0
28/08/2014,76.0
29/08/2014,76.0
30/08/2014,76.0
31/08/2014,86.0
01/09/2014,76.0
02/09/2014,96.0
03/09/2014,86.0
04/09/2014,76.0
05/09/2014,56.0
06/09/2014,56.0
07/09/2014,76.0
08/09/2014,66.0
09/09/2014,76.0
10/09/2014,86.0
11/09/2014,66.0
12/09/2014,76.0
13/09/2014,56.0
14/09/2014,66.0
15/09/2014,86.0
16/09/2014,176.34
17/09/2014,56.0
18/09/2014,76.0
19/09/2014,66.0
20/09/2014,45.45
21/09/2014,76.0
22/09/2014,56.0
23/09/2014,86.0
24/09/2014,126.34
25/09/2014,76.0
26/09/2014,76.0
27/09/2014,96.0
28/09/2014,86.0
29/09/2014,96.0
30/09/2014,126.34
01/10/2014,86.0
02/10/2014,143.24
03/10/2014,193.24
04/10/2014,176.34
05/10/2014,159.45
06/10/2014,143.24
07/10/2014,96.0
08/10/2014,126.34
09/10/2014,86.0
10/10/2014,96.0
11/10/2014,126.34
12/10/2014,193.24
13/10/2014,143.24
14/10/2014,143.24
15/10/2014,159.45
16/10/2014,176.34
17/10/2014,176.34
18/10/2014,96.0
19/10/2014,109.45
20/10/2014,176.34
21/10/2014,176.34
22/10/2014,96.0
23/10/2014,126.34
24/10/2014,109.45
25/10/2014,76.0
26/10/2014,159.45
27/10/2014,109.45
28/10/2014,126.34
29/10/2014,193.24
30/10/2014,176.34
31/10/2014,126.34
01/11/2014,126.34
02/11/2014,96.0
03/11/2014,176.34
04/11/2014,176.34
05/11/2014,176.34
06/11/2014,204.32
