date,relative_humidity_2m,temperature_2m_c,wind_speed_10m_km_h
2010-01-01,75.83,27.91,5.94
2010-01-02,74.96,27.87,6.82
2010-01-03,70.42,28.31,4.90
2010-01-04,74.75,27.91,8.55
2010-01-05,76.54,28.41,10.49
2010-01-06,82.17,27.12,8.80
2010-01-07,83.21,26.92,4.52
2010-01-08,84.62,25.65,6.89
2010-01-09,78.25,25.70,6.23
2010-01-10,73.25,26.74,4.91
2010-01-11,75.12,26.85,5.15
2010-01-12,75.25,27.05,6.30
2010-01-13,69.96,26.50,9.33
2010-01-14,63.75,25.52,10.05
2010-01-15,63.88,25.68,7.12
2010-01-16,60.88,26.08,10.10
2010-01-17,57.33,25.53,10.17
2010-01-18,56.29,24.31,9.15
2010-01-19,56.25,24.82,8.47
2010-01-20,61.00,25.27,9.63
2010-01-21,71.42,25.52,6.28
2010-01-22,82.67,25.67,3.94
2010-01-23,84.33,25.84,5.06
2010-01-24,81.50,26.48,5.16
2010-01-25,81.54,26.53,3.85
2010-01-26,72.33,27.10,7.96
2010-01-27,66.92,27.55,5.53
2010-01-28,68.75,27.76,6.44
2010-01-29,77.33,27.88,7.20
2010-01-30,75.00,28.18,7.66
2010-01-31,73.25,28.46,8.56
2010-02-01,75.79,28.41,8.58
2010-02-02,74.83,28.56,10.94
2010-02-03,70.50,28.55,11.11
2010-02-04,71.96,28.63,11.07
2010-02-05,74.42,28.57,11.68
2010-02-06,71.88,28.64,14.20
2010-02-07,69.54,28.51,12.14
2010-02-08,70.21,28.41,11.98
2010-02-09,72.00,28.39,9.88
2010-02-10,72.46,28.40,11.07
2010-02-11,71.92,28.87,9.74
2010-02-12,73.46,28.93,10.02
2010-02-13,72.83,29.08,11.58
2010-02-14,70.08,29.07,13.92
2010-02-15,71.08,28.99,12.92
2010-02-16,73.38,28.97,12.98
2010-02-17,70.08,28.91,11.23
2010-02-18,75.00,28.60,8.59
2010-02-19,73.92,28.57,9.15
2010-02-20,75.96,28.42,12.25
2010-02-21,71.46,28.97,14.85
2010-02-22,67.83,29.02,11.54
2010-02-23,68.83,28.97,14.34
2010-02-24,65.67,29.16,13.65
2010-02-25,64.46,29.79,9.61
2010-02-26,62.62,29.61,8.99
2010-02-27,71.38,29.07,12.70
2010-02-28,72.42,29.64,17.34
2010-03-01,69.79,29.45,14.76
2010-03-02,70.33,29.64,14.07
2010-03-03,71.42,29.71,15.38
2010-03-04,69.38,29.55,13.66
2010-03-05,59.96,30.00,10.46
2010-03-06,59.75,29.67,8.41
2010-03-07,65.00,29.85,10.90
2010-03-08,68.71,29.30,14.69
2010-03-09,68.92,29.38,13.24
2010-03-10,59.25,28.38,11.47
2010-03-11,48.96,28.05,7.22
2010-03-12,56.33,29.30,7.38
2010-03-13,63.83,29.75,12.11
2010-03-14,68.62,29.82,15.89
2010-03-15,66.46,30.12,12.53
2010-03-16,67.62,30.32,12.42
2010-03-17,77.67,28.58,8.17
2010-03-18,63.62,30.10,8.73
2010-03-19,62.71,29.68,7.68
2010-03-20,67.50,29.75,10.76
2010-03-21,67.08,30.22,12.89
2010-03-22,67.46,30.05,15.46
2010-03-23,66.25,30.21,13.86
2010-03-24,64.67,30.68,13.36
2010-03-25,65.79,31.18,10.66
2010-03-26,66.96,27.78,15.05
2010-03-27,60.00,28.30,6.60
2010-03-28,57.67,29.95,5.97
2010-03-29,63.17,30.71,6.81
2010-03-30,72.96,29.18,7.34
2010-03-31,68.79,30.35,11.83
2010-04-01,68.67,30.55,11.35
2010-04-02,66.38,30.88,12.41
2010-04-03,66.54,31.31,13.55
2010-04-04,66.21,31.32,14.73
2010-04-05,63.92,31.65,12.14
2010-04-06,64.25,31.43,16.13
2010-04-07,62.96,31.72,14.38
2010-04-08,65.46,31.67,16.15
2010-04-09,64.83,31.48,14.93
2010-04-10,64.00,31.30,16.93
2010-04-11,65.04,31.27,13.56
2010-04-12,64.04,31.56,13.57
2010-04-13,62.17,31.32,10.51
2010-04-14,65.67,31.10,13.93
2010-04-15,64.42,31.55,14.72
2010-04-16,68.71,30.61,13.10
2010-04-17,76.29,29.10,8.74
2010-04-18,69.71,29.86,9.15
2010-04-19,68.71,30.96,13.63
2010-04-20,63.33,31.51,11.15
2010-04-21,62.29,32.21,11.88
2010-04-22,62.17,32.60,11.46
2010-04-23,65.00,32.38,13.80
2010-04-24,73.54,30.05,9.48
2010-04-25,66.58,30.85,7.62
2010-04-26,65.62,31.73,8.91
2010-04-27,72.04,30.28,7.71
2010-04-28,68.58,30.81,5.24
2010-04-29,74.92,29.67,10.02
2010-04-30,68.29,30.99,11.10
2010-05-01,68.38,30.88,7.77
2010-05-02,73.67,30.03,8.35
2010-05-03,70.75,30.50,11.30
2010-05-04,70.33,30.67,7.94
2010-05-05,68.29,31.37,12.94
2010-05-06,71.25,31.34,9.69
2010-05-07,70.42,31.87,11.83
2010-05-08,68.54,32.40,10.10
2010-05-09,67.29,32.75,12.51
2010-05-10,63.08,33.43,10.07
2010-05-11,71.92,31.45,11.60
2010-05-12,74.62,30.39,8.12
2010-05-13,71.50,31.04,8.10
2010-05-14,67.21,32.03,12.20
2010-05-15,68.83,31.89,13.38
2010-05-16,75.67,30.77,10.00
2010-05-17,80.08,29.59,7.10
2010-05-18,77.71,30.16,8.74
2010-05-19,74.38,30.59,9.89
2010-05-20,67.50,31.35,8.18
2010-05-21,67.42,31.90,13.56
2010-05-22,68.75,31.52,10.68
2010-05-23,64.46,31.51,12.05
2010-05-24,63.67,31.34,9.88
2010-05-25,78.96,29.34,11.45
2010-05-26,82.62,28.27,12.25
2010-05-27,78.21,29.20,10.86
2010-05-28,80.04,28.75,10.04
2010-05-29,79.58,29.07,10.10
2010-05-30,74.92,29.74,9.15
2010-05-31,72.62,30.13,9.84
2010-06-01,71.08,30.60,10.80
2010-06-02,70.33,30.93,12.29
2010-06-03,67.46,30.85,10.52
2010-06-04,68.71,31.11,7.98
2010-06-05,74.79,30.05,6.52
2010-06-06,74.17,29.99,8.42
2010-06-07,75.83,29.70,12.38
2010-06-08,73.46,30.18,8.26
2010-06-09,78.33,29.19,8.80
2010-06-10,77.46,28.86,13.08
2010-06-11,75.12,29.40,8.98
2010-06-12,73.71,30.00,8.06
2010-06-13,70.38,30.70,7.66
2010-06-14,69.67,30.98,7.80
2010-06-15,71.79,30.69,8.74
2010-06-16,69.12,30.56,9.83
2010-06-17,70.17,30.41,9.85
2010-06-18,71.25,29.91,9.31
2010-06-19,72.25,29.84,9.81
2010-06-20,73.67,30.01,7.60
2010-06-21,77.04,29.39,8.96
2010-06-22,87.71,27.18,8.60
2010-06-23,80.00,28.39,12.66
2010-06-24,76.62,28.95,10.37
2010-06-25,76.79,29.28,9.76
2010-06-26,79.38,29.12,9.20
2010-06-27,75.58,29.60,9.37
2010-06-28,75.71,28.98,9.64
2010-06-29,79.71,28.32,8.00
2010-06-30,79.50,28.51,7.97
2010-07-01,82.58,27.80,14.13
2010-07-02,83.17,27.79,9.40
2010-07-03,85.92,27.12,11.68
2010-07-04,83.21,27.68,10.78
2010-07-05,82.54,27.96,6.05
2010-07-06,80.88,28.48,9.05
2010-07-07,75.50,29.40,6.27
2010-07-08,70.79,29.85,9.26
2010-07-09,73.46,29.42,9.88
2010-07-10,72.29,29.50,8.71
2010-07-11,71.92,29.80,7.66
2010-07-12,73.54,29.39,8.58
2010-07-13,77.67,29.07,7.27
2010-07-14,83.62,28.25,5.98
2010-07-15,85.71,27.23,6.83
2010-07-16,81.50,28.56,7.90
2010-07-17,81.00,28.22,9.22
2010-07-18,81.79,28.10,10.83
2010-07-19,82.08,27.88,9.28
2010-07-20,78.21,28.65,7.12
2010-07-21,76.50,29.26,7.92
2010-07-22,73.50,29.32,10.18
2010-07-23,73.38,28.54,11.99
2010-07-24,70.38,28.80,11.15
2010-07-25,71.58,28.38,12.15
2010-07-26,76.29,27.93,8.39
2010-07-27,87.00,26.94,4.76
2010-07-28,82.42,27.89,10.22
2010-07-29,79.83,27.88,10.48
2010-07-30,81.71,27.93,9.12
2010-07-31,81.04,28.10,8.15
2010-08-01,78.54,28.40,8.24
2010-08-02,85.62,27.46,6.73
2010-08-03,84.83,27.23,8.49
2010-08-04,78.62,27.69,9.99
2010-08-05,81.54,27.18,7.64
2010-08-06,82.25,27.50,8.35
2010-08-07,79.50,27.58,11.52
2010-08-08,74.88,28.15,11.02
2010-08-09,76.29,28.49,10.70
2010-08-10,77.46,28.36,10.32
2010-08-11,83.50,27.62,8.14
2010-08-12,85.04,27.60,8.36
2010-08-13,89.58,26.61,7.08
2010-08-14,90.46,26.16,7.67
2010-08-15,82.50,27.64,5.98
2010-08-16,79.12,28.35,6.23
2010-08-17,79.96,28.25,4.61
2010-08-18,84.38,27.83,7.12
2010-08-19,84.12,27.85,4.73
2010-08-20,88.00,27.11,4.40
2010-08-21,86.83,27.00,5.72
2010-08-22,82.29,27.82,6.74
2010-08-23,85.58,27.26,5.74
2010-08-24,86.08,27.15,8.47
2010-08-25,82.00,27.69,10.46
2010-08-26,81.04,28.26,10.96
2010-08-27,77.75,28.43,9.30
2010-08-28,81.29,27.77,9.15
2010-08-29,86.83,26.92,9.54
2010-08-30,83.21,27.37,8.63
2010-08-31,78.17,27.92,10.70
2010-09-01,79.46,27.99,8.67
2010-09-02,83.75,27.88,6.51
2010-09-03,86.50,26.90,6.34
2010-09-04,85.04,27.07,9.61
2010-09-05,73.04,27.85,12.14
2010-09-06,74.08,28.49,10.72
2010-09-07,75.88,28.47,6.63
2010-09-08,80.33,28.50,7.80
2010-09-09,80.17,28.18,9.52
2010-09-10,85.00,27.42,5.28
2010-09-11,86.42,26.96,6.84
2010-09-12,83.08,27.59,6.78
2010-09-13,81.96,27.74,5.90
2010-09-14,87.71,26.25,5.32
2010-09-15,84.00,26.59,6.26
2010-09-16,84.92,27.09,4.48
2010-09-17,88.12,25.65,4.45
2010-09-18,88.46,26.43,4.42
2010-09-19,84.62,27.08,4.17
2010-09-20,80.67,28.05,6.29
2010-09-21,78.46,28.80,6.06
2010-09-22,80.21,28.42,6.88
2010-09-23,83.12,28.13,5.74
2010-09-24,82.25,28.26,6.67
2010-09-25,84.25,28.35,4.81
2010-09-26,83.38,28.43,3.99
2010-09-27,85.04,27.80,4.85
2010-09-28,85.71,27.38,3.66
2010-09-29,88.17,27.10,3.41
2010-09-30,83.62,27.79,8.49
2010-10-01,80.25,27.93,8.04
2010-10-02,88.12,26.77,5.25
2010-10-03,90.83,25.92,6.46
2010-10-04,91.00,25.46,5.65
2010-10-05,81.79,26.03,6.01
2010-10-06,81.83,26.35,5.29
2010-10-07,82.54,27.36,5.68
2010-10-08,85.25,27.94,5.94
