date,relative_humidity_2m,temperature_2m_c,wind_speed_10m_km_h
01/01/2010,53.88,23.25,2.61
02/01/2010,53.21,23.15,2.45
03/01/2010,59.92,22.47,2.7
04/01/2010,57.88,23.74,2.25
05/01/2010,57.75,24.11,2.4
06/01/2010,67.75,24,3.09
07/01/2010,83,23.78,3.25
08/01/2010,87.42,23.09,3.62
09/01/2010,77.21,23.92,4.12
10/01/2010,71.42,23.89,4.11
11/01/2010,61.38,24.5,4.12
12/01/2010,70.46,24.35,5.12
13/01/2010,71.83,24.27,7.22
14/01/2010,70.04,23.77,6.1
15/01/2010,66.21,24.24,3.58
16/01/2010,66.29,23.79,4.1
17/01/2010,63.79,24.02,3.41
18/01/2010,63.12,23.46,3.05
19/01/2010,61.17,23.12,3.56
20/01/2010,57.58,23.57,2.68
21/01/2010,61.33,23.3,2.46
22/01/2010,67.29,24.95,2.88
23/01/2010,69.92,25.4,2.93
24/01/2010,73.21,24.89,4.19
25/01/2010,74.88,24.62,2.48
26/01/2010,78.62,23.28,3.53
27/01/2010,75.58,23.95,2.28
28/01/2010,68.83,24.61,2.19
29/01/2010,54.67,25.48,2.95
30/01/2010,50.67,24.69,2.18
31/01/2010,54.54,24.67,1.71
01/02/2010,55.17,24.9,2.99
02/02/2010,49.62,24.8,2.88
03/02/2010,49.33,24.76,2.76
04/02/2010,50.75,25.14,2.07
05/02/2010,52.71,25.65,2.51
06/02/2010,48.46,25.4,2.13
07/02/2010,48.17,24.06,1.98
08/02/2010,43.83,25.01,2.64
09/02/2010,45.25,25.03,3.46
10/02/2010,47.75,25.61,3.44
11/02/2010,48.67,25.74,2.8
12/02/2010,50.25,24.92,2.18
13/02/2010,44.5,26.39,3.94
14/02/2010,44.46,26.4,3.76
15/02/2010,43.08,26.44,3.02
16/02/2010,44.92,26.6,2.51
17/02/2010,47.25,27.22,5.47
18/02/2010,47.04,27.27,5.92
19/02/2010,54.71,26.84,6.18
20/02/2010,49.42,26.52,6.58
21/02/2010,34.54,26.57,4.06
22/02/2010,34.08,26,3.18
23/02/2010,37.12,25.88,5.4
24/02/2010,39.58,25.23,6.32
25/02/2010,39.04,26.56,3.99
26/02/2010,38.25,27.71,3.66
27/02/2010,39.75,27.77,4.38
28/02/2010,40.54,28.03,4.72
01/03/2010,40.04,27.38,3.72
02/03/2010,40.04,27.55,4.56
03/03/2010,42.33,27.83,3.38
04/03/2010,43.5,27.88,5.62
05/03/2010,45.17,27.9,5.53
06/03/2010,46.12,28.6,3.56
07/03/2010,43.79,29.65,5.03
08/03/2010,43,30.08,4.08
09/03/2010,48.71,30.11,5.13
10/03/2010,54.25,27.8,9.95
11/03/2010,54.58,26.38,6.95
12/03/2010,50.58,28.39,6.4
13/03/2010,39.71,29.72,5.28
14/03/2010,36.04,30.02,4.63
15/03/2010,38.83,29.7,3.06
16/03/2010,47.29,28.47,3
17/03/2010,54.5,28.75,3.85
18/03/2010,65.08,28.04,3.51
19/03/2010,68.08,27.8,4.18
20/03/2010,63.04,28.28,3.18
21/03/2010,53.88,29.05,2.74
22/03/2010,45.29,29.42,6.45
23/03/2010,36.42,29.36,6.43
24/03/2010,38.42,29.7,6.32
25/03/2010,36,30.52,4.31
26/03/2010,47.25,28.09,9.16
27/03/2010,53.5,27.36,6.54
28/03/2010,56.96,28.17,6
29/03/2010,61.67,27.79,4.66
30/03/2010,60.38,27.85,5.15
31/03/2010,52.54,29.1,6.05
01/04/2010,48.21,29.99,5.9
02/04/2010,41.79,31.02,4.56
03/04/2010,38.58,31.97,5.22
04/04/2010,39.33,32.24,5.45
05/04/2010,35.79,32.37,5.54
06/04/2010,33.96,32.69,5.25
07/04/2010,35.33,32.6,4.77
08/04/2010,33.58,32.75,4.52
09/04/2010,36.58,32.52,7.73
10/04/2010,38.08,32.07,6.9
11/04/2010,36,31.97,6.58
12/04/2010,34.75,32.05,6.4
13/04/2010,37.88,32.43,5.69
14/04/2010,38.46,32.82,5.12
15/04/2010,35,33.31,4.61
16/04/2010,35.17,33.12,6.82
17/04/2010,50.33,31.44,8.44
18/04/2010,45.25,31.88,6.75
19/04/2010,35.67,31.95,8.37
20/04/2010,37.79,32.05,10.04
21/04/2010,35.54,32.55,9.37
22/04/2010,33.88,33.16,5.86
23/04/2010,32.12,33.52,6.9
24/04/2010,50.96,31.35,12.08
25/04/2010,51.42,31.42,6.21
26/04/2010,44.5,32.25,4.89
27/04/2010,49.92,31.28,6.96
28/04/2010,46.88,31.85,6.27
29/04/2010,48.12,31.39,5.1
30/04/2010,47.33,31.88,5.29
01/05/2010,51.92,31.4,7.1
02/05/2010,55.33,31.26,6.69
03/05/2010,55.29,31.95,7.09
04/05/2010,48.71,32.68,6.55
05/05/2010,38.88,33.32,6.86
06/05/2010,39.25,33.72,5.63
07/05/2010,44.42,33.41,7.76
08/05/2010,50.75,32.71,5.63
09/05/2010,45.54,33.61,7.7
10/05/2010,38.79,34.06,6.88
11/05/2010,50.5,32.19,8.19
12/05/2010,62.17,30.95,9.2
13/05/2010,50.88,32.84,5.87
14/05/2010,43.12,34.07,6.35
15/05/2010,40.54,34.54,5.96
16/05/2010,43.08,34.11,8.4
17/05/2010,57,31.72,7.31
18/05/2010,74.75,28.35,4.18
19/05/2010,64.04,30.27,6.48
20/05/2010,56.96,31.2,5.61
21/05/2010,64.29,30.75,7.68
22/05/2010,66.75,30.09,7.78
23/05/2010,67.62,29.58,7.75
24/05/2010,64.04,29.45,6.65
25/05/2010,70.79,28.05,8.37
26/05/2010,79.25,27.66,6.82
27/05/2010,67.83,29.14,7.58
28/05/2010,59.42,30.6,6.57
29/05/2010,62.12,30.2,7.81
30/05/2010,69.96,28.81,6.87
31/05/2010,69.71,29.16,8.19
01/06/2010,57.46,30.96,8.42
02/06/2010,54.71,31.89,8.32
03/06/2010,58.38,31.3,5.14
