date, pm25, pm10, o3, no2, so2, co
2025/10/1, 26, 16, , 3, , 
2025/10/2, 34, 16, , 2, , 
2025/10/3, 34, 10, , 1, , 
2025/10/4, 21, 11, , 1, , 
2025/10/5, 25, 14, , 1, , 
2025/10/6, 31, 17, , 1, , 
2025/10/7, 37, 15, , 1, , 
2025/10/8, 31, 15, , 1, , 
2025/10/9, 30, 12, , 2, , 
2025/10/10, 26, , , , , 
2025/7/1, 51, 15, , 2, , 
2025/7/2, 31, 15, , 3, , 
2025/7/3, 31, 18, , 2, , 
2025/7/4, 38, 18, , 1, , 
2025/7/5, 40, 17, , 2, , 
2025/7/6, 40, 19, , 2, , 
2025/7/7, 47, 19, , 5, , 
2025/7/8, 42, 14, , 2, , 
2025/7/9, 33, 19, , 1, , 
2025/7/10, 42, 19, , 1, , 
2025/7/11, 42, 22, , 1, , 
2025/7/12, 41, 21, , 1, , 
2025/7/13, 44, 20, , 2, , 
2025/7/14, 47, 19, , 3, , 
2025/7/15, 41, 16, , 2, , 
2025/7/16, 34, 15, , 2, , 
2025/7/17, 33, 20, , 3, , 
2025/7/18, 46, 20, , 1, , 
2025/7/19, 46, 22, , 1, , 
2025/7/20, 48, 23, , 2, , 
2025/7/21, 48, 20, , 1, , 
2025/7/22, 47, 22, , 1, , 
2025/7/23, 45, 20, , 1, , 
2025/7/24, 44, 25, , 1, , 
2025/7/25, 49, 21, , 1, , 
2025/7/26, 48, 21, , , , 
2025/7/27, 48, 20, , 1, , 
2025/7/28, 43, 20, , 1, , 
2025/7/29, 45, 21, , 1, , 
2025/7/30, 47, 23, , 2, , 
2025/7/31, 52, 22, , 2, , 
2025/8/1, 50, 25, , 3, , 
2025/8/2, 52, 21, , 2, , 
2025/8/3, 47, 20, , 2, , 
2025/8/4, 45, 21, , 2, , 
2025/8/5, 46, 19, , 2, , 
2025/8/6, 44, 16, , 3, , 
2025/8/7, 39, 19, , 3, , 
2025/8/8, 43, 19, , 1, , 
2025/8/9, 43, 20, , 1, , 
2025/8/10, 45, 18, , 3, , 
2025/8/11, 41, 15, , 1, , 
2025/8/12, 34, 16, , 3, , 
2025/8/13, 34, 19, , 3, , 
2025/8/14, 40, 14, , 3, , 
2025/8/15, 30, 15, , 2, , 
2025/8/16, 33, 21, , 3, , 
2025/8/17, 47, 24, , 5, , 
2025/8/18, 53, 27, , 4, , 
2025/8/19, 55, 21, , 3, , 
2025/8/20, 46, 18, , 3, , 
2025/8/21, 40, 15, , 3, , 
2025/8/22, 32, 15, , 2, , 
2025/8/23, 34, 14, , 2, , 
2025/8/24, 28, 16, , 3, , 
2025/8/25, 31, 16, , 3, , 
2025/8/26, 33, 19, , 4, , 
2025/8/27, 44, 15, , 3, , 
2025/8/28, 32, 15, , 2, , 
2025/8/29, 29, 11, , 2, , 
2025/8/30, 25, 11, , , , 
2025/8/31, 23, 10, , 2, , 
2025/9/1, 23, 10, , 1, , 
2025/9/2, 24, 14, , 3, , 
2025/9/3, 31, 10, , 3, , 
2025/9/4, 23, 11, , 3, , 
2025/9/5, 25, 16, , 2, , 
2025/9/6, 30, 16, , 2, , 
2025/9/7, 33, 13, , 2, , 
2025/9/8, 31, 13, , 3, , 
2025/9/9, 29, 14, , 3, , 
2025/9/10, 32, 15, , 2, , 
2025/9/11, 35, 14, , 2, , 
2025/9/12, 29, 12, , 2, , 
2025/9/13, 27, 12, , 2, , 
2025/9/14, 25, 12, , 3, , 
2025/9/15, 23, 11, , 3, , 
2025/9/16, 24, 12, , 2, , 
2025/9/17, 26, 12, , 2, , 
2025/9/18, 24, 11, , 1, , 
2025/9/19, 23, 15, , 1, , 
2025/9/20, 26, 14, , 2, , 
2025/9/21, 29, 15, , 2, , 
2025/9/22, 34, 17, , 2, , 
2025/9/23, 36, 13, , 1, , 
2025/9/24, 27, 16, , 1, , 
2025/9/25, 34, 13, , 1, , 
2025/9/26, 29, 14, , 2, , 
2025/9/27, 31, 12, , , , 
2025/9/28, 25, 14, , 2, , 
2025/9/29, 26, 13, , 4, , 
2025/9/30, 25, 13, , 4, , 
2025/4/1, 50, 16, , 2, , 
2025/4/2, 36, 16, , 2, , 
2025/4/3, 29, 15, , 1, , 
2025/4/4, 31, 17, , 1, , 
2025/4/5, 36, 16, , 1, , 
2025/4/6, 38, 17, , 1, , 
2025/4/7, 40, 20, , 2, , 
2025/4/8, 47, 21, , 2, , 
2025/4/9, 50, 18, , 3, , 
2025/4/10, 43, 18, , 2, , 
2025/4/11, 40, 12, , 1, , 
2025/4/12, 25, 11, , 2, , 
2025/4/13, 25, 14, , 2, , 
2025/4/14, 25, 13, , , , 
2025/4/15, 25, 12, , 4, , 
2025/4/16, 24, 13, , 3, , 
2025/4/17, 24, 12, , 2, , 
2025/4/18, 26, 11, , 2, , 
2025/4/19, 25, 12, , 1, , 
2025/4/20, 26, 14, , 2, , 
2025/4/21, 30, 15, , 2, , 
2025/4/22, 32, 17, , 2, , 
2025/4/23, 37, 13, , 3, , 
2025/4/24, 29, 12, , 3, , 
2025/4/25, 29, 13, , 3, , 
2025/4/26, 30, 13, , 2, , 
2025/4/27, 29, 14, , 2, , 
2025/4/28, 31, 13, , 3, , 
2025/4/29, 32, 16, , 3, , 
2025/4/30, 35, 18, , 2, , 
2025/5/1, 41, 17, , 3, , 
2025/5/2, 36, 15, , 3, , 
2025/5/3, 30, 15, , 2, , 
2025/5/4, 32, 12, , 4, , 
2025/5/5, 29, 16, , 3, , 
2025/5/6, 27, 11, , 3, , 
2025/5/7, 26, 12, , 4, , 
2025/5/8, 28, 11, , 2, , 
2025/5/9, 25, 11, , 2, , 
2025/5/10, 24, 14, , 3, , 
2025/5/11, 26, 11, , 4, , 
2025/5/12, 25, 12, , 4, , 
